Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,GO Cellular Components,20,GO:0031966,mitochondrial membrane,,-20,4.5,12,30230,793,467,55,12,1.5,22|706|1468|2182|2710|4504|4508|4514|4540|4541|4706|4833|6391|6392|8834|9016|9481|9489|9927|10463|10975|23175|23456|23761|25875|26521|51300|51537|51660|54968|54996|55669|56997|57038|57169|57380|58472|60558|63933|79109|79671|81554|84129|84274|90550|91137|113612|114789|114971|119559|123096|197257|221154|286097|340061,ABCB7|TSPO|SLC25A10|ACSL4|GK|MT3|ATP6|COX3|ND5|ND6|NDUFAB1|NME4|SDHC|SDHD|TMEM11|SLC25A14|SLC25A27|PGS1|MFN2|SLC30A9|UQCR11|LPIN1|ABCB10|PISD|LETMD1|TIMM8B|TIMMDC1|MTFP1|MPC1|TMEM70|MTARC2|MFN1|COQ8A|RARS2|ZNFX1|MRS2|SQOR|GUF1|MCUR1|MAPKAP1|NLRX1|RCC1L|ACAD11|COQ5|MCU|SLC25A46|CYP2U1|SLC25A25|PTPMT1|SFXN4|SLC25A29|LDHD|MICU2|MICU3|STING1,-16
MyList,GO Biological Processes,19,GO:0008610,lipid biosynthetic process,19_GO:0009987 cellular process,-18,4.9,12,30230,593,467,45,9.6,1.4,20|706|1040|1718|2182|2710|3988|4706|5286|5287|5290|5563|5587|6307|8443|9374|9489|9517|9926|10162|10682|10948|11001|23049|23175|23761|25979|27132|30849|51205|51422|55825|64924|65258|81490|83723|84302|93183|114971|128869|137695|197322|200576|253260|729920,ABCA2|TSPO|CDS1|DHCR24|ACSL4|GK|LIPA|NDUFAB1|PIK3C2A|PIK3C2B|PIK3CA|PRKAA2|PRKD1|MSMO1|GNPAT|PPT2|PGS1|SPTLC2|LPGAT1|LPCAT3|EBP|STARD3|SLC27A2|SMG1|LPIN1|PISD|DHRS7B|CPNE7|PIK3R4|ACP6|PRKAG2|PECR|SLC30A5|MPPE1|PTDSS2|TLCD3B|PGAP4|PIGM|PTPMT1|PIGU|TMEM68|ACSF3|PIKFYVE|RICTOR|CRPPA,-14
MyList,Reactome Gene Sets,6,R-HSA-556833,Metabolism of lipids,,-17,4.3,11,30230,757,467,50,11,1.4,406|416|706|1040|1718|2182|2710|4706|5286|5287|5290|5563|5587|6095|6307|6721|6837|8310|8443|9374|9439|9489|9517|9885|9915|9926|10162|10478|10682|10948|11001|23175|23761|25979|27132|30849|51205|51360|51422|54545|55825|56261|59338|66036|81490|84129|113612|114971|197322|200576,BMAL1|ARSF|TSPO|CDS1|DHCR24|ACSL4|GK|NDUFAB1|PIK3C2A|PIK3C2B|PIK3CA|PRKAA2|PRKD1|RORA|MSMO1|SREBF2|MED22|ACOX3|GNPAT|PPT2|MED23|PGS1|SPTLC2|OSBPL2|ARNT2|LPGAT1|LPCAT3|SLC25A17|EBP|STARD3|SLC27A2|LPIN1|PISD|DHRS7B|CPNE7|PIK3R4|ACP6|MBTPS2|PRKAG2|MTMR12|PECR|GPCPD1|PLEKHA1|MTMR9|PTDSS2|ACAD11|CYP2U1|PTPMT1|ACSF3|PIKFYVE,-14
MyList,GO Cellular Components,20,GO:0005743,mitochondrial inner membrane,,-16,5.1,12,30230,508,467,40,8.6,1.3,22|1468|4508|4514|4540|4541|4706|4833|6391|6392|8834|9016|9481|9489|10975|23456|23761|25875|26521|51300|51537|51660|54968|56997|57380|58472|60558|63933|81554|84129|84274|90550|113612|114789|114971|119559|123096|197257|221154|286097,ABCB7|SLC25A10|ATP6|COX3|ND5|ND6|NDUFAB1|NME4|SDHC|SDHD|TMEM11|SLC25A14|SLC25A27|PGS1|UQCR11|ABCB10|PISD|LETMD1|TIMM8B|TIMMDC1|MTFP1|MPC1|TMEM70|COQ8A|MRS2|SQOR|GUF1|MCUR1|RCC1L|ACAD11|COQ5|MCU|CYP2U1|SLC25A25|PTPMT1|SFXN4|SLC25A29|LDHD|MICU2|MICU3,-13
MyList,GO Cellular Components,20,GO:0019866,organelle inner membrane,,-16,4.8,11,30230,565,467,42,9,1.3,22|1468|4508|4514|4540|4541|4706|4833|6391|6392|8834|9016|9481|9489|10975|23411|23456|23761|25875|26521|51300|51537|51660|54968|56997|57380|58472|60558|63933|81554|83862|84129|84274|90550|113612|114789|114971|119559|123096|197257|221154|286097,ABCB7|SLC25A10|ATP6|COX3|ND5|ND6|NDUFAB1|NME4|SDHC|SDHD|TMEM11|SLC25A14|SLC25A27|PGS1|UQCR11|SIRT1|ABCB10|PISD|LETMD1|TIMM8B|TIMMDC1|MTFP1|MPC1|TMEM70|COQ8A|MRS2|SQOR|GUF1|MCUR1|RCC1L|TMEM120A|ACAD11|COQ5|MCU|CYP2U1|SLC25A25|PTPMT1|SFXN4|SLC25A29|LDHD|MICU2|MICU3,-13
MyList,GO Biological Processes,19,GO:0090407,organophosphate biosynthetic process,19_GO:0009987 cellular process,-16,4.8,11,30230,565,467,42,9,1.3,1040|1468|2182|2710|2977|3988|4337|4508|4540|4541|4706|4833|5286|5287|5290|6391|6392|8443|9374|9489|9517|9677|9926|10162|11001|23049|23761|25875|26289|27132|30849|51205|51422|64924|65258|81490|84302|93183|114971|128869|197322|200576,CDS1|SLC25A10|ACSL4|GK|GUCY1A2|LIPA|MOCS1|ATP6|ND5|ND6|NDUFAB1|NME4|PIK3C2A|PIK3C2B|PIK3CA|SDHC|SDHD|GNPAT|PPT2|PGS1|SPTLC2|PPIP5K1|LPGAT1|LPCAT3|SLC27A2|SMG1|PISD|LETMD1|AK5|CPNE7|PIK3R4|ACP6|PRKAG2|SLC30A5|MPPE1|PTDSS2|PGAP4|PIGM|PTPMT1|PIGU|ACSF3|PIKFYVE,-13
MyList,GO Biological Processes,19,GO:0045017,glycerolipid biosynthetic process,19_GO:0009987 cellular process,-13,7.2,11,30230,216,467,24,5.1,1,1040|2710|5286|5287|5290|8443|9489|9926|10162|23049|23175|23761|27132|30849|51205|64924|65258|81490|84302|93183|114971|128869|137695|200576,CDS1|GK|PIK3C2A|PIK3C2B|PIK3CA|GNPAT|PGS1|LPGAT1|LPCAT3|SMG1|LPIN1|PISD|CPNE7|PIK3R4|ACP6|SLC30A5|MPPE1|PTDSS2|PGAP4|PIGM|PTPMT1|PIGU|TMEM68|PIKFYVE,-10
MyList,GO Biological Processes,19,GO:0031669,cellular response to nutrient levels,19_GO:0050896 response to stimulus,-13,6.4,11,30230,251,467,25,5.4,1,2353|5287|5563|5587|6721|6845|8850|9213|9681|10325|23411|26100|27072|27244|30849|51422|55062|64121|79109|79726|84219|90550|201163|253260|440275,FOS|PIK3C2B|PRKAA2|PRKD1|SREBF2|VAMP7|KAT2B|XPR1|DEPDC5|RRAGB|SIRT1|WIPI2|VPS41|SESN1|PIK3R4|PRKAG2|WIPI1|RRAGC|MAPKAP1|WDR59|WDR24|MCU|FLCN|RICTOR|EIF2AK4,-10
MyList,GO Biological Processes,19,GO:0009267,cellular response to starvation,19_GO:0050896 response to stimulus,-12,7.4,11,30230,193,467,22,4.7,0.98,2353|5287|5563|5587|6721|6845|9213|9681|10325|23411|26100|27072|27244|30849|51422|55062|64121|79726|84219|90550|201163|440275,FOS|PIK3C2B|PRKAA2|PRKD1|SREBF2|VAMP7|XPR1|DEPDC5|RRAGB|SIRT1|WIPI2|VPS41|SESN1|PIK3R4|PRKAG2|WIPI1|RRAGC|WDR59|WDR24|MCU|FLCN|EIF2AK4,-9.7
MyList,GO Biological Processes,19,GO:0046486,glycerolipid metabolic process,19_GO:0009987 cellular process,-12,5.2,10,30230,359,467,29,6.2,1.1,21|1040|2710|3988|5286|5287|5290|8443|9489|9926|10162|23049|23175|23411|23761|27132|30849|51205|56261|64924|65258|66036|81490|84302|93183|114971|128869|137695|200576,ABCA3|CDS1|GK|LIPA|PIK3C2A|PIK3C2B|PIK3CA|GNPAT|PGS1|LPGAT1|LPCAT3|SMG1|LPIN1|SIRT1|PISD|CPNE7|PIK3R4|ACP6|GPCPD1|SLC30A5|MPPE1|MTMR9|PTDSS2|PGAP4|PIGM|PTPMT1|PIGU|TMEM68|PIKFYVE,-9.6
