"UNIPROT"
"Q96KV6"
"A2A3N6"
"Q6ZSR9"
"Q96N38"
"P49189"
"Q96PC3"
"P23634"
"O15392"
"Q7Z7L8"
"Q96LW7"
"Q9HAH7"
"Q9Y4D8"
"Q99729"
"Q58FG1"
"Q58FF6"
"Q9UN81"
"Q8WWI1"
"Q9UPN3"
"Q8WX92"
"Q13670"
"Q6ZXV5"
"P51784"
