"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
NA,"Direct GO Biological Processes","GO:0045787","positive regulation of cell cycle",24,5,0.893,2.9944,1.582,0.0225320270410465,1.64719973623261,1,0.156896445928726,1,"MAP3K7,CCNB1,TCF3,FOXG1,ANKRD17","6859,1579,11633,3811,23575"
NA,"Direct GO Biological Processes","GO:0000082","G1/S transition of mitotic cell cycle",51,8,1.429,2.2546,1.173,0.0233755548434532,1.63123807189543,1,0.156896445928726,1,"LATS2,ID4,KHDRBS1,CCNB1,RBBP8,PHF8,CDKN1A,LATS1","6515,5363,18116,1579,9891,20672,1784,6514"
NA,"Direct GO Biological Processes","GO:0007613","memory",33,6,1.071,2.6133,1.386,0.0244012475257969,1.6125879695744,1,0.156896445928726,1,"PAIP2,CEBPB,CIC,MAP1A,CRTC1,ATXN1","17970,1834,14214,6835,16062,10548"
NA,"Direct GO Biological Processes","GO:0000122","negative regulation of transcription by RNA polymerase II",534,49,8.75,1.3189,0.399,0.0261508686065799,1.58251388137492,1,0.156896445928726,1,"MXI1,TBX2,HDAC4,HEY1,TET1,CUX1,JDP2,SFN,PAWR,ZNF217,TXNIP,MBD3,JAZF1,MAF,ATXN1,NCOR1,CIC,BACH2,CEBPB,NKX6-1,TCF3,SORBS3,DACT1,TSC22D4,ATN1,AMOT,ID4,PITX2,GTF2IRD1,KHDRBS1,BCOR,MAX,SOX12,NCOR2,WWC1,IRF2BPL,ATF2,RITA1,FOXG1,CNOT2,ZNF182,YAP1,CXXC5,EID2,JARID2,RARB,SOX13,SNW1,BATF3","7534,11597,14063,4880,29484,2557,17546,10773,8614,13009,16952,6918,28917,6776,10548,7672,14214,14078,1834,7839,11633,30907,17748,21696,3033,17810,5363,9005,4661,18116,20893,6913,11198,7673,29435,14282,784,25925,3811,7878,13001,16262,26943,28292,6196,9865,11192,16696,28915"
NA,"Direct GO Biological Processes","GO:0031424","keratinization",4,2,0.357,7.1866,2.845,0.0263836912641697,1.57866444368303,1,0.156896445928726,1,"SFN,PPHLN1","10773,19369"
NA,"Direct GO Biological Processes","GO:0033504","floor plate development",4,2,0.357,7.1866,2.845,0.0263836912641697,1.57866444368303,1,0.156896445928726,1,"COBL,CBY1","22199,1307"
NA,"Direct GO Biological Processes","GO:0045010","actin nucleation",4,2,0.357,7.1866,2.845,0.0263836912641697,1.57866444368303,1,0.156896445928726,1,"LMOD1,DIAPH3","6647,15480"
NA,"Direct GO Biological Processes","GO:0046602","regulation of mitotic centrosome separation",4,2,0.357,7.1866,2.845,0.0263836912641697,1.57866444368303,1,0.156896445928726,1,"MAP9,CEP85","26118,25309"
NA,"Direct GO Biological Processes","GO:0050871","positive regulation of B cell activation",4,2,0.357,7.1866,2.845,0.0263836912641697,1.57866444368303,1,0.156896445928726,1,"AKIRIN2,SH3KBP1","21407,13867"
NA,"Direct GO Biological Processes","GO:0051656","establishment of organelle localization",4,2,0.357,7.1866,2.845,0.0263836912641697,1.57866444368303,1,0.156896445928726,1,"SKA1,CROCC","28109,21299"
NA,"Direct GO Biological Processes","GO:0060044","negative regulation of cardiac muscle cell proliferation",4,2,0.357,7.1866,2.845,0.0263836912641697,1.57866444368303,1,0.156896445928726,1,"JARID2,VGLL4","6196,28966"
NA,"Direct GO Biological Processes","GO:0060052","neurofilament cytoskeleton organization",4,2,0.357,7.1866,2.845,0.0263836912641697,1.57866444368303,1,0.156896445928726,1,"NDEL1,ATF2","17620,784"
NA,"Direct GO Biological Processes","GO:0061458","reproductive system development",4,2,0.357,7.1866,2.845,0.0263836912641697,1.57866444368303,1,0.156896445928726,1,"PPP1R9B,PLEKHA5","9298,30036"
NA,"Direct GO Biological Processes","GO:1902850","microtubule cytoskeleton organization involved in mitosis",4,2,0.357,7.1866,2.845,0.0263836912641697,1.57866444368303,1,0.156896445928726,1,"SETD2,CCDC66","18420,27709"
NA,"Direct GO Biological Processes","GO:1902857","positive regulation of non-motile cilium assembly",4,2,0.357,7.1866,2.845,0.0263836912641697,1.57866444368303,1,0.156896445928726,1,"CEP135,SEPTIN9","29086,7323"
NA,"Direct GO Biological Processes","GO:1903566","positive regulation of protein localization to cilium",4,2,0.357,7.1866,2.845,0.0263836912641697,1.57866444368303,1,0.156896445928726,1,"CCDC88A,CROCC","25523,21299"
NA,"Direct GO Biological Processes","GO:2000813","negative regulation of barbed-end actin filament capping",4,2,0.357,7.1866,2.845,0.0263836912641697,1.57866444368303,1,0.156896445928726,1,"CRACD,CARMIL1","29219,21581"
