"Experiment","Genotype","Treatment","Condition","Lipid","LipidClass","n_total","n_detected","mean_intensity","sd_intensity","CV_percent","mean_log2Intensity","CV_percent_capped"
"Acute","RDH12","Veh","Acute | RDH12 | Veh","DG 36:0 NL 16:0","DG",3,3,2908.386865,169.246351870424,5.81925169265347,11.5043971440446,5.81925169265347
"Acute","RDH12","Veh","Acute | RDH12 | Veh","DG 36:0 NL 18:0","DG",3,3,6522.11381133333,3003.85607734761,46.0564805251922,12.5351032261096,46.0564805251922
"Acute","RDH12","Veh","Acute | RDH12 | Veh","DG 36:1 NL 16:1","DG",3,3,3129.586899,109.05076082122,3.484509756098,11.6111664487648,3.484509756098
"Acute","RDH12","Veh","Acute | RDH12 | Veh","DG 36:1 NL 18:0","DG",3,3,2659.273519,218.355215823911,8.21108525557093,11.373590248576,8.21108525557093
"Acute","RDH12","Veh","Acute | RDH12 | Veh","DG 36:2 NL 18:1","DG",3,3,3678.573602,571.895994376573,15.5466780402502,11.8334683267267,15.5466780402502
"Acute","RDH12","Veh","Acute | RDH12 | Veh","DG 36:5 NL 16:0","DG",3,3,3735.56025433333,544.180406970796,14.5675713927927,11.8570861660123,14.5675713927927
"Acute","RDH12","Veh","Acute | RDH12 | Veh","DG 36:5 NL 20:4","DG",3,3,4666.14699566667,89.3177081588727,1.91416404673534,12.1878394223196,1.91416404673534
"Acute","RDH12","Veh","Acute | RDH12 | Veh","DG 36:6 NL 16:0","DG",3,3,24471.0485466667,5926.77824376675,24.2195516569889,14.5492936520793,24.2195516569889
"Acute","RDH12","Veh","Acute | RDH12 | Veh","DG 36:6 NL 16:1","DG",3,3,3021.793545,367.765284992,12.1704305577236,11.554349826679,12.1704305577236
"Acute","RDH12","Veh","Acute | RDH12 | Veh","DG 36:6 NL 22:5","DG",3,3,13492.3075933333,1716.50069219386,12.7220690776573,13.7123092998058,12.7220690776573
"Acute","RDH12","Veh","Acute | RDH12 | Veh","DG 36:7 NL 16:0","DG",3,3,106880.14788,29677.8812432755,27.767440288908,16.6665783379671,27.767440288908
"Acute","RDH12","Veh","Acute | RDH12 | Veh","DG 36:7 NL 16:1","DG",3,3,11075.474112,2558.49892782378,23.1005815367463,13.4084955606829,23.1005815367463
"Acute","RDH12","Veh","Acute | RDH12 | Veh","DG 36:7 NL 22:5","DG",3,3,50776.75679,9170.98052280276,18.0613751302228,15.6170051831065,18.0613751302228
"Acute","RDH12","Veh","Acute | RDH12 | Veh","DG 38:0 NL 20:0","DG",3,3,2664.933525,1030.89186085347,38.6835863327387,11.3130481204293,38.6835863327387
"Acute","RDH12","Veh","Acute | RDH12 | Veh","DG 38:2 NL 16:1","DG",3,3,3925.28693733333,335.133507084686,8.53780914452997,11.9350168802858,8.53780914452997
"Acute","RDH12","Veh","Acute | RDH12 | Veh","DG 40:5 NL 20:0","DG",3,2,3996.040281,301.538679408801,7.54593693268132,11.9622987630929,7.54593693268132
"Acute","RDH12","Veh","Acute | RDH12 | Veh","DG 40:5 NL 22:5","DG",3,3,10033.1940546667,1567.38819172657,15.6220260785003,13.2811733879918,15.6220260785003
"Acute","RDH12","Veh","Acute | RDH12 | Veh","DG 40:6 NL 20:0","DG",3,2,38105.262775,9486.74270064774,24.8961482214782,15.1949936961092,24.8961482214782
"Acute","RDH12","Veh","Acute | RDH12 | Veh","DG 40:6 NL 22:6","DG",3,3,109234.840846667,32679.2973368167,29.9165514258301,16.693668917567,29.9165514258301
"Acute","RDH12","Veh","Acute | RDH12 | Veh","DG 40:7 NL 22:6","DG",3,3,10355.267387,838.456489714816,8.09690815678418,13.3348408397555,8.09690815678418
"Acute","RDH12","Veh","Acute | RDH12 | Veh","DG 42:10 NL 16:0","DG",3,3,2603.466854,326.964509144415,12.5588120563956,11.3385913861879,12.5588120563956
"Acute","RDH12","Veh","Acute | RDH12 | Veh","DG 42:11 NL 16:0","DG",3,3,8645.940625,2102.28928518037,24.3153333612023,13.0483799569588,24.3153333612023
"Acute","RDH12","Veh","Acute | RDH12 | Veh","DG 42:11 NL 22:5","DG",3,3,31580.1955566667,6322.09785121345,20.0191852513049,14.9277102877561,20.0191852513049
"Acute","RDH12","Veh","Acute | RDH12 | Veh","DG 42:6 NL 22:6","DG",3,3,9899.68070433333,488.959333590353,4.93914246523449,13.27201394457,4.93914246523449
"Acute","RDH12","Veh","Acute | RDH12 | Veh","DG O-36:4 NL 18:1","DG",3,3,3200.653553,309.427205541638,9.66762570261969,11.6397796866992,9.66762570261969
"Acute","RDH12","Veh","Acute | RDH12 | Veh","LPC 14:0","LPC",3,3,1755.286794,110.249840688261,6.28101578984823,10.7755465037125,6.28101578984823
"Acute","RDH12","Veh","Acute | RDH12 | Veh","LPC 16:0","LPC",3,3,3639.98691666667,497.827123283791,13.6766184791587,11.8205713744416,13.6766184791587
"Acute","RDH12","Veh","Acute | RDH12 | Veh","LPC 16:1","LPC",3,3,1905.12013866667,43.5997038549579,2.28855403761949,10.8954126665215,2.28855403761949
"Acute","RDH12","Veh","Acute | RDH12 | Veh","LPC 18:0","LPC",3,3,3410.48026266667,410.986875518334,12.0507038265919,11.7284150629774,12.0507038265919
"Acute","RDH12","Veh","Acute | RDH12 | Veh","LPC 18:1","LPC",3,3,3194.77355833333,102.188374119436,3.1986108640747,11.6410084618325,3.1986108640747
"Acute","RDH12","Veh","Acute | RDH12 | Veh","LPC 20:1","LPC",3,3,2297.36682766667,160.191596655298,6.97283493111101,11.163484049477,6.97283493111101
"Acute","RDH12","Veh","Acute | RDH12 | Veh","LPC 26:0","LPC",3,3,2430.46684266667,376.676867577787,15.4981282182193,11.2356866677621,15.4981282182193
"Acute","RDH12","Veh","Acute | RDH12 | Veh","LPC O-18:1","LPC",3,3,1722.57345066667,209.715910746181,12.1745700112246,10.7434878396615,12.1745700112246
"Acute","RDH12","Veh","Acute | RDH12 | Veh","LPE 22:5","LPE",3,3,2119.300153,128.778974045922,6.07648585612695,11.0476301432673,6.07648585612695
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 24:0","PC",3,3,2148.74015033333,171.802543396251,7.99550114841012,11.0662235959524,7.99550114841012
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 26:0","PC",3,3,3807.820282,716.840123443159,18.8254715389732,11.8778562625845,18.8254715389732
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 28:0","PC",3,3,8436.53391533333,1090.10002507136,12.921183462442,13.034397256441,12.921183462442
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 28:1","PC",3,3,3436.60690966667,513.060516931575,14.9292756028748,11.7353014311632,14.9292756028748
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 30:0","PC",3,3,35375.2425033333,10024.5431221435,28.3377368259707,15.070102557922,28.3377368259707
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 30:1","PC",3,3,22760.37507,5311.85047608975,23.3381500074276,14.44904918822,23.3381500074276
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 30:2","PC",3,3,2825.73351433333,399.551630570936,14.139749149884,11.4551691004659,14.139749149884
"Acute","RDH12","Veh","Acute | RDH12 | Veh","PC 32:0","PC",3,3,37909.6158266667,9758.48354628002,25.7414466843941,15.1784402023288,25.7414466843941
