"Experiment","Genotype","Treatment","Condition","LipidClass","n_lipids_with_CV","median_CV","mean_CV"
"Recovery","RDH12","Veh","Recovery | RDH12 | Veh","CE",15,9.56450176436811,10.2395726348755
"Recovery","RDH12","Veh","Recovery | RDH12 | Veh","Cer",10,14.8438926267457,15.2607639080707
"Recovery","RDH12","Veh","Recovery | RDH12 | Veh","DG",49,12.7900582624779,15.3017078423021
"Recovery","RDH12","Veh","Recovery | RDH12 | Veh","LPC",10,14.5337416867006,20.5197791561607
"Recovery","RDH12","Veh","Recovery | RDH12 | Veh","LPE",4,10.6726734397205,14.3486468215163
"Recovery","RDH12","Veh","Recovery | RDH12 | Veh","Other",1,15.7623614724201,15.7623614724201
"Recovery","RDH12","Veh","Recovery | RDH12 | Veh","PC",118,12.4544083805158,14.6726138014985
"Recovery","RDH12","Veh","Recovery | RDH12 | Veh","PE",48,6.80544231821212,7.87503433488532
"Recovery","RDH12","Veh","Recovery | RDH12 | Veh","PG",4,14.2831762200579,12.9949291528791
"Recovery","RDH12","Veh","Recovery | RDH12 | Veh","PI",23,11.6872496217885,11.9050687106165
"Recovery","RDH12","Veh","Recovery | RDH12 | Veh","PS",21,8.40676595863771,11.3700377321103
"Recovery","RDH12","Veh","Recovery | RDH12 | Veh","SM",25,48.3829302557067,50.442137323876
"Recovery","RDH12","Veh","Recovery | RDH12 | Veh","TG",32,10.274552477385,11.3731351418451
"Recovery","RDH12","100 µM","Recovery | RDH12 | 100 µM","CE",15,8.69677321534662,14.9181340707967
"Recovery","RDH12","100 µM","Recovery | RDH12 | 100 µM","Cer",10,15.8051499145713,17.3151233179527
"Recovery","RDH12","100 µM","Recovery | RDH12 | 100 µM","DG",49,23.1212779366539,24.3516906917086
"Recovery","RDH12","100 µM","Recovery | RDH12 | 100 µM","LPC",10,13.4966964532319,16.794609771022
"Recovery","RDH12","100 µM","Recovery | RDH12 | 100 µM","LPE",4,7.03031987004254,7.48180303029652
"Recovery","RDH12","100 µM","Recovery | RDH12 | 100 µM","Other",1,27.6618008667576,27.6618008667576
"Recovery","RDH12","100 µM","Recovery | RDH12 | 100 µM","PC",118,26.5267229332005,26.6849412216369
"Recovery","RDH12","100 µM","Recovery | RDH12 | 100 µM","PE",48,16.2195039481822,17.106681252054
"Recovery","RDH12","100 µM","Recovery | RDH12 | 100 µM","PG",4,17.4619040955,18.1770601496817
"Recovery","RDH12","100 µM","Recovery | RDH12 | 100 µM","PI",23,12.562462597741,12.6577487167287
"Recovery","RDH12","100 µM","Recovery | RDH12 | 100 µM","PS",21,10.1524922102725,10.6028640927515
"Recovery","RDH12","100 µM","Recovery | RDH12 | 100 µM","SM",25,36.4143123325985,40.0660030892209
"Recovery","RDH12","100 µM","Recovery | RDH12 | 100 µM","TG",32,9.65488481672774,13.4706434872935
"Recovery","RDH12","200 µM","Recovery | RDH12 | 200 µM","CE",15,3.62494023243838,6.06867420493634
"Recovery","RDH12","200 µM","Recovery | RDH12 | 200 µM","Cer",10,11.1414353104367,12.0437254784285
"Recovery","RDH12","200 µM","Recovery | RDH12 | 200 µM","DG",49,13.4123341451033,21.1331673822547
"Recovery","RDH12","200 µM","Recovery | RDH12 | 200 µM","LPC",10,10.3136150592424,10.869937168805
