"Experiment","Genotype","Treatment","Condition","n_lipids_with_CV","median_CV","mean_CV","q25_CV","q75_CV"
"Acute","RDH12","Veh","Acute | RDH12 | Veh",247,12.4100433990274,13.7933054367574,7.65682751208241,18.8391217763184
"Acute","RDH12","100 µM","Acute | RDH12 | 100 µM",247,10.1567906433234,15.0435157965088,5.82038809032382,16.4542771337109
"Acute","RDH12","200 µM","Acute | RDH12 | 200 µM",247,9.81892286444416,13.3015131882484,6.21523312364063,14.6774114459614
"Recovery","RDH12","Veh","Recovery | RDH12 | Veh",360,11.3201381639625,15.6479738244834,6.70297236388692,17.886213221185
"Recovery","RDH12","100 µM","Recovery | RDH12 | 100 µM",360,17.2382043514877,21.6801173303897,9.33061575194269,30.5415191983742
"Recovery","RDH12","200 µM","Recovery | RDH12 | 200 µM",360,11.9814269509751,15.5906157323478,7.10770720900723,19.7877565674015
"Recovery","WT","Veh","Recovery | WT | Veh",360,11.3785465824949,17.5123196291899,6.44446374563915,22.3236779459364
"Recovery","WT","100 µM","Recovery | WT | 100 µM",360,13.1024145906178,20.9776852201971,7.52792970875848,25.0220623738317
"Recovery","WT","200 µM","Recovery | WT | 200 µM",360,8.82377256081509,11.8101638976699,4.69506310510412,15.7567047880313
