"Lipid","LipidClass","sample","Intensity","Treatment","Rep","Genotype","Treatment_raw","Genotype_raw","Experiment","Condition","Detected","log2Intensity"
"LPC O-18:1","LPC","s9",1792.760132,"200 µM","3","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,10.8079667558445
"LPC 18:1","LPC","s1",3103.120201,"Veh","1","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.5995038661655
"LPC 18:1","LPC","s2",3304.960243,"Veh","2","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.6904172016078
"LPC 18:1","LPC","s3",3176.240231,"Veh","3","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.633104317724
"LPC 18:1","LPC","s4",3066.460217,"100 µM","1","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,11.582358518827
"LPC 18:1","LPC","s5",3629.200272,"100 µM","2","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,11.8254359566485
"LPC 18:1","LPC","s6",3848.540329,"100 µM","3","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,11.9100956501016
"LPC 18:1","LPC","s7",7801.140572,"200 µM","1","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,12.929469354441
"LPC 18:1","LPC","s8",5844.940434,"200 µM","2","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,12.5129726069364
"LPC 18:1","LPC","s9",7239.820469,"200 µM","3","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,12.8217382068746
"LPC 18:0","LPC","s1",3693.440266,"Veh","1","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.8507495297988
"LPC 18:0","LPC","s2",2939.060207,"Veh","2","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.5211391977346
"LPC 18:0","LPC","s3",3598.940315,"Veh","3","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.8133564613989
"LPC 18:0","LPC","s4",2376.940166,"100 µM","1","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,11.2148898718711
"LPC 18:0","LPC","s5",2542.7402,"100 µM","2","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,11.312168349396
"LPC 18:0","LPC","s6",2692.740196,"100 µM","3","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,11.3948593254844
"LPC 18:0","LPC","s7",3766.540283,"200 µM","1","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,11.8790242436418
"LPC 18:0","LPC","s8",3412.580242,"200 µM","2","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,11.7366472540277
"LPC 18:0","LPC","s9",3730.140228,"200 µM","3","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,11.865014151721
"LPE 22:5","LPE","s1",2025.180149,"Veh","1","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,10.9838345326638
"LPE 22:5","LPE","s2",2266.060169,"Veh","2","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.145970453131
"LPE 22:5","LPE","s3",2066.660141,"Veh","3","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.0130854440073
"LPE 22:5","LPE","s4",2032.500145,"100 µM","1","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,10.9890397398853
"LPE 22:5","LPE","s5",2114.320156,"100 µM","2","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,11.0459781346569
"LPE 22:5","LPE","s6",2119.240166,"100 µM","3","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,11.0493313771685
"LPE 22:5","LPE","s7",2059.580151,"200 µM","1","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,11.0081345561463
"LPE 22:5","LPE","s8",2067.060158,"200 µM","2","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,11.0133646610333
"LPE 22:5","LPE","s9",2486.980167,"200 µM","3","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,11.2801792871567
"LPC 20:1","LPC","s1",2482.120182,"Veh","1","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.2773572558023
"LPC 20:1","LPC","s2",2212.800156,"Veh","2","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.1116574479716
"LPC 20:1","LPC","s3",2197.180145,"Veh","3","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.101437444657
"LPC 20:1","LPC","s4",2038.020149,"100 µM","1","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,10.9929525995214
"LPC 20:1","LPC","s5",1831.16013,"100 µM","2","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,10.8385422410926
"LPC 20:1","LPC","s6",1942.780125,"100 µM","3","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,10.9239069171748
"LPC 20:1","LPC","s7",1924.040131,"200 µM","1","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,10.9099231753453
"LPC 20:1","LPC","s8",2179.760174,"200 µM","2","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,11.0899536972725
"LPC 20:1","LPC","s9",1947.220139,"200 µM","3","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,10.9272002788849
"PC 24:0","PC","s1",2125.80014,"Veh","1","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.0537902509645
"PC 24:0","PC","s2",1989.560131,"Veh","2","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,10.958233787305
"PC 24:0","PC","s3",2330.86018,"Veh","3","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.1866467495876
"PC 24:0","PC","s4",1902.780151,"100 µM","1","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,10.8938931655674
"PC 24:0","PC","s5",1907.040134,"100 µM","2","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,10.8971194904069
"PC 24:0","PC","s6",1702.780125,"100 µM","3","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,10.7336764407287
"PC 24:0","PC","s7",1673.220119,"200 µM","1","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,10.7084115349997
"PC 24:0","PC","s8",1981.000145,"200 µM","2","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,10.9520132704881
"PC 24:0","PC","s9",1813.600121,"200 µM","3","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,10.8246406771073
"LPC 26:0","LPC","s1",2353.100174,"Veh","1","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.200347023608
"LPC 26:0","LPC","s2",2098.48016,"Veh","2","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.0351291080456
"LPC 26:0","LPC","s3",2839.820194,"Veh","3","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.4715838716327
"LPC 26:0","LPC","s4",2169.880123,"100 µM","1","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,11.0833996265343
"LPC 26:0","LPC","s5",2107.640163,"100 µM","2","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,11.0414128616141
"LPC 26:0","LPC","s6",1898.880138,"100 µM","3","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,10.8909331265526
"LPC 26:0","LPC","s7",1937.220146,"200 µM","1","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,10.9197721960093
"LPC 26:0","LPC","s8",2430.800201,"200 µM","2","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,11.2472156009525
"LPC 26:0","LPC","s9",2064.800152,"200 µM","3","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,11.0117864374104
"PC 26:0","PC","s1",3706.880272,"Veh","1","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.8559898031692
"PC 26:0","PC","s2",3146.800232,"Veh","2","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.6196698797424
"PC 26:0","PC","s3",4569.780342,"Veh","3","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,12.1579091048418
"PC 26:0","PC","s4",2866.020195,"100 µM","1","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,11.4848330600415
"PC 26:0","PC","s5",2714.920185,"100 µM","2","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,11.4066940700224
"PC 26:0","PC","s6",2891.580223,"100 µM","3","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,11.4976424129702
"PC 26:0","PC","s7",2857.68021,"200 µM","1","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,11.4806287646856
"PC 26:0","PC","s8",2843.060211,"200 µM","2","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,11.4732289377371
"PC 26:0","PC","s9",2936.260193,"200 µM","3","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,11.5197641011124
"PC(16:0/8:0(COOH))","PC","s1",2243.880161,"Veh","1","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.1317799125929
"PC(16:0/8:0(COOH))","PC","s2",1757.000122,"Veh","2","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,10.7788985761841
"PC(16:0/8:0(COOH))","PC","s3",2260.58017,"Veh","3","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.1424773674641
"PC(16:0/8:0(COOH))","PC","s4",1978.800117,"100 µM","1","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,10.9504101745731
"PC(16:0/8:0(COOH))","PC","s5",1752.060123,"100 µM","2","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,10.7748365674012
"PC(16:0/8:0(COOH))","PC","s6",1736.540112,"100 µM","3","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,10.7620000202972
"PC(16:0/8:0(COOH))","PC","s7",1838.860126,"200 µM","1","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,10.8445960291206
"PC(16:0/8:0(COOH))","PC","s8",1810.900116,"200 µM","2","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,10.822491258269
"PC(16:0/8:0(COOH))","PC","s9",1699.000114,"200 µM","3","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,10.7304702339866
"PC O-28:1","PC","s1",2167.140152,"Veh","1","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.0815767422271
"PC O-28:1","PC","s2",1670.860111,"Veh","2","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,10.7063752367239
"PC O-28:1","PC","s3",1975.700142,"Veh","3","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,10.9481482859993
"PC O-28:1","PC","s4",1899.50013,"100 µM","1","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,10.8914040954017
"PC O-28:1","PC","s5",1769.380127,"100 µM","2","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,10.7890283091883
"PC O-28:1","PC","s6",1840.700127,"100 µM","3","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,10.8460388974835
"PC O-28:1","PC","s7",1975.520134,"200 µM","1","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,10.9480168346344
"PC O-28:1","PC","s8",2173.720161,"200 µM","2","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,11.0859505082272
"PC O-28:1","PC","s9",1936.940151,"200 µM","3","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,10.9195636618405
"PC O-28:0","PC","s1",2864.260204,"Veh","1","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.4839468449907
"PC O-28:0","PC","s2",2056.700146,"Veh","2","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.006115757955
"PC O-28:0","PC","s3",2367.860168,"Veh","3","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.2093681709966
"PC O-28:0","PC","s4",2293.40015,"100 µM","1","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,11.1632723814276
"PC O-28:0","PC","s5",2303.820152,"100 µM","2","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,11.1698123816745
"PC O-28:0","PC","s6",2061.620148,"100 µM","3","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,11.0095628263502
"PC O-28:0","PC","s7",2313.140156,"200 µM","1","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,11.1756369679471
"PC O-28:0","PC","s8",2032.84013,"200 µM","2","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,10.9892810454791
"PC O-28:0","PC","s9",2715.2202,"200 µM","3","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,11.4068534876884
"PC 28:1","PC","s1",3747.440247,"Veh","1","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.8716897592211
"PC 28:1","PC","s2",2844.420197,"Veh","2","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.4739188900374
"PC 28:1","PC","s3",3717.960285,"Veh","3","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.8602956442311
"PC 28:1","PC","s4",2218.240173,"100 µM","1","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,11.1151998619009
"PC 28:1","PC","s5",2541.720192,"100 µM","2","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,11.3115895031116
"PC 28:1","PC","s6",2776.220188,"100 µM","3","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,11.4389062803657
"PC 28:1","PC","s7",2638.140198,"200 µM","1","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,11.365305520057
"PC 28:1","PC","s8",3761.880283,"200 µM","2","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,11.8772382223402
"PC 28:1","PC","s9",2628.520218,"200 µM","3","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,11.3600351165078
"PC 28:0","PC","s1",9556.060719,"Veh","1","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,13.2222003053381
"PC 28:0","PC","s2",7378.460503,"Veh","2","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,12.8491041176989
"PC 28:0","PC","s3",8375.080524,"Veh","3","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,13.0318873462861
"PC 28:0","PC","s4",4882.900333,"100 µM","1","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,12.2535226154628
"PC 28:0","PC","s5",6118.220501,"100 µM","2","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,12.578896387303
"PC 28:0","PC","s6",5632.880451,"100 µM","3","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,12.4596571376385
"PC 28:0","PC","s7",6878.500473,"200 µM","1","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,12.7478783734328
"PC 28:0","PC","s8",6277.040367,"200 µM","2","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,12.6158687714361
"PC 28:0","PC","s9",6624.700371,"200 µM","3","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,12.6936394889539
"PC O-30:1","PC","s1",5770.980404,"Veh","1","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,12.4946007168495
"PC O-30:1","PC","s2",3936.980289,"Veh","2","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.9428737741382
"PC O-30:1","PC","s3",4928.360413,"Veh","3","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,12.2668920494276
"PC O-30:1","PC","s4",4357.200272,"100 µM","1","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,12.0891857106948
"PC O-30:1","PC","s5",3970.640316,"100 µM","2","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,11.9551559636243
"PC O-30:1","PC","s6",4603.180325,"100 µM","3","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,12.1684152444708
"PC O-30:1","PC","s7",5978.780418,"200 µM","1","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,12.5456355108337
"PC O-30:1","PC","s8",5221.040359,"200 µM","2","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,12.3501215955226
"PC O-30:1","PC","s9",5607.060398,"200 µM","3","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,12.4530288949382
"PC O-30:0","PC","s1",13284.62085,"Veh","1","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,13.6974694326974
"PC O-30:0","PC","s2",8679.440517,"Veh","2","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,13.0833863331655
"PC O-30:0","PC","s3",10874.72074,"Veh","3","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,13.4086907329531
"PC O-30:0","PC","s4",7302.060658,"100 µM","1","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,12.8340879379093
"PC O-30:0","PC","s5",12043.94081,"100 µM","2","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,13.556019902611
"PC O-30:0","PC","s6",9914.200718,"100 µM","3","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,13.2752807518556
"PC O-30:0","PC","s7",13537.44091,"200 µM","1","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,13.724667420132
"PC O-30:0","PC","s8",12213.60074,"200 µM","2","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,13.5762009692213
"PC O-30:0","PC","s9",14594.10096,"200 µM","3","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,13.8330977188241
"PC 30:2","PC","s1",3281.020191,"Veh","1","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.6799287567159
"PC 30:2","PC","s2",2533.460175,"Veh","2","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.3068934351008
"PC 30:2","PC","s3",2662.720177,"Veh","3","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.3786851095809
"PC 30:2","PC","s4",2106.260151,"100 µM","1","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,11.0404679239593
"PC 30:2","PC","s5",2608.600174,"100 µM","2","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,11.3490601206569
"PC 30:2","PC","s6",2319.960182,"100 µM","3","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,11.179884328927
"PC 30:2","PC","s7",3793.02026,"200 µM","1","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,11.8891313623115
"PC 30:2","PC","s8",2931.500195,"200 µM","2","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,11.5174234373629
"PC 30:2","PC","s9",3303.300285,"200 µM","3","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,11.689692407779
"PC 30:1","PC","s1",28681.80225,"Veh","1","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,14.8078480596369
"PC 30:1","PC","s2",18414.64141,"Veh","2","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,14.1685656833279
"PC 30:1","PC","s3",21184.68155,"Veh","3","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,14.3707338216953
"PC 30:1","PC","s4",12821.94085,"100 µM","1","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,13.6463270379755
"PC 30:1","PC","s5",18683.22129,"100 µM","2","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,14.1894556000385
"PC 30:1","PC","s6",19176.06146,"100 µM","3","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,14.2270188175485
"PC 30:1","PC","s7",24001.66173,"200 µM","1","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,14.5508466723265
"PC 30:1","PC","s8",21831.34147,"200 µM","2","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,14.414113161855
"PC 30:1","PC","s9",27426.90247,"200 µM","3","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,14.7433040763434
"PC 30:0","PC","s1",45360.16359,"Veh","1","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,15.4691382228732
"PC 30:0","PC","s2",25311.54168,"Veh","2","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,14.6275077616071
"PC 30:0","PC","s3",35454.02224,"Veh","3","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,15.1136616892857
"PC 30:0","PC","s4",26706.16177,"100 µM","1","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,14.704885025186
"PC 30:0","PC","s5",36626.74249,"100 µM","2","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,15.1606097758593
"PC 30:0","PC","s6",37735.42316,"100 µM","3","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,15.2036318320378
"PC 30:0","PC","s7",41885.10281,"200 µM","1","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,15.3541495942686
"PC 30:0","PC","s8",37182.00351,"200 µM","2","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,15.1823168898839
"PC 30:0","PC","s9",47676.30297,"200 µM","3","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,15.5409847467748
"PC O-32:3","PC","s1",2065.580135,"Veh","1","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.0123313158677
"PC O-32:3","PC","s2",1670.30011,"Veh","2","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,10.7058916258703
"PC O-32:3","PC","s3",1728.780128,"Veh","3","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,10.7555386785613
"PC O-32:3","PC","s4",1704.640133,"100 µM","1","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,10.7352514883489
"PC O-32:3","PC","s5",1846.140129,"100 µM","2","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,10.8502963477978
"PC O-32:3","PC","s6",1623.740105,"100 µM","3","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,10.6651050186426
"PC O-32:3","PC","s7",1748.680115,"200 µM","1","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,10.7720506867226
"PC O-32:3","PC","s8",1890.640129,"200 µM","2","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,10.8846590665031
"PC O-32:3","PC","s9",2397.700169,"200 µM","3","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,11.2274355465245
"PC O-32:2","PC","s1",8551.280621,"Veh","1","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,13.0619247756801
"PC O-32:2","PC","s2",5054.600334,"Veh","2","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,12.3033813077595
"PC O-32:2","PC","s3",7149.48053,"Veh","3","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,12.8036227064106
"PC O-32:2","PC","s4",4247.980312,"100 µM","1","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,12.0525613643998
"PC O-32:2","PC","s5",5730.620323,"100 µM","2","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,12.4844755996437
"PC O-32:2","PC","s6",5063.420357,"100 µM","3","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,12.3058965440995
"PC O-32:2","PC","s7",7220.140457,"200 µM","1","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,12.817811187515
"PC O-32:2","PC","s8",6399.42046,"200 µM","2","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,12.643725543315
"PC O-32:2","PC","s9",8908.540558,"200 µM","3","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,13.1209733861965
"PC O-32:1","PC","s1",52115.20366,"Veh","1","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,15.6694166934182
"PC O-32:1","PC","s2",31960.30281,"Veh","2","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,14.9639934567896
"PC O-32:1","PC","s3",38020.66308,"Veh","3","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,15.214496072343
"PC O-32:1","PC","s4",20577.4413,"100 µM","1","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,14.3287759811547
"PC O-32:1","PC","s5",33237.86224,"100 µM","2","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,15.0205399748066
"PC O-32:1","PC","s6",33785.66235,"100 µM","3","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,15.0441235182179
"PC O-32:1","PC","s7",45955.78236,"200 µM","1","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,15.4879587787623
"PC O-32:1","PC","s8",37881.66307,"200 µM","2","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,15.2092120485335
"PC O-32:1","PC","s9",52430.64319,"200 µM","3","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,15.6781226236935
"PC O-32:0","PC","s1",42631.90256,"Veh","1","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,15.3796458203223
"PC O-32:0","PC","s2",24420.74165,"Veh","2","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,14.5758193947204
"PC O-32:0","PC","s3",31847.74161,"Veh","3","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,14.9589034511339
"PC O-32:0","PC","s4",23812.30185,"100 µM","1","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,14.5394194670652
"PC O-32:0","PC","s5",37966.64253,"100 µM","2","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,15.2124448035924
"PC O-32:0","PC","s6",36837.24232,"100 µM","3","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,15.1688774431455
"PC O-32:0","PC","s7",50143.24344,"200 µM","1","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,15.6137676972902
