"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Genetic Information Processing","Transcription","hsa03040","Spliceosome","24/193","132/3974",0.181818181818182,3.74375883184173,7.2425052588716,1.00669265434103e-08,1.89258219016114e-06,1.89258219016114e-06,"SRSF9/ACIN1/AQR/BCAS2/BUD13/CASC3/CHERP/CRNKL1/CWC15/DDX23/DHX8/LSM3/PRPF40A/PRPF40B/PRPF6/PRPF8/RBM25/SNRNP200/SNRNP27/SNW1/SRSF3/SYF2/U2SURP/XAB2",24
"Genetic Information Processing","Chromosome","hsa03083","Polycomb repressive complex","14/193","70/3974",0.2,4.11813471502591,5.9459819740601,4.42737481863375e-06,0.000416173232951573,0.000416173232951573,"BCOR/FBRSL1/JARID2/PCGF2/PHC3/ASXL2/AUTS2/CBX2/FBRS/L3MBTL3/MAX/PHC1/PHC2/TEX10",14
"Genetic Information Processing","Chromosome","hsa03082","ATP-dependent chromatin remodeling","13/193","86/3974",0.151162790697674,3.11254367996144,4.47431332350494,0.000211657851887409,0.0132638920516109,0.0132638920516109,"SS18/ARID1A/ARID1B/CECR2/DPF3/INO80E/MBD3/MEAF6/MRGBP/SMARCA1/SMARCA5/VPS72/ZNHIT1",13
