"UNIPROT","ENTREZID","SYMBOL"
"Q96LT7","203228","C9orf72"
"Q9Y6J0","23523","CABIN1"
"Q13137","10241","CALCOCO2"
"Q8N5S9","84254","CAMKK1"
"Q6F5E8","146206","CARMIL2"
"A6NHX0","729438","CASTOR2"
"Q9Y3M2","25776","CBY1"
"Q9BWC9","29903","CCDC106"
"Q96HB5","90060","CCDC120"
"Q96M89","165055","CCDC138"
"Q5M9N0","339965","CCDC158"
"Q5T9S5","343099","CCDC18"
"Q7Z3E2","55088","CCDC186"
"Q9BUN5","79140","CCDC28B"
"A2RUB6","285331","CCDC66"
"Q8N4S0","79780","CCDC82"
"P06307","885","CCK"
"O00622","3491","CCN1"
"P29279","1490","CCN2"
"Q8N1B3","92002","CCNQ"
"Q9ULG6","9236","CCPG1"
"P48509","977","CD151"
"P25942","958","CD40"
"P60033","975","CD81"
"Q9UIB8","8832","CD84"
"P14209","4267","CD99"
"Q00587","11135","CDC42EP1"
"Q96GN5","55536","CDCA7L"
"Q9UQ88","728642","CDK11A"
"P42771","1029","CDKN2A"
"A8MTT3","100505876","CEBPZOS"
"Q5EE01","387103","CENPW"
"A8MT69","201254","CENPX"
"Q9Y4F5","283638","CEP170B"
"Q9BYV8","95681","CEP41"
"Q9P2B7","57587","CFAP97"
"Q8N4Q1","131474","CHCHD4"
"P35790","1119","CHKA"
"Q8IZ52","79586","CHPF"
"Q9P2E5","54480","CHPF2"
"Q86X52","22856","CHSY1"
"Q9NZ45","55847","CISD1"
"P61024","1163","CKS1B"
"P33552","1164","CKS2"
"P49761","1198","CLK3"
"O15516","9575","CLOCK"
"P53675","8218","CLTCL1"
"P10909","1191","CLU"
"Q9NX76","54918","CMTM6"
"P62633","7555","CNBP"
"Q8N9A8","255919","CNEP1R1"
"Q9UFF9","9337","CNOT8"
"Q92600","9125","CNOT9"
"P02452","1277","COL1A1"
"P08123","1278","COL1A2"
"Q14031","1288","COL4A6"
"Q5KU26","81035","COLEC12"
"Q9UBI1","23412","COMMD3"
"Q9GZQ3","28991","COMMD5"
"Q9NX08","54951","COMMD8"
"Q9P000","29099","COMMD9"
"O75208","57017","COQ9"
"P12074","1337","COX6A1"
"Q86YQ8","144402","CPNE8"
"P29373","1382","CRABP2"
"Q96SW2","51185","CRBN"
"Q03060","1390","CREM"
"Q9NZV1","51232","CRIM1"
"P07320","1421","CRYGD"
"Q6UVK1","1464","CSPG4"
"O95196","10675","CSPG5"
"Q14999","9820","CUL7"
"Q9HCG8","57703","CWC22"
"P13498","1535","CYBA"
"Q9BQA9","79415","CYBC1"
"Q9NQC7","1540","CYLD"
"Q9BWK5","78996","CYREN"
"Q9H1C7","84418","CYSTM1"
"Q9NYF0","51339","DACT1"
"Q10586","1628","DBP"
"Q8N8Z6","285761","DCBLD1"
"P32321","1635","DCTD"
"Q9NX09","54541","DDIT4"
"Q16832","4921","DDR2"
"Q9NUU7","55308","DDX19A"
"Q9NUL7","55794","DDX28"
"P98153","9993","DGCR2"
"Q14129","8214","DGCR6"
"Q9BY27","85359","DGCR6L"
"Q86SQ9","79947","DHDDS"
"Q6UX07","147015","DHRS13"
"O94907","22943","DKK1"
"P56177","1745","DLX1"
"P56179","1750","DLX6"
"Q08495","2039","DMTN"
"P51530","1763","DNA2"
"O75953","25822","DNAJB5"
"O96015","10126","DNAL4"
"Q5SXM8","728489","DNLZ"
"Q9UPQ8","22845","DOLK"
"Q9BTV6","92715","DPH7"
"Q9P2X0","54344","DPM3"
"O43854","10085","EDIL3"
"Q8WVE0","221143","EEF1AKMT1"
"P26641","1937","EEF1G"
"P52803","1946","EFNA5"
"Q14156","23167","EFR3A"
"Q9Y2G0","22979","EFR3B"
"Q9H6Z9","112399","EGLN3"
"P18146","1958","EGR1"
"Q9NZN3","30845","EHD3"
"P41567","10209","EIF1"
"O60739","10289","EIF1B"
"Q99613","8663","EIF3C"
"Q99613","728689","EIF3CL"
"Q9NRA8","56478","EIF4ENIF1"
"P55010","1983","EIF5"
"P60002","84337","ELOF1"
"Q9BW60","64834","ELOVL1"
"Q9NYP7","60481","ELOVL5"
"O94919","23052","ENDOD1"
"Q9H0I2","84080","ENKD1"
"O75354","955","ENTPD6"
"Q96C92","10807","ENTR1"
"P54764","2043","EPHA4"
"Q15375","2045","EPHA7"
"Q9NZ08","51752","ERAP1"
"P04626","2064","ERBB2"
"O15083","26059","ERC2"
"Q13216","1161","ERCC8"
"Q9BS26","23071","ERP44"
"Q9UJM3","54206","ERRFI1"
"P11474","2101","ESRRA"
"Q9NY74","54465","ETAA1"
"O60447","7813","EVI5"
"P00488","2162","F13A1"
"P12259","2153","F5"
"Q0VG06","80233","FAAP100"
"Q8TBP5","345757","FAM174A"
"Q3ZCQ3","400451","FAM174B"
"Q6PEV8","139231","FAM199X"
"A2RU67","57613","FAM234B"
"Q92520","10447","FAM3C"
"Q96GI7","375061","FAM89A"
"Q9HB96","2178","FANCE"
"Q14517","2195","FAT1"
"Q8WUP2","54751","FBLIM1"
"Q9HCM7","57666","FBRSL1"
"Q9UK22","26232","FBXO2"
"Q6PJ61","23403","FBXO46"
"Q6P4F2","112812","FDX2"
"P22607","2261","FGFR3"
"Q13642","2273","FHL1"
"Q6UN15","81608","FIP1L1"
"Q9UIM3","63943","FKBPL"
"P17948","2321","FLT1"
"P02751","2335","FN1"
"P01100","2353","FOS"
"Q9UJU5","27022","FOXD3"
"Q05932","2356","FPGS"
"Q9P2Q2","55691","FRMD4A"
"P02792","2512","FTL"
"Q8IVP5","139341","FUNDC1"
"P09958","5045","FURIN"
"Q9BYC5","2530","FUT8"
"Q16595","2395","FXN"
"O75084","8324","FZD7"
"Q9H461","8325","FZD8"
"Q86SR1","55568","GALNT10"
"Q8IUC8","114805","GALNT13"
"Q8N4A0","8693","GALNT4"
"Q8N4A0","100528030","POC1B-GALNT4"
"P43694","2626","GATA4"
"Q02742","2650","GCNT1"
"Q9H3K2","27069","GHITM"
"Q9NU53","116254","GINM1"
"P17302","2697","GJA1"
"P36383","10052","GJC1"
"P32189","2710","GK"
"P35754","2745","GLRX"
"Q9NS18","51022","GLRX2"
"Q68CQ7","55830","GLT8D1"
"P19086","2781","GNAZ"
"P62879","2783","GNB2"
"P63218","2787","GNG5"
"Q7Z5G4","51125","GOLGA7"
"Q8NBJ4","51280","GOLM1"
"Q3T8J9","54856","GON4L"
"Q9BQQ3","64689","GORASP1"
"Q9HC44","60313","GPBP1L1"
"P51654","2719","GPC3"
"Q9Y625","10082","GPC6"
"Q9NQ84","55890","GPRC5C"
"Q6ZVF9","285513","GPRIN3"
"Q6IC98","23151","GRAMD4"
"Q9C091","80000","GREB1L"
"Q9Y3R0","23426","GRIP1"
"O15217","2941","GSTA4"
"Q12789","2975","GTF3C1"
"Q969F1","112495","GTF3C6"
"Q8N442","60558","GUF1"
"A0PJZ3","727936","GXYLT2"
"P22492","3010","H1-6"
"Q14520","3026","HABP2"
"O94927","23354","HAUS5"
"Q9BY41","55869","HDAC8"
"Q9BXW7","27440","HDHD5"
"Q15011","9709","HERPUD1"
"Q9BSE4","64224","HERPUD2"
"Q04756","3083","HGFAC"
"Q9BW72","192286","HIGD2A"
"P04439","3105","HLA-A"
"Q01581","3157","HMGCS1"
"Q15651","9324","HMGN3"
"O00479","10473","HMGN4"
"O75330","3161","HMMR"
"P09601","3162","HMOX1"
"Q9NP08","3166","HMX1"
"P31267","3203","HOXA6"
"Q92826","10481","HOXB13"
"Q9UM19","51440","HPCAL4"
"P00492","3251","HPRT1"
"P02790","3263","HPX"
"Q03933","3298","HSF2"
"P17066","3310","HSPA6"
"Q96EW2","79663","HSPBAP1"
"P86397","109703458","HTD2"
"Q12891","8692","HYAL2"
"Q9UMF0","7087","ICAM5"
"Q9Y5U9","51124","IER3IP1"
"P80217","3430","IFI35"
"P17181","3454","IFNAR1"
"P48551","3455","IFNAR2"
"P15260","3459","IFNGR1"
"O00458","3475","IFRD1"
"Q9BW83","11020","IFT27"
"Q9NWB7","55081","IFT57"
"Q8WYA0","28981","IFT81"
"P11717","3482","IGF2R"
"Q9H5V7","64376","IKZF5"
"P78552","3597","IL13RA1"
"P40189","3572","IL6ST"
"P61371","3670","ISL1"
"Q96AB3","79763","ISOC2"
"P19823","3698","ITIH2"
"Q14624","3700","ITIH4"
"Q9Y287","9445","ITM2B"
"Q9NQX7","81618","ITM2C"
"Q9Y219","3714","JAG2"
"Q92833","3720","JARID2"
"Q8NC54","56951","C5orf15"
"Q9UGL1","10765","KDM5B"
"Q9BY89","85379","KIAA1671"
"P33176","3799","KIF5B"
"Q9NSK0","89953","KLC4"
"Q9Y2Y9","51621","KLF13"
"Q99612","1316","KLF6"
"Q13886","687","KLF9"
"Q9NVR0","55175","KLHL11"
"Q53HC5","55295","KLHL26"
"Q9P2K6","57542","KLHL42"
"Q9P2J3","55958","KLHL9"
"Q9BQD3","79036","KXD1"
"P25391","284217","LAMA1"
"Q16363","3910","LAMA4"
"Q9UQV4","27074","LAMP3"
"O43504","10542","LAMTOR5"
"Q15012","9741","LAPTM4A"
"Q9NRM7","26524","LATS2"
"P01130","3949","LDLR"
"Q99538","5641","LGMN"
"Q9BXB1","55366","LGR4"
"P42702","3977","LIFR"
"P49916","3980","LIG3"
"P49917","3981","LIG4"
"Q9NUN5","55788","LMBRD1"
"Q8N448","222484","LNX2"
"Q92604","9926","LPGAT1"
"Q96JA1","26018","LRIG1"
"Q6UXM1","121227","LRIG3"
"Q7Z4F1","26020","LRP10"
"Q86VZ4","84918","LRP11"
"O75197","4041","LRP5"
"O75581","4040","LRP6"
"Q96GA3","84946","LTV1"
"Q9BS40","56925","LXN"
"O95372","11313","LYPLA2"
"Q8IV50","256586","LYSMD2"
"O60675","7975","MAFK"
"Q9H8J5","54682","MANSC1"
"P46821","4131","MAP1B"
"Q8IVH8","8491","MAP4K3"
"Q9Y4K4","11183","MAP4K5"
"P45983","5599","MAPK8"
"Q9BPZ7","79109","MAPKAP1"
"Q6P0Q8","23139","MAST2"
"Q8NI22","90411","MCFD2"
"Q7L590","55388","MCM10"
"Q86V88","145553","MDP1"
"O43513","9443","MED7"
"O00470","4211","MEIS1"
"O14770","4212","MEIS2"
"Q9H7H0","64745","METTL17"
"Q86XN8","399664","MEX3D"
"P55082","4238","MFAP3"
"P55083","4239","MFAP4"
"Q08431","4240","MFGE8"
"Q5TF39","91749","MFSD4B"
"Q8NHS3","256471","MFSD8"
"Q9UQ53","11282","MGAT4B"
"O60291","23295","MGRN1"
"Q9BRT3","84299","MIEN1"
"Q8NBR6","54629","MINDY2"
"Q9NYP9","54069","MIS18A"
"Q13015","10962","MLLT11"
"P55198","4302","MLLT6"
"P08473","4311","MME"
"Q70IA6","81532","MOB2"
"O95396","27304","MOCS3"
"Q9Y5U8","51660","MPC1"
"Q8TAP9","136647","MPLKIP"
"Q15777","744","MPPED2"
"Q9UBG0","9902","MRC2"
"Q9Y605","93621","MRFAP1"
"Q969V6","57591","MRTFA"
"Q68DK7","339287","MSL1"
"P35548","4488","MSX2"
"P03891","4536","ND2"
"P03897","4537","ND3"
"P02795","4502","MT2A"
"Q6P444","113115","MTFR2"
"Q9C0I1","54545","MTMR12"
"Q96QG7","66036","MTMR9"
"Q14582","10608","MXD4"
"P50539","4601","MXI1"
"Q9NPC7","55892","MYNN"
"Q6NSJ0","57462","MYORG"
"P61599","51126","NAA20"
"Q93015","24142","NAA80"
"Q15742","4665","NAB2"
"P18440","9","NAT1"
"Q9H0A0","55226","NAT10"
"Q8N6N6","256302","NATD1"
"Q8IW45","55739","NAXD"
"A0A0U1RRE5","550643","NBDY"
"Q14596","4077","NBR1"
"Q13772","8031","NCOA4"
"Q9GZM8","81565","NDEL1"
"Q9BT67","80762","NDFIP1"
"Q9NV92","54602","NDFIP2"
"O15239","4694","NDUFA1"
"O00483","4697","NDUFA4"
"O95182","4701","NDUFA7"
"A1L188","284184","NDUFAF8"
"O95169","4714","NDUFB8"
"O43677","4717","NDUFC1"
"O14524","23306","NEMP1"
"Q92859","4756","NEO1"
"Q99519","4758","NEU1"
"Q14494","4779","NFE2L1"
"Q16236","4780","NFE2L2"
"O00221","4794","NFKBIE"
"Q6KC79","25836","NIPBL"
"P43699","7080","NKX2-1"
"P78426","4825","NKX6-1"
"Q9UK39","25819","NOCT"
"Q9NQX5","56654","NPDC1"
"P24468","7026","NR2F2"
"Q92686","4900","NRGN"
"Q9H857","64943","NT5DC2"
"Q96AB6","123803","NTAN1"
"P78549","4913","NTHL1"
"O95631","9423","NTN1"
"Q9NZJ9","11163","NUDT4"
"Q8WV74","254552","NUDT8"
"Q14980","4926","NUMA1"
"Q9Y6R0","9253","NUMBL"
"P61970","10204","NUTF2"
"Q969Y0","91775","NXPE3"
"Q5W0B1","79596","OBI1"
"P20774","4969","OGN"
"Q9NTK5","29789","OLA1"
"O60890","4983","OPHN1"
"Q96D31","84876","ORAI1"
"Q01804","54726","OTUD4"
"Q9NUU6","54491","OTULINL"
"Q5BKU9","339229","OXLD1"
"Q96E09","116224","PABIR1"
"Q9BPZ3","51247","PAIP2"
"Q86YC2","79728","PALB2"
"P19021","5066","PAM"
"Q504Q3","9924","PAN2"
"P26367","5080","PAX6"
"P57721","54039","PCBP3"
"P57723","57060","PCBP4"
"Q9Y5H2","56105","PCDHGA11"
"P35227","7703","PCGF2"
"Q3KNV8","10336","PCGF3"
"Q15004","9768","PCLAF"
"P22061","5110","PCMT1"
"Q8N165","149420","PDIK1L"
"Q15119","5164","PDK2"
"Q96JY6","64236","PDLIM2"
"Q29RF7","23244","PDS5A"
"Q5T2R2","23590","PDSS1"
"O96011","8799","PEX11B"
"Q92968","5194","PEX13"
"P40855","5824","PEX19"
"P53609","5229","PGGT1B"
"O95336","25796","PGLS"
"Q9BSU1","80262","PHAF1"
"Q8NDX5","80012","PHC3"
"Q96QT6","57649","PHF12"
"Q9UPP1","23133","PHF8"
"Q9NRX4","29085","PHPT1"
"Q9P1Y6","57661","PHRF1"
"Q9BTU6","55361","PI4K2A"
"O75925","8554","PIAS1"
"Q9Y6X2","10401","PIAS3"
"Q8WXW3","10464","PIBF1"
"Q9HB75","55367","PIDD1"
"Q8TBF5","54965","PIGX"
"Q9UG56","23761","PISD"
"O43164","9867","PJA2"
"Q96KN3","63876","PKNOX2"
"Q9UM63","5325","PLAGL1"
"Q8IV08","23646","PLD3"
"Q15149","5339","PLEC"
"Q9HB20","65977","PLEKHA3"
"Q96CS7","55041","PLEKHB2"
"Q96S99","79156","PLEKHF1"
"Q9ULL1","57480","PLEKHG1"
"Q7Z736","79990","PLEKHH3"
"Q9NW61","55111","PLEKHJ1"
"O14495","8613","PLPP3"
"Q92871","5372","PMM1"
"Q12796","10957","PNRC1"
"O00592","5420","PODXL"
"Q9NZ53","50512","PODXL2"
"Q9HCU8","57804","POLD4"
"Q9Y2Y1","51728","POLR3K"
"O00411","5442","POLRMT"
"Q96HA1","9883","POM121"
"Q5SWA1","84919","PPP1R15B"
"Q9Y3B1","51012","PRELID3B"
"P22612","5568","PRKACG"
"P10644","5573","PRKAR1A"
"P31321","5575","PRKAR1B"
"P07225","5627","PROS1"
"P41219","5630","PRPH"
"P21108","221823","PRPS1L1"
"Q15185","10728","PTGES3"
"P35354","5743","PTGS2"
"P20962","5763","PTMS"
"P21246","5764","PTN"
"Q86YD1","53635","PTOV1"
"Q15678","5784","PTPN14"
"Q13332","5802","PTPRS"
"Q6GMV3","391356","PTRHD1"
"O95997","9232","PTTG1"
"P20472","5816","PVALB"
"P49023","5829","PXN"
"P11217","5837","PYGM"
"P20742","5858","PZP"
"Q16769","25797","QPCT"
"Q96D70","91300","R3HDM4"
"O14966","8934","RAB29"
"Q9UI14","10567","RABAC1"
"Q9H5N1","79874","RABEP2"
"Q9BTL3","83640","RAMAC"
"A6NIZ1","5908","RAP1B"
"P10826","5915","RARB"
"Q9NYW8","57786","RBAK"
"P28749","5933","RBL1"
"Q96H35","92400","RBM18"
"Q9H0Z9","55544","RBM38"
"Q9Y256","9986","RCE1"
"Q96PM5","25898","RCHY1"
"Q96NR8","145226","RDH12"
"Q8IUW5","768211","RELL1"
"Q8TAC1","317671","RFESD"
"Q7L0Q8","58480","RHOU"
"Q5UIP0","55183","RIF1"
"O43353","8767","RIPK2"
"Q92963","6016","RIT1"
"P34096","6038","RNASE4"
"Q9H920","55298","RNF121"
"Q8WVD5","50862","RNF141"
"Q8NC42","284996","RNF149"
"Q96A37","115992","RNF166"
"Q8NCN4","254225","RNF169"
"Q5TA31","149603","RNF187"
"Q9NV58","25897","RNF19A"
"Q9UBF6","9616","RNF7"
"Q9HCK4","6092","ROBO2"
"Q86UA6","84268","RPAIN"
"Q8IXW5","79871","RPAP2"
"Q96AT9","6120","RPE"
"O75676","8986","RPS6KA4"
"Q9BST9","6242","RTKN"
"Q8WWV3","84816","RTN4IP1"
"Q86UN3","349667","RTN4RL2"
"Q8WXA3","55680","RUFY2"
"Q86UD0","89958","SAPCD2"
"Q6UWP8","374897","SBSN"
"Q8N9R8","286205","SCAI"
"P57086","51282","SCAND1"
"Q96NL6","132320","SCLT1"
"Q9UN30","6322","SCML1"
"Q9HB40","59342","SCPEP1"
"P31431","6385","SDC4"
"O00560","6386","SDCBP"
"O76054","23541","SEC14L2"
"Q96IW7","26984","SEC22A"
"Q9UGP8","11231","SEC63"
"O60613","9403","SELENOF"
"Q99985","10512","SEMA3C"
"Q9UHD8","10801","SEPTIN9"
"Q9NRX5","57515","SERINC1"
"Q13530","10955","SERINC3"
"P05546","3053","SERPIND1"
"P08697","5345","SERPINF2"
"Q9C0A6","55209","SETD5"
"Q9UHJ3","51460","SFMBT1"
"P31947","2810","SFN"
"O95562","375035","SFT2D2"
"Q6P4A7","119559","SFXN4"
"Q96EQ0","54557","SGTB"
"Q9H788","63898","SH2D4A"
"Q7Z6J0","57630","SH3RF1"
"Q8NEM2","79801","SHCBP1"
"Q8TF72","57619","SHROOM3"
"Q9NTG7","23410","SIRT3"
"Q9NRC8","51547","SIRT7"
"O15304","10572","SIVA1"
"P49281","4891","SLC11A2"
"Q86WA9","284129","SLC26A11"
"Q99624","10991","SLC38A3"
"Q9ULF5","57181","SLC39A10"
"Q92504","7922","SLC39A7"
"Q96NT5","113235","SLC46A1"
"Q7Z3Q1","283537","SLC46A3"
"Q96SL1","84925","SLC49A4"
"O94813","9353","SLIT2"
"Q99717","4090","SMAD5"
"Q8NDV3","27127","SMC1B"
"P58511","54065","SMIM11"
"P58511","102723553","LOC102723553"
"Q8N5G0","389203","SMIM20"
"Q9H4F8","64093","SMOC1"
"Q9H7B4","64754","SMYD3"
"Q9Y343","28966","SNX24"
"Q92673","6653","SORL1"
"P35711","6660","SOX5"
"Q15506","53340","SPA17"
"Q8NBT2","147841","SPC24"
"Q9UQ90","6687","SPG7"
"Q8N0Z3","152185","SPICE1"
"O43291","10653","SPINT2"
"Q13103","6694","SPP2"
"P35270","6697","SPR"
"Q9H741","79794","SPRING1"
"O43597","10253","SPRY2"
"Q01082","6711","SPTBN1"
"Q9Y6N5","58472","SQOR"
"Q12772","6721","SREBF2"
"Q7Z6B7","57522","SRGAP1"
"Q13242","8683","SRSF9"
"Q9BYN0","140809","SRXN1"
"Q15532","6760","SS18"
"Q11206","6484","ST3GAL4"
"Q9Y274","10402","ST3GAL6"
"Q15468","6491","STIL"
"Q86UX6","282974","STK32C"
"Q9NZ72","50861","STMN3"
"Q9UBI4","9399","STOML1"
"Q8WXE9","85439","STON2"
"Q7RTN6","92335","STRADA"
"P50225","6817","SULT1A1"
"Q8IYB8","6832","SUPV3L1"
"O60279","26032","SUSD5"
"Q7L0J3","9900","SV2A"
"Q1ZZU3","375757","SWI5"
"Q15543","6884","TAF13"
"Q15572","9013","TAF1C"
"Q92750","6875","TAF4B"
"Q01995","6876","TAGLN"
"Q9C0D5","85461","TANC1"
"Q6ICL3","128989","TANGO2"
"Q86VP1","8887","TAX1BP1"
"Q3MII6","4943","TBC1D25"
"Q9Y2I9","23329","TBC1D30"
"Q8IYN2","90843","TCEAL8"
"Q99594","7005","TEAD3"
"Q96QE5","79736","TEFM"
"Q6N021","54790","TET2"
"Q8N6V9","374618","TEX9"
"Q9H5Q4","64216","TFB2M"
"Q9UBB9","24144","TFIP11"
"P10646","7035","TFPI"
"O95455","23483","TGDS"
"P01137","7040","TGFB1"
"O43294","7041","TGFB1I1"
"O43493","10618","TGOLN2"
"P07996","7057","THBS1"
"P10828","7068","THRB"
"Q96CG3","92610","TIFA"
"Q9UNS1","8914","TIMELESS"
"O14925","100287932","TIMM23"
"O43615","10469","TIMM44"
"P35625","7078","TIMP3"
"Q9BSI4","26277","TINF2"
"O00142","7084","TK2"
"Q9BRN9","80213","TM2D3"
"Q9UM00","54499","TMCO1"
"P49755","10972","TMED10"
"Q8IYR6","8577","TMEFF1"
"Q8IYR6","100526694","MSANTD3-TMEFF1"
"Q8NE00","54868","TMEM104"
"P17152","8834","TMEM11"
"A0PK00","144404","TMEM120B"
"Q8N131","114908","TMEM123"
"Q24JP5","54972","TMEM132A"
"Q8IXX5","92703","TMEM183A"
"A0PJW6","79064","TMEM223"
"Q9H6L2","79583","TMEM231"
"Q9NWD8","55069","TMEM248"
"P61165","746","TMEM258"
"Q8NCS4","100506144","TMEM35B"
"Q9NVV0","55151","TMEM38B"
"Q9NW97","55092","TMEM51"
"Q9BXS4","9528","TMEM59"
"Q9UK28","25789","TMEM59L"
"P63313","9168","TMSB10"
"O14763","8795","TNFRSF10B"
"Q9UBN6","8793","TNFRSF10D"
"P19438","7132","TNFRSF1A"
"P41273","8744","TNFSF9"
"Q969M1","84134","TOMM40L"
"Q9P0U1","54543","TOMM7"
"Q8NBR0","90313","TP53I13"
"Q12931","10131","TRAP1"
"Q96RU7","57761","TRIB3"
"P19474","6737","TRIM21"
"P36406","373","TRIM23"
"O75157","9819","TSC22D2"
"Q8WUA8","25987","TSKU"
"Q9H1Z9","83882","TSPAN10"
"O95857","27075","TSPAN13"
"Q8NG11","81619","TSPAN14"
"O60637","10099","TSPAN3"
"Q12999","6302","TSPAN31"
"Q86UF1","340348","TSPAN33"
"O43657","7105","TSPAN6"
"Q8NBP0","79573","TTC13"
"P53804","7267","TTC3"
"Q92623","23508","TTC9"
"P68366","7277","TUBA4A"
"Q9NV66","55253","TYW1"
"Q5T6F2","55833","UBAP2"
"P51668","7321","UBE2D1"
"P60604","7327","UBE2G2"
"Q9NPD8","29089","UBE2T"
"Q7Z6J8","90025","UBE3D"
"O95164","5412","UBL3"
"Q9NPG3","29855","UBN1"
"Q6ZU65","254048","UBN2"
"Q9Y3C8","51506","UFC1"
"Q8IZJ1","219699","UNC5B"
"P10746","7390","UROS"
"O94782","7398","USP1"
"Q8NFA0","84669","USP32"
"P62068","64854","USP46"
"Q92738","9712","USP6NL"
"O75691","27340","UTP20"
"Q9P2Y5","7405","UVRAG"
"Q9ULK5","57216","VANGL2"
"Q9HBM0","55591","VEZT"
"P40337","7428","VHL"
"Q9BRG1","84313","VPS25"
"Q9H9H4","79720","VPS37B"
"P04004","7448","VTN"
"Q92558","8936","WASF1"
"Q9Y6W5","10163","WASF2"
"Q9P2L0","57539","WDR35"
"Q9H4A3","65125","WNK1"
"P41221","7474","WNT5A"
"Q8IX03","23286","WWC1"
"Q9NRH1","57002","YAE1"
"Q9BSR8","84272","YIPF4"
"Q96IU2","84327","ZBED3"
"Q49AG3","58486","ZBED5"
"O15060","9880","ZBTB39"
"Q9P1Z0","57659","ZBTB4"
"O15062","9925","ZBTB5"
"Q8N2G6","219654","ZCCHC24"
"Q9H5U6","29063","ZCCHC4"
"Q96GR4","84885","ZDHHC12"
"Q8IUH4","54503","ZDHHC13"
"Q8IZN3","79683","ZDHHC14"
"Q8IUH5","23390","ZDHHC17"
"Q9NUE0","84243","ZDHHC18"
"Q5W0Z9","253832","ZDHHC20"
"Q9Y397","51114","ZDHHC9"
"Q8WV99","130617","ZFAND2B"
"O76080","7763","ZFAND5"
"Q6FIF0","54469","ZFAND6"
"Q96NJ6","124961","ZFP3"
"Q8IYN0","163227","ZNF100"
"P17020","7564","ZNF16"
"P15622","58500","ZNF250"
"Q8N554","92822","ZNF276"
"Q9P2F9","57567","ZNF319"
"O75467","25799","ZNF324"
"Q9H4Z2","63925","ZNF335"
"O60765","6940","ZNF354A"
"Q96B54","126299","ZNF428"
"Q14592","10794","ZNF460"
"Q7Z7K2","168544","ZNF467"
"Q8NCK3","220992","ZNF485"
"Q96IT1","84838","ZNF496"
"Q8N8E2","130557","ZNF513"
"Q96K83","25925","ZNF521"
"Q8N988","79230","ZNF557"
"Q96LX8","146434","ZNF597"
"Q08AN1","90317","ZNF616"
"Q7L945","199692","ZNF627"
"Q5TEC3","90874","ZNF697"
"P17097","7553","ZNF7"
"Q9NQZ8","58491","ZNF71"
"Q8TF20","170960","ZNF721"
"A8MTY0","440519","ZNF724"
"Q9BV97","65988","ZNF747"
"Q96GE5","90576","ZNF799"
"Q15649","9326","ZNHIT3"
"O60232","10534","ZNRD2"
