"UNIPROT","ENTREZID","SYMBOL"
"Q99758","21","ABCA3"
"Q9NRK6","23456","ABCB10"
"Q9NP58","10058","ABCB6"
"Q8WTS1","51099","ABHD5"
"Q9BYF1","59272","ACE2"
"Q9NPJ3","55856","ACOT13"
"Q5BKX5","284325","ACTMAP"
"Q13443","8754","ADAM9"
"Q9UHI8","9510","ADAMTS1"
"P35611","118","ADD1"
"Q86SQ4","57211","ADGRG6"
"P20933","175","AGA"
"Q5TGY3","27245","AHDC1"
"Q9BRQ8","84883","AIFM2"
"Q9NX04","54955","AIRIM"
"Q9P0M2","9465","AKAP7"
"Q53H80","55122","AKIRIN2"
"P54886","5832","ALDH18A1"
"Q3SY69","160428","ALDH1L2"
"Q9BT22","56052","ALG1"
"Q96BT7","91801","ALKBH8"
"Q9UKV5","267","AMFR"
"Q9Y4X0","9949","AMMECR1"
"Q4VCS5","154796","AMOT"
"Q8IY63","154810","AMOTL1"
"Q96DE5","119504","ANAPC16"
"Q9UJX5","29945","ANAPC4"
"Q9UNK9","23357","ANGEL1"
"Q86XL3","23141","ANKLE2"
"P09525","307","ANXA4"
"P51693","333","APLP1"
"Q06481","334","APLP2"
"P02647","335","APOA1"
"P02656","345","APOC3"
"P02649","348","APOE"
"P02749","350","APOH"
"P05067","351","APP"
"Q8WUF8","83989","ARB2A"
"P61204","377","ARF3"
"Q96KC2","221079","ARL5B"
"Q15041","23204","ARL6IP1"
"Q9H6L4","79637","ARMC7"
"Q96L15","116969","ART5"
"Q53RT3","151516","ASPRV1"
"Q96QE3","79915","ATAD5"
"P18847","467","ATF3"
"P18848","468","ATF4"
"Q96IX5","84833","ATP5MK"
"Q8N8Y2","245972","ATP6V0D2"
"Q9Y5K8","51382","ATP6V1D"
"Q13535","545","ATR"
"Q8NCR0","148789","B3GALNT2"
"O43286","9334","B4GALT5"
"Q9UBX8","9331","B4GALT6"
"Q9UPM9","27077","B9D1"
"P56817","23621","BACE1"
"Q9HB09","83596","BCL2L12"
"Q6W2J9","54880","BCOR"
"Q13490","329","BIRC2"
"P54132","641","BLM"
"Q9NUP1","55330","BLOC1S4"
"P12643","650","BMP2"
"P12644","652","BMP4"
"Q13873","659","BMPR2"
"Q12983","664","BNIP3"
"Q96IK1","91272","BOD1"
"Q96GS4","54785","BORCS6"
"P07738","669","BPGM"
"Q9NX62","54928","BPNT2"
"O95415","25798","BRI3"
"Q8WY22","140707","BRI3BP"
"Q6RI45","254065","BRWD3"
"Q96Q07","114781","BTBD9"
"Q96HA4","54991","C1orf159"
"Q9H425","84886","C1orf198"
"O14523","9854","C2CD2L"
"P0C0L4","720","C4A"
"P04003","722","C4BPA"
"Q6UWU4","221477","C6orf89"
"P0DMB2","100127983","C8orf88"
