"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs","term_norm","overlap_string","overlap_count"
NA,"REACTOME pathway","R-HSA-382551","Transport of small molecules",242,3,10,3.326,1.734,0.0600472770563563,1.22150668162013,1,0.13185551999544,0.89930888877367,"SLC39A7,ATP6V0D2,SLC26A11","4927,18266,14471","transport of small molecules","ATP6V0D2;SLC26A11;SLC39A7",3
NA,"REACTOME pathway","R-HSA-9639288","Amino acids regulate mTORC1",29,2,6.667,18.5034,4.21,0.00512216759967432,2.29054621532036,1,0.0842148841884168,0.574380154280289,"ATP6V0D2,CASTOR2","18266,37073","amino acids regulate mtorc1","ATP6V0D2;CASTOR2",2
NA,"REACTOME pathway","R-HSA-74752","Signaling by Insulin receptor",32,2,6.667,16.7687,4.068,0.006214420674352,2.20659935127964,1,0.0842148841884168,0.574380154280289,"FGFR3,ATP6V0D2","3690,18266","signaling by insulin receptor","ATP6V0D2;FGFR3",2
NA,"KEGG Pathway H.sap","path:hsa04721","Synaptic vesicle cycle",37,2,6.667,14.5027,3.858,0.00824864678066463,2.08361729313423,1,0.0842148841884168,0.574380154280289,"CLTCL1,ATP6V0D2","2093,18266","synaptic vesicle cycle","ATP6V0D2;CLTCL1",2
NA,"KEGG Pathway H.sap","path:hsa04020","Calcium signaling pathway",61,2,6.667,8.7967,3.137,0.0214477678293183,1.66861790020905,1,0.086958216156898,0.593090806850598,"ORAI1,FGFR3","25896,3690","calcium signaling pathway","FGFR3;ORAI1",2
NA,"KEGG Pathway H.sap","path:hsa04144","Endocytosis",185,2,6.667,2.9005,1.536,0.150676432376494,0.821954671303553,1,0.243210909845528,1,"FGFR3,CLTCL1","3690,2093","endocytosis","CLTCL1;FGFR3",2
