"","sample_name","sample_run_name","Run","run_number","Protein.Group","Genes","PG.MaxLFQ"
"68","RDH1","RDH1_Vijay-748_Slot1-16_1_1096","Vijay-748_Slot1-16_1_1096","748","Q9Y2U8","LEMD3",279260.15625
"69","GFP1","GFP1_Vijay-745_Slot1-13_1_1090","Vijay-745_Slot1-13_1_1090","745","Q15596","NCOA2",58214.0234375
"70","GFP2","GFP2_Vijay-746_Slot1-14_1_1092","Vijay-746_Slot1-14_1_1092","746","Q15596","NCOA2",57684.17578125
"71","GFP3","GFP3_Vijay-747_Slot1-15_1_1094","Vijay-747_Slot1-15_1_1094","747","Q15596","NCOA2",49627.39453125
"72","RDH1","RDH1_Vijay-748_Slot1-16_1_1096","Vijay-748_Slot1-16_1_1096","748","Q15596","NCOA2",42921.05078125
"73","RDH2","RDH2_Vijay-749_Slot1-17_1_1098","Vijay-749_Slot1-17_1_1098","749","Q15596","NCOA2",56038.11328125
"74","RDH3","RDH3_Vijay-750_Slot1-18_1_1100","Vijay-750_Slot1-18_1_1100","750","Q15596","NCOA2",54865.58984375
"75","GFP1","GFP1_Vijay-745_Slot1-13_1_1090","Vijay-745_Slot1-13_1_1090","745","Q68DK7","MSL1",48969.65234375
"76","GFP2","GFP2_Vijay-746_Slot1-14_1_1092","Vijay-746_Slot1-14_1_1092","746","Q68DK7","MSL1",17276.705078125
"77","GFP3","GFP3_Vijay-747_Slot1-15_1_1094","Vijay-747_Slot1-15_1_1094","747","Q68DK7","MSL1",19377.9765625
"78","RDH1","RDH1_Vijay-748_Slot1-16_1_1096","Vijay-748_Slot1-16_1_1096","748","Q68DK7","MSL1",42616.8984375
"79","RDH2","RDH2_Vijay-749_Slot1-17_1_1098","Vijay-749_Slot1-17_1_1098","749","Q68DK7","MSL1",12775.83203125
"80","GFP1","GFP1_Vijay-745_Slot1-13_1_1090","Vijay-745_Slot1-13_1_1090","745","Q96L91","EP400",172257.09375
"81","GFP2","GFP2_Vijay-746_Slot1-14_1_1092","Vijay-746_Slot1-14_1_1092","746","Q96L91","EP400",67026.3125
"82","GFP3","GFP3_Vijay-747_Slot1-15_1_1094","Vijay-747_Slot1-15_1_1094","747","Q96L91","EP400",73818.0390625
"83","RDH1","RDH1_Vijay-748_Slot1-16_1_1096","Vijay-748_Slot1-16_1_1096","748","Q96L91","EP400",192126.046875
"84","RDH3","RDH3_Vijay-750_Slot1-18_1_1100","Vijay-750_Slot1-18_1_1100","750","Q96L91","EP400",69332.1953125
"85","GFP1","GFP1_Vijay-745_Slot1-13_1_1090","Vijay-745_Slot1-13_1_1090","745","P52701","MSH6",1948903.5
"86","GFP3","GFP3_Vijay-747_Slot1-15_1_1094","Vijay-747_Slot1-15_1_1094","747","P52701","MSH6",1476115.625
"87","GFP1","GFP1_Vijay-745_Slot1-13_1_1090","Vijay-745_Slot1-13_1_1090","745","P55036","PSMD4",665627.5625
"88","GFP2","GFP2_Vijay-746_Slot1-14_1_1092","Vijay-746_Slot1-14_1_1092","746","P55036","PSMD4",586137.25
"89","GFP3","GFP3_Vijay-747_Slot1-15_1_1094","Vijay-747_Slot1-15_1_1094","747","P55036","PSMD4",518393.53125
"90","RDH1","RDH1_Vijay-748_Slot1-16_1_1096","Vijay-748_Slot1-16_1_1096","748","P55036","PSMD4",441815.65625
"91","RDH2","RDH2_Vijay-749_Slot1-17_1_1098","Vijay-749_Slot1-17_1_1098","749","P55036","PSMD4",504886.03125
"92","RDH3","RDH3_Vijay-750_Slot1-18_1_1100","Vijay-750_Slot1-18_1_1100","750","P55036","PSMD4",524826.5625
"93","GFP1","GFP1_Vijay-745_Slot1-13_1_1090","Vijay-745_Slot1-13_1_1090","745","A1X283","SH3PXD2B",256034.65625
"94","GFP2","GFP2_Vijay-746_Slot1-14_1_1092","Vijay-746_Slot1-14_1_1092","746","A1X283","SH3PXD2B",274320.71875
"95","GFP3","GFP3_Vijay-747_Slot1-15_1_1094","Vijay-747_Slot1-15_1_1094","747","A1X283","SH3PXD2B",294569.71875
"96","RDH1","RDH1_Vijay-748_Slot1-16_1_1096","Vijay-748_Slot1-16_1_1096","748","A1X283","SH3PXD2B",288281.375
"97","RDH2","RDH2_Vijay-749_Slot1-17_1_1098","Vijay-749_Slot1-17_1_1098","749","A1X283","SH3PXD2B",318651.71875
"98","RDH3","RDH3_Vijay-750_Slot1-18_1_1100","Vijay-750_Slot1-18_1_1100","750","A1X283","SH3PXD2B",262240.5625
"99","GFP1","GFP1_Vijay-745_Slot1-13_1_1090","Vijay-745_Slot1-13_1_1090","745","Q9BQE4","SELENOS",58721.87109375
"100","GFP2","GFP2_Vijay-746_Slot1-14_1_1092","Vijay-746_Slot1-14_1_1092","746","Q9BQE4","SELENOS",22018.919921875
"101","GFP3","GFP3_Vijay-747_Slot1-15_1_1094","Vijay-747_Slot1-15_1_1094","747","Q9BQE4","SELENOS",24475.650390625
"102","RDH1","RDH1_Vijay-748_Slot1-16_1_1096","Vijay-748_Slot1-16_1_1096","748","Q9BQE4","SELENOS",64674.87890625
"103","RDH2","RDH2_Vijay-749_Slot1-17_1_1098","Vijay-749_Slot1-17_1_1098","749","Q9BQE4","SELENOS",27523.22265625
"104","RDH3","RDH3_Vijay-750_Slot1-18_1_1100","Vijay-750_Slot1-18_1_1100","750","Q9BQE4","SELENOS",32348.990234375
"105","GFP1","GFP1_Vijay-745_Slot1-13_1_1090","Vijay-745_Slot1-13_1_1090","745","Q8WWH5","TRUB1",1110763.125
"106","GFP2","GFP2_Vijay-746_Slot1-14_1_1092","Vijay-746_Slot1-14_1_1092","746","Q8WWH5","TRUB1",798955.5
"107","GFP3","GFP3_Vijay-747_Slot1-15_1_1094","Vijay-747_Slot1-15_1_1094","747","Q8WWH5","TRUB1",712087.1875
"108","RDH1","RDH1_Vijay-748_Slot1-16_1_1096","Vijay-748_Slot1-16_1_1096","748","Q8WWH5","TRUB1",765927.3125
"109","RDH2","RDH2_Vijay-749_Slot1-17_1_1098","Vijay-749_Slot1-17_1_1098","749","Q8WWH5","TRUB1",469914.9375
"110","RDH3","RDH3_Vijay-750_Slot1-18_1_1100","Vijay-750_Slot1-18_1_1100","750","Q8WWH5","TRUB1",667838.8125
"111","GFP1","GFP1_Vijay-745_Slot1-13_1_1090","Vijay-745_Slot1-13_1_1090","745","Q96GQ5","RUSF1",83060.4296875
"112","GFP3","GFP3_Vijay-747_Slot1-15_1_1094","Vijay-747_Slot1-15_1_1094","747","Q96GQ5","RUSF1",36599.83203125
"113","RDH1","RDH1_Vijay-748_Slot1-16_1_1096","Vijay-748_Slot1-16_1_1096","748","Q96GQ5","RUSF1",128953.546875
"114","RDH2","RDH2_Vijay-749_Slot1-17_1_1098","Vijay-749_Slot1-17_1_1098","749","Q96GQ5","RUSF1",36727.2265625
"115","GFP1","GFP1_Vijay-745_Slot1-13_1_1090","Vijay-745_Slot1-13_1_1090","745","Q8N8D1","PDCD7",38040.87109375
