"","sample_name","sample_run_name","Run","run_number","Protein.Group","Genes","PG.MaxLFQ"
"193","RDH1","RDH1_Vijay-748_Slot1-16_1_1096","Vijay-748_Slot1-16_1_1096","748","Q01780","EXOSC10",376922.125
"194","RDH2","RDH2_Vijay-749_Slot1-17_1_1098","Vijay-749_Slot1-17_1_1098","749","Q01780","EXOSC10",152935.109375
"195","RDH3","RDH3_Vijay-750_Slot1-18_1_1100","Vijay-750_Slot1-18_1_1100","750","Q01780","EXOSC10",158662.9375
"196","GFP1","GFP1_Vijay-745_Slot1-13_1_1090","Vijay-745_Slot1-13_1_1090","745","Q03112","MECOM",69656.3125
"197","GFP2","GFP2_Vijay-746_Slot1-14_1_1092","Vijay-746_Slot1-14_1_1092","746","Q03112","MECOM",30780.5
"198","GFP3","GFP3_Vijay-747_Slot1-15_1_1094","Vijay-747_Slot1-15_1_1094","747","Q03112","MECOM",36723.83203125
"199","RDH1","RDH1_Vijay-748_Slot1-16_1_1096","Vijay-748_Slot1-16_1_1096","748","Q03112","MECOM",56272.20703125
"200","RDH2","RDH2_Vijay-749_Slot1-17_1_1098","Vijay-749_Slot1-17_1_1098","749","Q03112","MECOM",29678.0234375
"201","RDH3","RDH3_Vijay-750_Slot1-18_1_1100","Vijay-750_Slot1-18_1_1100","750","Q03112","MECOM",30453.087890625
"202","GFP1","GFP1_Vijay-745_Slot1-13_1_1090","Vijay-745_Slot1-13_1_1090","745","P07954","FH",1385084.125
"203","GFP2","GFP2_Vijay-746_Slot1-14_1_1092","Vijay-746_Slot1-14_1_1092","746","P07954","FH",645297.5
"204","GFP3","GFP3_Vijay-747_Slot1-15_1_1094","Vijay-747_Slot1-15_1_1094","747","P07954","FH",666991.75
"205","RDH1","RDH1_Vijay-748_Slot1-16_1_1096","Vijay-748_Slot1-16_1_1096","748","P07954","FH",1252361.5
"206","RDH2","RDH2_Vijay-749_Slot1-17_1_1098","Vijay-749_Slot1-17_1_1098","749","P07954","FH",664693.75
"207","RDH3","RDH3_Vijay-750_Slot1-18_1_1100","Vijay-750_Slot1-18_1_1100","750","P07954","FH",761298.75
"208","GFP1","GFP1_Vijay-745_Slot1-13_1_1090","Vijay-745_Slot1-13_1_1090","745","Q9Y490","TLN1",557295.875
"209","GFP2","GFP2_Vijay-746_Slot1-14_1_1092","Vijay-746_Slot1-14_1_1092","746","Q9Y490","TLN1",609967.25
"210","GFP3","GFP3_Vijay-747_Slot1-15_1_1094","Vijay-747_Slot1-15_1_1094","747","Q9Y490","TLN1",612329.3125
"211","RDH1","RDH1_Vijay-748_Slot1-16_1_1096","Vijay-748_Slot1-16_1_1096","748","Q9Y490","TLN1",435572.09375
"212","RDH2","RDH2_Vijay-749_Slot1-17_1_1098","Vijay-749_Slot1-17_1_1098","749","Q9Y490","TLN1",604571.5625
"213","RDH3","RDH3_Vijay-750_Slot1-18_1_1100","Vijay-750_Slot1-18_1_1100","750","Q9Y490","TLN1",644607.1875
"214","GFP1","GFP1_Vijay-745_Slot1-13_1_1090","Vijay-745_Slot1-13_1_1090","745","O94826","TOMM70",1215026.125
"215","GFP2","GFP2_Vijay-746_Slot1-14_1_1092","Vijay-746_Slot1-14_1_1092","746","O94826","TOMM70",435146.71875
"216","GFP3","GFP3_Vijay-747_Slot1-15_1_1094","Vijay-747_Slot1-15_1_1094","747","O94826","TOMM70",458449.0625
"217","RDH1","RDH1_Vijay-748_Slot1-16_1_1096","Vijay-748_Slot1-16_1_1096","748","O94826","TOMM70",962176.25
"218","RDH2","RDH2_Vijay-749_Slot1-17_1_1098","Vijay-749_Slot1-17_1_1098","749","O94826","TOMM70",402467.65625
"219","RDH3","RDH3_Vijay-750_Slot1-18_1_1100","Vijay-750_Slot1-18_1_1100","750","O94826","TOMM70",444254.34375
"220","GFP1","GFP1_Vijay-745_Slot1-13_1_1090","Vijay-745_Slot1-13_1_1090","745","Q9Y6X3","MAU2",169024.46875
"221","GFP2","GFP2_Vijay-746_Slot1-14_1_1092","Vijay-746_Slot1-14_1_1092","746","Q9Y6X3","MAU2",60719.78125
"222","GFP3","GFP3_Vijay-747_Slot1-15_1_1094","Vijay-747_Slot1-15_1_1094","747","Q9Y6X3","MAU2",71699.515625
"223","RDH1","RDH1_Vijay-748_Slot1-16_1_1096","Vijay-748_Slot1-16_1_1096","748","Q9Y6X3","MAU2",223882.109375
"224","RDH2","RDH2_Vijay-749_Slot1-17_1_1098","Vijay-749_Slot1-17_1_1098","749","Q9Y6X3","MAU2",56732.35546875
"225","RDH3","RDH3_Vijay-750_Slot1-18_1_1100","Vijay-750_Slot1-18_1_1100","750","Q9Y6X3","MAU2",61276.5234375
"226","GFP1","GFP1_Vijay-745_Slot1-13_1_1090","Vijay-745_Slot1-13_1_1090","745","Q96S52","PIGS",438084.6875
"227","GFP2","GFP2_Vijay-746_Slot1-14_1_1092","Vijay-746_Slot1-14_1_1092","746","Q96S52","PIGS",158873.890625
"228","GFP3","GFP3_Vijay-747_Slot1-15_1_1094","Vijay-747_Slot1-15_1_1094","747","Q96S52","PIGS",191655.3125
"229","RDH1","RDH1_Vijay-748_Slot1-16_1_1096","Vijay-748_Slot1-16_1_1096","748","Q96S52","PIGS",570026.0625
"230","RDH2","RDH2_Vijay-749_Slot1-17_1_1098","Vijay-749_Slot1-17_1_1098","749","Q96S52","PIGS",201547.0625
"231","RDH3","RDH3_Vijay-750_Slot1-18_1_1100","Vijay-750_Slot1-18_1_1100","750","Q96S52","PIGS",191726.6875
"232","GFP1","GFP1_Vijay-745_Slot1-13_1_1090","Vijay-745_Slot1-13_1_1090","745","P23381","WARS1",586202.5625
"233","GFP2","GFP2_Vijay-746_Slot1-14_1_1092","Vijay-746_Slot1-14_1_1092","746","P23381","WARS1",555058
"234","GFP3","GFP3_Vijay-747_Slot1-15_1_1094","Vijay-747_Slot1-15_1_1094","747","P23381","WARS1",632364.875
"235","RDH1","RDH1_Vijay-748_Slot1-16_1_1096","Vijay-748_Slot1-16_1_1096","748","P23381","WARS1",648325.3125
"236","RDH2","RDH2_Vijay-749_Slot1-17_1_1098","Vijay-749_Slot1-17_1_1098","749","P23381","WARS1",469217.59375
"237","RDH3","RDH3_Vijay-750_Slot1-18_1_1100","Vijay-750_Slot1-18_1_1100","750","P23381","WARS1",464014.59375
"238","GFP1","GFP1_Vijay-745_Slot1-13_1_1090","Vijay-745_Slot1-13_1_1090","745","P35221","CTNNA1",2406854
"239","GFP2","GFP2_Vijay-746_Slot1-14_1_1092","Vijay-746_Slot1-14_1_1092","746","P35221","CTNNA1",1211941.5
"240","GFP3","GFP3_Vijay-747_Slot1-15_1_1094","Vijay-747_Slot1-15_1_1094","747","P35221","CTNNA1",1218426.75
"241","RDH1","RDH1_Vijay-748_Slot1-16_1_1096","Vijay-748_Slot1-16_1_1096","748","P35221","CTNNA1",1947851.75
"242","RDH2","RDH2_Vijay-749_Slot1-17_1_1098","Vijay-749_Slot1-17_1_1098","749","P35221","CTNNA1",1201987.625
"243","RDH3","RDH3_Vijay-750_Slot1-18_1_1100","Vijay-750_Slot1-18_1_1100","750","P35221","CTNNA1",1324385.625
"244","RDH3","RDH3_Vijay-750_Slot1-18_1_1100","Vijay-750_Slot1-18_1_1100","750","Q96C19","EFHD2",439830.5
"245","GFP1","GFP1_Vijay-745_Slot1-13_1_1090","Vijay-745_Slot1-13_1_1090","745","Q9BUP0","EFHD1",57143.30859375
"246","GFP2","GFP2_Vijay-746_Slot1-14_1_1092","Vijay-746_Slot1-14_1_1092","746","Q9BUP0","EFHD1",39109.453125
"247","GFP3","GFP3_Vijay-747_Slot1-15_1_1094","Vijay-747_Slot1-15_1_1094","747","Q9BUP0","EFHD1",53611.4765625
