"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs","term_norm","overlap_string","overlap_count"
NA,"SLIM2 GO BP","GO:0002376","immune system process",1076,7,21.875,1.6364,0.711,0.126059591560002,0.89942410434609,1,0.211826581369998,1,"RAB29,GCNT1,ZNF16,MEIS2,RNASE4,TMEFF1,MAPK8","9789,4203,12947,7001,10047,11866,6881","immune system process","GCNT1;MAPK8;MEIS2;RAB29;RNASE4;TMEFF1;ZNF16",7
NA,"Direct GO Biological Processes","GO:0030150","protein import into mitochondrial matrix",20,2,6.25,25.1531,4.653,0.00278239305717528,2.55558151902244,1,0.102455760614971,0.729821433577868,"TIMM23,DNLZ","17312,33879","protein import into mitochondrial matrix","DNLZ;TIMM23",2
NA,"Direct GO Biological Processes","GO:0043010","camera-type eye development",31,2,6.25,16.2278,4.02,0.00662659356916841,2.17870966530453,1,0.102455760614971,0.729821433577868,"FAT1,B9D1","3595,24123","camera type eye development","B9D1;FAT1",2
NA,"Direct GO Biological Processes","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules",36,2,6.25,13.974,3.805,0.00886771152675308,2.05218844325005,1,0.102455760614971,0.729821433577868,"PCDHGA11,FAT1","8698,3595","homophilic cell adhesion via plasma membrane adhesion molecules","FAT1;PCDHGA11",2
NA,"Direct GO Biological Processes","GO:0032880","regulation of protein localization",54,2,6.25,9.316,3.22,0.0192682780612877,1.71515709499142,1,0.102455760614971,0.729821433577868,"MAPK8,B9D1","6881,24123","regulation of protein localization","B9D1;MAPK8",2
NA,"Direct GO Biological Processes","GO:0031647","regulation of protein stability",81,2,6.25,6.2106,2.635,0.0408319372067892,1.38900001517225,1,0.112102897280255,0.798540723432523,"CMTM6,USP46","19177,20075","regulation of protein stability","CMTM6;USP46",2
NA,"Direct GO Biological Processes","GO:0006457","protein folding",149,2,6.25,3.3763,1.755,0.117847653603423,0.928679060040211,1,0.201528174221087,1,"HSPA6,DNLZ","5239,33879","protein folding","DNLZ;HSPA6",2
