"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs","term_norm","overlap_string","overlap_count"
NA,"REACTOME pathway","R-HSA-6798695","Neutrophil degranulation",246,3,9.375,3.0675,1.617,0.0730424306527244,1.13642478309833,1,0.143608846707051,1,"CMTM6,HSPA6,QPCT","19177,5239,9753","neutrophil degranulation","CMTM6;HSPA6;QPCT",3
NA,"PANTHER Pathway H.sap","P00012","Cadherin signaling pathway",30,2,6.25,16.7687,4.068,0.006214420674352,2.20659935127964,1,0.102455760614971,0.729821433577868,"PCDHGA11,FAT1","8698,3595","cadherin signaling pathway","FAT1;PCDHGA11",2
NA,"PANTHER Pathway H.sap","P00049","Parkinson disease",55,2,6.25,9.1466,3.193,0.019946268830911,1.70013833194196,1,0.102834097083808,0.732516431520434,"HSPA6,MAPK8","5239,6881","parkinson disease","HSPA6;MAPK8",2
NA,"REACTOME pathway","R-HSA-196854","Metabolism of vitamins and cofactors",102,2,6.25,4.932,2.302,0.0616761441138576,1.20988278545028,1,0.126146091582132,0.898574378308445,"APOC3,FPGS","610,3824","metabolism of vitamins and cofactors","APOC3;FPGS",2
