"","Protein.Group","Genes","LFQ.100_a_RDH12_atRAL5hr","LFQ.100_b_RDH12_atRAL5hr","LFQ.100_c_RDH12_atRAL5hr","LFQ.200_a_RDH12_atRAL5hr","LFQ.200_b_RDH12_atRAL5hr","LFQ.200_c_RDH12_atRAL5hr","LFQ.control_a_RDH12_atRAL5hr","LFQ.control_b_RDH12_atRAL5hr","LFQ.control_c_RDH12_atRAL5hr","LFQ.100_a_GFP_atRAL5hr+24h_recvr","LFQ.100_b_GFP_atRAL5hr+24h_recvr","LFQ.100_c_GFP_atRAL5hr+24h_recvr","LFQ.200_a_GFP_atRAL5hr+24h_recvr","LFQ.200_b_GFP_atRAL5hr+24h_recvr","LFQ.200_c_GFP_atRAL5hr+24h_recvr","LFQ.control_a_GFP_atRAL5hr+24h_recvr","LFQ.control_b_GFP_atRAL5hr+24h_recvr","LFQ.control_c_GFP_atRAL5hr+24h_recvr","LFQ.100_a_RDH12_atRAL5hr+24h_recvr","LFQ.100_b_RDH12_atRAL5hr+24h_recvr","LFQ.100_c_RDH12_atRAL5hr+24h_recvr","LFQ.200_a_RDH12_atRAL5hr+24h_recvr","LFQ.200_b_RDH12_atRAL5hr+24h_recvr","LFQ.200_c_RDH12_atRAL5hr+24h_recvr","LFQ.control_a_RDH12_atRAL5hr+24h_recvr","LFQ.control_b_RDH12_atRAL5hr+24h_recvr","LFQ.control_c_RDH12_atRAL5hr+24h_recvr"
"1301","Q9Y520","PRRC2C",53136136,51624448,66466316,37097952,75466184,42607972,111571112,165932768,123170872,77949328,63233984,120484912,53652056,45955420,38034104,101971088,133029600,113694552,91089904,81101296,138132544,93032056,206843040,125873464,103914272,107442056,94032776
"1302","P49792","RANBP2",37137920,29908330,33530258,42938028,51971012,35472192,29044604,34197448,35429416,37269528,35033380,38533736,38998800,49923764,57784256,40991360,42842252,33615260,51501032,44503844,55099672,48537356,53028452,55261976,59522960,64548760,59610800
"1303","O95394","PGM3",19244462,18546096,16818130,17225720,6428770.5,15632733,10390768,7364517.5,12987357,17710138,21138640,18765242,15943737,17580172,19540226,18767720,17297062,17123766,15170735,17463072,16516143,18372652,15771123,19979404,15121172,15616701,17214872
"1304","Q9NYD6","HOXC10",4495695,4362385.5,5741384,5972427,10050210,6032616.5,9913550,8749359,8031572.5,5873133.5,5915303,6517024.5,7632836,7902080.5,10355395,7228904.5,10372786,7579363.5,6298025,6349642.5,7065526,6018723.5,8525290,7573024,5536050,5657086,5331090
"1305","Q92547","TOPBP1",3629025.5,3984724.25,3863813,4748540.5,3919666.25,4742253.5,3120326.5,2702220.5,2322496.25,4867243,4648187.5,3960534,6746002.5,6114492,7548947.5,4476125,3998897.25,3929018.75,3974052,4583027.5,5035444.5,4818854.5,5249228.5,4750137,4516412.5,5319383.5,4732045.5
"1306","Q9UH99","SUN2",16647751,14827578,16706118,16370222,13142496,15838559,11453039,8402795,13448825,20242492,17042470,17015952,21954458,24511276,33974892,18800832,20833304,15452296,25909558,24314364,26890132,25937834,27327096,26225872,23411060,33048800,29766066
"1307","Q14149","MORC3",120743760,159424848,137390752,136464432,142540512,169193504,181192960,107317456,201956080,124860520,146894896,115611896,165887360,154087328,211898944,104758856,131879856,122830368,130748920,143083088,135414144,121168968,141952608,126307816,122376560,150691712,122347080
"1308","Q8WYH8","ING5",12469853,12116811,16333482,18700500,78593472,15796912,38200440,63618816,49701168,13700118,13437269,19195212,17271688,16770851,17525004,18859964,24446752,18642208,29428526,18332928,30687698,25564532,38526568,30453608,26543314,29836378,23384238
"1309","Q6UB35","MTHFD1L",13831517,12664223,12927341,21995762,9542554,19394978,6589560,1920729.875,8405446,12714449,14438827,11544830,13572330,19431500,24438536,9956220,9776701,8967845,21084660,19133876,19671448,18579410,13605340,16882882,20816644,24156300,21390110
"1310","O43896","KIF1C",9950897,9807155,10388734,8759021,10493876,8933868,9966803,15100431,9843426,10629232,9839420,11540852,5578721,7239674,7111799.5,10025569,12321161,10123915,10022843,10314608,13190043,10624590,13851037,12427699,11159619,12463151,14436038
"1311","Q99805","TM9SF2",19368072,18146250,19929942,25013110,9900798,23453328,8207751.5,5859323.5,10263529,9694921,9096498,6767686,10946832,11857747,16881420,9302098,11340555,7811399.5,12514960,11612770,9678557,7483147,6985423.5,9243655,12894274,12730974,11113664
"1312","Q86T24","ZBTB33",3243518.25,3582312.75,3753825.5,3709798.5,4794673.5,3949364.5,4914995.5,3614152,6313441.5,6288441.5,5712020.5,4330130.5,7907418.5,6324458,8487149,5530029.5,6307360.5,4775882,5897592,6578654,5323339,5148388,5413821.5,4145409.75,5694584,6885812,5604384
"1313","O15066","KIF3B",4916605,4645579.5,5068642,3468019.5,4350978.5,3833485.25,5526267,4083291,6212919,3670907,3902488.25,3555100.5,2223425.75,3319758.75,2611227.75,3519968.75,4069848.25,3632566.75,3509867,3736444.75,4821907,4210314,6364873.5,5347005.5,3705330.25,5064114.5,4288938.5
"1314","Q8TDB4","MGARP",1437567.375,1589093.25,1937917.875,2317335.25,4342784.5,4155957.25,2071760.875,NA,2384974.75,NA,1762453.625,2506496.5,3923993.25,3161703.75,3994414,2650846,2393397,2372364.75,2859851,3068341.5,3256318.25,NA,2672881,2438384,3032011,NA,3129464.25
"1315","Q13151","HNRNPA0",259033824,237373600,282325952,277897408,421158400,320947744,335407008,274896608,369011840,296050112,327504960,277269248,486017920,378741280,473305312,302609376,295400736,242136624,344268352,350378528,353330912,324537344,375426208,286879712,410896352,443875808,365079072
"1316","P58107","EPPK1",11369357,10340354,11683132,11787594,5692657.5,9542459,10049054,7101077.5,10093665,16735206,13823929,16880586,18935976,15835506,16257105,18440620,17775710,15375817,14068796,14704985,13136923,14816350,15833634,14701103,14962378,17469440,13131346
"1317","P54886","ALDH18A1",23193060,22396872,20390256,49967664,21697960,39784520,10078603,4841837.5,19717496,21466202,27537836,19275246,37389020,58444456,69480904,20024490,19459374,17106328,52223984,44031536,47279260,39701020,26631242,35498880,42393548,52344604,51161496
"1318","Q9BXP5","SRRT",170563184,155647072,164630368,212902128,196885792,165503968,250334944,252626528,264685184,170726640,185601392,272956864,242333040,211017936,225160592,205089152,226528096,208908448,264111648,208921872,293308832,249137808,334599712,284234624,290405216,326321632,280625120
"1319","Q9BRG1","VPS25",10572784,8450354,10840254,7598427,5078179.5,7681287.5,10718777,11468679,9065376,7101471.5,6826104,7357163.5,3462967.5,3279588.25,3176717.5,8127939.5,6405763.5,7726165,7139420.5,7166767.5,6167207.5,7014773.5,7092107.5,7719160,5931704.5,9351359,6318026.5
"1320","O14578","CIT",4478507,4307474,4195835.5,4721068.5,2704961,3658277,2799263.5,1710403.25,2655414.75,3687321.75,2891756,3782590.75,2944613.75,4462816,4636816.5,3932017,2985892.25,3049395.75,3628259,3520127.25,4516560.5,3617145.25,4458272.5,4466270.5,4201175.5,4194581,4390091
"1321","Q15276","RABEP1",1850415.375,3502897.5,2598575.75,1609496.125,1684407.75,2740849.5,2598458.5,3878417.75,4834793.5,3187533.5,2030977.75,2247861.75,3138441.25,1833563,2050038.25,3041567,3254493.5,2774966.25,3205887.75,4027478.25,4119681.75,2768510.25,4948499.5,3590957.25,2955144,3257769,2466677.5
"1322","Q8NI77","KIF18A",15193497,13945190,18708166,20725102,122087184,22897136,34867524,59889820,47058720,16860384,16171210,9547911,25014254,18446266,27743366,17008282,13874929,13718432,11927042,14982086,11337753,11996257,14404178,11724601,14809792,15543342,12128086
"1323","Q5VSY0","GKAP1",6119635,5277705.5,7413507,4344801.5,12765180,5101158.5,10944467,18315992,19106944,17227390,9594134,11410454,9218820,5293239.5,5239928.5,19090842,11944227,10447054,9311679,8348232,12439711,9333372,17526448,12403826,10275368,10077394,10024997
"1324","Q8ND24","RNF214",15153081,14403094,17570742,12806524,27528152,13274487,36468904,56207360,41998940,17290504,16149549,32648532,17276260,9553755,6778217,29042350,36674588,30995244,24749836,14812824,41754780,22746654,55483428,35573696,35707300,34135892,23308130
"1325","P33991","MCM4",84547376,103427816,89985088,108162832,82227928,113506792,89040704,39804632,92260608,85622272,106391616,92173928,90455800,101470064,114654192,89049448,99517888,98121168,82327920,82351288,87295280,91734320,91308336,95202136,65889512,86532224,84439448
"1326","Q9Y680","FKBP7",27144398,22374062,28937246,29173086,174936992,36571172,111110176,147961872,135201248,14077410,14125033,25409282,31992668,20601648,9893667,22528398,32658876,25325334,21226124,16014951,32944260,16011790,51577968,21645398,34765228,37196104,29201674
"1327","Q96SB4","SRPK1",257155728,289123808,271900768,210826608,245769344,225225088,310372160,254413632,348404832,211042336,264413792,198258160,232209792,239421216,279749792,178299504,243259920,221082592,238565968,248999712,224444688,250679760,259748416,237563808,185724224,238145632,197993664
"1328","P24928","POLR2A",26219204,29543610,29277498,34646612,50676728,38960468,29260544,15678747,30924312,38091892,41582092,34910772,52208824,47062352,58296840,34777648,35645648,36823536,52446372,49165912,46516952,44030368,46726236,38685056,46281328,58863904,46477224
"1329","Q9H993","ARMT1",14644309,15347088,13174647,12461164,5951940,13646162,8347465.5,NA,8221166,12819390,14397424,13927325,9425916,12302043,12524252,14256857,12939467,12690604,11052222,13477701,11126023,13566856,11865538,13709527,10181870,11131192,11836239
"1330","P41250","GARS1",81199864,83234976,91707048,55230812,49757836,60782252,86968464,104412608,132316096,69109224,75712672,75722472,53293376,48562428,46818344,68013696,85960968,77785920,72124736,77033528,81358416,73792832,94431328,74289400,82942920,86534632,75592832
"1331","Q8N9N8","EIF1AD",11062579,10865205,13410720,7285147.5,22365880,12121109,24045626,22260864,31159256,14886113,9257186,14276912,6807263,5237240,4827148,14671788,17629820,12761540,16095174,22062964,20695800,17396420,40382336,23422336,19732234,19696204,19347894
"1332","P31939","ATIC",132039968,115509024,137929920,85699584,181093120,113671224,132461272,125224304,158044976,84843664,88539296,85220816,63223672,63266828,60760048,79685992,95031504,87418840,80999912,91573904,85413408,82103312,100708760,91532504,94615712,91556896,84249720
"1333","Q14203","DCTN1",35936140,30615570,30771614,29974264,16447895,22606150,21706944,19145432,22554210,29974188,33349926,34256004,19733436,26885640,26991560,33322468,30160510,27214446,25179192,25964886,28823312,29582194,25988106,35243144,24923912,25035200,30264252
"1334","Q6ZT21","TMPPE",354482.5,360466.1563,425309.0625,482823.0938,NA,550147.375,NA,NA,NA,416457.4375,611089.5625,451410.8438,567148.4375,655129.875,1072440.75,262081.1406,NA,NA,521796.9063,546711.9375,399619.25,437472.875,350865.0625,423898.0625,288222.1875,476456.875,458861.75
"1335","P51587","BRCA2",1753531.875,1529267.375,1611285.75,1523333.625,6959048,1132404.5,2047443.375,1284136.25,2067126.625,2499275,2199018.5,2147607.75,1823028.125,1264934.75,1537154.875,2799278.75,2352294.75,1933782.125,2358277.5,2280950.75,2591496,2324321.75,3591813.5,2838750,2578038.5,2388425.5,2252837.75
"1336","Q9UBF2","COPG2",19975628,21459636,17860606,21407396,13400911,19426064,8521067,NA,8664361,21707596,25743834,22324964,16340802,23812102,24911266,27046736,19578898,20239970,20829092,21106618,19736706,21468564,16801572,23160022,15919480,18879620,21685770
"1337","Q8N300","SVBP",10592882,11547627,15392803,9035908,22630054,10805392,57465364,121172912,50233140,11846870,13357630,25552356,8970908,7466385,3289721,18473908,38648000,25637568,21135586,17354584,33554128,13802869,34688304,25976980,26538096,32310766,26049136
"1338","P20226","TBP",6280203.5,5344685,6091821,8895197,13161631,9066192,5404492,NA,NA,5824263.5,7679044,6209731.5,10883823,8175088,11824674,6788172.5,5298033,5487939.5,6946528.5,7470224,7343590.5,6359732.5,7310443.5,5238014,7039554,8639245,6428108.5
"1339","Q14697","GANAB",359211168,308056256,347663872,520308064,528056384,408793504,417509952,571656832,455097632,219318576,282458560,271148448,321098208,388237344,385833344,211107312,249481264,247385008,275005440,264426704,232028176,264288480,216931488,225354224,256158432,310159456,229279312
"1340","Q9BUL8","PDCD10",74038816,59638864,82363128,59134540,104069784,68393520,139590656,147308832,134578368,64664744,61681140,87442336,50353028,48093120,39014600,88726256,84308240,89106512,62923244,57179960,79297280,81647920,103659488,83403696,82182384,75171208,66881472
"1341","O75330","HMMR",8271322,8298037.5,9796831,6973824,8748601,6386475,15220425,20785110,17067146,9282687,8763221,11126145,5515042.5,5311081,4799964.5,13133985,13293880,12477910,10450193,10677654,15714640,13666199,18177246,17318552,11283208,10810339,14500221
"1342","Q9Y3Q8","TSC22D4",10364606,9048907,11704862,7098821.5,6092141,8525236,11332521,11731093,10652485,12675482,10639970,19177282,8242332.5,6845862,8381810.5,16246401,15207788,14638873,15158811,12895247,15800958,16572669,26107142,21282840,17372964,16615664,14089555
"1343","Q99626","CDX2",5496318.5,5421704,8267272.5,6957014,60658904,5313817.5,16549803,30170016,26977080,6610776,10124280,8849793,13833532,10969432,11604031,10200427,14066992,10729799,8328742,8469605,8562023,7382444.5,9035603,7610559,7478419.5,10442379,7859584
"1344","Q8TDR0","TRAF3IP1",6253125,9194793,9523793,7784415.5,13049889,7806775,13482501,19859066,21615916,15684973,13173686,19681682,11122819,8368817,7211885,16195574,20628560,17471112,18099256,15996709,26379298,19669166,34868796,25707072,19883138,20021112,17983670
"1345","Q96EP0","RNF31",868277.125,1061266.375,993509.3125,1290446.375,1167461,1178031,944582.875,NA,545711.9375,975785.5625,1117837.5,1191462.5,732492.125,691080.375,988613.625,1418860.5,1065377.25,962644.5625,971488.9375,943500.875,963687.3125,1008705.25,1015842.25,1157650.125,1200911.625,1017911.125,933822.375
"1346","Q13200","PSMD2",42581824,45902716,42185188,44993972,14355462,48074192,24765702,10550210,25121880,45015244,47775340,45414440,40292060,48927600,50522900,46126220,41949140,41548108,37928044,45125556,36760596,38222612,34075280,42888188,35803944,42298016,37156428
"1347","Q9H4I2","ZHX3",18904216,16908668,21542936,18043312,28285224,20737254,31480404,28250130,28108088,23104414,17085824,32200418,20574210,23647196,19887022,39788168,35623900,33336146,22538756,22083066,35756060,23895466,36684712,31409592,37273456,31156340,26608842
"1348","P23246","SFPQ",563242048,527510688,675138048,610797888,1300538112,680427584,829361728,924599104,985263104,637142528,799933760,1007462208,931251520,1040229632,884992832,569975040,963064000,669982784,951120512,784820480,1101726976,1092285312,1172534912,975799232,860967232,950746496,1099996032
"1349","Q8WXF1","PSPC1",105111800,88715640,110384776,117118872,150678464,103981168,130225672,151116656,168558720,107980920,106585280,145274592,131586200,130247800,122764056,118865072,113461344,114970688,124880208,109736488,136270656,136524160,171675600,133451736,154251968,171353376,131788072
"1350","Q9P2D1","CHD7",6323814,6251203,6902343.5,8673848,18369330,8271132.5,8837056,10206974,11008300,8304809,9360005,7261102,14691494,13183199,16539308,7640913,8420326,7903302.5,10712717,10738654,10628520,9895663,9960549,9126674,10683545,13195907,10495737
"1351","Q13523","PRP4K",46095408,65010376,56965420,63866952,117809360,72690960,88310144,45543444,74504560,78218376,85179072,76717408,150334128,101611184,136928480,72449600,68920016,73237736,116274072,101736664,118133984,94609728,110491456,90220760,100773248,124515664,104976664
"1352","Q8N511","TMEM199",4426022.5,3263766.75,3602577.25,4112154.25,6174044,3427756.5,3605855.5,7168648.5,4888890,2347764.25,2154806,2326715,1708134.875,1786562.5,1537689.625,2655318.5,2638162.25,2452314.5,2733561,2501372,3025853.25,3579364,3474482,3802453.25,3379370.75,2809037.75,2567606.25
"1353","Q9BW71","HIRIP3",29992922,24629480,33841152,24963596,98861792,33961724,66787776,106770856,79557056,23216606,28693692,54604500,26061122,24780476,23161168,42826692,51839296,49288100,37622052,31031136,42805536,37319280,63134264,43225524,50498612,45651912,38538200
"1354","Q9Y3X0","CCDC9",18575992,19942488,24615170,18531598,59022780,18495772,66351724,107013496,69798632,20177720,20405008,40204416,12731468,15598160,7786035,27761754,45453948,29769716,24895318,22184808,39754880,23125476,45497280,29537384,25766280,19829758,30346580
"1355","Q9Y4C1","KDM3A",2031546.5,2096117.625,2104406,2222604.25,1820306.75,2246583.75,2104165,1026960.813,3216030.75,2755468.5,2349529.25,2168791.75,2553917.5,2802813.75,2824296.5,3105280.25,2404048.25,2388693.75,2838019.25,3387025,3729522.5,2823332.25,4325598,3500013.5,3726342.5,2665504.75,3217358.75
"1356","Q2YD98","UVSSA",2750622,2038580.375,2554167,2976744.75,4125965.5,2733155.5,5027845,5566319.5,5234230,2286707.5,2600544,2876784,2937482.75,1858542.875,2227068.25,3855378.25,3600455.5,2471921.75,1918522.5,2165154.75,3464840.5,2716936.5,4910934,3022711.5,3853488.75,3455815.5,2145067.5
"1357","Q16204","CCDC6",50164692,47725228,58987988,39229100,74570656,38954704,134566352,193603632,143505920,54977368,47448016,122581536,34950432,29654770,22524844,94445464,112071672,101716536,88452712,65430904,118545728,87672792,163308272,120360000,95719776,99801616,87167944
"1358","P53539","FOSB",NA,NA,1908015.875,2627723.25,6768132,2320554.5,5517183,10199623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1359","Q96QU8","XPO6",1752524.75,1988753.25,1675080.625,2063601.875,NA,1954922,937299.125,NA,928145.625,1945857.375,2244446.5,1977732.75,1953585.125,1829425.25,2315557,2374193.25,1771075.5,1806583.25,2025251.625,2116514.5,1932524.875,1720287.625,1451841.75,1763554.625,1662286.25,1814440.875,1756133.875
"1360","Q01082","SPTBN1",82422496,76921720,90492688,64604792,79289264,70626048,114900200,128427592,125688096,92463192,96876256,135462592,91138368,92865576,90996368,111069536,144660576,120628152,135559264,119747544,162079392,151538480,196031632,165888992,123155776,129303672,136431008
"1361","Q3KQU3","MAP7D1",19114900,23700566,28481948,16517482,54993892,23150954,46857300,64715876,62729676,39840664,38052356,55414724,31723400,23310200,22028776,39643544,63065128,46016500,49291564,40297464,66096252,63927240,104514392,76081400,42458340,48800380,50939548
"1362","Q9BYT8","NLN",5966395.5,5928343,5271029,5996705,6351141.5,6301022.5,3142891.5,NA,3181405.5,5550720,6364578.5,6417540,4811441,7841274,8356532.5,5199156,5403167,5254699.5,6653519.5,6369723,6239243,5783399.5,5053104,6837101,5922518.5,6410426.5,6555178
"1363","Q92696","RABGGTA",4793361,4476897,3915875,3491557.25,2519808.5,3697038.5,3812560.75,NA,4910076,3278998,3997878,4263215,1946594.875,1641925.625,2473287.75,5092016.5,4047900,3797840.75,3058065,3071944.25,3222406.75,1898060.75,2687846,2920628.25,3371165,3446576.5,3801209
"1364","Q13907","IDI1",73616312,58052764,83483744,51422580,223583488,66135884,287485472,392359520,317735296,19723690,18935362,27487830,26709800,19093502,9461433,29867172,36668184,25970162,13201595,15942230,24702244,14984810,35788808,16894224,29657650,23555416,25624530
"1365","Q9NR19","ACSS2",2761108.75,2862742.75,2741373.25,2595731.25,1188395,2606090.25,2735040,NA,1654416.75,2061208.75,2327139.75,2390864.25,1898462.25,2650055,2937275.25,2757508.5,2394651.5,2322965,2078686.5,1858014,2089579.25,1999666.125,2173731.5,2056701.625,1743492.375,2341630.25,2281194.5
"1366","P48634","PRRC2A",47303492,42671016,62128012,36245700,104527568,39106136,144187312,232901968,141773648,79088520,70443376,134779936,63991176,51477208,40316792,119083952,146841616,125196568,101214288,94557064,156398480,100000288,233030336,126729192,122871592,132769528,108306576
"1367","Q8IWJ2","GCC2",9575951,7971550.5,11385965,9047582,11356274,8272476.5,18688270,19684292,18637714,9360427,8568933,17350392,10528044,6076605,5392132,15488550,18951248,15455498,10348146,9764581,15931916,10173833,27514782,14973348,15617624,16134028,9930027
"1368","P15924","DSP",41759740,37958732,41742760,48941788,18651488,33627400,34012232,27533586,29337850,38535592,35972320,49306228,31579138,34286140,33852856,54924556,44628016,47515460,48385652,37568352,52515164,52478672,72322656,64455916,47522284,43745576,51906524
"1369","Q9HB71","CACYBP",469552960,410912064,540136704,372314496,562453952,383645344,748370176,832076288,1093117952,250350864,369715200,382571520,289283200,278974272,218187712,244986576,458359136,397848320,323971840,307826848,365604160,416811296,440749568,389439584,306897312,327928576,333194880
"1370","Q8WX92","NELFB",11744029,10977338,11213637,13899220,6025707,14346188,8128252,4343126,8703829,8631955,10988153,9635397,11899531,14226818,17510144,8008937.5,9992036,9966090,9241422,10272680,9010694,9868395,7018656.5,9996139,8045231,9484725,9049409
"1371","Q12981","BNIP1",14803598,12046406,13812055,17643994,29656202,15730549,18098544,20333480,18549666,8104461.5,8172504.5,10259735,10805227,11375301,11021081,9979650,10814144,8912643,12117444,10314529,11645407,12075677,13275200,11401697,13378327,14137383,11284598
"1372","Q86US8","SMG6",17585324,18570512,17193272,22628182,34756232,18745456,24221258,40566024,29659166,21249864,21821858,24874192,27370436,28541464,19193598,26972928,24527314,24952446,23002978,22631628,31120670,25763434,38750292,31230754,21018732,22084430,25136022
"1373","P14373","TRIM27",11409872,13092944,11684153,13619569,6468206.5,11891145,12536056,16795664,12660881,12719156,13258379,13199274,12890133,9149187,13941211,11315255,13377696,12087289,17372488,14982246,16543987,16764381,17192780,14558247,15554085,19008442,17135820
"1374","P05455","SSB",400710912,370592160,439967392,302815232,592867776,344288704,697349248,818938816,768700992,286431808,339661568,432465184,404554080,339805792,362996000,438354048,472256064,487723328,374375648,277920192,386710336,356118400,408505216,414001568,428770304,344161536,313179776
"1375","O94880","PHF14",19872898,24140282,26469090,26190566,71694944,28735934,36877276,41048236,50468624,24066636,30789850,26635000,45129476,31804268,48477344,23734184,36836016,33022438,34209596,30875630,38435100,31435970,38035616,32586544,32800554,49363160,40407912
"1376","Q9UI10","EIF2B4",7910066.5,9063627,7426041.5,7646533,23211206,8343428.5,8066935,11534441,10980774,5973424.5,7513415.5,6242254.5,5017666,7617281,6264643,5771439.5,7096477,6109609.5,6895634.5,6476791.5,7792445.5,7073871,8267409,7645441.5,6888611.5,7395077.5,7049581.5
"1377","O43815","STRN",27033324,24749264,28146010,23857306,55968788,23347040,32045484,34925184,34968428,23617254,24612958,25367610,25139404,28462400,29609828,24162506,24307522,23486004,23533816,24139742,23637820,23995090,27012108,23948226,22916800,25846622,22410970
"1378","Q9NRL3","STRN4",9851489,8598795,9758518,6836713,13093182,7163101,10973616,9731400,12819110,7450023,8207879.5,9929842,7667256.5,8177177.5,6880846,8611324,9310064,8627078,8176167,8029763,8749817,7285837.5,10162890,8226979,7993046,8510802,7442300
"1379","Q8WTW3","COG1",749558.6875,714228.0625,547649.625,821409.9375,NA,761219.875,NA,NA,NA,937324.1875,907353.1875,863070.3125,908179.5625,818108.4375,782434.25,1088787.125,570848.5625,800797.375,663442.625,744702.6875,858625.5,657085.6875,708677.875,849418.75,966785.4375,908838.75,900442.375
"1380","Q8TDY2","RB1CC1",937201.3125,650582.75,694595.0625,883629.1875,NA,805226.0625,454033.75,NA,NA,281465.3438,554346,559239.8125,NA,550230.125,470399.0938,494463.75,483966.6563,360298.6563,547699.25,820405.25,247337.1719,862603.4375,NA,517678.7188,NA,NA,685425.625
"1381","O00231","PSMD11",45624672,44463752,43303436,50398680,18310540,45208408,30044284,14276786,29391938,41741512,44355868,39075028,36848344,44328252,48410636,46225272,35178128,34593752,34271948,38025012,36484368,40457052,35998888,45595612,32453152,31521508,37776904
"1382","Q8WVM7","STAG1",4505906,6991530.5,5216206.5,7633768,10564445,7978814.5,6320015.5,NA,5723263.5,9447615,11419973,6226091,17890364,11430213,16481332,9495218,8600788,8921845,10940580,10748342,9868426,9872552,9341338,7317458,9853793,14492287,9254897
"1383","Q32P41","TRMT5",10156414,10173836,10074980,9043945,4054598,9279487,9976380,4777512,7662436,4910081.5,8719603,8214085.5,6084322,8587566,10180816,7034605.5,6294039.5,7121000,8078555.5,7044385.5,8632475,6814771.5,9212954,7511393,5367546.5,7556840.5,7731966
"1384","Q04323","UBXN1",110093904,98110032,129474920,80776952,163981008,90982696,277545888,295380928,307036288,115033616,100628104,257680304,82754064,57016196,40683640,182048752,216198704,201651088,164455872,116662720,274290944,157936448,343272672,243123376,219683600,228465872,159322048
"1385","P53814","SMTN",1951013.75,1462250,2072806.375,2002690.875,2727530.25,1946215.5,2767569,4888115.5,3058510.25,2792448,2017339.25,3322219.5,2181607.75,2028236.875,1971084.125,3796591.5,3591435.5,2852929.25,2920218.75,2724987.75,4692369.5,3539548,6301947,3861936.5,4037758.25,3294521.5,3660384.75
"1386","P42566","EPS15",3029133.75,4698458,3565831,2363177.25,4685829.5,4695444,3488885.75,4122294,6626356,5096035,4195907.5,4957162.5,6878084.5,3430934,3543566.5,5434805,5314940.5,5154826.5,4688102.5,5156693.5,6858703,4659331,6924047.5,4954798,5632224.5,5773038,4283735
"1387","Q04726","TLE3",26406196,29070558,27718332,19581210,13667318,20823882,19532418,13487006,20705270,26945740,28328584,26648908,27166208,31184880,33552808,26386612,31463240,26673548,20679954,23186018,22488542,20169514,28022766,24611882,23714312,19247768,24699264
"1388","Q9UPN3","MACF1",43578040,50319488,42019464,34426032,69438072,35605312,37774948,43381280,46587460,53536056,56060436,61123588,41332712,55283876,58578108,58069140,66037084,50134368,55555368,52341932,64213988,57933316,66882352,74462296,42626816,54046324,62451840
"1389","Q8WZ82","OVCA2",14178603,9577012,10674692,11759980,6924874,8847000,8992050,10019321,10742036,7871481.5,9025459,12296530,6254081.5,4996041,5250136.5,7926632,10670678,10075720,10152987,7536659.5,10119997,10701757,11495606,11879394,9982563,11667962,9835979
"1390","Q16890","TPD52L1",14900364,14360098,18160126,12359617,21709506,15617055,40010176,64424652,44432372,12416312,13404800,18674648,16388826,12452052,10840068,14517085,19416200,18769650,14892634,14587750,16877302,17116026,27059314,20936220,17227298,17703940,13753683
"1391","Q9H6R4","NOL6",9971025,14730098,11747844,19219684,9413092,19651026,8264913,5430842.5,10326987,19207940,22762976,14553282,25959056,27555048,31300324,19493922,17171686,19518182,24265630,20450108,22170082,23713232,17331270,19801756,17489230,21689096,21489378
"1392","Q9H501","ESF1",23709192,29590738,31174038,32789740,43128852,33627560,34918784,31123890,43860132,41738476,41313944,45456584,43467180,40189592,44690336,44428308,49523796,43231388,46502228,39379640,64316536,56128344,71472784,64754664,53025884,53582160,59888172
"1393","Q02252","ALDH6A1",29904112,28432186,30937190,27716858,57347772,26021040,34670516,35176528,41029660,22323248,25927994,27244892,24264442,25041538,28185266,23212856,24614516,24631612,29294930,26748390,30165460,26153714,21753756,20405538,31146340,29402822,25319114
"1394","Q9UQV4","LAMP3",NA,NA,NA,NA,10052813,NA,2809208.25,7285029.5,6230811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1395","Q9NNW5","WDR6",24197976,22059430,22501368,27323090,10471688,27067754,11214981,7913488,14666514,12655916,14072539,11319325,16162315,17437664,21317444,13746992,13118247,11763794,15166614,13776910,14195289,14108479,15102484,13968946,14209913,17460146,15254949
"1396","Q9HB40","SCPEP1",10555414,8833813,11134531,14383648,16677455,16344933,12827861,12085139,14285232,10878669,12684874,15071292,18717908,15444686,17435848,9550350,15695183,14942664,25644220,20340842,21852072,25355664,26754058,24708732,22415308,25774850,20890230
"1397","Q13546","RIPK1",48724536,44615548,46371156,49207476,18603126,43648228,41747160,33182864,40977556,63049788,52783656,76950784,33118976,36076920,28543916,74565752,80535256,62660940,57351940,67277896,70646616,59103620,95778944,79962328,73829584,65836104,64763228
"1398","Q9H089","LSG1",59247808,54508528,63810432,67920176,83627456,59742376,57321404,52860300,64571364,66901084,66602068,61061256,81967488,76640456,92893264,53081552,73273232,54805220,61140236,60629428,80895304,81943264,92357424,83350608,68108376,87148776,88167200
"1399","Q9Y5Z4","HEBP2",11004442,12265613,13145288,7567916,30302684,13579784,23691730,27306646,26816500,11012413,9058523,12470825,10603456,7822960,7344386.5,12730277,12353519,14197762,17533538,15181507,17932216,14548872,21009638,14150636,16502649,12760133,11225071
