"","Protein.Group","Genes","LFQ.100_a_RDH12_atRAL5hr","LFQ.100_b_RDH12_atRAL5hr","LFQ.100_c_RDH12_atRAL5hr","LFQ.200_a_RDH12_atRAL5hr","LFQ.200_b_RDH12_atRAL5hr","LFQ.200_c_RDH12_atRAL5hr","LFQ.control_a_RDH12_atRAL5hr","LFQ.control_b_RDH12_atRAL5hr","LFQ.control_c_RDH12_atRAL5hr","LFQ.100_a_GFP_atRAL5hr+24h_recvr","LFQ.100_b_GFP_atRAL5hr+24h_recvr","LFQ.100_c_GFP_atRAL5hr+24h_recvr","LFQ.200_a_GFP_atRAL5hr+24h_recvr","LFQ.200_b_GFP_atRAL5hr+24h_recvr","LFQ.200_c_GFP_atRAL5hr+24h_recvr","LFQ.control_a_GFP_atRAL5hr+24h_recvr","LFQ.control_b_GFP_atRAL5hr+24h_recvr","LFQ.control_c_GFP_atRAL5hr+24h_recvr","LFQ.100_a_RDH12_atRAL5hr+24h_recvr","LFQ.100_b_RDH12_atRAL5hr+24h_recvr","LFQ.100_c_RDH12_atRAL5hr+24h_recvr","LFQ.200_a_RDH12_atRAL5hr+24h_recvr","LFQ.200_b_RDH12_atRAL5hr+24h_recvr","LFQ.200_c_RDH12_atRAL5hr+24h_recvr","LFQ.control_a_RDH12_atRAL5hr+24h_recvr","LFQ.control_b_RDH12_atRAL5hr+24h_recvr","LFQ.control_c_RDH12_atRAL5hr+24h_recvr"
"11","Q9BTD8","RBM42",36119336,37414816,45320640,41861880,138116512,34899676,78793176,99084656,79683400,55941452,51675288,62851364,63168136,49172796,55075140,61531884,69510440,55979592,67633456,62073236,84603568,64857644,86423768,77771072,82904536,75191304,92951712
"12","Q9P258","RCC2",144491808,174668512,180413904,121356688,354972192,181646048,252731104,261735536,344894592,151887648,178817168,152018816,218963856,181564464,211912896,136886960,205983632,167153312,140469248,157539392,162636928,152672000,183290192,155297904,160773680,169384432,155756320
"13","Q99856","ARID3A",15402036,12152207,16519052,19615906,19411276,19756676,22242758,17040548,19670138,16074174,19117052,21417524,26810422,24674108,28768776,17591270,20002194,18603484,16343761,18108888,18126382,17706744,24190080,19938690,15847354,17339508,17799028
"14","Q8NFZ5","TNIP2",642134.375,359394.6563,767460.875,356484.75,NA,389418.0938,946812.125,1732318.25,1669068.25,447975.1563,335503.7813,995818.75,NA,NA,NA,1138715.75,1106653.375,969666.5,706546.1875,579246.25,1165750.75,697640.125,1655005.625,972149.9375,1362310.5,1170685.5,892537.75
"15","Q68DK7","MSL1",4554467,3670297.75,5401265,5845045.5,10702157,5039379.5,8824515,12995048,9048151,13037946,8892127,13878351,12155087,8631102,10337066,16528134,14246977,11992288,15052766,13614308,22204420,13735285,26849320,18220606,19347702,18543390,19230838
"16","Q96L91","EP400",9160788,9667153,9385064,10630911,14084972,12758536,8166541.5,8736423,9367553,15570491,13637674,12192824,16174150,14288911,20268838,14782963,13174552,11700759,16892258,16260218,21419078,16228534,20528006,17710798,18377560,20361412,21166906
"17","P52701","MSH6",22616148,30525664,24399748,38280140,29479712,36267016,24736122,18932234,23176686,28326682,33466280,28759012,39433692,40577940,51672276,27753300,30198194,29793300,33073462,32376246,33099916,31282050,31528484,31569214,25875546,35753380,32563442
"18","Q6XQN6","NAPRT",9008881,8799209,10569755,4151051.5,6002602.5,5749652,52492720,80288608,66250600,9003463,7791927,11095100,5001531,4288853,4349106.5,13861130,20440734,12172108,8424463,9113152,15008801,8791119,21102280,10148284,13252499,15018182,11966200
"19","P55036","PSMD4",98269888,86456088,100430176,88063760,106974184,83062520,165183024,189659632,167361680,103295304,95747192,157878704,85608752,81845840,81391840,125110592,124214800,119575384,140764992,131747280,157404128,141194128,202760768,173277760,140348976,156715520,147249456
"20","A1X283","SH3PXD2B",20709102,23138000,26462646,18731444,28165412,20516280,33064274,52253596,39488044,26607364,24862372,26642774,20827694,19709702,18890174,26983628,27523982,25267682,25459088,23297282,36464280,31417922,41507064,36277996,28680736,26567952,31997064
"21","Q9BQE4","SELENOS",13672949,12778785,18387722,11961783,31007512,12834550,37274168,73159392,38376084,11781131,12370481,18745412,8338274.5,9113870,8660436,23503132,20741048,22707438,12491077,11351215,14495056,13711982,22434978,16585896,12784104,7667390,12644736
"22","Q8WWH5","TRUB1",9181179,9598733,8552306,10034519,7628215,9770508,10455309,6529581.5,8860248,9225397,9617576,8626421,7791807.5,9274711,10984100,10396602,7731252,7832608,7547230.5,7981214,7152311,7793366,7566844.5,7916354.5,7054503,10142642,7306119.5
"23","O95625","ZBTB11",4183225,5518593,5160414,6469859,12638608,7014213,6329105.5,9350437,7440742.5,6827965,7491611,5171009,10582305,9770667,10360171,5785967,5954550.5,6133513.5,5857313,6231179,5479504,6630938,8255298.5,6128013,5850100,7193738.5,5800852
"24","Q96GQ5","RUSF1",551175.75,592680.875,380117.625,476710,NA,378079.5938,234864.9531,NA,NA,326300.0625,362961.1563,270380.7813,371502.0938,947805.5625,676102.6875,NA,407772.0313,NA,661600,671716,598002.0625,577979.4375,447026.5,423696.375,551460.4375,684312.875,672192.8125
"25","Q8N8D1","PDCD7",3889982,2610325.5,4070548.25,3564312,8456239,3818135,8230386.5,17437740,7505697,3015748,2889160.75,3414390.75,2970418.25,3057296.75,2587542,4506309,3045005,3035697.75,3347654.75,3002430.25,3120718.25,3297877.25,4667829,2989515.5,3565230.75,4569317.5,2811178.5
"26","O95159","ZFPL1",23191062,17884944,21139092,24595432,60957428,22388632,38985340,76326944,44329164,11438743,11218370,13805091,13178619,9502133,13619771,15447630,16168775,16297856,14388856,11405714,16055949,14386006,17886564,16997980,19744426,30352684,16888822
"27","Q6P2E9","EDC4",29611056,25279936,26216326,29116312,19990520,24286118,20141850,19650484,17897032,18170902,20268016,26987482,16723727,22837224,22051406,20898780,25953344,23159088,25292102,21962980,24881172,25252100,24338972,31459072,26060814,25461324,26606634
"28","Q9NQP4","PFDN4",4548419,7197882.5,5178787,5031042,24029646,6934967,18129084,25260018,31735810,4083950.75,4145692.25,5893021,5437148.5,6251474.5,3404738,5938379.5,7669264.5,4957422,4668657,6099980,10502960,4319177,12183345,8926380,5053726.5,2089283,7302031.5
