"","X","Gene","contrast","p.val","p.adj","ratio"
"24408",24513,"USP46","GFP_200_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.282297415076124,0.872,0.694
"24409",24514,"USP46","RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",6.67791062585336e-11,6.04e-14,-7.77
"24410",24515,"USP46","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr",3.02451607198051e-11,4.27e-08,-8.12
"24411",24516,"USP46","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",6.11546743831708e-11,2.67e-14,-7.81
"24412",24517,"USP46","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",1.02300551027588e-08,1,5.81
"24413",24518,"USP46","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",5.45603028440692e-10,0.000669,-6.9
"24414",24519,"USP46","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr.24h_recvr",0.121638055905092,0.457,1.01
"24415",24520,"USP46","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_200_atRAL5hr",9.90887436850869e-10,0.00072,-6.67
"24416",24521,"USP46","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",7.21449424152462e-10,5.25e-14,-6.79
"24417",24522,"USP46","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr",0.498635228030985,0.743,-0.433
"24418",24523,"USP46","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr",3.61687828947672e-08,1.96e-05,5.38
"24419",24524,"USP46","RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.363333219125206,0.821,0.584
"24420",24525,"USP46","RDH12_control_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr",2.51044940763981e-08,0.282,5.5
"24421",24526,"USP54","GFP_100_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.980301734626277,0.972,-0.0062
"24422",24527,"USP54","GFP_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",0.434194861487069,0.908,-0.198
"24423",24528,"USP54","GFP_200_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.420159989930878,0.888,-0.204
"24424",24529,"USP54","RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",0.476059633738586,0.833,0.18
"24425",24530,"USP54","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr",0.0249291691330863,0.699,0.601
"24426",24531,"USP54","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.308032015721184,0.419,-0.259
"24427",24532,"USP54","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",4.64483300809213e-15,1,5.11
"24428",24533,"USP54","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",0.0149072181299259,0.816,0.66
"24429",24534,"USP54","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr.24h_recvr",0.268943091116899,0.709,0.282
"24430",24535,"USP54","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_200_atRAL5hr",0.0594236251261356,0.857,0.495
"24431",24536,"USP54","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.928383983006591,0.933,0.0226
"24432",24537,"USP54","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr",0.133889465756598,0.595,0.387
"24433",24538,"USP54","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr",1.12122331357859e-15,3.36e-14,5.49
"24434",24539,"USP54","RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.0958127306302204,0.583,0.433
"24435",24540,"USP54","RDH12_control_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr",2.23133016745117e-16,1.27e-09,5.97
"24436",24541,"UVRAG","GFP_100_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.959497225298732,0.971,-0.0649
"24437",24542,"UVRAG","GFP_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",0.422830115621454,0.907,-1.03
"24438",24543,"UVRAG","GFP_200_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.394760950083183,0.886,-1.1
"24439",24544,"UVRAG","RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",0.000144614256340898,0.00106,-5.89
"24440",24545,"UVRAG","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr",0.000805403875690607,0.377,-4.97
"24441",24546,"UVRAG","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.708365355022771,0.836,0.479
"24442",24547,"UVRAG","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",0.00651868380800574,1,-3.83
"24443",24548,"UVRAG","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",0.730690930528101,0.938,0.441
"24444",24549,"UVRAG","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr.24h_recvr",0.000434824299643657,0.000119,5.3
"24445",24550,"UVRAG","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_200_atRAL5hr",0.126736985866559,0.883,-2.01
"24446",24551,"UVRAG","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.000178393927687485,6.63e-05,5.78
"24447",24552,"UVRAG","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr",0.0782632471384097,0.538,2.34
"24448",24553,"UVRAG","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr",0.252747573412789,0.378,-1.49
"24449",24554,"UVRAG","RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",5.31451418003751e-05,0.000891,-6.43
"24450",24555,"UVRAG","RDH12_control_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr",3.92358018484834e-07,0.489,-9.27
"24451",24556,"UXT","GFP_100_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.516628934191013,0.939,-0.122
"24452",24557,"UXT","GFP_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",3.37218836895832e-05,0.128,-0.982
"24453",24558,"UXT","GFP_200_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",7.60622024759393e-06,0.146,-1.1
"24454",24559,"UXT","RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",0.952365897161253,0.905,-0.0112
"24455",24560,"UXT","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr",0.384455881544066,0.87,-0.165
"24456",24561,"UXT","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.918424678496042,0.894,-0.0192
"24457",24562,"UXT","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",6.10552886000123e-07,1,-1.32
"24458",24563,"UXT","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",1.06537933161722e-05,0.234,1.08
"24459",24564,"UXT","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr.24h_recvr",0.575385179093668,0.865,0.106
"24460",24565,"UXT","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_200_atRAL5hr",0.400831680173672,0.916,0.159
"24461",24566,"UXT","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.64644350048121,0.902,0.0864
"24462",24567,"UXT","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr",0.252523499827357,0.665,-0.219
"24463",24568,"UXT","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr",5.86868547225488e-08,3.75e-05,-1.54
"24464",24569,"UXT","RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.544191009672259,0.867,-0.114
"24465",24570,"UXT","RDH12_control_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr",1.2548710237598e-07,0.4,-1.47
"24466",24571,"VAMP7","GFP_100_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.829619008519202,0.966,0.0465
"24467",24572,"VAMP7","GFP_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",0.01262062675761,0.663,0.584
"24468",24573,"VAMP7","GFP_200_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.00776302721865574,0.643,0.63
"24469",24574,"VAMP7","RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",0.944657144635486,0.904,0.015
"24470",24575,"VAMP7","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr",0.00311996212190153,0.492,-0.715
"24471",24576,"VAMP7","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.941459333477429,0.899,0.0159
"24472",24577,"VAMP7","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",0.000970959878996275,1,0.822
"24473",24578,"VAMP7","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",0.00469050329647002,0.752,-0.678
"24474",24579,"VAMP7","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr.24h_recvr",0.61549908569866,0.874,-0.109
"24475",24580,"VAMP7","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_200_atRAL5hr",4.60077679915774e-05,0.326,-1.1
"24476",24581,"VAMP7","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.667632743726049,0.905,-0.093
"24477",24582,"VAMP7","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr",0.210172423442587,0.646,0.276
"24478",24583,"VAMP7","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr",4.70663999508649e-05,0.0175,1.1
"24479",24584,"VAMP7","RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.832748185072193,0.904,0.0456
"24480",24585,"VAMP7","RDH12_control_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr",0.674698741158331,0.967,0.0909
"24481",24586,"VANGL1","GFP_100_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.484118432385916,0.934,0.208
"24482",24587,"VANGL1","GFP_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",0.102335275842086,0.838,0.5
"24483",24588,"VANGL1","GFP_200_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.0248276564583942,0.738,0.708
"24484",24589,"VANGL1","RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",0.852831028359764,0.896,0.0549
"24485",24590,"VANGL1","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr",0.0090171402891723,0.606,-0.843
"24486",24591,"VANGL1","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.7746473868333,0.859,0.0847
"24487",24592,"VANGL1","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",4.61681940718807e-07,1,2.12
"24488",24593,"VANGL1","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",0.200305684155116,0.908,-0.387
"24489",24594,"VANGL1","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr.24h_recvr",0.843970539407218,0.91,0.0582
"24490",24595,"VANGL1","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_200_atRAL5hr",0.00367916813790552,0.71,-0.959
"24491",24596,"VANGL1","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.629737671865835,0.9,0.143
"24492",24597,"VANGL1","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr",0.559336412301251,0.756,0.173
"24493",24598,"VANGL1","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr",1.40054517518581e-07,0.000117,2.3
"24494",24599,"VANGL1","RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.548315539054697,0.867,0.178
"24495",24600,"VANGL1","RDH12_control_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr",0.000561144048980919,0.875,1.19
"24496",24601,"VANGL2","GFP_100_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.951196409786173,0.971,-0.0307
"24497",24602,"VANGL2","GFP_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",0.0795475530189541,0.823,0.913
"24498",24603,"VANGL2","GFP_200_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.0893952098861366,0.818,0.883
"24499",24604,"VANGL2","RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",0.292685857547298,0.758,0.535
"24500",24605,"VANGL2","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr",0.923275099733407,0.907,0.0483
"24501",24606,"VANGL2","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.752704793602937,0.852,-0.158
"24502",24607,"VANGL2","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",1.55779795218258e-08,1,4.46
"24503",24608,"VANGL2","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",0.133231155512031,0.897,-0.774
"24504",24609,"VANGL2","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr.24h_recvr",0.433788458434945,0.819,-0.395
"24505",24610,"VANGL2","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_200_atRAL5hr",0.226001859934757,0.9,-0.618
"24506",24611,"VANGL2","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.276657054068525,0.774,-0.553
"24507",24612,"VANGL2","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr",0.589918510311734,0.761,0.271
"24508",24613,"VANGL2","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr",5.8616695245018e-09,1.15e-06,4.73
"24509",24614,"VANGL2","RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.195799462992678,0.728,0.662
"24510",24615,"VANGL2","RDH12_control_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr",7.37759469360986e-09,0.198,4.67
"24511",24616,"VARS2","GFP_100_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.613030025452211,0.951,0.262
"24512",24617,"VARS2","GFP_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",0.221154982783856,0.88,0.644
"24513",24618,"VARS2","GFP_200_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.0907449081180186,0.819,0.905
"24514",24619,"VARS2","RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",0.633795191502952,0.867,0.247
"24515",24620,"VARS2","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr",0.350355738393561,0.866,0.487
"24516",24621,"VARS2","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.939660905994445,0.898,-0.0391
"24517",24622,"VARS2","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",1.31242583570031e-08,1,4.65
"24518",24623,"VARS2","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",0.194156240543215,0.907,-0.685
"24519",24624,"VARS2","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr.24h_recvr",0.578797918433956,0.866,-0.288
"24520",24625,"VARS2","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_200_atRAL5hr",0.304608135541484,0.908,-0.537
"24521",24626,"VARS2","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.528796010233602,0.88,-0.327
"24522",24627,"VARS2","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr",0.163735241753396,0.618,0.737
"24523",24628,"VARS2","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr",1.09266464479e-09,5.31e-08,5.38
"24524",24629,"VARS2","RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.295441857324598,0.793,0.548
"24525",24630,"VARS2","RDH12_control_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr",2.16698432822024e-09,0.127,5.17
"24526",24631,"VASN","GFP_100_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.972980088052765,0.972,-0.0324
"24527",24632,"VASN","GFP_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",0.377661055127078,0.903,0.852
"24528",24633,"VASN","GFP_200_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.395721490066392,0.886,0.82
"24529",24634,"VASN","RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",0.308442560288908,0.767,-0.987
"24530",24635,"VASN","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr",2.10405225462681e-05,0.118,-5.2
"24531",24636,"VASN","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.0959998685207929,0.054,-1.65
"24532",24637,"VASN","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",0.258329109585418,1,-1.1
"24533",24638,"VASN","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",0.0880370229636227,0.885,-1.69
"24534",24639,"VASN","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr.24h_recvr",0.8787551427052,0.914,0.146
"24535",24640,"VASN","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_200_atRAL5hr",5.09383062446963e-07,0.0681,-6.82
"24536",24641,"VASN","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.127031179103002,0.564,-1.5
"24537",24642,"VASN","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr",0.0757733129700771,0.535,1.77
"24538",24643,"VASN","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr",0.486684011144586,0.447,0.669
"24539",24644,"VASN","RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.51248196189975,0.861,0.63
"24540",24645,"VASN","RDH12_control_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr",8.02442068110807e-05,0.816,-4.65
"24541",24646,"VASP","GFP_100_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.372213305498074,0.91,-0.181
"24542",24647,"VASP","GFP_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",0.00248997884082961,0.491,-0.683
"24543",24648,"VASP","GFP_200_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.000292883694562527,0.383,-0.864
"24544",24649,"VASP","RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",0.635256750110114,0.867,0.0953
"24545",24650,"VASP","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr",0.43749177718849,0.876,0.157
"24546",24651,"VASP","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.338496092452536,0.477,-0.194
"24547",24652,"VASP","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",2.45537291720027e-05,1,-1.08
"24548",24653,"VASP","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",2.46269097334174e-06,0.162,1.28
"24549",24654,"VASP","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr.24h_recvr",0.0195287444400434,0.0893,0.502
"24550",24655,"VASP","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_200_atRAL5hr",0.000218516667215043,0.456,0.888
"24551",24656,"VASP","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.135209250595817,0.584,0.308
"24552",24657,"VASP","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr",0.259603228512293,0.668,-0.23
"24553",24658,"VASP","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr",1.89051561157385e-06,0.00179,-1.3
"24554",24659,"VASP","RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.588766916632736,0.874,0.109
"24555",24660,"VASP","RDH12_control_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr",0.00153052868795764,0.897,-0.724
"24556",24661,"VAV2","GFP_100_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.616068856110032,0.951,0.147
"24557",24662,"VAV2","GFP_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",0.73631413403358,0.927,-0.0989
"24558",24663,"VAV2","GFP_200_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.868358385201935,0.914,0.0486
"24559",24664,"VAV2","RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",0.61632885685878,0.864,-0.147
"24560",24665,"VAV2","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr",0.383683251094048,0.87,0.258
"24561",24666,"VAV2","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.577631981419287,0.766,-0.164
"24562",24667,"VAV2","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",9.86170836771948e-06,1,1.69
"24563",24668,"VAV2","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",0.839489986091079,0.941,-0.0594
"24564",24669,"VAV2","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr.24h_recvr",0.970308376097745,0.923,-0.0109
"24565",24670,"VAV2","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_200_atRAL5hr",0.94809012150647,0.937,-0.0191
"24566",24671,"VAV2","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.55277506062288,0.885,-0.175
"24567",24672,"VAV2","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr",0.369076227762165,0.708,0.266
"24568",24673,"VAV2","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr",1.33542392669558e-06,0.00131,1.96
"24569",24674,"VAV2","RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.577380105228921,0.873,0.164
"24570",24675,"VAV2","RDH12_control_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr",4.35985407334106e-07,0.496,2.11
"24571",24676,"VAX2","GFP_100_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.492762405473171,0.936,-0.328
"24572",24677,"VAX2","GFP_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",0.175107747967625,0.868,-0.659
"24573",24678,"VAX2","GFP_200_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.0480799946417469,0.782,-0.987
"24574",24679,"VAX2","RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",0.572678312676413,0.855,0.269
"24575",24680,"VAX2","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr",0.0250829494539077,0.699,1.13
"24576",24681,"VAX2","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.946186093533755,0.9,0.032
"24577",24682,"VAX2","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",4.28058295459541e-06,1,-2.91
"24578",24683,"VAX2","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",0.0428746078857249,0.86,1.01
"24579",24684,"VAX2","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr.24h_recvr",0.857427185602995,0.912,0.0853
"24580",24685,"VAX2","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_200_atRAL5hr",0.525277716948318,0.922,0.303
"24581",24686,"VAX2","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.804881818518789,0.922,0.117
"24582",24687,"VAX2","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr",0.0645726199516461,0.522,0.917
"24583",24688,"VAX2","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr",0.000373923984886476,0.0475,-2
"24584",24689,"VAX2","RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.84849506237449,0.905,-0.0907
"24585",24690,"VAX2","RDH12_control_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr",0.000949219595976444,0.887,-1.81
"24586",24691,"VBP1","GFP_100_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.215473390372987,0.825,-0.377
"24587",24692,"VBP1","GFP_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",0.0307260730423988,0.75,-0.684
"24588",24693,"VBP1","GFP_200_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.00175460803997991,0.502,-1.06
"24589",24694,"VBP1","RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",0.260016134409645,0.736,0.341
"24590",24695,"VBP1","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr",0.710868385395135,0.896,0.111
"24591",24696,"VBP1","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.841341796562372,0.878,0.0597
"24592",24697,"VBP1","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",0.00013426640463221,1,-1.38
"24593",24698,"VBP1","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",5.626279399401e-05,0.352,1.49
"24594",24699,"VBP1","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr.24h_recvr",0.127491799628495,0.47,0.468
"24595",24700,"VBP1","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_200_atRAL5hr",0.0276755006086986,0.825,0.699
"24596",24701,"VBP1","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.0880810937626079,0.445,0.528
"24597",24702,"VBP1","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr",0.688111780237926,0.778,-0.12
"24598",24703,"VBP1","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr",5.21466677462618e-05,0.0185,-1.5
"24599",24704,"VBP1","RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.750290178490052,0.896,-0.095
