"","X","Gene","contrast","p.val","p.adj","ratio"
"39",54,"ABCB1","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr.24h_recvr",0.396124919360868,0.801,0.263
"40",55,"ABCB1","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_200_atRAL5hr",0.156261229570043,0.889,-0.446
"41",56,"ABCB1","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.485571487899219,0.869,0.215
"42",57,"ABCB1","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr",0.785447621228495,0.792,0.0836
"43",58,"ABCB1","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr",1.4011672986533e-09,8.74e-08,3.15
"44",59,"ABCB1","RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.815071275896795,0.902,0.0718
"45",60,"ABCB1","RDH12_control_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr",6.87759499073519e-08,0.349,2.49
"46",61,"ABCB10","GFP_100_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.0593944197711543,0.404,0.628
"47",62,"ABCB10","GFP_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",0.00643725454495381,0.585,0.955
"48",63,"ABCB10","GFP_200_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",6.1112510416333e-05,0.276,1.58
"49",64,"ABCB10","RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",0.695009074720623,0.876,0.125
"50",65,"ABCB10","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr",0.113384750446356,0.807,0.52
"51",66,"ABCB10","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.310546455113528,0.423,-0.327
"52",67,"ABCB10","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",0.0570889515567626,1,0.634
"53",68,"ABCB10","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",0.00222831289784201,0.701,-1.1
"54",69,"ABCB10","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr.24h_recvr",0.400440033877079,0.803,-0.27
"55",70,"ABCB10","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_200_atRAL5hr",0.0168963034137281,0.802,-0.818
