"","Gene","contrast","ratio","p.adj","direction"
"77","ATP5MK","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr",-0.63,0.0406737876350202,"down"
"78","ABCD4","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr",3.55,0.000264237720299932,"up"
"79","SLC39A10","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr",2.32,0.000117298712051257,"up"
"80","ATP5PF","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr",2.15,0.0117072773655137,"up"
"81","ATP6V1F","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr",1.31,0.000556094029515872,"up"
"82","SLC39A6","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr",1.31,0.0188012730615657,"up"
"83","ATP6V1G2","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr",1.26,0.0204388809591866,"up"
"84","ATP5F1D","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr",1,0.0116436431312825,"up"
"85","SLC44A2","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr",0.803,0.00499742982588216,"up"
"86","SLC26A11","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",8.06,2.77633907671671e-05,"up"
"87","SLC46A3","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",5.71,1.78379079727357e-05,"up"
"88","ATP6V0D2","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",5.59,7.64081518154607e-06,"up"
"89","SLC39A7","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",5.58,0.00584398973605489,"up"
"90","SLC19A2","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",-3.85,0.0286973889987816,"down"
"91","SLC46A1","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",-3.37,0.0382606355762085,"down"
"92","ABCD4","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",-2.34,0.00353684638450836,"down"
"93","ATP5IF1","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",-2.18,0.00135001031907566,"down"
"94","ATP6V1G1","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",-2.08,0.000674772907462966,"down"
"95","ATP5PF","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",-1.57,0.0311901239150525,"down"
"96","ATP6V1F","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",-1.33,0.000388064847380063,"down"
"97","ATP23","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",-1.2,0.00886074577987529,"down"
"98","ATP6V1G2","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",-1.19,0.0142400999784915,"down"
"99","SLC39A10","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",-1.14,0.0133986976737836,"down"
"100","ATP6V1E1","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",-1.12,0.000273745438183575,"down"
