Protein.Group,Genes,protein_label,n_samples,n_missing,percent_missing
Q86UU0,BCL9L,BCL9L | Q86UU0,6,6,100
O14613,CDC42EP2,CDC42EP2 | O14613,6,6,100
Q5TA31,RNF187,RNF187 | Q5TA31,6,6,100
Q9C0H5,ARHGAP39,ARHGAP39 | Q9C0H5,6,5,83.33333333333333
Q6PGQ7,BORA,BORA | Q6PGQ7,6,5,83.33333333333333
Q5T0U0,CCDC122,CCDC122 | Q5T0U0,6,5,83.33333333333333
P0C221,CCDC175,CCDC175 | P0C221,6,5,83.33333333333333
Q5T4B2,CERCAM,CERCAM | Q5T4B2,6,5,83.33333333333333
Q70JA7,CHSY3,CHSY3 | Q70JA7,6,5,83.33333333333333
P49747,COMP,COMP | P49747,6,5,83.33333333333333
Q6ZWL3,CYP4V2,CYP4V2 | Q6ZWL3,6,5,83.33333333333333
Q8N7B9,EFCAB3,EFCAB3 | Q8N7B9,6,5,83.33333333333333
Q8TF65,GIPC2,GIPC2 | Q8TF65,6,5,83.33333333333333
P17693,HLA-G,HLA-G | P17693,6,5,83.33333333333333
Q5VY09,IER5,IER5 | Q5VY09,6,5,83.33333333333333
Q92628,KIAA0232,KIAA0232 | Q92628,6,5,83.33333333333333
Q50LG9,LRRC24,LRRC24 | Q50LG9,6,5,83.33333333333333
Q969L2,MAL2,MAL2 | Q969L2,6,5,83.33333333333333
P51511,MMP15,MMP15 | P51511,6,5,83.33333333333333
P43699,NKX2-1,NKX2-1 | P43699,6,5,83.33333333333333
P28328,PEX2,PEX2 | P28328,6,5,83.33333333333333
Q9Y5Y9,SCN10A,SCN10A | Q9Y5Y9,6,5,83.33333333333333
Q8TEQ0,SNX29,SNX29 | Q8TEQ0,6,5,83.33333333333333
Q9Y5K1,SPO11,SPO11 | Q9Y5K1,6,5,83.33333333333333
Q8TBP0,TBC1D16,TBC1D16 | Q8TBP0,6,5,83.33333333333333
A6NGB9,WIPF3,WIPF3 | A6NGB9,6,5,83.33333333333333
O94805,ACTL6B,ACTL6B | O94805,6,4,66.66666666666667
P98196,ATP11A,ATP11A | P98196,6,4,66.66666666666667
Q9H0C5,BTBD1,BTBD1 | Q9H0C5,6,4,66.66666666666667
P51636,CAV2,CAV2 | P51636,6,4,66.66666666666667
Q6NZI2,CAVIN1,CAVIN1 | Q6NZI2,6,4,66.66666666666667
Q8NHQ1,CEP70,CEP70 | Q8NHQ1,6,4,66.66666666666667
P14384,CPM,CPM | P14384,6,4,66.66666666666667
Q8WUJ1,CYB5D2,CYB5D2 | Q8WUJ1,6,4,66.66666666666667
O43739,CYTH3,CYTH3 | O43739,6,4,66.66666666666667
Q8N8Z6,DCBLD1,DCBLD1 | Q8N8Z6,6,4,66.66666666666667
Q6P3S1,DENND1B,DENND1B | Q6P3S1,6,4,66.66666666666667
P78352,DLG4,DLG4 | P78352,6,4,66.66666666666667
P49184,DNASE1L1,DNASE1L1 | P49184,6,4,66.66666666666667
O43854,EDIL3,EDIL3 | O43854,6,4,66.66666666666667
P52797,EFNA3,EFNA3 | P52797,6,4,66.66666666666667
P52799,EFNB2,EFNB2 | P52799,6,4,66.66666666666667
Q63HQ2,EGFLAM,EGFLAM | Q63HQ2,6,4,66.66666666666667
Q16206,ENOX2,ENOX2 | Q16206,6,4,66.66666666666667
Q9H201,EPN3,EPN3 | Q9H201,6,4,66.66666666666667
Q96K12,FAR2,FAR2 | Q96K12,6,4,66.66666666666667
P21802,FGFR2,FGFR2 | P21802,6,4,66.66666666666667
Q13585,GPR50,GPR50 | Q13585,6,4,66.66666666666667
Q6IC98,GRAMD4,GRAMD4 | Q6IC98,6,4,66.66666666666667
P01911,HLA-DRB1,HLA-DRB1 | P01911,6,4,66.66666666666667
Q8TDY8,IGDCC4,IGDCC4 | Q8TDY8,6,4,66.66666666666667
Q86W47,KCNMB4,KCNMB4 | Q86W47,6,4,66.66666666666667
Q9HCI6,KIAA1586,KIAA1586 | Q9HCI6,6,4,66.66666666666667
O75096,LRP4,LRP4 | O75096,6,4,66.66666666666667
Q04912,MST1R,MST1R | Q04912,6,4,66.66666666666667
Q9H2Z4,NKX2-4,NKX2-4 | Q9H2Z4,6,4,66.66666666666667
P55055,NR1H2,NR1H2 | P55055,6,4,66.66666666666667
O60462,NRP2,NRP2 | O60462,6,4,66.66666666666667
P29074,PTPN4,PTPN4 | P29074,6,4,66.66666666666667
O95997,PTTG1,PTTG1 | O95997,6,4,66.66666666666667
Q96BY9,SARAF,SARAF | Q96BY9,6,4,66.66666666666667
P31431,SDC4,SDC4 | P31431,6,4,66.66666666666667
Q8NE22,SETD9,SETD9 | Q8NE22,6,4,66.66666666666667
Q9UHA2,SS18L2,SS18L2 | Q9UHA2,6,4,66.66666666666667
Q9UGK3,STAP2,STAP2 | Q9UGK3,6,4,66.66666666666667
Q1ZZU3,SWI5,SWI5 | Q1ZZU3,6,4,66.66666666666667
Q6ZT07,TBC1D9,TBC1D9 | Q6ZT07,6,4,66.66666666666667
Q7Z6R9,TFAP2D,TFAP2D | Q7Z6R9,6,4,66.66666666666667
Q9GZN2,TGIF2,TGIF2 | Q9GZN2,6,4,66.66666666666667
O94876,TMCC1,TMCC1 | O94876,6,4,66.66666666666667
Q6IEE7,TMEM132E,TMEM132E | Q6IEE7,6,4,66.66666666666667
P41273,TNFSF9,TNFSF9 | P41273,6,4,66.66666666666667
Q8NHX9,TPCN2,TPCN2 | Q8NHX9,6,4,66.66666666666667
P36406,TRIM23,TRIM23 | P36406,6,4,66.66666666666667
O43543,XRCC2,XRCC2 | O43543,6,4,66.66666666666667
P17010,ZFX,ZFX | P17010,6,4,66.66666666666667
Q86VK4,ZNF410,ZNF410 | Q86VK4,6,4,66.66666666666667
Q96LX8,ZNF597,ZNF597 | Q96LX8,6,4,66.66666666666667
P45844,ABCG1,ABCG1 | P45844,6,3,50
Q7L211,ABHD13,ABHD13 | Q7L211,6,3,50
Q96GS6,ABHD17A,ABHD17A | Q96GS6,6,3,50
Q0P651,ABHD18,ABHD18 | Q0P651,6,3,50
P22303,ACHE,ACHE | P22303,6,3,50
P35609,ACTN2,ACTN2 | P35609,6,3,50
Q96JD6,AKR1E2,AKR1E2 | Q96JD6,6,3,50
Q9H7F0,ATP13A3,ATP13A3 | Q9H7F0,6,3,50
Q9NZS9,BFAR,BFAR | Q9NZS9,6,3,50
Q9NWW7,C2orf42,C2orf42 | Q9NWW7,6,3,50
Q8N1Q1,CA13,CA13 | Q8N1Q1,6,3,50
Q5T9S5,CCDC18,CCDC18 | Q5T9S5,6,3,50
O94986,CEP152,CEP152 | O94986,6,3,50
O95832,CLDN1,CLDN1 | O95832,6,3,50
Q9NXG0,CNTLN,CNTLN | Q9NXG0,6,3,50
Q12887,COX10,COX10 | Q12887,6,3,50
P00450,CP,CP | P00450,6,3,50
Q9UJA2,CRLS1,CRLS1 | Q9UJA2,6,3,50
Q16526,CRY1,CRY1 | Q16526,6,3,50
Q9H816,DCLRE1B,DCLRE1B | Q9H816,6,3,50
Q13542,EIF4EBP2,EIF4EBP2 | Q13542,6,3,50
P13929,ENO3,ENO3 | P13929,6,3,50
O75354,ENTPD6,ENTPD6 | O75354,6,3,50
A6NHQ4,EPOP,EPOP | A6NHQ4,6,3,50
O95718,ESRRB,ESRRB | O95718,6,3,50
Q5VUB5,FAM171A1,FAM171A1 | Q5VUB5,6,3,50
Q6PEV8,FAM199X,FAM199X | Q6PEV8,6,3,50
Q9NYF3,FAM53C,FAM53C | Q9NYF3,6,3,50
Q86V87,FHIP2B,FHIP2B | Q86V87,6,3,50
P09958,FURIN,FURIN | P09958,6,3,50
Q8TAK5,GABPB2,GABPB2 | Q8TAK5,6,3,50
Q9P107,GMIP,GMIP | Q9P107,6,3,50
Q9ULK0,GRID1,GRID1 | Q9ULK0,6,3,50
Q96MM6,HSPA12B,HSPA12B | Q96MM6,6,3,50
O75144,ICOSLG,ICOSLG | O75144,6,3,50
Q9UK53,ING1,ING1 | Q9UK53,6,3,50
P58166,INHBE,INHBE | P58166,6,3,50
O14713,ITGB1BP1,ITGB1BP1 | O14713,6,3,50
Q9NQC1,JADE2,JADE2 | Q9NQC1,6,3,50
Q6B0I6,KDM4D,KDM4D | Q6B0I6,6,3,50
Q6ZMT4,KDM7A,KDM7A | Q6ZMT4,6,3,50
O60268,KIAA0513,KIAA0513 | O60268,6,3,50
Q16363,LAMA4,LAMA4 | Q16363,6,3,50
Q15012,LAPTM4A,LAPTM4A | Q15012,6,3,50
O75197,LRP5,LRP5 | O75197,6,3,50
Q9NQG1,MANBAL,MANBAL | Q9NQG1,6,3,50
Q9H8J5,MANSC1,MANSC1 | Q9H8J5,6,3,50
Q8TD08,MAPK15,MAPK15 | Q8TD08,6,3,50
P58340,MLF1,MLF1 | P58340,6,3,50
P35548,MSX2,MSX2 | P35548,6,3,50
Q6P3R8,NEK5,NEK5 | Q6P3R8,6,3,50
Q6NVV3,NIPAL1,NIPAL1 | Q6NVV3,6,3,50
O95158,NXPH4,NXPH4 | O95158,6,3,50
Q53FV1,ORMDL2,ORMDL2 | Q53FV1,6,3,50
Q14442,PIGH,PIGH | Q14442,6,3,50
Q9BRB3,PIGQ,PIGQ | Q9BRB3,6,3,50
Q8N2A8,PLD6,PLD6 | Q8N2A8,6,3,50
P55058,PLTP,PLTP | P55058,6,3,50
Q9NZ53,PODXL2,PODXL2 | Q9NZ53,6,3,50
P04156,PRNP,PRNP | P04156,6,3,50
P28827,PTPRM,PTPRM | P28827,6,3,50
O43374,RASA4,RASA4 | O43374,6,3,50
Q96NR8,RDH12,RDH12 | Q96NR8,6,3,50
Q96IC2,REXO5,REXO5 | Q96IC2,6,3,50
Q8TAC1,RFESD,RFESD | Q8TAC1,6,3,50
Q86UN3,RTN4RL2,RTN4RL2 | Q86UN3,6,3,50
P18827,SDC1,SDC1 | P18827,6,3,50
P78324,SIRPA,SIRPA | P78324,6,3,50
P35711,SOX5,SOX5 | P35711,6,3,50
O43805,SSNA1,SSNA1 | O43805,6,3,50
Q8NDV1,ST6GALNAC3,ST6GALNAC3 | Q8NDV1,6,3,50
Q5VXT5,SYPL2,SYPL2 | Q5VXT5,6,3,50
Q15569,TESK1,TESK1 | Q15569,6,3,50
P10646,TFPI,TFPI | P10646,6,3,50
Q9H7F4,TMEM185B,TMEM185B | Q9H7F4,6,3,50
P0DTL5,TMEM276,TMEM276 | P0DTL5,6,3,50
Q9UPV9,TRAK1,TRAK1 | Q9UPV9,6,3,50
O14717,TRDMT1,TRDMT1 | O14717,6,3,50
Q9HCM9,TRIM39,TRIM39 | Q9HCM9,6,3,50
Q9BZM4,ULBP3,ULBP3 | Q9BZM4,6,3,50
Q8IZN3,ZDHHC14,ZDHHC14 | Q8IZN3,6,3,50
Q96NJ6,ZFP3,ZFP3 | Q96NJ6,6,3,50
Q9UDV7,ZNF282,ZNF282 | Q9UDV7,6,3,50
Q8NF99,ZNF397,ZNF397 | Q8NF99,6,3,50
Q8N3J9,ZNF664,ZNF664 | Q8N3J9,6,3,50
Q8IWY8,ZSCAN29,ZSCAN29 | Q8IWY8,6,3,50
Q8WWZ7,ABCA5,ABCA5 | Q8WWZ7,6,2,33.333333333333336
Q9BYF1,ACE2,ACE2 | Q9BYF1,6,2,33.333333333333336
Q86TW2,ADCK1,ADCK1 | Q86TW2,6,2,33.333333333333336
Q13686,ALKBH1,ALKBH1 | Q13686,6,2,33.333333333333336
Q5JTC6,AMER1,AMER1 | Q5JTC6,6,2,33.333333333333336
Q8N1W1,ARHGEF28,ARHGEF28 | Q8N1W1,6,2,33.333333333333336
P13637,ATP1A3,ATP1A3 | P13637,6,2,33.333333333333336
P98198,ATP8B2,ATP8B2 | P98198,6,2,33.333333333333336
Q9BYV9,BACH2,BACH2 | Q9BYV9,6,2,33.333333333333336
Q9BQE9,BCL7B,BCL7B | Q9BQE9,6,2,33.333333333333336
O60238,BNIP3L,BNIP3L | O60238,6,2,33.333333333333336
P0C0L4,C4A,C4A | P0C0L4,6,2,33.333333333333336
Q8NCB2,CAMKV,CAMKV | Q8NCB2,6,2,33.333333333333336
P27701,CD82,CD82 | P27701,6,2,33.333333333333336
P38936,CDKN1A,CDKN1A | P38936,6,2,33.333333333333336
O43529,CHST10,CHST10 | O43529,6,2,33.333333333333336
Q9P003,CNIH4,CNIH4 | Q9P003,6,2,33.333333333333336
Q9NRU3,CNNM1,CNNM1 | Q9NRU3,6,2,33.333333333333336
P02452,COL1A1,COL1A1 | P02452,6,2,33.333333333333336
P20908,COL5A1,COL5A1 | P20908,6,2,33.333333333333336
Q14061,COX17,COX17 | Q14061,6,2,33.333333333333336
Q8N8Q8,COX18,COX18 | Q8N8Q8,6,2,33.333333333333336
Q9Y646,CPQ,CPQ | Q9Y646,6,2,33.333333333333336
Q96HD1,CRELD1,CRELD1 | Q96HD1,6,2,33.333333333333336
Q9Y600,CSAD,CSAD | Q9Y600,6,2,33.333333333333336
Q9NSA3,CTNNBIP1,CTNNBIP1 | Q9NSA3,6,2,33.333333333333336
Q99418,CYTH2,CYTH2 | Q99418,6,2,33.333333333333336
Q9H4E7,DEF6,DEF6 | Q9H4E7,6,2,33.333333333333336
P17661,DES,DES | P17661,6,2,33.333333333333336
P25101,EDNRA,EDNRA | P25101,6,2,33.333333333333336
P52803,EFNA5,EFNA5 | P52803,6,2,33.333333333333336
O94988,FAM13A,FAM13A | O94988,6,2,33.333333333333336
Q92567,FAM168A,FAM168A | Q92567,6,2,33.333333333333336
Q00597,FANCC,FANCC | Q00597,6,2,33.333333333333336
Q8TDW7,FAT3,FAT3 | Q8TDW7,6,2,33.333333333333336
Q8WUP2,FBLIM1,FBLIM1 | Q8WUP2,6,2,33.333333333333336
Q01543,FLI1,FLI1 | Q01543,6,2,33.333333333333336
Q9NS18,GLRX2,GLRX2 | Q9NS18,6,2,33.333333333333336
P50150,GNG4,GNG4 | P50150,6,2,33.333333333333336
Q9BXV9,GON7,GON7 | Q9BXV9,6,2,33.333333333333336
Q9Y625,GPC6,GPC6 | Q9Y625,6,2,33.333333333333336
Q9NPR9,GPR108,GPR108 | Q9NPR9,6,2,33.333333333333336
Q8IYS0,GRAMD1C,GRAMD1C | Q8IYS0,6,2,33.333333333333336
Q9NZI5,GRHL1,GRHL1 | Q9NZI5,6,2,33.333333333333336
Q9Y5R4,HEMK1,HEMK1 | Q9Y5R4,6,2,33.333333333333336
Q30154,HLA-DRB5,HLA-DRB5 | Q30154,6,2,33.333333333333336
O00479,HMGN4,HMGN4 | O00479,6,2,33.333333333333336
P31276,HOXC13,HOXC13 | P31276,6,2,33.333333333333336
P40189,IL6ST,IL6ST | P40189,6,2,33.333333333333336
Q9P0J7,KCMF1,KCMF1 | Q9P0J7,6,2,33.333333333333336
Q9BVV6,KIAA0586,KIAA0586 | Q9BVV6,6,2,33.333333333333336
Q8IZD2,KMT2E,KMT2E | Q8IZD2,6,2,33.333333333333336
P32004,L1CAM,L1CAM | P32004,6,2,33.333333333333336
O15243,LEPROT,LEPROT | O15243,6,2,33.333333333333336
Q92539,LPIN2,LPIN2 | Q92539,6,2,33.333333333333336
Q86VH4,LRRTM4,LRRTM4 | Q86VH4,6,2,33.333333333333336
P51884,LUM,LUM | P51884,6,2,33.333333333333336
Q9NR34,MAN1C1,MAN1C1 | Q9NR34,6,2,33.333333333333336
Q9UPT6,MAPK8IP3,MAPK8IP3 | Q9UPT6,6,2,33.333333333333336
A4D2B0,MBLAC1,MBLAC1 | A4D2B0,6,2,33.333333333333336
Q9UL68,MYT1L,MYT1L | Q9UL68,6,2,33.333333333333336
Q96AH0,NABP1,NABP1 | Q96AH0,6,2,33.333333333333336
P61601,NCALD,NCALD | P61601,6,2,33.333333333333336
Q8NFZ4,NLGN2,NLGN2 | Q8NFZ4,6,2,33.333333333333336
Q9HBL8,NMRAL1,NMRAL1 | Q9HBL8,6,2,33.333333333333336
Q9Y6K5,OAS3,OAS3 | Q9Y6K5,6,2,33.333333333333336
Q96R72,OR4K3,OR4K3 | Q96R72,6,2,33.333333333333336
Q8N4S7,PAQR4,PAQR4 | Q8N4S7,6,2,33.333333333333336
Q9HC56,PCDH9,PCDH9 | Q9HC56,6,2,33.333333333333336
Q9NV79,PCMTD2,PCMTD2 | Q9NV79,6,2,33.333333333333336
Q08499,PDE4D,PDE4D | Q08499,6,2,33.333333333333336
Q96HA9,PEX11G,PEX11G | Q96HA9,6,2,33.333333333333336
Q15124,PGM5,PGM5 | Q15124,6,2,33.333333333333336
A0A0B4J2F0,PIGBOS1,PIGBOS1 | A0A0B4J2F0,6,2,33.333333333333336
Q6ZWE6,PLEKHM3,PLEKHM3 | Q6ZWE6,6,2,33.333333333333336
Q9Y244,POMP,POMP | Q9Y244,6,2,33.333333333333336
Q15063,POSTN,POSTN | Q15063,6,2,33.333333333333336
P20265,POU3F2,POU3F2 | P20265,6,2,33.333333333333336
Q9Y5P8,PPP2R3B,PPP2R3B | Q9Y5P8,6,2,33.333333333333336
Q9Y255,PRELID1,PRELID1 | Q9Y255,6,2,33.333333333333336
Q96N28,PRELID3A,PRELID3A | Q96N28,6,2,33.333333333333336
P55345,PRMT2,PRMT2 | P55345,6,2,33.333333333333336
Q2NL68,PROSER3,PROSER3 | Q2NL68,6,2,33.333333333333336
P41219,PRPH,PRPH | P41219,6,2,33.333333333333336
Q8WV60,PTCD2,PTCD2 | Q8WV60,6,2,33.333333333333336
A2A3K4,PTPDC1,PTPDC1 | A2A3K4,6,2,33.333333333333336
P29350,PTPN6,PTPN6 | P29350,6,2,33.333333333333336
Q5TGL8,PXDC1,PXDC1 | Q5TGL8,6,2,33.333333333333336
P48380,RFX3,RFX3 | P48380,6,2,33.333333333333336
Q9NTX7,RNF146,RNF146 | Q9NTX7,6,2,33.333333333333336
Q9BY78,RNF26,RNF26 | Q9BY78,6,2,33.333333333333336
P25815,S100P,S100P | P25815,6,2,33.333333333333336
O95136,S1PR2,S1PR2 | O95136,6,2,33.333333333333336
Q9C0D9,SELENOI,SELENOI | Q9C0D9,6,2,33.333333333333336
Q96P63,SERPINB12,SERPINB12 | Q96P63,6,2,33.333333333333336
Q86VZ5,SGMS1,SGMS1 | Q86VZ5,6,2,33.333333333333336
Q8NHU3,SGMS2,SGMS2 | Q8NHU3,6,2,33.333333333333336
Q2M3G4,SHROOM1,SHROOM1 | Q2M3G4,6,2,33.333333333333336
P12755,SKI,SKI | P12755,6,2,33.333333333333336
Q9Y2P4,SLC27A6,SLC27A6 | Q9Y2P4,6,2,33.333333333333336
Q96GZ6,SLC41A3,SLC41A3 | Q96GZ6,6,2,33.333333333333336
Q9Y6R1,SLC4A4,SLC4A4 | Q9Y6R1,6,2,33.333333333333336
P0DJ93,SMIM13,SMIM13 | P0DJ93,6,2,33.333333333333336
Q9NWM0,SMOX,SMOX | Q9NWM0,6,2,33.333333333333336
Q07890,SOS2,SOS2 | Q07890,6,2,33.333333333333336
O75716,STK16,STK16 | O75716,6,2,33.333333333333336
Q8NFX7,STXBP6,STXBP6 | Q8NFX7,6,2,33.333333333333336
O60347,TBC1D12,TBC1D12 | O60347,6,2,33.333333333333336
Q8N3R3,TCAIM,TCAIM | Q8N3R3,6,2,33.333333333333336
Q13488,TCIRG1,TCIRG1 | Q13488,6,2,33.333333333333336
Q10587,TEF,TEF | Q10587,6,2,33.333333333333336
Q9H5L6,THAP9,THAP9 | Q9H5L6,6,2,33.333333333333336
Q96AN5,TMEM143,TMEM143 | Q96AN5,6,2,33.333333333333336
B9EJG8,TMEM150C,TMEM150C | B9EJG8,6,2,33.333333333333336
Q9BUZ4,TRAF4,TRAF4 | Q9BUZ4,6,2,33.333333333333336
Q9NQ86,TRIM36,TRIM36 | Q9NQ86,6,2,33.333333333333336
Q6AZZ1,TRIM68,TRIM68 | Q6AZZ1,6,2,33.333333333333336
Q9ULT0,TTC7A,TTC7A | Q9ULT0,6,2,33.333333333333336
Q9BZM6,ULBP1,ULBP1 | Q9BZM6,6,2,33.333333333333336
Q69YU5,UQCC6,UQCC6 | Q69YU5,6,2,33.333333333333336
P13611,VCAN,VCAN | P13611,6,2,33.333333333333336
Q9NQA3,WASH6P,WASH6P | Q9NQA3,6,2,33.333333333333336
P17861,XBP1,XBP1 | P17861,6,2,33.333333333333336
Q9NRH1,YAE1,YAE1 | Q9NRH1,6,2,33.333333333333336
Q8NAP3,ZBTB38,ZBTB38 | Q8NAP3,6,2,33.333333333333336
Q8NCP5,ZBTB44,ZBTB44 | Q8NCP5,6,2,33.333333333333336
O15062,ZBTB5,ZBTB5 | O15062,6,2,33.333333333333336
Q9BRR0,ZKSCAN3,ZKSCAN3 | Q9BRR0,6,2,33.333333333333336
P17017,ZNF14,ZNF14 | P17017,6,2,33.333333333333336
P52746,ZNF142,ZNF142 | P52746,6,2,33.333333333333336
Q96JF6,ZNF594,ZNF594 | Q96JF6,6,2,33.333333333333336
Q96CK0,ZNF653,ZNF653 | Q96CK0,6,2,33.333333333333336
Q96N38,ZNF714,ZNF714 | Q96N38,6,2,33.333333333333336
Q96P50,ACAP3,ACAP3 | Q96P50,6,1,16.666666666666668
O75078,ADAM11,ADAM11 | O75078,6,1,16.666666666666668
O75689,ADAP1,ADAP1 | O75689,6,1,16.666666666666668
Q9HAR2,ADGRL3,ADGRL3 | Q9HAR2,6,1,16.666666666666668
P51826,AFF3,AFF3 | P51826,6,1,16.666666666666668
Q9BT30,ALKBH7,ALKBH7 | Q9BT30,6,1,16.666666666666668
P16157,ANK1,ANK1 | P16157,6,1,16.666666666666668
Q68DC2,ANKS6,ANKS6 | Q68DC2,6,1,16.666666666666668
A6NI28,ARHGAP42,ARHGAP42 | A6NI28,6,1,16.666666666666668
Q9HCE6,ARHGEF10L,ARHGEF10L | Q9HCE6,6,1,16.666666666666668
Q9Y6H3,ATP23,ATP23 | Q9Y6H3,6,1,16.666666666666668
Q9UIF8,BAZ2B,BAZ2B | Q9UIF8,6,1,16.666666666666668
O75815,BCAR3,BCAR3 | O75815,6,1,16.666666666666668
O00512,BCL9,BCL9 | O00512,6,1,16.666666666666668
Q5XKL5,BTBD8,BTBD8 | Q5XKL5,6,1,16.666666666666668
P62324,BTG1,BTG1 | P62324,6,1,16.666666666666668
Q8TF44,C2CD4C,C2CD4C | Q8TF44,6,1,16.666666666666668
Q96M89,CCDC138,CCDC138 | Q96M89,6,1,16.666666666666668
Q7Z3E2,CCDC186,CCDC186 | Q7Z3E2,6,1,16.666666666666668
Q9BUN5,CCDC28B,CCDC28B | Q9BUN5,6,1,16.666666666666668
Q9BR77,CCDC77,CCDC77 | Q9BR77,6,1,16.666666666666668
P24864,CCNE1,CCNE1 | P24864,6,1,16.666666666666668
Q6YHK3,CD109,CD109 | Q6YHK3,6,1,16.666666666666668
Q99618,CDCA3,CDCA3 | Q99618,6,1,16.666666666666668
P49336,CDK8,CDK8 | P49336,6,1,16.666666666666668
Q49AH0,CDNF,CDNF | Q49AH0,6,1,16.666666666666668
Q99626,CDX2,CDX2 | Q99626,6,1,16.666666666666668
Q15744,CEBPE,CEBPE | Q15744,6,1,16.666666666666668
Q9C0D2,CEP295,CEP295 | Q9C0D2,6,1,16.666666666666668
Q96EP1,CHFR,CHFR | Q96EP1,6,1,16.666666666666668
P52757,CHN2,CHN2 | P52757,6,1,16.666666666666668
P0C7P0,CISD3,CISD3 | P0C7P0,6,1,16.666666666666668
P05452,CLEC3B,CLEC3B | P05452,6,1,16.666666666666668
O43405,COCH,COCH | O43405,6,1,16.666666666666668
O75575,CRCP,CRCP | O75575,6,1,16.666666666666668
Q9HCP0,CSNK1G1,CSNK1G1 | Q9HCP0,6,1,16.666666666666668
Q6UVK1,CSPG4,CSPG4 | Q6UVK1,6,1,16.666666666666668
O95196,CSPG5,CSPG5 | O95196,6,1,16.666666666666668
Q8NBI2,CYB561A3,CYB561A3 | Q8NBI2,6,1,16.666666666666668
Q8TB45,DEPTOR,DEPTOR | Q8TB45,6,1,16.666666666666668
P52824,DGKQ,DGKQ | P52824,6,1,16.666666666666668
Q9UKB3,DNAJC12,DNAJC12 | Q9UKB3,6,1,16.666666666666668
O96015,DNAL4,DNAL4 | O96015,6,1,16.666666666666668
Q8N5C7,DTWD1,DTWD1 | Q8N5C7,6,1,16.666666666666668
Q15329,E2F5,E2F5 | Q15329,6,1,16.666666666666668
Q9BQI3,EIF2AK1,EIF2AK1 | Q9BQI3,6,1,16.666666666666668
Q14249,ENDOG,ENDOG | Q14249,6,1,16.666666666666668
Q9H0I2,ENKD1,ENKD1 | Q9H0I2,6,1,16.666666666666668
Q6P6B1,ERICH5,ERICH5 | Q6P6B1,6,1,16.666666666666668
P41162,ETV3,ETV3 | P41162,6,1,16.666666666666668
Q99502,EYA1,EYA1 | Q99502,6,1,16.666666666666668
Q6P2I3,FAHD2B,FAHD2B | Q6P2I3,6,1,16.666666666666668
Q8N0U4,FAM185A,FAM185A | Q8N0U4,6,1,16.666666666666668
Q96GI7,FAM89A,FAM89A | Q96GI7,6,1,16.666666666666668
P23142,FBLN1,FBLN1 | P23142,6,1,16.666666666666668
Q7Z6M2,FBXO33,FBXO33 | Q7Z6M2,6,1,16.666666666666668
Q6P3S6,FBXO42,FBXO42 | Q6P3S6,6,1,16.666666666666668
Q9BSK4,FEM1A,FEM1A | Q9BSK4,6,1,16.666666666666668
Q5JSP0,FGD3,FGD3 | Q5JSP0,6,1,16.666666666666668
P68106,FKBP1B,FKBP1B | P68106,6,1,16.666666666666668
P55316,FOXG1,FOXG1 | P55316,6,1,16.666666666666668
Q9P0K8,FOXJ2,FOXJ2 | Q9P0K8,6,1,16.666666666666668
Q8IVP5,FUNDC1,FUNDC1 | Q8IVP5,6,1,16.666666666666668
Q9BT04,FUZ,FUZ | Q9BT04,6,1,16.666666666666668
O60353,FZD6,FZD6 | O60353,6,1,16.666666666666668
O95166,GABARAP,GABARAP | O95166,6,1,16.666666666666668
P24522,GADD45A,GADD45A | P24522,6,1,16.666666666666668
Q9H706,GAREM1,GAREM1 | Q9H706,6,1,16.666666666666668
Q14410,GK2,GK2 | Q14410,6,1,16.666666666666668
Q96IK5,GMCL1,GMCL1 | Q96IK5,6,1,16.666666666666668
Q03113,GNA12,GNA12 | Q03113,6,1,16.666666666666668
O60262,GNG7,GNG7 | O60262,6,1,16.666666666666668
Q9UJJ9,GNPTG,GNPTG | Q9UJJ9,6,1,16.666666666666668
O75487,GPC4,GPC4 | O75487,6,1,16.666666666666668
Q96N19,GPR137,GPR137 | Q96N19,6,1,16.666666666666668
Q8N6U8,GPR161,GPR161 | Q8N6U8,6,1,16.666666666666668
Q9NZH0,GPRC5B,GPRC5B | Q9NZH0,6,1,16.666666666666668
P81274,GPSM2,GPSM2 | P81274,6,1,16.666666666666668
Q9H116,GZF1,GZF1 | Q9H116,6,1,16.666666666666668
B0YJ81,HACD1,HACD1 | B0YJ81,6,1,16.666666666666668
Q04756,HGFAC,HGFAC | Q04756,6,1,16.666666666666668
P17066,HSPA6,HSPA6 | P17066,6,1,16.666666666666668
P86397,HTD2,HTD2 | P86397,6,1,16.666666666666668
P22304,IDS,IDS | P22304,6,1,16.666666666666668
Q9ULD6,INTU,INTU | Q9ULD6,6,1,16.666666666666668
Q96AZ6,ISG20,ISG20 | Q96AZ6,6,1,16.666666666666668
O75564,JRK,JRK | O75564,6,1,16.666666666666668
O15054,KDM6B,KDM6B | O15054,6,1,16.666666666666668
O14782,KIF3C,KIF3C | O14782,6,1,16.666666666666668
Q9BXK1,KLF16,KLF16 | Q9BXK1,6,1,16.666666666666668
Q86VI4,LAPTM4B,LAPTM4B | Q86VI4,6,1,16.666666666666668
Q86WU2,LDHD,LDHD | Q86WU2,6,1,16.666666666666668
O95214,LEPROTL1,LEPROTL1 | O95214,6,1,16.666666666666668
