_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-3.7,GO:0017053,transcription repressor complex,M1,1,0
1,-2.1,GO:0042593,glucose homeostasis,M1,1,0
1,-3.3,GO:0034243,regulation of transcription elongation by RNA polymerase II,M1,1,0
1,-5.7,GO:0051123,RNA polymerase II preinitiation complex assembly,M1,1,0
1,-3.6,GO:0032182,ubiquitin-like protein binding,M1,1,0
1,-2.6,GO:0050000,chromosome localization,M1,1,0
1,-2.3,R-HSA-9772572,Early SARS-CoV-2 Infection Events,M1,1,0
1,-2.7,M3468,NABA ECM REGULATORS,M1,1,0
1,-2.8,R-HSA-6804756,Regulation of TP53 Activity through Phosphorylation,M1,1,0
1,-2.4,GO:0045137,development of primary sexual characteristics,M1,1,0
1,-4.7,R-HSA-4420332,Defective B3GALT6 causes EDSP2 and SEMDJL1,M1,1,0
1,-2.1,R-HSA-187037,Signaling by NTRK1 (TRKA),M1,1,0
1,-4.3,GO:0001217,DNA-binding transcription repressor activity,M1,1,0
1,-7.1,GO:0048667,cell morphogenesis involved in neuron differentiation,M1,1,0
1,-2.1,GO:1900744,regulation of p38MAPK cascade,M1,1,0
1,-2.4,GO:0051896,regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,M1,1,0
1,-3.8,GO:0043547,positive regulation of GTPase activity,M1,1,0
1,-3.1,GO:0080135,regulation of cellular response to stress,M1,1,0
1,-2.9,GO:0006281,DNA repair,M1,1,0
1,-4.7,R-HSA-3560801,Defective B3GAT3 causes JDSSDHD,M1,1,0
1,-2.7,R-HSA-9932444,ATP-dependent chromatin remodelers,M1,1,0
1,-3.7,CORUM:484,TFIID complex,M1,1,0
1,-3.3,WP4808,Endochondral ossification with skeletal dysplasias,M1,1,0
1,-2.3,GO:0120032,regulation of plasma membrane bounded cell projection assembly,M1,1,0
1,-3.1,GO:0048013,ephrin receptor signaling pathway,M1,1,0
1,-11,GO:0005667,transcription regulator complex,M1,1,0
1,-3.6,GO:0120031,plasma membrane bounded cell projection assembly,M1,1,0
1,-2.4,GO:0050821,protein stabilization,M1,1,0
1,-2.4,GO:0106030,neuron projection fasciculation,M1,1,0
1,-3.1,WP383,Striated muscle contraction pathway,M1,1,0
1,-2.7,GO:0046324,regulation of D-glucose import,M1,1,0
