"name","Gene","ID","p.val","p.adj","ratio"
"NOP9","NOP9","Q86U38",5.88077404128719e-05,0.000373623847376628,1.4
"NOVA2","NOVA2","Q9UNW9",0.00139837829067744,0.00470156510512226,1.54
"NPC1","NPC1","O15118",0.0016148085073025,0.00527471507859159,0.688
"NPEPPS","NPEPPS","P55786",0.000686862996436564,0.00266180079841979,0.989
"NR2F1","NR2F1","P10589",0.000985083101218933,0.00353181910098494,0.977
"NR2F6","NR2F6","P10588",0.00267625587000752,0.00802278714997786,0.742
"NRM","NRM","Q8IXM6",0.00030912627321927,0.00140732883096261,0.878
"NSD1","NSD1","Q96L73",0.0106141468700684,0.0250684472292196,0.679
"NSDHL","NSDHL","Q15738",8.52630834278953e-05,0.000502035521954008,1.26
"NSF","NSF","P46459",0.0207660909625559,0.0433808113567642,0.616
"NSUN4","NSUN4","Q96CB9",6.91793670594062e-05,0.00042495425192137,1.05
"NSUN6","NSUN6","Q8TEA1",0.00917381494571223,0.0222476759560222,1.66
"NUBPL","NUBPL","Q8TB37",0.000377339413074327,0.00164528978105919,1.48
"NUDT12","NUDT12","Q9BQG2",1.19625767263861e-05,0.000110167940584304,4.82
"NUDT16L1","NUDT16L1","Q9BRJ7",0.0119443854278062,0.0275394896328881,0.776
"NUDT19","NUDT19","A8MXV4",6.05358129718465e-07,1.06807091742946e-05,1.83
"NUP107","NUP107","P57740",0.00044095247550518,0.00185826605964037,1.11
"NUP153","NUP153","P49790",0.00235760276416954,0.00719618682169156,0.715
"NUP155","NUP155","O75694",2.93852281605082e-06,3.66147575227956e-05,1.46
"NUP160","NUP160","Q12769",5.18355458875299e-06,5.73110314352648e-05,1.38
"NUP188","NUP188","Q5SRE5",0.00116856670226402,0.00405596955003153,0.793
"NUP210","NUP210","Q8TEM1",0.0010333757361108,0.00367473319135476,0.749
"NUP214","NUP214","P35658",5.26621218646681e-08,1.60571035923321e-06,1.3
"NUP85","NUP85","Q9BW27",0.000102593507851604,0.000579084954205865,1.22
"NUP93","NUP93","Q8N1F7",8.21116615748232e-06,8.27179929932105e-05,1.44
"NVL","NVL","O15381",0.000141514362174463,0.000746427982399906,0.695
"NXF1","NXF1","Q9UBU9",1.61006954076708e-05,0.000136237129432846,0.852
"OGG1","OGG1","O15527",1.08214111448868e-10,1.47629725941007e-08,4.8
"OGT","OGT","O15294",0.00149867470499163,0.00497641613056009,1.1
"ORC1","ORC1","Q13415",0.00098803198438778,0.00354081453354285,0.813
"ORC2","ORC2","Q13416",0.000204461221969933,0.00100716546856548,0.805
"ORC4","ORC4","O43929",0.00192173841462983,0.00607067209550844,1.33
"ORC5","ORC5","O43913",0.000202471292792794,0.000999197692022805,1.09
"OSGEPL1","OSGEPL1","Q9H4B0",1.30932467011622e-05,0.00011762973278964,3.21
"OTUD7B","OTUD7B","Q6GQQ9",0.00183525066500715,0.00585722942214216,0.705
"OXA1L","OXA1L","Q15070",2.41305305130117e-05,0.000186576983764871,1.39
"P3H1","P3H1","Q32P28",0.00331473699339507,0.00958689114618647,0.702
"P3H4","P3H4","Q92791",0.00626689485059521,0.0162245856070894,1.1
"PALS1","PALS1","Q8N3R9",0.000377067355861942,0.00164499465980096,0.679
"PAN3","PAN3","Q58A45",4.84179630511789e-06,5.42025291514519e-05,1.68
"PANK4","PANK4","Q9NVE7",8.21073328501392e-05,0.000487923657745223,0.933
"PAPOLA","PAPOLA","P51003",0.00443484433353027,0.0122709047922259,0.709
"PAPOLG","PAPOLG","Q9BWT3",0.000931319028796391,0.00338428300802806,1.16
"PARD3B","PARD3B","Q8TEW8",0.000374663354527885,0.00163628070569449,4.59
"PARS2","PARS2","Q7L3T8",0.000102330671949235,0.000578574171655008,0.753
"PARVB","PARVB","Q9HBI1",0.0103881228475592,0.0246358281673553,0.597
