"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Description_lower","GeneRatio_num","FoldEnrichment_num"
"Metabolism","Global and overview maps","hsa01230","Biosynthesis of amino acids","17/377","57/3974",0.298245614035088,3.14384103494811,5.27731430091885,1.13273761155801e-05,0.00334157595409612,0.00319551241997416,"BCAT1/ENO1/ENO2/ENO3/GAPDH/GLUL/GOT1/MAT2A/PGAM1/PKM/PRPS1/PRPS2/PSPH/RPIA/SHMT1/TALDO1/TPI1",17,"biosynthesis of amino acids",0.0450928381962865,3.14384103494811
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","29/377","148/3974",0.195945945945946,2.06548856548857,4.27628761090699,9.52625093939838e-05,0.0114374771193325,0.01093753387326,"WASF2/ARF1/ARF6/ARPC5/ARPC5L/BCL10/CAPN1/CAST/CDC42/CRK/CRKL/CTTN/FNBP1/FNBP1L/FOXO3/MALT1/PFN3/PLCB3/RAC1/RHOA/SEPTIN11/SEPTIN2/SEPTIN6/SEPTIN7/SEPTIN8/UBE2N/UBE2V1/UBE2V2/WASL",29,"shigellosis",0.0769230769230769,2.06548856548857
"Human Diseases","Infectious disease: bacterial","hsa05100","Bacterial invasion of epithelial cells","16/377","61/3974",0.262295081967213,2.76488237596208,4.49661286375824,0.00011631332663728,0.0114374771193325,0.01093753387326,"WASF2/ARPC5/ARPC5L/CD2AP/CDC42/CLTB/CRK/CRKL/CTTN/RAC1/RHOA/SEPTIN11/SEPTIN2/SEPTIN6/SEPTIN8/WASL",16,"bacterial invasion of epithelial cells",0.0424403183023873,2.76488237596208
"Metabolism","Carbohydrate metabolism","hsa00010","Glycolysis / Gluconeogenesis","12/377","42/3974",0.285714285714286,3.01174687381584,4.24278441080541,0.000353517009880284,0.0260718794786709,0.0249322522757674,"BPGM/AKR1A1/ALDH7A1/ENO1/ENO2/ENO3/GALM/GAPDH/GPI/PGAM1/PKM/TPI1",12,"glycolysis / gluconeogenesis",0.0318302387267905,3.01174687381584
"Metabolism","Global and overview maps","hsa01240","Biosynthesis of cofactors","20/377","97/3974",0.206185567010309,2.17342557904236,3.78750536203521,0.000592331963991199,0.0349475858754808,0.033419992915714,"PMM1/AK1/AKR1A1/BCAT1/CTPS2/GSS/MAT2A/MOCS2/NADK2/NADSYN1/NAPRT/NME1/NME2/PDXK/PMM2/PNPO/PPCDC/PTS/RFK/SHMT1",20,"biosynthesis of cofactors",0.0530503978779841,2.17342557904236
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","30/377","185/3974",0.162162162162162,1.70936984730088,3.19857121491465,0.00207612638682194,0.0797128993203709,0.0762285709825491,"AMPH/ARF1/ARF4/ARF5/ARF6/ARPC5/ARPC5L/ARRB1/BIN1/CAPZB/CDC42/CHMP4A/CHMP4B/CHMP4C/CHMP5/CLTB/EEA1/EPN1/IST1/RAB11B/RAB4A/RHOA/SH3GL1/SH3GL2/VPS29/WASHC2A/WASHC2C/WASL/WIPF1/WIPF2",30,"endocytosis",0.0795755968169761,1.70936984730088
"Metabolism","Nucleotide metabolism","hsa00230","Purine metabolism","14/377","64/3974",0.21875,2.30586870026525,3.40926578225032,0.00216170574428124,0.0797128993203709,0.0762285709825491,"HPRT1/AK1/HDDC2/HDDC3/IMPDH1/IMPDH2/NME1/NME2/NT5C2/NUDT5/PDE6D/PPAT/PRPS1/PRPS2",14,"purine metabolism",0.0371352785145889,2.30586870026525
"Metabolism","Metabolism of cofactors and vitamins","hsa00790","Folate biosynthesis","6/377","15/3974",0.4,4.21644562334218,4.04006945222927,0.00166773598372339,0.0797128993203709,0.0762285709825491,"AKR1B1/CBR1/MOCS2/PCBD1/PTS/QDPR",6,"folate biosynthesis",0.0159151193633952,4.21644562334218
