"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Global and overview maps","hsa01230","Biosynthesis of amino acids","17/377","57/3974",0.298245614035088,3.14384103494811,5.27731430091885,1.13273761155801e-05,0.00334157595409612,0.00319551241997416,"BCAT1/ENO1/ENO2/ENO3/GAPDH/GLUL/GOT1/MAT2A/PGAM1/PKM/PRPS1/PRPS2/PSPH/RPIA/SHMT1/TALDO1/TPI1",17
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","29/377","148/3974",0.195945945945946,2.06548856548857,4.27628761090699,9.52625093939838e-05,0.0114374771193325,0.01093753387326,"WASF2/ARF1/ARF6/ARPC5/ARPC5L/BCL10/CAPN1/CAST/CDC42/CRK/CRKL/CTTN/FNBP1/FNBP1L/FOXO3/MALT1/PFN3/PLCB3/RAC1/RHOA/SEPTIN11/SEPTIN2/SEPTIN6/SEPTIN7/SEPTIN8/UBE2N/UBE2V1/UBE2V2/WASL",29
"Human Diseases","Infectious disease: bacterial","hsa05100","Bacterial invasion of epithelial cells","16/377","61/3974",0.262295081967213,2.76488237596208,4.49661286375824,0.00011631332663728,0.0114374771193325,0.01093753387326,"WASF2/ARPC5/ARPC5L/CD2AP/CDC42/CLTB/CRK/CRKL/CTTN/RAC1/RHOA/SEPTIN11/SEPTIN2/SEPTIN6/SEPTIN8/WASL",16
"Metabolism","Carbohydrate metabolism","hsa00010","Glycolysis / Gluconeogenesis","12/377","42/3974",0.285714285714286,3.01174687381584,4.24278441080541,0.000353517009880284,0.0260718794786709,0.0249322522757674,"BPGM/AKR1A1/ALDH7A1/ENO1/ENO2/ENO3/GALM/GAPDH/GPI/PGAM1/PKM/TPI1",12
"Metabolism","Global and overview maps","hsa01240","Biosynthesis of cofactors","20/377","97/3974",0.206185567010309,2.17342557904236,3.78750536203521,0.000592331963991199,0.0349475858754808,0.033419992915714,"PMM1/AK1/AKR1A1/BCAT1/CTPS2/GSS/MAT2A/MOCS2/NADK2/NADSYN1/NAPRT/NME1/NME2/PDXK/PMM2/PNPO/PPCDC/PTS/RFK/SHMT1",20
"Metabolism","Metabolism of cofactors and vitamins","hsa00790","Folate biosynthesis","6/377","15/3974",0.4,4.21644562334218,4.04006945222927,0.00166773598372339,0.0797128993203709,0.0762285709825491,"AKR1B1/CBR1/MOCS2/PCBD1/PTS/QDPR",6
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","30/377","185/3974",0.162162162162162,1.70936984730088,3.19857121491465,0.00207612638682194,0.0797128993203709,0.0762285709825491,"AMPH/ARF1/ARF4/ARF5/ARF6/ARPC5/ARPC5L/ARRB1/BIN1/CAPZB/CDC42/CHMP4A/CHMP4B/CHMP4C/CHMP5/CLTB/EEA1/EPN1/IST1/RAB11B/RAB4A/RHOA/SH3GL1/SH3GL2/VPS29/WASHC2A/WASHC2C/WASL/WIPF1/WIPF2",30
"Metabolism","Nucleotide metabolism","hsa00230","Purine metabolism","14/377","64/3974",0.21875,2.30586870026525,3.40926578225032,0.00216170574428124,0.0797128993203709,0.0762285709825491,"HPRT1/AK1/HDDC2/HDDC3/IMPDH1/IMPDH2/NME1/NME2/NT5C2/NUDT5/PDE6D/PPAT/PRPS1/PRPS2",14
"Metabolism","Carbohydrate metabolism","hsa00051","Fructose and mannose metabolism","7/377","25/3974",0.28,2.95151193633952,3.16852682434121,0.00694857698933575,0.173372964730543,0.165794663863642,"PMM1/AKR1B1/FUOM/GMDS/PMM2/SORD/TPI1",7
"Metabolism","Global and overview maps","hsa01232","Nucleotide metabolism","12/377","58/3974",0.206896551724138,2.18092015000457,2.93273570747726,0.00706219230063609,0.173372964730543,0.165794663863642,"DCTD/HPRT1/AK1/CTPS2/DCTPP1/DUT/HDDC2/IMPDH1/IMPDH2/NME1/NME2/NT5C2",12
"Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagosome formation","12/377","58/3974",0.206896551724138,2.18092015000457,2.93273570747726,0.00706219230063609,0.173372964730543,0.165794663863642,"WASF2/AMPH/ARF6/ARPC5/ARPC5L/BIN1/CDC42/CFL1/CRK/CRKL/RAC1/VASP",12
"Metabolism","Global and overview maps","hsa01200","Carbon metabolism","16/377","88/3974",0.181818181818182,1.91656619242826,2.81457944003129,0.00759818611176336,0.173372964730543,0.165794663863642,"ACAT2/ENO1/ENO2/ENO3/GAPDH/GOT1/GPI/PGAM1/PKM/PRPS1/PRPS2/PSPH/RPIA/SHMT1/TALDO1/TPI1",16
"Genetic Information Processing","Folding, sorting and degradation","hsa03050","Proteasome","9/377","38/3974",0.236842105263158,2.49657964539997,3.00070862338654,0.00764016454744768,0.173372964730543,0.165794663863642,"PSMA1/PSMA3/PSMA4/PSMA5/PSMA7/PSMB1/PSMB2/PSMB3/PSME3",9
