EP_WO,GFP_RDH12
O75635,A0A2R8Y4X2;A0A2R8YD40;A0A2R8YFD8
O75689,A0A2R8Y566
O75829,A0A2R8Y5A6;A0A2R8YDM9;A0A2R8YGV1
O75891,A0A2R8Y5U1
O75914,A0A2R8Y5V9;A0A2R8YHD2
O75936,A0A2R8Y602;A0A2R8YDH5;F5H7A5
O76038,A0A2R8Y8E0;H7C560
O76070,A0A2R8YE54
O76095,A0A2R8YEB8
O94805,A0A2R8YF80
O94856,A0A2R8YG42;A0A8V8TQ72;B1ALK7
O94875,A0A3B3IRQ9;A0AAQ5BGH8;A0AAQ5BGJ0
O94885,A0A3B3IRV3
O94907,A0A3B3ISF0;A0A3B3IT29
O94911,A0A3B3ITJ4;A0A9L9PXI4;A0AAG2TNG9
O94988,A0A3B3IUC1
O95073,A0A494BZW2;A0A494C1L5;A0A8V8TM79;E9PEM5
O95084,A0A494BZX7;A0A499FIJ6;A0A8V8TPQ1;B0QY83
O95158,A0A494C061
O95199,A0A494C0R8;I3L2B0
O95343,A0A494C0S0
O95359,A0A494C0Y7
O95361,A0A494C0Y9;A0A8V8TNY3
O95428,A0A499FI31
O95475,A0A499FIZ0;A0A7I2V3I7;A0A7I2YQQ9
O95741,A0A499FJI4;A0A804HL12
O95810,A0A4W8VX11
O95841,A0A590UJG2;H3BPE1;H3BQK9
O95897,A0A590UJI3;D6RCR6;E9PCX7
O95967,A0A590UJJ1;E5RJV1
P00352,A0A590UJJ4;A0A590UJK5;A0A590UJV4;A0A590UJX9;A0A590UK89;K7EKU4
P01011,A0A5F9YFS9
P01137,A0A5F9ZH79;A0A5F9ZHP1
P02458,A0A5F9ZHJ0
P02461,A0A5F9ZI51
P02462,A0A5H1ZRP4
P02489,A0A669KAV7;A0A669KBH9;M0QXA7
P02511,A0A6I8PRA0;E7ETY2
P02675,A0A6Q8PGP3
P02760,A0A7I2V311;K7ELB1;K7ER10
P02766,A0A7I2V365;A0A7I2V4H7;A0A7I2V4I0;A0A7I2V692;A0A7I2YQJ8
P02774,A0A7I2V3P9;A0A7I2V647
P02795,A0A7I2V4V1
P04085,A0A7I2V598;H0Y5F5;H0Y6X6
P04216,A0A7I2V6B9
P04271,A0A7I2YQ75
P04732,A0A7N4I394
P04733,A0A7N4YH79
P05089,A0A7P0SXD0
P05106,A0A7P0T8A7;R4GMX5;R4GN83
P05109,A0A7P0T936
P05156,A0A7P0T957;A0A7P0T9I0;A0A7P0T9Q8;A0A7P0T9S8;A0A7P0TA27;A0A7P0TAU1;A0A7P0TB43;A0A7P0TB86;A0A7P0TBB3;A0A7P0Z471;A0A7P0Z4R0;H0YB81;H0YBI9
P05161,A0A7P0T9J6;F8WEQ5;H7C2E2
P05186,A0A7P0TB55
P05230,A0A804F6T5;A0A804F729
P05452,A0A804HIH4
P05771,A0A804HJG7;E7ERI8;E7EW49
P05813,A0A804HJX8;J3KPF0
P05937,A0A804HK76;A0A804HL72
P05997,A0A804HKE7
P06276,A0A804HKQ1
P06702,A0A8C8P5L8;A0A994J6L2;H3BU53
