name,ID,RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_p.val,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_p.val,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr_p.val,RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_p.val,RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_p.adj,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_p.adj,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr_p.adj,RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_p.adj,RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_significant,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_significant,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr_significant,RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_significant,significant,RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_ratio,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_ratio,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr_ratio,RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_ratio,GFP_100_atRAL5hr.24h_recvr_centered,GFP_200_atRAL5hr.24h_recvr_centered,GFP_control_atRAL5hr.24h_recvr_centered,RDH12_100_atRAL5hr_centered,RDH12_100_atRAL5hr.24h_recvr_centered,RDH12_200_atRAL5hr_centered,RDH12_200_atRAL5hr.24h_recvr_centered,RDH12_control_atRAL5hr_centered,RDH12_control_atRAL5hr.24h_recvr_centered
ERMP1,Q7Z2K6,0.3937931946996306,0.7240472288069966,0.030376337552865985,0.12049905692199275,0.69,0.831,0.741,0.6,FALSE,FALSE,FALSE,FALSE,FALSE,0.194,-0.0796,-0.518,0.361,0.04,0.479,-0.0659,-0.222,0.234,0.0171,-0.0396,-0.737,0.295
ERO1A,Q96HE7,0.13466974131236334,0.11852267810216308,0.2585493450662825,0.25291962341809415,0.433,0.504,0.865,0.755,FALSE,FALSE,FALSE,FALSE,FALSE,0.263,0.275,-0.196,0.198,-0.362,0.109,-0.314,0.139,-0.099,0.515,-0.0869,0.214,-0.115
ERO1B,Q86YB8,0.22641708644359637,0.06848131779465591,0.6241326933780591,0.47191682058892204,0.54,0.391,0.901,0.847,FALSE,FALSE,FALSE,FALSE,FALSE,0.187,0.289,-0.0746,0.11,-0.221,0.143,-0.144,-0.0234,-0.0336,0.177,0.068,0.0688,-0.0346
ERP29,P30040,0.14789186110360877,0.002832135386196435,0.015542428006461858,0.01682306050528979,0.45,0.0892,0.687,0.259,FALSE,FALSE,FALSE,FALSE,FALSE,0.316,0.715,0.555,0.548,-0.471,-0.312,-0.384,-0.26,-0.155,0.713,0.243,0.463,0.163
ERP44,Q9BS26,0.5105957791704643,0.03745369074704367,2.3801249458744084e-4,0.8841454791758795,0.749,0.304,0.286,0.908,FALSE,FALSE,FALSE,FALSE,FALSE,-0.126,-0.418,-0.839,-0.0277,-0.294,0.126,-0.282,0.382,-0.42,0.84,-0.713,0.67,-0.31
ERRFI1,Q9UJM3,0.21248284871506712,0.011673501667283356,0.003144262534159851,0.73723394946933,0.521,0.177,0.529,0.893,FALSE,FALSE,FALSE,FALSE,FALSE,1.99,4.28,5.18,0.524,-1.11,-2.01,2.56,-3.5,0.875,-2.11,3.17,-0.96,3.08
ERVK3-1,B3KNS4,0.1471563493074961,0.006987573922402508,5.874300825461734e-4,0.08159851484595754,0.45,0.143,0.363,0.503,FALSE,FALSE,FALSE,FALSE,FALSE,1.22,2.43,3.3,1.48,-0.999,-1.87,-0.241,-0.504,0.221,-0.522,1.43,1.24,1.24
ESAM,Q96AP7,0.9347483063329387,0.6555896093081794,0.36379593703414925,0.7864153942075665,0.853,0.818,0.88,0.898,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0941,0.514,1.06,-0.312,-0.221,-0.762,-0.113,-0.023,-0.315,-0.0458,0.293,1.61,-0.424
ESCO1,Q5FWF5,0.19219753155907326,0.11268978819800833,0.601036118029747,0.2828540788577262,0.5,0.493,0.9,0.774,FALSE,FALSE,FALSE,FALSE,FALSE,0.417,0.512,0.164,0.341,-0.102,0.246,0.00325,-1.03,0.315,-0.106,0.41,-0.077,0.344
ESCO2,Q56NI9,0.7000092194553301,0.7760624058545856,0.6589621059239064,0.6611077384143468,0.809,0.839,0.903,0.883,FALSE,FALSE,FALSE,FALSE,FALSE,0.203,0.15,-0.233,0.231,0.234,0.617,0.348,-0.461,0.438,-0.287,0.384,-1.85,0.58
ESD,P10768,0.8151311716476172,0.505520202154413,0.7949078437822426,0.7729266020705052,0.833,0.783,0.91,0.897,FALSE,FALSE,FALSE,FALSE,FALSE,0.058,-0.166,0.0645,-0.0716,-0.0644,-0.295,0.0987,0.18,-0.00638,-0.0476,-0.23,0.338,0.0271
ESF1,Q9H501,0.27489349759839843,0.0035793582083021936,0.0034899692322861216,0.12457700907808592,0.596,0.103,0.54,0.608,FALSE,FALSE,FALSE,FALSE,FALSE,0.196,0.576,0.578,0.28,-0.0158,-0.0178,0.0772,-0.63,0.18,-0.256,0.56,-0.255,0.357
ESPL1,Q14674,0.7578974668353157,0.7705410014464544,0.3546833838578276,0.5876033832171657,0.822,0.838,0.879,0.871,FALSE,FALSE,FALSE,FALSE,FALSE,0.158,0.15,0.48,0.279,0.148,-0.182,0.105,-0.378,0.306,-0.869,0.298,0.187,0.385
ESRRA,P11474,0.42641264201116225,0.5515805422345392,0.5875808422772172,0.5031826243906055,0.709,0.795,0.899,0.854,FALSE,FALSE,FALSE,FALSE,FALSE,0.516,0.385,-0.35,0.433,-0.047,0.688,0.00126,-0.634,0.469,0.425,0.338,-1.67,0.435
ESS2,Q96DF8,0.08463098912143732,0.002097822755471426,1.1341359693849601e-4,0.5066725427592735,0.347,0.0752,0.227,0.855,FALSE,FALSE,FALSE,FALSE,FALSE,0.478,0.932,1.26,0.178,-0.37,-0.701,0.0434,-0.524,0.109,-0.0538,0.562,0.712,0.222
ESYT1,Q9BSJ8,0.6390043194630015,0.650914666007245,0.022282518759140703,0.07404857561135357,0.793,0.817,0.717,0.478,FALSE,FALSE,FALSE,FALSE,FALSE,0.1,0.0964,-0.52,0.396,-0.132,0.485,-0.262,0.146,-0.0317,0.102,-0.0353,-0.406,0.134
ESYT2,A0FGR8,0.24927872006909488,0.28573927780777664,0.5854512517913752,0.09456660453274303,0.568,0.689,0.899,0.541,FALSE,FALSE,FALSE,FALSE,FALSE,0.373,0.345,-0.174,0.552,-0.491,0.0286,-0.498,-0.29,-0.118,0.603,-0.146,0.857,0.0537
ETAA1,Q9NY74,0.25386839697375824,0.23134743738508656,6.355204474380141e-5,0.011879379848914991,0.573,0.648,0.185,0.218,FALSE,FALSE,FALSE,FALSE,FALSE,0.796,0.837,3.42,-1.88,-0.0379,-2.62,0.794,-0.308,0.758,0.91,0.799,0.79,-1.08
ETF1,P62495,0.3301696285127359,0.21574077709359918,0.4863170977956164,0.19451306567441462,0.646,0.634,0.892,0.705,FALSE,FALSE,FALSE,FALSE,FALSE,-0.179,-0.229,0.127,-0.24,0.274,-0.0823,0.19,0.136,0.0949,-0.463,0.0447,-0.143,-0.0506
ETFA,P13804,0.4899449769807751,0.03111647589760531,2.601560582274099e-4,0.1302269435603035,0.741,0.282,0.293,0.618,FALSE,FALSE,FALSE,FALSE,FALSE,-0.106,-0.349,-0.666,0.237,-0.0334,0.284,-0.25,0.106,-0.139,0.335,-0.382,0.0925,-0.0129
ETFB,P38117,0.6192198223443914,0.9111650959267944,0.08851398049221855,0.22812910924733865,0.787,0.857,0.811,0.736,FALSE,FALSE,FALSE,FALSE,FALSE,0.0748,0.0168,-0.266,0.184,-0.209,0.0733,-0.155,-0.155,-0.134,0.46,-0.192,0.283,0.0292
ETFDH,Q16134,0.05461863872166639,0.4202015738581615,0.29712093986836735,0.3657665518491584,0.276,0.755,0.872,0.813,FALSE,FALSE,FALSE,FALSE,FALSE,0.905,0.365,-0.474,0.41,-0.94,-0.1,-0.333,-0.362,-0.0345,0.887,-0.575,1.38,0.0774
ETFRF1,Q6IPR1,0.15331332889628638,0.023562966039921644,0.01969545868778771,0.1279356859795099,0.457,0.247,0.707,0.614,FALSE,FALSE,FALSE,FALSE,FALSE,0.621,1.03,1.06,0.665,-0.773,-0.809,-0.287,-1.03,-0.152,1.16,0.253,1.26,0.378
ETHE1,O95571,0.33364746563340586,0.5884947059734695,0.813300255696015,0.5538822565550549,0.649,0.804,0.911,0.865,FALSE,FALSE,FALSE,FALSE,FALSE,0.486,0.27,0.117,0.296,-0.744,-0.592,-0.206,-0.528,-0.258,0.723,-0.474,1.99,0.0892
ETNK1,Q9HBU6,0.24011911841978553,0.045562452013426444,0.8118137760058518,0.06987764046569431,0.557,0.33,0.911,0.465,FALSE,FALSE,FALSE,FALSE,FALSE,-0.635,-1.12,0.126,-1,0.974,-0.27,1.17,0.255,0.34,-1.34,-0.144,-1.15,0.167
ETV3,P41162,0.9166356745090145,0.30208120988622633,0.3210389723413324,0.9627680197664357,0.85,0.699,0.875,0.914,FALSE,FALSE,FALSE,FALSE,FALSE,0.0277,0.276,0.266,-0.0123,-0.069,-0.0581,0.0426,-0.153,-0.0414,-0.144,0.207,0.185,0.0303
ETV6,P41212,0.9782181482498538,0.5629036845262665,0.1305727189988992,0.11181392471842747,0.859,0.798,0.832,0.582,FALSE,FALSE,FALSE,FALSE,FALSE,0.00883,0.188,0.504,0.531,0.352,0.0363,0.145,-1.34,0.361,-0.478,0.54,-0.291,0.677
EURL,Q9NYK6,0.5039388652576668,0.6842130330674066,0.8763380521109332,0.7749557812147387,0.747,0.824,0.914,0.897,FALSE,FALSE,FALSE,FALSE,FALSE,-0.617,0.374,-0.143,-0.263,-0.432,0.0857,0.875,-0.499,-1.05,-0.616,-0.0573,1.08,0.612
EVI5,O60447,0.7171100544588183,0.2293670421898002,0.12521190116190506,0.2697611669858296,0.813,0.647,0.83,0.766,FALSE,FALSE,FALSE,FALSE,FALSE,0.345,1.17,1.5,-1.07,0.351,0.0117,0.928,0.0128,0.696,-1.14,1.52,-2.23,-0.14
EVI5L,Q96CN4,0.9745268968483927,0.5210295623218744,0.35738701779652016,0.8830230276778008,0.858,0.787,0.879,0.908,FALSE,FALSE,FALSE,FALSE,FALSE,0.0287,0.579,0.835,-0.132,0.375,0.118,-0.0973,-0.624,0.403,-0.678,0.954,-0.22,-0.229
EVL,Q9UI08,0.9699243250396158,0.8363823585249525,0.00729412758479227,0.7890947544391314,0.858,0.847,0.617,0.898,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0404,0.221,3.16,-0.287,0.342,-2.6,0.475,0.117,0.302,-0.273,0.563,0.883,0.189
EWSR1,Q01844,0.8712281583584669,0.6611804230418138,0.6803660414821839,0.7986267194003278,0.843,0.819,0.905,0.899,FALSE,FALSE,FALSE,FALSE,FALSE,0.066,0.179,-0.168,0.104,-0.553,-0.206,-0.191,0.0992,-0.487,0.477,-0.374,1.32,-0.0871
