name,ID,RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_p.val,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_p.val,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr_p.val,RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_p.val,RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_p.adj,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_p.adj,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr_p.adj,RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_p.adj,RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_significant,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_significant,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr_significant,RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_significant,significant,RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_ratio,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_ratio,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr_ratio,RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_ratio,GFP_100_atRAL5hr.24h_recvr_centered,GFP_200_atRAL5hr.24h_recvr_centered,GFP_control_atRAL5hr.24h_recvr_centered,RDH12_100_atRAL5hr_centered,RDH12_100_atRAL5hr.24h_recvr_centered,RDH12_200_atRAL5hr_centered,RDH12_200_atRAL5hr.24h_recvr_centered,RDH12_control_atRAL5hr_centered,RDH12_control_atRAL5hr.24h_recvr_centered
A2M,P01023,5.3689398787884056e-5,0.006222348529064462,1.3728365832077003e-4,2.237711666684396e-8,5.82e-5,0.135,0.242,8.22e-13,TRUE,FALSE,FALSE,TRUE,TRUE,-1.11,-0.665,-1.02,-1.94,-0.655,-0.296,-0.0567,1.81,-1.77,2.22,-1.32,2.06,-2
ABHD5,Q8WTS1,0.005477350856597266,0.15826019050967496,0.03061703895055183,0.041498835627277346,0.0484,0.569,0.741,0.369,TRUE,FALSE,FALSE,FALSE,TRUE,-2.17,-1.02,-1.62,-1.51,0.575,1.17,0.559,0.725,-1.59,-0.445,-0.444,0.404,-0.956
ABI1,Q8IZP0,0.4989533934523567,0.16091253132949102,1.2108152790030804e-6,0.9171641221803686,0.745,0.572,0.0429,0.91,FALSE,FALSE,TRUE,FALSE,TRUE,-0.126,0.266,1.25,0.0192,0.155,-0.831,0.0742,-0.0568,0.0295,-0.331,0.421,0.446,0.0934
AKIRIN2,Q53H80,0.06884081041638372,0.001393962246287143,9.628922111976038e-8,0.2817221474500475,0.313,0.0586,0.0112,0.773,FALSE,FALSE,TRUE,FALSE,TRUE,0.657,1.27,2.78,0.378,-0.235,-1.75,0.234,-0.735,0.422,-0.663,1.03,1.08,0.612
ALDH18A1,P54886,0.007327754979862671,0.13014120651996092,0.0791021867508736,0.0012640113278075543,0.0631,0.526,0.805,0.0409,FALSE,FALSE,FALSE,TRUE,TRUE,1.08,0.573,-0.672,1.36,-0.352,0.893,-0.61,-0.387,0.733,0.288,0.221,-1.54,0.754
ALDH1L2,Q3SY69,0.0010401818689149028,0.020410048802317317,6.027259466401266e-4,9.87628855150792e-7,0.00762,0.23,0.365,2.96e-7,FALSE,FALSE,FALSE,TRUE,TRUE,0.643,0.422,0.682,1.17,-0.0684,-0.328,-0.411,-0.285,0.574,-0.265,0.353,-0.323,0.754
APOB,P04114,2.9044660143076915e-4,0.001304679297221657,0.006075602385348558,4.194239614942936e-6,0.00139,0.0564,0.599,7.65e-6,TRUE,FALSE,FALSE,TRUE,TRUE,-1.39,-1.19,-0.974,-1.99,-0.652,-0.864,-0.58,3.25,-2.04,3.24,-1.84,2.05,-2.57
ARPC3,O15145,0.1839361638752524,0.008146302643960403,5.293157577511139e-7,0.2419155687375425,0.492,0.152,0.0282,0.747,FALSE,FALSE,TRUE,FALSE,TRUE,0.306,0.653,1.61,0.268,-0.213,-1.17,-0.131,0.162,0.0927,-0.124,0.44,0.811,0.137
ATF2,P15336,0.006480153104552663,8.866986605569648e-4,1.1854787793598612e-5,0.4548991719221167,0.0563,0.0436,0.104,0.842,FALSE,TRUE,FALSE,FALSE,TRUE,0.831,1.07,1.58,0.208,-0.255,-0.77,0.377,-0.928,0.576,-0.818,0.812,0.419,0.586
ATF3,P18847,0.002501669676296941,0.0017265471165962944,7.493421439859484e-4,0.6297616018691559,0.0223,0.0674,0.385,0.878,TRUE,FALSE,FALSE,FALSE,TRUE,-1.2,-1.26,-1.38,-0.17,0.424,0.549,-0.426,0.0373,-0.776,-0.203,-0.832,1.82,-0.596
ATF4,P18848,0.0013760242740175988,0.0021865463102078947,0.004447153015208032,0.9933771713300725,0.0112,0.0768,0.566,0.916,TRUE,FALSE,FALSE,FALSE,TRUE,-1.78,-1.69,-1.54,-0.00403,0.737,0.589,-0.717,-0.248,-1.05,1.03,-0.951,1.33,-0.721
ATP5MK,Q96IX5,0.001656794383689369,2.230075697675922e-4,1.104732692518872e-7,0.002848375962790362,0.014,0.0179,0.0121,0.0845,FALSE,TRUE,TRUE,FALSE,TRUE,0.815,1.01,1.81,0.762,-0.914,-1.71,-0.481,0.532,-0.0988,1.11,0.0945,1.19,0.282
BAG4,O95429,0.011530537858915989,0.0011883977870172427,0.030823410557489488,0.40909904919004303,0.0945,0.0532,0.742,0.829,FALSE,TRUE,FALSE,FALSE,TRUE,0.869,1.18,0.726,0.263,-0.754,-0.299,-0.254,-0.495,0.115,-0.104,0.427,1.36,0.00886
BAIAP2,Q9UQB8,0.2932778889091042,0.008235693233550015,5.030841624130925e-7,0.27565819141221726,0.614,0.152,0.0275,0.77,FALSE,FALSE,TRUE,FALSE,TRUE,0.227,0.619,1.54,0.236,-0.147,-1.07,0.0693,-0.108,0.0805,-0.28,0.472,0.673,0.306
BANF1,O75531,0.0115228927130644,6.106785979117325e-4,3.016370654506611e-4,0.012431932110734761,0.0944,0.034,0.306,0.224,FALSE,TRUE,FALSE,FALSE,TRUE,1.05,1.53,1.64,1.03,-0.66,-0.774,-0.416,-0.855,0.385,0.0816,0.868,0.754,0.616
BHLHE40,O14503,1.7736644839005272e-4,2.1061795150891714e-4,0.1060843229920383,0.10908901746949234,6.8e-4,0.0172,0.821,0.576,TRUE,TRUE,FALSE,FALSE,TRUE,2.03,2,0.749,0.742,-1.6,-0.35,-0.0955,-0.36,0.431,0.238,0.398,0.694,0.646
BLOC1S4,Q9NUP1,0.8323599396277503,0.5659831732686359,3.273521069590076e-7,0.7356502464300694,0.836,0.799,0.0224,0.892,FALSE,FALSE,TRUE,FALSE,TRUE,0.0524,0.143,1.84,0.0837,0.0676,-1.63,0.293,-0.251,0.12,-0.319,0.21,1.13,0.376
BOLA1,Q9Y3E2,0.03270459188792563,0.007681024405645572,4.5097462490840817e-7,0.10411353808006074,0.201,0.148,0.0261,0.564,FALSE,FALSE,TRUE,FALSE,TRUE,0.569,0.735,1.82,0.422,0.0371,-1.05,0.168,-0.725,0.606,-0.483,0.773,0.0846,0.59
BORCS5,Q969J3,0.0454544292766881,0.00970057722362413,9.001002719914913e-7,0.04252859821410168,0.249,0.163,0.0364,0.373,FALSE,FALSE,TRUE,FALSE,TRUE,0.527,0.706,1.73,0.535,-0.0658,-1.09,0.0943,-0.455,0.461,-0.593,0.64,0.378,0.629
BPNT2,Q9NX62,1.3820472012562133e-4,0.004141286783136599,0.3453827510029409,0.021069282577571714,4.42e-4,0.111,0.878,0.285,TRUE,FALSE,FALSE,FALSE,TRUE,1.06,0.726,-0.217,0.561,-1.16,-0.219,-0.202,0.594,-0.107,0.846,-0.436,0.326,0.359
BRI3,O95415,0.0037955605342823175,0.01650744034537796,0.7417093627513485,0.6319789922347041,0.0345,0.207,0.908,0.878,TRUE,FALSE,FALSE,FALSE,TRUE,-3.84,-3.07,0.391,-0.569,0.0536,-3.4,-1.56,4.38,-3.78,4.89,-3.01,4.56,-2.13
C14orf93,Q9H972,0.011565460856030102,8.512408374535151e-5,0.05898833801470558,0.7663982779352061,0.0947,0.00673,0.787,0.896,FALSE,TRUE,FALSE,FALSE,TRUE,1.21,2.13,0.869,0.131,-1.08,0.183,0.135,-1.04,0.125,-0.875,1.05,1.23,0.266
C1orf198,Q9H425,0.047746856190882564,0.0022452741766401923,1.1525769101605666e-8,0.6308215282500239,0.256,0.0778,0.00228,0.878,FALSE,FALSE,TRUE,FALSE,TRUE,0.537,0.892,2.37,0.124,-0.101,-1.58,0.445,-0.375,0.435,-0.637,0.791,0.45,0.569
C9orf40,Q8IXQ3,0.025322282706969557,0.002939971221353603,1.379863777867097e-6,0.3758102901807402,0.168,0.0914,0.046,0.817,FALSE,FALSE,TRUE,FALSE,TRUE,1.42,1.99,3.99,0.532,-0.755,-2.76,0.402,-0.0511,0.665,-0.621,1.24,0.948,0.933
CARMIL2,Q6F5E8,0.07374881895240973,0.0014988371109393504,1.0085809240173574e-7,0.4647959054413322,0.324,0.0616,0.0115,0.845,FALSE,FALSE,TRUE,FALSE,TRUE,0.637,1.24,2.74,0.251,-0.63,-2.12,-0.0608,0.0132,0.00701,0.108,0.612,1.88,0.191
CBY1,Q9Y3M2,0.14961620938623704,0.006697506342651345,1.0050130577478901e-07,0.29939958992062243,0.453,0.14,0.0115,0.783,FALSE,FALSE,TRUE,FALSE,TRUE,0.503,1.02,2.72,-0.358,-0.0479,-1.76,0.601,-0.429,0.455,-0.533,0.968,0.498,0.243
CCDC106,Q9BWC9,0.004546343223263514,3.0711646779507635e-5,3.749219347935571e-5,0.013876940776591752,0.0412,0.0015,0.155,0.236,FALSE,TRUE,FALSE,FALSE,TRUE,0.723,1.21,1.19,0.61,-0.281,-0.261,0.0935,-1.16,0.442,-0.574,0.933,0.106,0.704
CCDC120,Q96HB5,0.7179296134524749,0.0033269123128248273,1.1309257166169343e-4,4.497757595203142e-4,0.813,0.0986,0.227,0.0168,FALSE,FALSE,FALSE,TRUE,TRUE,0.391,3.56,5.12,4.48,0.119,-1.44,-1.03,-2.07,0.51,-1.45,3.68,-1.76,3.45
CCDC186,Q7Z3E2,0.7428512291792388,0.0454954246312121,7.277097275471366e-8,0.024702022453537194,0.819,0.33,0.00942,0.302,FALSE,FALSE,TRUE,FALSE,TRUE,-0.064,0.411,1.6,-0.468,0.21,-0.974,0.626,-0.338,0.146,-0.892,0.621,0.443,0.158
CCDC28A,Q8IWP9,0.1576952424442427,0.04786173966777056,1.918915017152712e-6,0.5849990061521717,0.462,0.337,0.0537,0.871,FALSE,FALSE,TRUE,FALSE,TRUE,0.815,1.17,3.69,0.308,-0.149,-2.66,0.657,-0.878,0.666,-0.874,1.02,1.26,0.965
CCDC28B,Q9BUN5,0.3270265023624177,0.06537784275891183,1.5549956206089802e-8,0.7246275237078926,0.643,0.384,0.00273,0.891,FALSE,FALSE,TRUE,FALSE,TRUE,0.386,0.749,3.51,0.137,0.124,-2.63,0.509,-0.259,0.51,-0.784,0.873,1.02,0.646
CCN2,P29279,0.7621710071659805,0.9096143804606187,0.0725448064894473,4.832726971876696e-4,0.823,0.857,0.799,0.0179,FALSE,FALSE,FALSE,TRUE,TRUE,-0.346,-0.13,-2.14,-4.71,-2.74,-0.729,1.27,3.35,-3.09,3.61,-2.87,4.62,-3.43
CD2AP,Q9Y5K6,0.19047462754077438,0.014018694951356523,3.734778667885731e-7,0.5648410295320678,0.498,0.192,0.0239,0.867,FALSE,FALSE,TRUE,FALSE,TRUE,0.315,0.626,1.73,0.136,-0.0215,-1.12,0.284,-0.319,0.293,-0.69,0.604,0.554,0.42
CD320,Q9NPF0,0.0283870229858821,4.1837455201441606e-4,7.604049596131971e-4,0.2973202054429999,0.183,0.0252,0.386,0.782,FALSE,TRUE,FALSE,FALSE,TRUE,0.82,1.47,1.38,0.371,-1.28,-1.19,-0.776,0.953,-0.462,1.72,0.185,1.26,-0.405
CD81,P60033,0.05819218344199543,7.956347023686277e-4,0.401392480311372,0.2055522724321112,0.285,0.0408,0.884,0.716,FALSE,TRUE,FALSE,FALSE,TRUE,0.634,-1.25,-0.27,0.413,-0.124,-1.1,-0.159,0.424,0.51,0.456,-1.37,1.11,0.254
CDC123,O75794,0.3115696412374983,0.01206187681947379,1.5831352394462212e-7,0.5943182760576496,0.63,0.18,0.0152,0.872,FALSE,FALSE,TRUE,FALSE,TRUE,0.16,0.427,1.22,-0.0837,-0.159,-0.95,-0.135,0.453,0.00167,0.0447,0.268,0.695,-0.219
CDC42EP1,Q00587,0.005010905440454092,1.4896353097426939e-5,1.0245831581122594e-8,0.0644267883379055,0.0448,4.62e-4,0.00209,0.449,FALSE,TRUE,TRUE,FALSE,TRUE,0.818,1.48,2.43,0.508,-0.181,-1.14,0.119,-0.428,0.637,-0.822,1.29,-0.109,0.626
CDC42EP4,Q9H3Q1,0.0167781223099046,0.001096916612543679,8.168797367527189e-7,0.08624876058129193,0.127,0.0505,0.0348,0.517,FALSE,TRUE,TRUE,FALSE,TRUE,0.758,1.11,2.05,0.524,-0.174,-1.11,0.167,-0.773,0.584,-0.771,0.934,0.457,0.691
CDCA7L,Q96GN5,0.025157864551971394,0.017731325907144865,1.6391261815035885e-6,0.013565847026259509,0.167,0.213,0.05,0.234,FALSE,FALSE,TRUE,FALSE,TRUE,0.471,0.502,1.31,0.526,0.0538,-0.749,0.356,-0.792,0.524,-0.596,0.556,-0.236,0.882
CDKN2A,P42771,0.09017720161359791,0.05919046574504358,7.977673994146154e-8,0.6551988030663313,0.357,0.369,0.01,0.882,FALSE,FALSE,TRUE,FALSE,TRUE,0.357,0.401,1.65,0.0908,0.0194,-1.23,0.202,-0.263,0.376,-0.158,0.42,0.339,0.293
CEP170,Q5SW79,0.09976663508899923,0.002157706611046864,2.9316837586743914e-7,0.16325449965591649,0.373,0.0763,0.0211,0.669,FALSE,FALSE,TRUE,FALSE,TRUE,0.373,0.761,1.63,0.313,0.121,-0.751,0.231,-0.531,0.494,-0.814,0.882,-0.177,0.544
CEP170B,Q9Y4F5,0.1153370249431682,0.007156940066277157,7.814586241742417e-8,0.7187552534316404,0.402,0.144,0.00986,0.89,FALSE,FALSE,TRUE,FALSE,TRUE,0.334,0.608,1.67,0.074,0.209,-0.855,0.403,-0.563,0.543,-0.889,0.817,-0.143,0.477
CEP350,Q5VT06,0.43774896190026025,0.0052302557362301424,8.518812238372223e-7,0.8390803083814995,0.716,0.124,0.0355,0.904,FALSE,FALSE,TRUE,FALSE,TRUE,0.171,0.678,1.52,0.0444,0.197,-0.645,0.406,-0.449,0.368,-0.563,0.875,-0.64,0.451
CEP41,Q9BYV8,0.5467992454449506,0.0015153379753951213,1.3300401547270163e-8,0.5702901321528855,0.763,0.062,0.0025,0.868,FALSE,FALSE,TRUE,FALSE,TRUE,0.111,0.666,1.67,0.105,0.122,-0.883,0.297,-0.294,0.233,-0.663,0.789,-0.00277,0.401
CEP85,Q6P2H3,0.3169796213723148,0.024593294581949667,1.8348687392491484e-6,0.6787761499475565,0.635,0.253,0.0526,0.885,FALSE,FALSE,TRUE,FALSE,TRUE,0.332,0.787,2.16,-0.136,-0.0775,-1.45,0.55,-0.525,0.254,-0.647,0.709,0.768,0.414
CFAP298,P57076,0.5573348652272111,0.004583523324572397,1.6951528973418496e-6,0.38120854329964704,0.767,0.116,0.0508,0.819,FALSE,FALSE,TRUE,FALSE,TRUE,0.118,0.634,1.33,-0.178,-0.144,-0.839,0.268,-0.193,-0.0253,-0.371,0.49,0.723,0.0904
CFAP97,Q9P2B7,0.011564058720456186,3.3928016510376873e-4,1.2689495104378645e-7,0.011773123868392093,0.0947,0.0231,0.0133,0.217,FALSE,TRUE,TRUE,FALSE,TRUE,0.875,1.36,2.51,0.873,-0.24,-1.4,0.302,-0.699,0.635,-0.799,1.12,-0.0953,1.17
CIAO3,Q9H6Q4,0.6220991203873816,5.882465593351369e-4,0.0017629950649346747,0.9377573077854588,0.788,0.0331,0.464,0.912,FALSE,TRUE,FALSE,FALSE,TRUE,-0.275,-2.24,-1.98,-0.0435,0.165,-0.0947,0.395,0.538,-0.11,0.346,-2.08,0.488,0.352
CKS1B,P61024,0.2573801303844847,0.00281779671465868,8.049984879766774e-8,0.7874431957219947,0.577,0.0889,0.0101,0.898,FALSE,FALSE,TRUE,FALSE,TRUE,0.307,0.898,2.17,0.072,0.0734,-1.2,0.448,-0.479,0.381,-1.08,0.971,0.367,0.52
CKS2,P33552,0.04402852141090815,0.004469021320468097,6.39676557912735e-9,0.5718995193470302,0.244,0.115,0.00152,0.868,FALSE,FALSE,TRUE,FALSE,TRUE,0.504,0.751,2.26,0.135,0.0299,-1.48,0.511,-0.262,0.534,-0.855,0.781,0.0935,0.646
CLINT1,Q14677,0.8854509929005516,0.010148805300719441,1.9316718311022615e-6,0.9343108142678838,0.845,0.167,0.0538,0.912,FALSE,FALSE,TRUE,FALSE,TRUE,0.0236,0.46,1.08,-0.0135,-0.11,-0.725,0.116,0.105,-0.0866,-0.0814,0.35,0.33,0.102
CNBP,P62633,0.15397464674581174,2.6673364779805663e-8,8.328782515756596e-7,0.6923745562726984,0.458,4.25e-11,0.0351,0.887,FALSE,TRUE,TRUE,FALSE,TRUE,-1.1,-6.54,-5.22,0.297,0.109,-1.22,-0.126,1.78,-0.988,2.33,-6.43,4.37,0.171
CNN2,Q99439,0.20939863920606744,0.005388138948221286,1.770081329970176e-7,0.8872905811330314,0.517,0.126,0.0161,0.908,FALSE,FALSE,TRUE,FALSE,TRUE,0.275,0.662,1.66,-0.0304,-0.0801,-1.08,0.195,-0.00823,0.195,-0.633,0.582,0.66,0.165
CNN3,Q15417,0.6582331436773088,0.008159876901019408,4.634557637477075e-7,0.9993601232351706,0.798,0.152,0.0265,0.917,FALSE,FALSE,TRUE,FALSE,TRUE,0.0812,0.532,1.33,-1.47e-4,-0.151,-0.946,0.1,0.142,-0.0702,-0.367,0.38,0.813,0.1
CNOT9,Q92600,0.5304374355626793,0.9065361500335096,2.0322388552441557e-7,0.7450470716141052,0.757,0.856,0.0173,0.894,FALSE,FALSE,TRUE,FALSE,TRUE,0.201,-0.0375,2.45,0.104,-0.245,-2.73,-0.173,0.957,-0.0436,0.766,-0.283,1.82,-0.0687
COA3,Q9Y2R0,0.008073440601690508,2.289773103242959e-4,0.0010442055716467953,0.09634495574951006,0.0696,0.0183,0.414,0.545,FALSE,TRUE,FALSE,FALSE,TRUE,0.789,1.2,1.03,0.468,-0.645,-0.47,-0.303,-0.408,0.144,0.49,0.559,0.469,0.165
COLEC12,Q5KU26,0.14456004750098375,0.008652911428509567,1.0913147170651364e-7,0.16236948147140612,0.446,0.155,0.012,0.668,FALSE,FALSE,TRUE,FALSE,TRUE,0.342,0.657,1.82,-0.327,-0.473,-1.64,0.263,-0.0617,-0.13,0.917,0.184,1,-0.0646
COMMD5,Q9GZQ3,0.3536468664952638,0.3746048936581722,3.691056829939251e-13,0.5530185543656694,0.664,0.736,8.24e-13,0.865,FALSE,FALSE,TRUE,FALSE,TRUE,0.286,-0.274,5.05,0.182,0.273,-5.05,0.263,1.33,0.559,0.585,-0.00112,1.6,0.445
COMMD8,Q9NX08,0.18530488295817632,0.3690385448445639,5.376785466310403e-12,0.7556617032487025,0.493,0.734,2.83e-9,0.895,FALSE,FALSE,TRUE,FALSE,TRUE,0.593,0.397,6.27,-0.136,0.395,-5.47,0.722,0.671,0.989,0.352,0.793,0.966,0.586
COMMD9,Q9P000,0.018139781162626076,0.02488386252493693,3.126465157497052e-8,0.6761905023938797,0.135,0.254,0.00491,0.885,FALSE,FALSE,TRUE,FALSE,TRUE,0.41,0.386,1.39,0.0675,-0.204,-1.21,0.0304,-0.0213,0.206,0.0946,0.182,0.825,0.0979
COQ7,Q99807,0.7865420834039853,0.653819561197359,0.6392817809122915,3.139250406055917e-4,0.828,0.818,0.902,0.0116,FALSE,FALSE,FALSE,TRUE,TRUE,0.225,0.374,0.391,3.58,0.15,0.133,-3.51,0.761,0.375,1.22,0.524,0.295,0.0607
COQ9,O75208,7.989311772156317e-5,0.0012015701610517764,0.02668231892888762,0.006190257957161826,1.42e-4,0.0536,0.731,0.146,TRUE,FALSE,FALSE,FALSE,TRUE,1.01,0.772,0.489,0.626,-0.421,-0.138,-0.308,-0.518,0.59,0.283,0.351,-0.156,0.318
COX16,Q9P0S2,0.0035711671082127197,2.012365447615117e-4,9.26636155507416e-6,0.00238995502049141,0.0325,0.0166,0.0954,0.0731,FALSE,TRUE,FALSE,FALSE,TRUE,0.892,1.23,1.59,0.939,-0.52,-0.888,-0.529,-0.0573,0.372,-0.0562,0.707,0.561,0.41
COX7A2L,O14548,0.0016540052373182905,0.008062460468325407,2.1800236486801021e-7,0.010660142733954983,0.014,0.151,0.0179,0.205,FALSE,FALSE,TRUE,FALSE,TRUE,0.775,0.627,1.64,0.6,-0.574,-1.59,-0.329,0.503,0.2,0.621,0.0527,0.844,0.271
COX7C,P15954,0.005036748403038276,0.03504464106448756,2.2431624306053813e-4,0.0698865861261518,0.045,0.296,0.281,0.465,TRUE,FALSE,FALSE,FALSE,TRUE,1.4,1,2,0.85,-0.435,-1.43,-0.0681,-0.38,0.964,-0.288,0.569,0.282,0.782
CRIM1,Q9NZV1,0.002554455486767724,6.642527469977094e-4,0.9754535375585458,0.5946970011508785,0.0228,0.0361,0.918,0.872,TRUE,TRUE,FALSE,FALSE,TRUE,-1.46,-1.7,0.0132,-0.228,-0.301,-2.02,-0.442,2,-1.76,2.22,-2,2.97,-0.671
CRTC1,Q6UUV9,0.09957838240143672,0.001114566406474897,8.611824737266098e-7,0.37047534456292264,0.372,0.051,0.0357,0.815,FALSE,TRUE,TRUE,FALSE,TRUE,0.548,1.21,2.23,0.291,-0.202,-1.22,0.159,-0.368,0.346,-0.648,1.01,0.481,0.45
CRTC3,Q6UUV7,0.07934099590251999,9.015878284211123e-4,1.1877638333892465e-5,0.14961191051675912,0.337,0.044,0.104,0.65,FALSE,TRUE,FALSE,FALSE,TRUE,0.504,1.06,1.58,0.409,-0.232,-0.749,0.0424,-0.573,0.272,-0.353,0.831,0.31,0.451
CTTNBP2NL,Q9P2B4,0.6111561052218497,0.03867118526302189,1.4380912910576975e-6,0.8863256351362365,0.785,0.307,0.0469,0.908,FALSE,FALSE,TRUE,FALSE,TRUE,0.17,0.731,2.24,-0.0478,0.017,-1.49,0.422,-0.33,0.187,-0.525,0.748,0.596,0.375
CYREN,Q9BWK5,0.3119599989322973,0.007842486700437952,2.130494242958553e-9,0.4499158218297611,0.631,0.15,4.51e-4,0.841,FALSE,FALSE,TRUE,FALSE,TRUE,0.601,1.71,5.97,-0.447,0.519,-3.74,1.67,0.287,1.12,-4.09,2.23,0.778,1.22
DDX28,Q9NUL7,0.018091922822152433,0.22411291016991353,0.003911438865431244,2.024928568084927e-6,0.135,0.642,0.553,1.5e-6,FALSE,FALSE,FALSE,TRUE,TRUE,0.442,0.215,0.56,1.14,-0.0279,-0.373,-0.523,0.128,0.414,0.306,0.187,-0.725,0.613
DGCR6L,Q9BY27,0.2097149278287639,0.0577395730304183,5.818007867271069e-7,0.5701174371589632,0.517,0.365,0.0295,0.868,FALSE,FALSE,TRUE,FALSE,TRUE,0.718,1.11,4,0.32,0.00488,-2.88,0.984,-0.374,0.722,-0.837,1.12,-0.0471,1.3
DLGAP5,Q15398,0.01920781537489528,2.936361283830142e-4,9.127197043969267e-7,0.320504591970874,0.14,0.0214,0.0366,0.794,FALSE,TRUE,TRUE,FALSE,TRUE,0.619,1.06,1.7,0.247,-0.154,-0.789,0.146,-0.559,0.464,-0.262,0.91,-0.149,0.393
DOHH,Q9BU89,0.002980256003973548,4.0317977651492976e-4,1.9446924709500178e-5,0.17369423853717209,0.0269,0.0249,0.121,0.682,FALSE,TRUE,FALSE,FALSE,TRUE,0.847,1.06,1.39,0.353,-0.41,-0.741,-0.112,-0.23,0.437,0.197,0.653,-0.0344,0.241
DTL,Q9NZJ0,0.014842765629879292,2.9228445733743986e-4,0.0030667030704781798,0.07182269232345583,0.115,0.0214,0.526,0.471,FALSE,TRUE,FALSE,FALSE,TRUE,0.788,1.29,0.995,0.562,-0.485,-0.186,-0.0139,-0.333,0.302,-0.27,0.809,-0.371,0.548
DYNC1LI1,Q9Y6G9,0.7896695538137442,0.015941945709167422,2.2816738462652451e-7,0.3057821180986453,0.829,0.204,0.0182,0.786,FALSE,FALSE,TRUE,FALSE,TRUE,0.0384,0.375,1.09,-0.149,0.128,-0.591,0.258,-0.0014,0.166,-0.618,0.502,0.0472,0.108
DYNLT2B,Q8WW35,0.00900520373494937,0.006381606514663687,0.5651140078967484,1.7057568369178022e-5,0.0771,0.137,0.898,1.55e-4,FALSE,FALSE,FALSE,TRUE,TRUE,1.25,1.32,-0.253,2.43,-1.34,0.225,-2.18,0.79,-0.094,0.769,-0.0276,1.61,0.25
EGR1,P18146,4.836134656938931e-4,0.009381929168157672,2.5174362251989665e-4,0.03541813931868405,0.00257,0.161,0.29,0.346,TRUE,FALSE,FALSE,FALSE,TRUE,-4.02,-2.77,-4.29,-2.18,0.95,2.47,-0.227,1.71,-3.07,2.58,-1.82,-0.182,-2.4
EIF1AD,Q8N9N8,0.064661647044381,0.005050856204082326,1.4701664056590716e-6,0.23594661421347085,0.302,0.122,0.0474,0.742,FALSE,FALSE,TRUE,FALSE,TRUE,0.634,1.02,2.19,0.396,-0.257,-1.43,-0.00792,-0.353,0.377,-0.255,0.765,0.771,0.388
EIF1B,O60739,0.28576558276401787,0.4397219853722806,4.2490950955015084e-7,0.054881241970173016,0.607,0.762,0.0255,0.419,FALSE,FALSE,TRUE,FALSE,TRUE,-0.27,0.194,1.82,-0.503,0.176,-1.45,0.467,-0.135,-0.094,-0.503,0.371,1.2,-0.0355
EIF4ENIF1,Q9NRA8,0.37640255553240476,0.009143849273768115,2.625945916542436e-8,0.7561043491384175,0.679,0.159,0.0043,0.895,FALSE,FALSE,TRUE,FALSE,TRUE,0.199,0.636,1.95,0.0693,0.153,-1.16,0.395,-0.449,0.353,-0.609,0.789,0.061,0.464
EIF5,P55010,0.21858455866300455,7.415524105244015e-4,2.5850465040484872e-8,0.15225244529716533,0.529,0.039,0.00424,0.654,FALSE,FALSE,TRUE,FALSE,TRUE,0.228,0.716,1.59,0.268,-0.147,-1.02,0.0133,0.00716,0.0812,-0.403,0.569,0.621,0.281
ELOF1,P60002,0.2920807123305144,4.135622495645929e-8,1.0387819802319589e-6,0.9968914286358234,0.613,1.27e-10,0.0394,0.917,FALSE,TRUE,TRUE,FALSE,TRUE,-0.727,-5.77,-4.66,0.00265,-0.35,-1.46,0.509,1.71,-1.08,1.84,-6.12,4.44,0.511
EMB,Q6PCB8,0.04379408152942154,3.1827377862311406e-4,0.7217890113426676,0.6442645490151235,0.243,0.0224,0.907,0.88,FALSE,TRUE,FALSE,FALSE,TRUE,1.8,3.63,0.301,0.391,-3.11,0.214,-0.464,0.439,-1.31,1.58,0.515,2.21,-0.0728
EPN2,O95208,0.04704513601243003,0.0010425259737114382,5.476553676677953e-5,0.35806488007642634,0.254,0.0487,0.177,0.81,FALSE,TRUE,FALSE,FALSE,TRUE,0.561,1.02,1.36,0.249,-0.277,-0.615,0.0521,-0.614,0.284,-0.367,0.741,0.494,0.302
