name,ID,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.val,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.val,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.val,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.adj,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_significant,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_significant,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_significant,significant,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_ratio,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio,GFP_100_atRAL5hr.24h_recvr_centered,GFP_200_atRAL5hr.24h_recvr_centered,GFP_control_atRAL5hr.24h_recvr_centered,RDH12_100_atRAL5hr_centered,RDH12_100_atRAL5hr.24h_recvr_centered,RDH12_200_atRAL5hr_centered,RDH12_200_atRAL5hr.24h_recvr_centered,RDH12_control_atRAL5hr_centered,RDH12_control_atRAL5hr.24h_recvr_centered
FDXR,P22570,0.016701554477000516,0.49822397831997334,0.0035811996742948623,0.521,0.886,1,FALSE,FALSE,FALSE,FALSE,0.469,0.124,0.593,-0.0834,0.434,-0.383,0.203,-0.038,0.327,-0.294,-0.266,0.102
FECH,P22830,0.005414133840019538,0.5763268899360632,0.0014699426831367055,0.505,0.894,1,FALSE,FALSE,FALSE,FALSE,1.72,0.314,2.04,0.139,0.709,-0.162,-0.291,0.606,0.0229,0.463,-2.01,0.528
FEM1B,Q9UK73,0.055499187631674475,0.8711088342309135,0.03993588376753786,0.554,0.914,1,FALSE,FALSE,FALSE,FALSE,1.58,0.128,1.71,0.508,0.0837,0.411,0.283,-0.0541,0.411,-0.282,-1.3,-0.0643
FEN1,P39748,0.62638289256168,0.13253080410136908,0.29558609819703435,0.674,0.797,1,FALSE,FALSE,FALSE,FALSE,-0.0927,0.294,0.201,-0.116,0.0445,-0.0536,-0.131,-0.109,0.163,0.33,-0.0387,-0.0889
FERMT2,Q96AC1,0.0014031268538136422,0.0030936579985623245,0.7354861894285445,0.501,0.657,1,FALSE,FALSE,FALSE,FALSE,0.659,-0.598,0.0608,0.263,-0.33,0.161,0.283,0.115,-0.315,0.185,-0.375,0.0116
FEZ2,Q9UHY8,9.926413385780644e-8,0.9479346443835124,1.1257352343422248e-7,0.373,0.918,1,FALSE,FALSE,FALSE,FALSE,-2.16,0.0176,-2.14,-0.0654,-0.899,0.117,-0.28,-0.302,-0.262,-0.0344,1.88,-0.153
FGD1,P98174,0.17412645644528804,0.45667808310544533,0.5227917697171451,0.601,0.881,1,FALSE,FALSE,FALSE,FALSE,2,-1.08,0.922,1.34,0.679,0.995,-0.395,-1.97,-1.47,1.67,-2.39,1.54
FGD4,Q96M96,0.4462766956977253,0.9823181442282714,0.43345445041305464,0.653,0.919,1,FALSE,FALSE,FALSE,FALSE,0.651,0.0188,0.67,0.34,-0.22,0.125,0.872,-1.37,0.891,-0.641,0.222,-0.218
FGF2,P09038,3.1174300543689086e-4,0.013771146698133722,0.11374656074245176,0.499,0.687,1,FALSE,FALSE,FALSE,FALSE,-2.37,1.47,-0.901,-0.795,0.214,-0.532,-0.783,-0.13,0.688,-0.24,1.59,-0.0111
FGFR1,P11362,0.8636853344899785,0.8211153192714818,0.6912200457328417,0.695,0.911,1,FALSE,FALSE,FALSE,FALSE,0.16,0.21,0.37,-0.727,0.254,-1.22,0.604,-0.58,0.814,0.662,0.444,-0.247
FGFR2,P21802,0.721861453766464,0.19349437125685737,0.1034367882555889,0.683,0.826,1,FALSE,FALSE,FALSE,FALSE,0.267,0.996,1.26,-1.93,-0.913,0.366,0.647,-0.0409,1.64,-0.366,0.379,0.216
FGFR3,P22607,0.002690610589776739,0.5125129286876011,0.012105573720532547,0.502,0.888,1,FALSE,FALSE,FALSE,FALSE,3.24,-0.63,2.61,-0.82,-0.72,-0.481,3.16,-0.103,2.53,-1.68,-0.0744,-1.82
FH,P07954,0.053214639698684174,0.8881143748005189,0.039981875937093306,0.553,0.915,1,FALSE,FALSE,FALSE,FALSE,0.35,0.0243,0.374,-0.139,0.231,-0.294,0.246,-0.0233,0.271,-0.191,-0.104,0.00275
