name,ID,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.val,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.val,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.val,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.adj,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_significant,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_significant,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_significant,significant,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_ratio,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio,GFP_100_atRAL5hr.24h_recvr_centered,GFP_200_atRAL5hr.24h_recvr_centered,GFP_control_atRAL5hr.24h_recvr_centered,RDH12_100_atRAL5hr_centered,RDH12_100_atRAL5hr.24h_recvr_centered,RDH12_200_atRAL5hr_centered,RDH12_200_atRAL5hr.24h_recvr_centered,RDH12_control_atRAL5hr_centered,RDH12_control_atRAL5hr.24h_recvr_centered
BPGM,P07738,2.1685873371040666e-11,0.043068005800695613,1.4425186244762418e-12,0.00573,0.731,1,TRUE,FALSE,FALSE,TRUE,-2.97,-0.478,-3.45,-0.316,-0.722,0.213,-0.199,-0.414,-0.677,-0.371,2.77,-0.283
C4A,P0C0L4,3.8484478179894126e-10,0.2328876409472561,6.399302426137008e-11,0.0281,0.84,1,TRUE,FALSE,FALSE,TRUE,8.48,0.916,9.4,-2.3,-2.12,-1.09,5.9,-1.37,6.82,-1.97,-2.58,-1.28
CDC16,Q13042,1.11027516879105e-10,0.06173072071279738,7.635555641961589e-12,0.0174,0.744,1,TRUE,FALSE,FALSE,TRUE,3.9,0.631,4.53,0.537,1.03,0.208,0.229,0.25,0.859,0.201,-3.67,0.352
CYREN,Q9BWK5,0.40720003121577375,3.0522578579418905e-7,6.009174710742584e-8,0.647,0.00722,1,FALSE,TRUE,FALSE,TRUE,-0.491,-4.37,-4.86,0.519,-3.74,1.67,0.287,1.12,-4.09,2.23,0.778,1.22
DCTD,P32321,5.693527431924129e-10,0.014812859564306509,1.2934553991986266e-11,0.0341,0.69,1,TRUE,FALSE,FALSE,TRUE,-2.63,-0.629,-3.26,-0.508,-0.844,-0.208,0.529,-0.72,-0.101,-0.56,3.15,-0.743
DOP1B,Q9Y3R5,1.547588713847856e-10,0.563707944997945,6.681021979613876e-11,0.02,0.893,1,TRUE,FALSE,FALSE,TRUE,-2.34,-0.114,-2.45,-0.0803,-0.54,-0.154,-0.473,-0.154,-0.588,-0.024,1.87,0.147
ERAP1,Q9NZ08,5.971241888392792e-11,0.275591977561915,1.3141132696664366e-11,0.013,0.851,1,TRUE,FALSE,FALSE,TRUE,5.2,0.46,5.65,0.418,1.07,0.358,0.36,0.672,0.819,0.501,-4.84,0.633
IQGAP3,Q86VI3,7.58514778940888e-14,0.05564435636004925,1.0398261693883935e-14,5.66e-7,0.74,1,TRUE,FALSE,FALSE,TRUE,3.82,0.426,4.25,0.276,0.32,0.174,0.599,0.365,1.02,0.246,-3.22,0.218
LDLRAP1,Q5SW96,5.163362199617982e-10,0.11405762907684525,4.646277622444402e-11,0.0326,0.784,1,TRUE,FALSE,FALSE,TRUE,2.26,0.334,2.6,0.0835,0.123,0.183,0.33,0.103,0.664,0.178,-1.93,0.267
METTL17,Q9H7H0,1.179773818968589e-10,0.008854699260171628,2.559575919733168e-12,0.0178,0.674,1,TRUE,FALSE,FALSE,TRUE,4.48,1.07,5.55,0.369,0.603,0.327,-0.414,1.29,0.653,0.801,-4.9,1.26
MFAP4,P55083,0.004291963273361455,3.306730174606553e-7,3.7324850770615567e-4,0.502,0.0074,1,FALSE,TRUE,FALSE,TRUE,-3.24,7.53,4.3,-0.735,-0.992,0.106,-1.88,-0.623,5.66,-0.855,1.36,-2.04
MIPEP,Q99797,3.277128669497256e-10,0.942476515849095,2.936342168712067e-10,0.0269,0.918,1,TRUE,FALSE,FALSE,TRUE,4.32,0.0274,4.34,0.458,0.843,0.297,0.0292,0.792,0.0566,0.643,-4.29,1.17
QTRT2,Q9H974,2.338927862451201e-10,0.8132710091438048,3.345941147122536e-10,0.024,0.911,1,TRUE,FALSE,FALSE,TRUE,-2.57,0.0525,-2.52,-0.341,-0.919,0.121,-0.454,0.00321,-0.401,-0.25,2.12,0.123
SELENOF,O60613,0.002953383135406821,1.6407298665616494e-7,2.3756967097120078e-4,0.502,0.00537,1,FALSE,TRUE,FALSE,TRUE,-0.76,1.76,1,-0.601,0.129,-0.267,-0.725,0.0971,1.04,-0.0554,0.035,0.348
SIVA1,O15304,0.28765572212536356,2.5451191761034175e-7,3.2243426431091916e-8,0.626,0.00676,1,FALSE,TRUE,FALSE,TRUE,-0.738,-5.16,-5.89,0.337,-4.21,1.27,0.618,1.55,-4.54,2.22,1.36,1.4
TMBIM6,P55061,3.482292876071186e-10,1.226339060443066e-9,0.42674912668261633,0.0274,6.89e-7,1,TRUE,TRUE,FALSE,TRUE,2.55,-2.37,0.18,0.59,-0.604,0.206,0.952,0.791,-1.41,0.704,-1.59,0.371
USP54,Q70EL1,2.8609592494248936e-10,0.5178920648949321,7.834556544496893e-10,0.0258,0.888,1,TRUE,FALSE,FALSE,TRUE,4.28,-0.243,4.03,0.544,0.346,0.55,0.123,0.724,-0.12,1.01,-4.15,0.983
ZNF324,O75467,6.248245325531198e-10,0.8784247763390705,4.921179256569472e-10,0.0354,0.914,1,TRUE,FALSE,FALSE,TRUE,10.3,0.144,10.4,-2.6,-2.56,-1.68,8.26,-3.23,8.4,-1.81,-2.02,-2.77
A2M,P01023,0.25962232697297116,0.07728415058077513,0.49020713798662585,0.621,0.753,1,FALSE,FALSE,FALSE,FALSE,-0.252,0.405,0.153,-0.655,-0.296,-0.0567,1.81,-1.77,2.22,-1.32,2.06,-2
AAAS,Q9NRG9,0.006308573816840538,0.7005475260432033,0.0025926884151805676,0.507,0.904,1,FALSE,FALSE,FALSE,FALSE,0.895,0.114,1.01,0.0614,0.657,-0.0522,-0.334,0.413,-0.219,0.352,-1.23,0.352
AACS,Q86V21,0.18712297945039405,0.12000686636412987,0.7987302521662973,0.605,0.788,1,FALSE,FALSE,FALSE,FALSE,1.69,-2.01,-0.32,0.519,0.286,0.457,0.521,0.335,-1.49,0.368,-1.17,0.171
AAGAB,Q6PD74,0.32650329198479566,0.58923761605128,0.1358020192775943,0.634,0.895,1,FALSE,FALSE,FALSE,FALSE,0.338,0.184,0.522,-0.316,-0.332,-0.0318,0.0656,0.191,0.25,0.446,-0.272,5.91e-5
AAK1,Q2M2I8,2.926813027141015e-4,8.158222911661779e-5,0.5859860430029638,0.499,0.522,1,FALSE,FALSE,FALSE,FALSE,0.584,-0.658,-0.0737,0.2,-0.23,0.154,0.307,-0.0786,-0.351,0.299,-0.278,-0.0226
AAMDC,Q9H7C9,0.0021923851224712725,0.7721098252420194,0.001110758243708981,0.502,0.908,1,FALSE,FALSE,FALSE,FALSE,-1.51,-0.126,-1.63,-0.383,-2.08,0.103,0.514,-0.484,0.389,-0.187,2.02,0.101
AAMP,Q13685,4.651735996427785e-6,0.4642807424643184,2.39538322559777e-5,0.48,0.882,1,FALSE,FALSE,FALSE,FALSE,-1.36,0.163,-1.2,-0.258,-0.52,-0.0316,-0.035,-0.15,0.128,-0.222,1.32,-0.236
AAR2,Q9Y312,0.023716763938536042,0.5657446576701063,0.07692069304671054,0.529,0.893,1,FALSE,FALSE,FALSE,FALSE,1.03,-0.245,0.781,0.0636,0.308,-0.0491,0.174,0.167,-0.0709,0.145,-0.852,0.115
AARS1,P49588,0.054606687159621206,0.13041891987947285,0.0017273993613983335,0.554,0.795,1,FALSE,FALSE,FALSE,FALSE,-0.47,-0.363,-0.833,-0.253,-0.697,0.0917,0.257,-0.0272,-0.106,0.0441,0.727,-0.0374
AARS2,Q5JTZ9,3.0219000564722426e-4,0.2602254662118155,0.004417421418686309,0.499,0.847,1,FALSE,FALSE,FALSE,FALSE,0.875,-0.232,0.643,0.2,0.402,-0.0739,0.0632,0.209,-0.169,-0.0538,-0.812,0.235
AARSD1,Q9BTE6,0.6194044380986159,0.13819473502375862,0.05389752163286379,0.673,0.8,1,FALSE,FALSE,FALSE,FALSE,-0.0974,-0.298,-0.396,0.186,-0.369,0.101,-0.0452,0.0788,-0.344,0.259,0.0523,0.0812
AASDHPPT,Q9NRN7,0.08583098533336761,0.1727719224784716,0.6981066513888952,0.571,0.818,1,FALSE,FALSE,FALSE,FALSE,0.529,-0.414,0.115,-0.167,-0.232,-0.0221,0.468,-0.0999,0.0543,0.279,-0.0608,-0.219
AASS,Q9UDR5,0.001488538521588937,0.19775834868301034,6.806130865699448e-5,0.501,0.828,1,FALSE,FALSE,FALSE,FALSE,1.41,0.508,1.91,-0.129,0.515,-0.526,-0.0388,0.477,0.469,0.0988,-1.44,0.579
AATF,Q9NY61,0.11915595628095117,0.00927934780198565,0.22465439219840913,0.583,0.675,1,FALSE,FALSE,FALSE,FALSE,-0.27,0.478,0.208,-0.244,0.313,-0.0919,-0.316,0.00757,0.162,0.185,-0.0458,0.0295
ABAT,P80404,0.605215171500816,0.002044125497766359,0.00677862874842237,0.672,0.647,1,FALSE,FALSE,FALSE,FALSE,-0.0778,0.525,0.448,-0.109,0.363,-0.0422,-0.197,0.016,0.328,-0.336,-0.119,0.0962
ABCA3,Q99758,0.04963198776568295,0.9090087355228572,0.03930898042211952,0.55,0.916,1,FALSE,FALSE,FALSE,FALSE,2.95,0.163,3.11,1.18,-0.0596,-2.67,1.58,1.44,1.75,-0.46,-1.37,-1.39
ABCB1,P08183,7.867968282394969e-4,0.6031507946032291,0.0026749175369366707,0.501,0.896,1,FALSE,FALSE,FALSE,FALSE,3.64,-0.486,3.15,0.13,0.935,0.352,1,-1.36,0.516,0.639,-2.64,0.424
ABCB10,Q9NRK6,9.918218966140134e-5,0.29081792904912396,8.671181441004906e-6,0.497,0.854,1,FALSE,FALSE,FALSE,FALSE,2.38,0.532,2.91,0.253,1.21,-0.375,-0.143,0.378,0.389,0.108,-2.52,0.705
ABCB6,Q9NP58,0.9856245338488538,0.25823071801161773,0.2510843581521255,0.705,0.847,1,FALSE,FALSE,FALSE,FALSE,0.0442,2.82,2.86,-1.29,-1.18,-0.776,1.76,-1.85,4.58,-1.99,1.71,-0.959
ABCB7,O75027,0.1014390867806793,0.7413879998729811,0.18202598844161932,0.577,0.906,1,FALSE,FALSE,FALSE,FALSE,1.06,-0.206,0.851,0.0478,0.874,-0.261,-0.0654,0.284,-0.271,0.012,-1.12,0.502
ABCC1,P33527,0.20972707127923454,0.6003354091618208,0.08252498180016471,0.611,0.896,1,FALSE,FALSE,FALSE,FALSE,0.874,0.359,1.23,0.0128,0.406,-0.122,-0.0832,0.346,0.276,-0.0847,-0.957,0.206
ABCC10,Q5T3U5,0.08011272617565612,0.7706879749229987,0.04499239497500205,0.568,0.908,1,FALSE,FALSE,FALSE,FALSE,1.32,0.211,1.53,0.0449,0.388,-0.328,0.0189,0.353,0.23,0.144,-1.3,0.445
ABCC4,O15439,1.916976276134896e-6,0.254162680916657,1.791910119009773e-7,0.469,0.846,1,FALSE,FALSE,FALSE,FALSE,3.68,0.65,4.33,0.251,0.827,0.149,-0.269,0.863,0.381,0.921,-3.95,0.823
ABCD3,P28288,0.5051659923226285,0.11938791828780584,0.03203775696491622,0.66,0.788,1,FALSE,FALSE,FALSE,FALSE,0.173,0.414,0.587,-0.165,0.597,-0.462,-0.22,0.117,0.194,0.174,-0.393,0.157
ABCD4,O14678,0.2747033082742965,0.7463433155744184,0.4358130336636973,0.624,0.907,1,FALSE,FALSE,FALSE,FALSE,-1.34,0.39,-0.947,-0.99,-0.0318,1.19,-2.19,1.7,-1.8,1.5,-0.853,1.48
ABCE1,P61221,0.012687198057334969,0.0025804515703058565,0.4881081850713619,0.517,0.653,1,FALSE,FALSE,FALSE,FALSE,0.426,-0.535,-0.11,0.102,-0.388,0.0721,0.318,0.101,-0.218,0.0913,-0.108,0.0286
ABCF1,Q8NE71,0.26430985244455407,0.7516505242539762,0.41756163947183245,0.622,0.907,1,FALSE,FALSE,FALSE,FALSE,-0.227,0.0635,-0.164,0.0313,-0.212,0.0526,-0.0399,-0.0566,0.0236,0.156,0.187,-0.142
ABCF2,Q9UG63,0.436028372409343,0.006474161869440048,0.036123303261568686,0.651,0.67,1,FALSE,FALSE,FALSE,FALSE,0.161,-0.615,-0.454,-0.0346,-0.25,0.0237,0.437,-0.0805,-0.179,0.143,0.276,-0.336
ABCF3,Q9NUQ8,0.06237538532314305,0.5681727794749338,0.17857354563374045,0.559,0.893,1,FALSE,FALSE,FALSE,FALSE,0.537,-0.158,0.379,0.22,-0.216,0.0919,0.00241,0.182,-0.155,0.368,-0.534,0.0419
ABHD10,Q9NUJ1,0.02540569046302902,0.008177828098588174,3.1574672788705694e-5,0.531,0.673,1,FALSE,FALSE,FALSE,FALSE,0.41,0.498,0.908,-0.152,0.591,-0.327,0.0114,-0.0387,0.51,-0.196,-0.398,4.47e-4
ABHD11,Q8NFV4,0.01777504575956566,0.2916851888398455,0.0015467982160373946,0.522,0.855,1,FALSE,FALSE,FALSE,FALSE,0.572,0.239,0.811,0.067,-0.647,-0.327,0.227,0.295,0.467,-0.0938,-0.344,0.356
ABHD12,Q8N2K0,9.221205889681551e-4,0.472015712949837,0.004992897779864464,0.501,0.883,1,FALSE,FALSE,FALSE,FALSE,0.997,-0.188,0.809,-0.123,0.0742,-0.109,0.197,0.219,0.00929,0.233,-0.8,0.3
ABHD14B,Q96IU4,0.333872214621058,0.0013161362648009193,0.012487426813378192,0.635,0.636,1,FALSE,FALSE,FALSE,FALSE,0.224,-0.847,-0.622,0.218,-0.666,0.257,0.245,0.278,-0.602,0.0758,0.0205,0.174
ABHD16A,O95870,0.11232010653181487,0.8967481325353687,0.08823868684161586,0.581,0.915,1,FALSE,FALSE,FALSE,FALSE,1.48,0.117,1.6,-0.631,1.03,-2.11,0.377,0.694,0.495,0.474,-1.11,0.776
ABHD17B,Q5VST6,0.09829742353332449,0.6292878859447952,0.227803379615874,0.576,0.898,1,FALSE,FALSE,FALSE,FALSE,2.24,-0.633,1.61,-0.523,0.716,-1.76,1.65,0.196,1.02,-0.894,-0.589,0.183
ABHD17C,Q6PCB6,0.7720715438609476,0.18734548523568528,0.11280330954386397,0.688,0.824,1,FALSE,FALSE,FALSE,FALSE,0.267,1.24,1.51,0.316,-0.576,0.728,-0.519,-0.793,0.721,1.52,-0.786,-0.611
ABHD5,Q8WTS1,0.6490395313848821,0.10791087476176396,0.23613849981965385,0.676,0.779,1,FALSE,FALSE,FALSE,FALSE,0.321,-1.17,-0.849,0.575,1.17,0.559,0.725,-1.59,-0.445,-0.444,0.404,-0.956
ABHD6,Q9BV23,0.0028924292913585538,0.9522596722539678,0.0025160651805491833,0.502,0.918,1,FALSE,FALSE,FALSE,FALSE,2.99,0.0534,3.05,0.38,1,-0.941,0.538,0.58,0.591,-0.206,-2.46,0.512
ABI1,Q8IZP0,0.012224002955364906,0.14811630286025787,3.890177314174408e-4,0.516,0.806,1,FALSE,FALSE,FALSE,FALSE,-0.503,-0.274,-0.777,0.155,-0.831,0.0742,-0.0568,0.0295,-0.331,0.421,0.446,0.0934
ABI2,Q9NYB9,0.05242363787209559,0.42584484178805626,0.009396367116572841,0.552,0.877,1,FALSE,FALSE,FALSE,FALSE,-0.374,-0.147,-0.521,0.0932,-0.717,0.105,-0.2,0.178,-0.347,0.459,0.174,0.253
ABITRAM,Q9NX38,0.05628548858895196,0.5376215033073591,0.015292796632021377,0.555,0.89,1,FALSE,FALSE,FALSE,FALSE,-0.512,-0.158,-0.67,0.101,-0.691,0.298,0.329,-0.204,0.171,-0.599,0.841,-0.246
ABL1,P00519,0.013793808079700577,0.6548161751625472,0.03611411926952952,0.518,0.9,1,FALSE,FALSE,FALSE,FALSE,-0.909,0.153,-0.757,-0.199,-0.887,-0.128,-0.608,0.554,-0.455,0.819,0.302,0.603
ABL2,P42684,0.08000338170060575,0.6506066642227916,0.1813212674924133,0.568,0.9,1,FALSE,FALSE,FALSE,FALSE,-0.511,0.127,-0.384,-0.0485,-0.602,0.112,-0.585,0.323,-0.458,0.695,-0.0746,0.638
ABLIM1,O14639,0.003914832993014978,0.7792336251714926,0.007445355130149585,0.502,0.909,1,FALSE,FALSE,FALSE,FALSE,-1.25,0.108,-1.14,-0.0489,-0.793,0.188,-0.843,0.388,-0.734,0.966,0.404,0.473
ABLIM2,Q6H8Q1,0.09293086774269528,0.6414484890487753,0.21108517704825291,0.574,0.899,1,FALSE,FALSE,FALSE,FALSE,2.04,-0.546,1.49,-0.00907,0.346,0.647,0.328,-0.215,-0.218,0.106,-1.71,0.725
ABR,Q12979,0.0020506139083761527,0.0354673583794672,0.21206818033788358,0.502,0.725,1,FALSE,FALSE,FALSE,FALSE,4.44,-2.83,1.62,0.946,1.1,0.923,0.827,0.59,-2,0.579,-3.62,0.659
ABRACL,Q9P1F3,0.002821350808876535,0.14131917040981617,8.127109745742742e-5,0.502,0.802,1,FALSE,FALSE,FALSE,FALSE,-1.17,-0.528,-1.7,0.228,-1.13,0.445,-0.238,0.156,-0.766,-0.0554,0.936,0.43
ABRAXAS1,Q6UWZ7,0.24355291885558994,0.8716301426346638,0.18736066366882267,0.618,0.914,1,FALSE,FALSE,FALSE,FALSE,0.26,0.0354,0.295,-0.0122,0.493,-0.139,-0.052,0.0457,-0.0166,-0.156,-0.312,0.149
ABRAXAS2,Q15018,0.07081167069568847,0.03600486237014682,0.7371374923093672,0.563,0.725,1,FALSE,FALSE,FALSE,FALSE,0.332,-0.392,-0.0593,0.00614,-0.424,-0.094,0.489,-0.146,0.0972,0.0316,0.156,-0.117
ABT1,Q9ULW3,0.012817749903956177,0.007773674848245262,0.8236210251942803,0.517,0.673,1,FALSE,FALSE,FALSE,FALSE,-0.704,0.762,0.0581,-0.461,0.463,-0.387,-0.374,-0.0479,0.388,0.0727,0.33,0.0172
ACAA1,P09110,0.3196692739429367,1.611310083308225e-5,1.633705631751687e-4,0.633,0.313,1,FALSE,FALSE,FALSE,FALSE,-0.124,0.685,0.561,-0.318,0.0366,-0.42,0.0874,-0.154,0.772,-0.224,0.211,0.0101
ACAA2,P42765,1.4774158438140057e-5,0.0010465281547077452,0.07786861421954212,0.489,0.633,1,FALSE,FALSE,FALSE,FALSE,-1.95,1.31,-0.637,-0.694,-0.101,-0.54,-0.381,-0.211,0.933,-0.46,1.57,-0.116
ACACA,Q13085,0.3051672129834593,0.07088495214047835,0.4021135687654035,0.63,0.749,1,FALSE,FALSE,FALSE,FALSE,1.55,-2.81,-1.26,0.642,0.274,0.555,0.548,0.473,-2.26,0.452,-1,0.321
ACAD10,Q6JQN1,0.23887825531443252,0.8731121850400557,0.3051894684396,0.617,0.914,1,FALSE,FALSE,FALSE,FALSE,1.68,-0.223,1.45,0.307,0.395,-0.166,-0.138,0.512,-0.362,0.473,-1.82,0.794
ACAD11,Q709F0,0.3059454799921636,0.7158714134683015,0.17111904237728426,0.63,0.905,1,FALSE,FALSE,FALSE,FALSE,1.11,0.391,1.5,0.363,0.688,-2.4,0.438,0.432,0.829,-0.241,-0.674,0.564
ACAD8,Q9UKU7,0.7873023157097093,0.32373515723570756,0.21344779640435527,0.689,0.861,1,FALSE,FALSE,FALSE,FALSE,0.158,0.585,0.743,-0.826,0.248,-0.452,0.149,0.319,0.733,-0.747,-0.0094,0.585
ACAD9,Q9H845,2.9078078093851446e-5,0.1782317306163126,1.4140655317659197e-6,0.493,0.82,1,FALSE,FALSE,FALSE,FALSE,1.25,0.322,1.57,0.185,0.682,-0.181,-0.0428,0.25,0.28,-0.143,-1.29,0.259
ACADM,P11310,1.448780963352666e-4,0.016653450284890976,0.05142640394726887,0.498,0.694,1,FALSE,FALSE,FALSE,FALSE,-2.14,1.19,-0.946,-0.842,-0.251,-0.448,-0.325,-0.233,0.868,-0.387,1.81,-0.194
ACADS,P16219,3.062558792118902e-4,0.008860371786518488,0.15933500066370723,0.499,0.674,1,FALSE,FALSE,FALSE,FALSE,-2.44,1.62,-0.817,-0.757,-0.151,-0.483,-1.08,0.193,0.537,0.0745,1.35,0.316
ACADSB,P45954,0.11436422651510689,0.18361425720945493,0.7870309673513329,0.582,0.823,1,FALSE,FALSE,FALSE,FALSE,-0.32,0.267,-0.0531,-0.209,0.292,-0.307,-0.0752,0.0895,0.192,-0.301,0.245,0.0746
ACADVL,P49748,0.696035514676777,0.001096852917494582,4.362455441857592e-4,0.681,0.634,1,FALSE,FALSE,FALSE,FALSE,0.0626,0.603,0.666,-0.0894,0.342,-0.205,-0.226,0.13,0.377,-0.151,-0.289,0.112
ACAP2,Q15057,0.004373171665613635,0.2867997796551121,0.04666928300497094,0.502,0.854,1,FALSE,FALSE,FALSE,FALSE,4.18,-1.42,2.76,1.24,-1.18,1.26,1.02,0.988,-0.408,1.05,-3.17,-0.799
ACAT1,P24752,0.02415718396576457,0.03523118445099337,1.4055838570447784e-4,0.53,0.724,1,FALSE,FALSE,FALSE,FALSE,0.502,0.465,0.966,0.115,0.456,-0.146,-0.208,0.169,0.256,-0.161,-0.71,0.229
ACAT2,Q9BWD1,1.86446764631197e-5,0.2991982803836171,2.1117348772227171e-4,0.49,0.856,1,FALSE,FALSE,FALSE,FALSE,-2.61,0.497,-2.11,-0.699,-1.41,-0.112,0.354,-0.719,0.85,-0.836,2.96,-0.388
ACBD3,Q9H3P7,0.705794351243983,0.028184388800998984,0.012396149767165696,0.682,0.716,1,FALSE,FALSE,FALSE,FALSE,-0.0648,-0.401,-0.465,0.0901,-0.352,0.117,0.188,-0.066,-0.212,-0.029,0.253,0.00969
ACBD5,Q5T8D3,0.004264048329289588,0.022987084053693995,0.4546169037677643,0.502,0.707,1,FALSE,FALSE,FALSE,FALSE,-1.26,0.961,-0.297,-0.41,-0.455,0.00925,-0.782,0.111,0.179,0.563,0.476,0.309
ACBD6,Q9BR61,0.25650571196296057,0.4307636918579998,0.7196178460672755,0.62,0.878,1,FALSE,FALSE,FALSE,FALSE,1.15,-0.791,0.358,0.529,0.0733,0.583,0.0372,0.542,-0.754,0.209,-1.11,-0.108
ACD,Q96AP0,0.9189125129751486,0.9990621629288101,0.9179799576432996,0.7,0.92,1,FALSE,FALSE,FALSE,FALSE,-0.0504,-5.82e-4,-0.051,0.212,-0.355,0.288,-0.553,0.561,-0.553,0.402,-0.502,0.5
ACE2,Q9BYF1,0.5666229962786198,0.5808926809515473,0.9830790221294603,0.667,0.894,1,FALSE,FALSE,FALSE,FALSE,0.35,-0.337,0.0129,-0.748,0.0888,0.463,0.728,-0.337,0.391,-0.263,0.378,-0.7
ACIN1,Q9UKV3,5.960741974169072e-5,0.042294319123234024,0.008816498464417996,0.495,0.731,1,FALSE,FALSE,FALSE,FALSE,-1.73,0.741,-0.991,-0.127,-0.314,0.0418,-1.25,0.591,-0.51,0.509,0.481,0.579
ACLY,P53396,0.00393029261837192,0.0043874910583814285,0.9619661830798568,0.502,0.664,1,FALSE,FALSE,FALSE,FALSE,0.935,-0.921,0.0138,0.125,-0.238,0.024,0.754,-0.0649,-0.167,-0.119,-0.181,-0.132
ACO1,P21399,0.08463145135589714,0.04222267520039854,0.7255071548808183,0.57,0.731,1,FALSE,FALSE,FALSE,FALSE,0.584,-0.698,-0.115,0.283,0.0141,0.205,0.0566,0.233,-0.642,0.161,-0.527,0.217
ACO2,Q99798,0.07814479150304743,0.7349836780664207,0.039774642139816144,0.567,0.906,1,FALSE,FALSE,FALSE,FALSE,0.285,0.0527,0.338,0.0873,0.263,0.0488,-0.269,0.24,-0.217,0.053,-0.554,0.348
ACOT13,Q9NPJ3,0.034737616505265356,1.7189216929831006e-5,0.0031432547494083703,0.538,0.321,1,FALSE,FALSE,FALSE,FALSE,-0.44,1.09,0.652,-0.376,0.483,-0.459,-0.0746,-0.352,1.02,-0.38,0.365,-0.224
ACOT2,P49753,0.37762853136638663,0.12953625696329937,0.5047962340777515,0.643,0.795,1,FALSE,FALSE,FALSE,FALSE,0.516,-0.905,-0.389,-0.831,0.258,-0.405,1.2,-0.46,0.3,0.0919,0.689,-0.847
ACOT7,O00154,0.23511925290189511,0.003716018902408513,0.05243725623088158,0.616,0.661,1,FALSE,FALSE,FALSE,FALSE,0.232,-0.622,-0.39,0.0156,-0.0045,0.0394,0.288,-0.0591,-0.334,0.125,0.0567,-0.127
ACOT8,O14734,0.17297357307777833,6.453074440504969e-4,0.016099508087380004,0.601,0.625,1,FALSE,FALSE,FALSE,FALSE,-0.192,0.55,0.358,-0.144,0.309,-0.329,0.017,-0.14,0.567,-0.463,0.209,-0.0245
ACOT9,Q9Y305,8.897449312405646e-4,0.13399131195111766,2.4507726297616377e-5,0.501,0.798,1,FALSE,FALSE,FALSE,FALSE,1.05,0.42,1.47,-0.124,0.598,-0.666,0.0857,0.262,0.506,-0.0285,-0.965,0.332
ACOX1,Q15067,5.530548855058151e-4,6.676531334107597e-4,0.936306967291368,0.5,0.625,1,FALSE,FALSE,FALSE,FALSE,-1.13,1.11,-0.0223,-0.603,-0.289,-0.511,-0.239,0.0272,0.873,-0.196,0.895,0.0437
ACOX3,O15254,6.714249262440841e-7,0.8652019071473268,9.536356063679363e-7,0.449,0.914,1,FALSE,FALSE,FALSE,FALSE,3.23,-0.0776,3.15,0.474,1.01,0.116,0.0971,0.552,0.0195,0.276,-3.13,0.585
ACP1,P24666,2.0207634921094407e-5,0.5746537470118456,5.7654744114926985e-6,0.491,0.894,1,FALSE,FALSE,FALSE,FALSE,-1.27,-0.131,-1.4,-0.292,-1.29,0.052,0.122,-0.139,-0.00893,0.0909,1.4,0.0723
ACP2,P11117,0.005483085770805086,0.008126695757446433,0.8628140348685053,0.505,0.673,1,FALSE,FALSE,FALSE,FALSE,-1.38,1.3,-0.0775,-0.954,-0.339,-0.461,-0.039,-0.361,1.26,-0.295,1.34,-0.153
ACP6,Q9NPH0,0.70462622178676515,0.9832542924900259,0.6891938240764297,0.682,0.919,1,FALSE,FALSE,FALSE,FALSE,-0.295,-0.0163,-0.311,0.528,1.02,-0.163,-0.427,-0.301,-0.443,-0.453,-0.132,0.368
ACSF2,Q96CM8,9.655678072207644e-5,0.07494053935789628,0.007373357298530986,0.497,0.751,1,FALSE,FALSE,FALSE,FALSE,-1.57,0.606,-0.962,-0.198,0.0741,0.0526,-0.496,-0.136,0.11,-0.344,1.07,-0.137
ACSF3,Q4G176,0.012718243530226695,0.5793001749574573,0.04187319879984081,0.517,0.894,1,FALSE,FALSE,FALSE,FALSE,0.585,-0.12,0.465,6.68e-4,0.417,-0.354,0.267,-0.0545,0.147,-0.231,-0.318,0.127
ACSL1,P33121,4.52739340186602e-4,0.6155119260962838,0.0014823453524170944,0.5,0.897,1,FALSE,FALSE,FALSE,FALSE,3.02,-0.367,2.65,0.311,0.905,0.243,0.234,0.482,-0.132,0.396,-2.78,0.345
ACSL3,O95573,0.003358886072006702,0.31758875342699994,0.03201289993029819,0.502,0.86,1,FALSE,FALSE,FALSE,FALSE,0.724,-0.223,0.501,-0.116,0.392,-0.312,0.36,0.0747,0.138,-0.231,-0.363,0.0584
ACSL4,O60488,0.03938509335120049,0.8866144882182735,0.05264143216001755,0.541,0.915,1,FALSE,FALSE,FALSE,FALSE,0.333,-0.0218,0.311,-0.0884,0.15,-0.0493,0.04,0.0697,0.0182,-0.0746,-0.293,0.226
