name,ID,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.val,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.val,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.val,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.adj,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_significant,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_significant,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_significant,significant,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_ratio,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio,RDH12_100_atRAL5hr_centered,RDH12_200_atRAL5hr_centered,RDH12_control_atRAL5hr_centered
AAAS,Q9NRG9,0.07966152572998118,0.8042193500791698,0.05343481022144648,0.988,0.992,1,TRUE,FALSE,TRUE,TRUE,0.895,0.114,1.01,0.26,0.375,-0.635
AACS,Q86V21,0.2887345711741189,0.42090536203074025,0.7807835206231444,0.988,0.989,1,TRUE,TRUE,FALSE,TRUE,1.78,-1.33,0.451,1.04,-0.293,-0.744
AAK1,Q2M2I8,0.01067127381524085,0.0057838415371135165,0.6870722449789555,0.988,0.983,1,FALSE,TRUE,FALSE,TRUE,0.584,-0.658,-0.0737,0.414,-0.244,-0.17
AAMDC,Q9H7C9,0.006730012177241474,0.770138037817029,0.004366331712315766,0.988,0.992,1,TRUE,FALSE,TRUE,TRUE,-1.51,-0.126,-1.63,-0.461,-0.586,1.05
AAMP,Q13685,0.0017132077115934192,0.5954651888517288,0.00361246664032529,0.988,0.99,1,TRUE,FALSE,TRUE,TRUE,-1.36,0.163,-1.2,-0.508,-0.345,0.852
AAR2,Q9Y312,0.150472721855518,0.756089057188447,0.24030059086226427,0.988,0.992,1,TRUE,FALSE,TRUE,TRUE,1.21,-0.245,0.965,0.485,0.24,-0.725
AARS1,P49588,0.07702750677938619,0.15582897106947216,0.007007052532234747,0.988,0.989,1,FALSE,FALSE,TRUE,TRUE,-0.47,-0.363,-0.833,-0.0357,-0.399,0.434
AARS2,Q5JTZ9,0.020057286669654645,0.4650968272800662,0.0661543623015893,0.988,0.989,1,TRUE,FALSE,TRUE,TRUE,0.875,-0.232,0.643,0.369,0.137,-0.506
AASS,Q9UDR5,0.012922795631419601,0.4132725522929307,0.0036903094800529632,0.988,0.989,1,TRUE,FALSE,TRUE,TRUE,1.87,0.508,2.38,0.455,0.963,-1.42
ABCB6,Q9NP58,0.7636272934280105,0.5548974506751969,0.7681531686106771,0.989,0.99,1,TRUE,TRUE,TRUE,TRUE,-1.21,2.39,1.18,-1.2,1.19,0.00799
ABCB7,O75027,0.14314420820034557,0.95745957804093,0.13175678704195837,0.988,0.993,1,TRUE,FALSE,TRUE,TRUE,1.19,0.0404,1.23,0.384,0.424,-0.808
ABCC1,P33527,0.3739090520387671,0.7777233371065799,0.2522957910727232,0.988,0.992,1,TRUE,FALSE,TRUE,TRUE,1.16,0.359,1.52,0.266,0.625,-0.891
ABCD3,P28288,0.5686820755745803,0.19177406083669368,0.07798812447568139,0.989,0.989,1,FALSE,FALSE,TRUE,TRUE,0.173,0.414,0.587,-0.0806,0.334,-0.253
ABCF2,Q9UG63,0.528294427802779,0.035553626804752096,0.0992199981119607,0.989,0.988,1,FALSE,TRUE,FALSE,TRUE,0.161,-0.615,-0.454,0.259,-0.357,0.0979
ABHD10,Q9NUJ1,0.09660482313845022,0.05140444533218911,0.003106951308124663,0.988,0.988,1,FALSE,FALSE,TRUE,TRUE,0.41,0.498,0.908,-0.0295,0.469,-0.439
ABHD11,Q8NFV4,0.0982588209429189,0.455747489002714,0.028998277632518457,0.988,0.989,1,FALSE,FALSE,TRUE,TRUE,0.572,0.239,0.811,0.111,0.35,-0.461
ABHD12,Q8N2K0,0.02852167910288758,0.6291258872439534,0.06243799347437594,0.988,0.991,1,TRUE,FALSE,TRUE,TRUE,0.997,-0.188,0.809,0.395,0.207,-0.602
ABHD14B,Q96IU4,0.49224845645391124,0.026352635334903236,0.08090312496989614,0.988,0.988,1,FALSE,TRUE,TRUE,TRUE,0.224,-0.847,-0.622,0.357,-0.49,0.133
ABHD17B,Q5VST6,0.07375499160218407,0.5397617518184715,0.1946375415466453,0.988,0.99,1,TRUE,FALSE,TRUE,TRUE,1.58,-0.492,1.09,0.691,0.198,-0.889
ABHD6,Q9BV23,0.00877948104913284,0.9138910719567872,0.00745188655546494,0.988,0.992,1,TRUE,FALSE,TRUE,TRUE,1.65,0.0534,1.7,0.531,0.584,-1.12
ABI1,Q8IZP0,0.051334288156098765,0.2469796511167527,0.007617789281551254,0.988,0.989,1,FALSE,FALSE,TRUE,TRUE,-0.503,-0.274,-0.777,-0.0761,-0.351,0.427
ABITRAM,Q9NX38,0.05827214792594124,0.5140043558711862,0.020146201153231843,0.988,0.989,1,FALSE,FALSE,TRUE,TRUE,-0.512,-0.158,-0.67,-0.118,-0.276,0.394
ABL1,P00519,0.07492429912533718,0.7399886296292549,0.12707602567572643,0.988,0.991,1,TRUE,FALSE,TRUE,TRUE,-0.909,0.153,-0.757,-0.354,-0.201,0.555
ABLIM1,O14639,0.021613615780288496,0.8107476890969479,0.03171526588966107,0.988,0.992,1,TRUE,FALSE,TRUE,TRUE,-1.25,0.108,-1.14,-0.452,-0.343,0.795
ABLIM2,Q6H8Q1,0.12586694561185544,0.8718516092857954,0.16161940466249197,0.988,0.992,1,TRUE,FALSE,TRUE,TRUE,-1.04,0.101,-0.938,-0.38,-0.279,0.659
ABRACL,Q9P1F3,0.015720109645417178,0.2072381968603719,0.0021982167940716828,0.988,0.989,1,TRUE,FALSE,TRUE,TRUE,-1.17,-0.528,-1.7,-0.216,-0.744,0.959
ABT1,Q9ULW3,0.0771796818383703,0.05947486596997725,0.871284171548667,0.988,0.989,1,TRUE,TRUE,FALSE,TRUE,-0.704,0.762,0.0581,-0.489,0.273,0.215
ACAA1,P09110,0.5559808726776369,0.009243975307691695,0.02345595727493042,0.989,0.986,1,FALSE,TRUE,FALSE,TRUE,-0.124,0.685,0.561,-0.269,0.415,-0.146
ACAA2,P42765,0.0041717717834352,0.028514483376269887,0.23249648700218223,0.988,0.988,1,TRUE,TRUE,TRUE,TRUE,-1.95,1.31,-0.637,-1.09,0.226,0.863
ACACA,Q13085,0.181124333818506,0.46952595921540174,0.5005554203234448,0.988,0.989,1,TRUE,TRUE,TRUE,TRUE,1.58,-0.819,0.761,0.8,-0.0193,-0.78
ACAD11,Q709F0,0.013443022794330359,0.6418965318728038,0.006570927128227602,0.988,0.991,1,TRUE,FALSE,TRUE,TRUE,2.55,0.391,2.94,0.72,1.11,-1.83
ACAD8,Q9UKU7,0.7967114410547448,0.35317298197656755,0.24590190579343688,0.99,0.989,1,FALSE,FALSE,TRUE,TRUE,0.158,0.585,0.743,-0.142,0.443,-0.3
ACAD9,Q9H845,0.004314689217303513,0.3385265262691652,0.0011100300824576934,0.988,0.989,1,TRUE,FALSE,TRUE,TRUE,1.25,0.322,1.57,0.308,0.63,-0.938
ACADM,P11310,0.011787340447337962,0.10801248134828793,0.18948188802643823,0.988,0.989,1,TRUE,TRUE,TRUE,TRUE,-2.14,1.19,-0.946,-1.11,0.0824,1.03
ACADS,P16219,0.012818752521300401,0.06682364808534824,0.3168525673844779,0.988,0.989,1,TRUE,TRUE,TRUE,TRUE,-2.44,1.62,-0.817,-1.35,0.268,1.08
ACADVL,P49748,0.7750022319915854,0.021517392603902508,0.013699794494038586,0.989,0.988,1,FALSE,TRUE,TRUE,TRUE,0.0626,0.603,0.666,-0.18,0.423,-0.243
ACAT1,P24752,0.13241658440208962,0.15951286101460785,0.012092670781053487,0.988,0.989,1,FALSE,FALSE,TRUE,TRUE,0.502,0.465,0.966,0.0124,0.477,-0.489
ACAT2,Q9BWD1,0.0023176545652101458,0.4274409927176219,0.0074893852648673055,0.988,0.989,1,TRUE,FALSE,TRUE,TRUE,-2.61,0.497,-2.11,-1.03,-0.537,1.57
ACBD5,Q5T8D3,0.018350795182796913,0.0541983017220525,0.5053908008558486,0.988,0.988,1,TRUE,TRUE,FALSE,TRUE,-1.26,0.961,-0.297,-0.739,0.221,0.518
ACBD6,Q9BR61,0.7417783606643308,0.3452788526166698,0.5267763389041848,0.989,0.989,1,FALSE,TRUE,TRUE,TRUE,0.487,-1.43,-0.944,0.639,-0.792,0.152
ACD,Q96AP0,0.1810170485929978,0.5476246681460855,0.42677507697840955,0.988,0.99,1,TRUE,FALSE,FALSE,TRUE,-0.985,0.422,-0.563,-0.469,-0.0469,0.516
ACIN1,Q9UKV3,0.00423585987911369,0.12992329525254157,0.05377791003402296,0.988,0.989,1,TRUE,TRUE,TRUE,TRUE,-1.73,0.741,-0.991,-0.824,-0.0835,0.908
ACLY,P53396,0.06095418857647285,0.06409753276213266,0.9750771531172296,0.988,0.989,1,TRUE,TRUE,FALSE,TRUE,0.935,-0.921,0.0138,0.619,-0.302,-0.316
ACO1,P21399,0.27712137929306324,0.20051515101351788,0.8248174435409146,0.988,0.989,1,FALSE,TRUE,FALSE,TRUE,0.584,-0.698,-0.115,0.427,-0.271,-0.156
ACOT13,Q9NPJ3,0.148441664220978,0.0040994210063003194,0.04515200674388251,0.988,0.98,1,FALSE,TRUE,TRUE,TRUE,-0.44,1.09,0.652,-0.51,0.581,-0.0707
ACOT2,P49753,0.24737519948260467,0.3896020272531936,0.74399114194797,0.988,0.989,1,TRUE,FALSE,FALSE,TRUE,0.622,-0.453,0.169,0.358,-0.0949,-0.263
ACOT7,O00154,0.38511455303427344,0.038837868383238064,0.16013918052569123,0.988,0.988,1,FALSE,TRUE,FALSE,TRUE,0.232,-0.622,-0.39,0.285,-0.338,0.0529
ACOT9,Q9Y305,0.022260607591970547,0.29121134602022114,0.0041820860385052075,0.988,0.989,1,TRUE,FALSE,TRUE,TRUE,1.05,0.42,1.47,0.21,0.63,-0.84
ACOX1,Q15067,0.021995512127368073,0.023972802668284308,0.956898418910685,0.988,0.988,1,TRUE,TRUE,FALSE,TRUE,-1.13,1.11,-0.0223,-0.749,0.363,0.385
ACP1,P24666,0.002474099060714043,0.6678704862074969,0.0013764686756571084,0.988,0.991,1,TRUE,FALSE,TRUE,TRUE,-1.27,-0.131,-1.4,-0.381,-0.512,0.893
ACP2,P11117,0.04517952860488137,0.055626092342515074,0.8974084753633191,0.988,0.988,1,TRUE,TRUE,FALSE,TRUE,-1.38,1.3,-0.0775,-0.894,0.408,0.486
ACP6,Q9NPH0,0.3450163657751075,0.2605259247993868,0.8409915371478548,0.988,0.989,1,TRUE,TRUE,FALSE,TRUE,-1.08,1.3,0.223,-0.793,0.508,0.285
ACSF2,Q96CM8,0.010976232557491123,0.23930360151405494,0.07811099723000078,0.988,0.989,1,TRUE,TRUE,TRUE,TRUE,-1.57,0.606,-0.962,-0.725,-0.119,0.843
ACSF3,Q4G176,0.05510087681989801,0.656739812201044,0.1126400771534761,0.988,0.991,1,TRUE,FALSE,FALSE,TRUE,0.585,-0.12,0.465,0.235,0.115,-0.35
ACSL1,P33121,0.02694350169099071,0.62839652123996,0.05906418185064753,0.988,0.991,1,TRUE,FALSE,TRUE,TRUE,3.09,-0.576,2.52,1.22,0.647,-1.87
ACSL3,O95573,0.046265835847976,0.48938983537498104,0.14164436260468102,0.988,0.989,1,TRUE,FALSE,FALSE,TRUE,0.724,-0.223,0.501,0.315,0.0928,-0.408
ACSS1,Q9NUB1,0.0018558164125237794,0.31871301113610256,0.008179528148476311,0.988,0.989,1,TRUE,FALSE,TRUE,TRUE,-1.15,0.269,-0.882,-0.473,-0.204,0.677
ACSS2,Q9NR19,0.12485222756885098,0.6554984755497868,0.2464339156642425,0.988,0.991,1,TRUE,FALSE,TRUE,TRUE,1.76,-0.477,1.29,0.747,0.27,-1.02
ACTBL2,Q562R1,0.10183948459132537,0.14575076101664844,0.008551811163620002,0.988,0.989,1,FALSE,FALSE,TRUE,TRUE,-0.396,-0.345,-0.741,-0.0169,-0.362,0.379
ACTL6A,O96019,0.04374979508562704,0.1850841648890299,0.374419848844341,0.988,0.989,1,TRUE,FALSE,FALSE,TRUE,-0.917,0.556,-0.361,-0.491,0.0651,0.426
ACTN1,P12814,0.8089883496846964,0.019028976548030437,0.013011385747750938,0.99,0.987,1,FALSE,TRUE,TRUE,TRUE,-0.0625,-0.732,-0.795,0.223,-0.509,0.286
ACTN4,O43707,0.6555094020014773,0.029327394413683153,0.014390509047901835,0.989,0.988,1,FALSE,FALSE,TRUE,TRUE,-0.098,-0.56,-0.658,0.154,-0.406,0.252
ACTR10,Q9NZ32,0.35996002452287773,0.0662139338285039,0.2817281972734004,0.988,0.989,1,FALSE,TRUE,FALSE,TRUE,0.286,-0.625,-0.34,0.304,-0.322,0.018
ACTR2,P61160,0.07509125556019852,0.09055254597461206,0.9068005997597375,0.988,0.989,1,TRUE,TRUE,FALSE,TRUE,0.671,-0.632,0.0397,0.434,-0.197,-0.237
ACTR3B,Q9P1U1,0.8975810897054594,0.05925416314817479,0.07288759714972984,0.99,0.989,1,FALSE,TRUE,TRUE,TRUE,0.0537,-0.888,-0.834,0.314,-0.574,0.26
ACTR5,Q9H9F9,0.03971033788214932,0.5939480208175212,0.09428433920709382,0.988,0.99,1,TRUE,TRUE,TRUE,TRUE,2.76,-0.624,2.13,1.13,0.503,-1.63
ACTR8,Q9H981,0.15613008487885358,0.4166772546645846,0.041680015359312206,0.988,0.989,1,TRUE,FALSE,TRUE,TRUE,0.878,0.48,1.36,0.133,0.613,-0.745
ACVR1,Q04771,0.028535181872579467,0.3537860357599366,0.13133293875233507,0.988,0.989,1,TRUE,TRUE,TRUE,TRUE,2.48,-0.914,1.56,1.13,0.216,-1.35
ACY1,Q03154,0.32823653283674725,0.48475606074158484,0.11397548852524685,0.988,0.989,1,FALSE,FALSE,TRUE,TRUE,-0.459,-0.323,-0.783,-0.0454,-0.369,0.414
ACYP1,P07311,0.001230603482048634,0.9873364008983129,0.0012565135820581234,0.988,0.993,1,TRUE,FALSE,TRUE,TRUE,-2.04,0.00686,-2.03,-0.682,-0.675,1.36
ACYP2,P14621,0.003067817729836453,0.5176424222643149,0.008028011473495862,0.988,0.989,1,TRUE,FALSE,TRUE,TRUE,-1.68,0.272,-1.41,-0.651,-0.379,1.03
ADA,P00813,0.05972494732820067,0.3177384704947759,0.011539918176448132,0.988,0.989,1,FALSE,FALSE,TRUE,TRUE,-0.511,-0.248,-0.759,-0.0875,-0.336,0.423
ADAM10,O14672,0.010226676310782556,0.06591030569922667,0.2609595976030805,0.988,0.989,1,TRUE,TRUE,FALSE,TRUE,-1.5,0.954,-0.542,-0.817,0.137,0.679
ADAM22,Q9P0K1,0.09728013496944503,0.019611680507068397,0.33294204028262603,0.988,0.988,1,TRUE,TRUE,FALSE,TRUE,-0.833,1.29,0.457,-0.708,0.582,0.125
ADAM9,Q13443,0.1383760075280738,0.03760206778575542,0.42437627376530795,0.988,0.988,1,FALSE,TRUE,FALSE,TRUE,-0.41,0.619,0.21,-0.343,0.276,0.0667
ADARB1,P78563,0.4604274150314247,0.5734881777495443,0.8551884668469434,0.988,0.99,1,TRUE,FALSE,FALSE,TRUE,0.636,-0.482,0.155,0.373,-0.109,-0.264
ADAT2,Q7Z6V5,0.003051069407628213,0.3416125542818824,8.214587490311262e-4,0.988,0.989,1,TRUE,FALSE,TRUE,TRUE,-1.08,-0.26,-1.34,-0.272,-0.532,0.805
ADAT3,Q96EY9,0.8450833264043346,0.2218320957173148,0.16534214754087626,0.99,0.989,1,FALSE,TRUE,TRUE,TRUE,-0.159,-1.04,-1.2,0.295,-0.75,0.454
ADD2,P35612,0.012890502392652643,0.7212262068807573,0.022663179976436354,0.988,0.991,1,TRUE,FALSE,TRUE,TRUE,-1.18,0.137,-1.05,-0.44,-0.303,0.743
ADGRE5,P48960,0.17061437102038687,0.08545604969811392,0.6607460202486328,0.988,0.989,1,TRUE,TRUE,FALSE,TRUE,-0.758,0.987,0.229,-0.582,0.406,0.176
ADGRG6,Q86SQ4,0.10176456893476447,0.0829988040210631,0.8981622044137628,0.988,0.989,1,TRUE,TRUE,FALSE,TRUE,-0.793,0.85,0.0567,-0.548,0.302,0.245
ADGRL3,Q9HAR2,0.03122552189400234,0.03074157724464653,0.9922360688128022,0.988,0.988,1,TRUE,TRUE,FALSE,TRUE,-0.93,0.933,0.00358,-0.621,0.312,0.309
ADH5,P11766,0.8854119266655018,0.04287635816462807,0.05410092385005366,0.99,0.988,1,FALSE,TRUE,FALSE,TRUE,0.0379,-0.613,-0.575,0.217,-0.396,0.179
ADI1,Q9BV57,0.0024176254285089263,0.473656078986999,0.006935814653118974,0.988,0.989,1,TRUE,FALSE,TRUE,TRUE,-2.16,0.373,-1.79,-0.845,-0.471,1.32
ADIPOR1,Q96A54,0.020634957371162256,0.4510966699575081,0.07080625027001836,0.988,0.989,1,TRUE,TRUE,TRUE,TRUE,4.33,-1.19,3.13,1.84,0.647,-2.49
ADISSP,Q9GZN8,0.024826663322167743,0.8399640477787932,0.018007859176083958,0.988,0.992,1,TRUE,FALSE,TRUE,TRUE,-0.945,-0.0716,-1.02,-0.291,-0.363,0.654
ADK,P55263,0.03458763505467299,0.9868594082306995,0.03551630442724756,0.988,0.993,1,TRUE,FALSE,TRUE,TRUE,-0.834,0.00558,-0.828,-0.28,-0.274,0.554
ADNP2,Q6IQ32,0.010809076153234284,0.21970349033357975,0.08438537409109446,0.988,0.989,1,TRUE,FALSE,TRUE,TRUE,-1,0.405,-0.599,-0.47,-0.0647,0.535
ADO,Q96SZ5,0.003372752764564024,0.6870643373299805,0.0060869572328448645,0.988,0.991,1,TRUE,FALSE,TRUE,TRUE,-1.57,0.16,-1.41,-0.577,-0.417,0.993
ADPGK,Q9BRR6,0.048114132598521105,0.7439281524492184,0.02839260441936113,0.988,0.991,1,TRUE,FALSE,TRUE,TRUE,0.842,0.122,0.964,0.24,0.362,-0.602
ADPRM,Q3LIE5,0.011331245933779073,0.1246151695313509,0.15874552444169193,0.988,0.989,1,TRUE,TRUE,TRUE,TRUE,-2.56,1.34,-1.22,-1.3,0.0421,1.26
ADSL,P30566,0.08707921770411625,0.19300598882896008,0.6120828775173344,0.988,0.989,1,TRUE,TRUE,FALSE,TRUE,0.997,-0.727,0.27,0.575,-0.152,-0.422
ADSS2,P30520,0.9755442817592515,0.15431306043795684,0.1617476424838737,0.99,0.989,1,FALSE,TRUE,TRUE,TRUE,-0.0185,0.92,0.901,-0.313,0.607,-0.294
AEBP2,Q6ZN18,0.020778613005435893,0.2620169747850013,0.13477776413007492,0.988,0.989,1,TRUE,TRUE,TRUE,TRUE,-1.84,0.774,-1.07,-0.872,-0.0977,0.97
AFAP1,Q8N556,0.5170428766355248,0.07774060573777754,0.21570129258119938,0.989,0.989,1,FALSE,TRUE,FALSE,TRUE,-0.284,0.847,0.563,-0.377,0.47,-0.0931
AFF1,P51825,0.0531653076594434,0.10754727335263999,0.6618122947111778,0.988,0.989,1,TRUE,TRUE,FALSE,TRUE,-0.941,0.753,-0.189,-0.565,0.188,0.377
AFF4,Q9UHB7,0.005295140374285571,0.025213317907535955,0.32696415109177807,0.988,0.988,1,TRUE,TRUE,FALSE,TRUE,-1.39,1.01,-0.384,-0.8,0.208,0.592
AFG2A,Q8NB90,0.7760968254174716,0.19278690031370707,0.29209702717137376,0.989,0.989,1,FALSE,TRUE,TRUE,TRUE,0.545,-2.63,-2.09,1.06,-1.57,0.515
AFG2B,Q9BVQ7,0.2948934993389055,0.3905540420178689,0.8366481765809501,0.988,0.989,1,TRUE,TRUE,FALSE,TRUE,1.19,-0.964,0.226,0.718,-0.246,-0.472
AFP,P02771,0.044043507214640676,0.06152189959560765,0.8359724479934791,0.988,0.989,1,TRUE,TRUE,FALSE,TRUE,-1.01,0.915,-0.0901,-0.64,0.275,0.365
AGA,P20933,0.038685540597937114,0.3967151710069716,0.15410262337195957,0.988,0.989,1,TRUE,FALSE,TRUE,TRUE,-1.57,0.569,-1,-0.713,-0.144,0.857
AGAP3,Q96P47,0.2905384134744626,0.05971314435158591,0.010451111571548065,0.988,0.989,1,FALSE,FALSE,TRUE,TRUE,0.246,0.476,0.723,-0.0768,0.4,-0.323
AGFG1,P52594,0.3887515452522978,0.07150680390088776,0.017357991422840714,0.988,0.989,1,FALSE,FALSE,TRUE,TRUE,-0.227,-0.517,-0.744,0.0966,-0.42,0.323
AGFG2,O95081,0.05952269224465781,0.03518859288915425,0.0014833495669795355,0.988,0.988,1,FALSE,FALSE,TRUE,TRUE,-0.418,-0.482,-0.899,0.0214,-0.46,0.439
AGGF1,Q8N302,0.08107685053466873,0.1493785478902575,0.0070551402322780905,0.988,0.989,1,FALSE,FALSE,TRUE,TRUE,-0.457,-0.366,-0.823,-0.0306,-0.396,0.427
AGK,Q53H12,0.0293538824408262,0.7102601058240313,0.016222076120978864,0.988,0.991,1,TRUE,FALSE,TRUE,TRUE,0.782,0.114,0.896,0.223,0.337,-0.56
AGL,P35573,0.16381861329387815,0.12357812897127957,0.8557369821539136,0.988,0.989,1,FALSE,TRUE,FALSE,TRUE,0.544,-0.611,-0.0666,0.385,-0.226,-0.159
AGO3,Q9H9G7,0.09155654841212282,0.2649017341445302,0.49342598730029685,0.988,0.989,1,TRUE,TRUE,FALSE,TRUE,1.09,-0.684,0.41,0.593,-0.0915,-0.501
AGPAT1,Q99943,0.045560370957322904,0.65692069945798,0.022235740137397857,0.988,0.991,1,TRUE,FALSE,TRUE,TRUE,2.1,0.409,2.51,0.563,0.973,-1.54
AGPS,O00116,0.2672686931668779,0.06847367184312535,0.01088276985974966,0.988,0.989,1,FALSE,FALSE,TRUE,TRUE,0.223,0.393,0.616,-0.0567,0.336,-0.279
AGRN,O00468,0.12605382699287374,0.03406016791802551,0.4234832880662063,0.988,0.988,1,FALSE,TRUE,FALSE,TRUE,-0.542,0.81,0.268,-0.451,0.359,0.0914
AGTPBP1,Q9UPW5,0.17717031105449904,0.7749079367357998,0.11365632256899974,0.988,0.992,1,TRUE,FALSE,TRUE,TRUE,1.53,0.305,1.83,0.407,0.712,-1.12
AHCTF1,Q8WYP5,0.09689010340180607,0.04946355234403485,0.6769167740714699,0.988,0.988,1,TRUE,TRUE,FALSE,TRUE,-1.07,1.31,0.246,-0.794,0.52,0.274
AHCYL1,O43865,0.08077041551657647,0.4132062003688235,0.28950169451801966,0.988,0.989,1,TRUE,FALSE,FALSE,TRUE,0.599,-0.259,0.34,0.286,0.0271,-0.313
AHCYL2,Q96HN2,0.05366965605576133,0.9528209572462507,0.04878576827419613,0.988,0.993,1,TRUE,FALSE,TRUE,TRUE,-0.917,-0.0248,-0.942,-0.298,-0.322,0.62
AHDC1,Q5TGY3,0.1769551159812789,0.6160770987540031,0.08017566351281417,0.988,0.99,1,TRUE,FALSE,TRUE,TRUE,1.43,0.505,1.94,0.31,0.815,-1.12
AHNAK,Q09666,0.0031364351735540513,0.4064529279936927,0.01104947678576612,0.988,0.989,1,TRUE,FALSE,TRUE,TRUE,-1.92,0.404,-1.51,-0.774,-0.37,1.14
AHNAK2,Q8IVF2,0.012341463501646496,0.7370773438739706,0.020952627598196154,0.988,0.991,1,TRUE,FALSE,TRUE,TRUE,-1.02,0.111,-0.911,-0.377,-0.267,0.644
AIDA,Q96BJ3,0.004089584314790596,0.8182812311445621,0.0057295203566193826,0.988,0.992,1,TRUE,FALSE,TRUE,TRUE,-1.27,0.0762,-1.2,-0.45,-0.374,0.824
AIF1L,Q9BQI0,0.013440441336069083,0.717450719277517,0.023846535512647024,0.988,0.991,1,TRUE,FALSE,TRUE,TRUE,-1.5,0.179,-1.33,-0.561,-0.382,0.943
AIFM1,O95831,0.3863655927116476,0.0351020530406278,0.14482125404387616,0.988,0.988,1,FALSE,TRUE,FALSE,TRUE,-0.32,0.883,0.564,-0.401,0.482,-0.0813
AIMP1,Q12904,0.049272102552728715,0.9549893111565523,0.05396706826894787,0.988,0.993,1,TRUE,FALSE,TRUE,TRUE,-0.672,0.0169,-0.655,-0.23,-0.213,0.442
AIMP2,Q13155,0.11290129211981674,0.11740282514440938,0.9801769975656401,0.988,0.989,1,TRUE,TRUE,FALSE,TRUE,0.628,-0.618,0.00904,0.415,-0.203,-0.212
AIP,O00170,0.0021397676275059043,0.08134806862430134,1.9835006679605303e-4,0.988,0.989,1,TRUE,FALSE,TRUE,TRUE,-0.835,-0.375,-1.21,-0.154,-0.528,0.682
AIRIM,Q9NX04,0.019498111033792273,0.5213680809463874,0.05529991898773242,0.988,0.99,1,TRUE,FALSE,TRUE,TRUE,-1.15,0.265,-0.886,-0.472,-0.207,0.679
AJUBA,Q96IF1,0.24001211366611527,0.36912997608568876,0.057032589479267884,0.988,0.989,1,TRUE,TRUE,TRUE,TRUE,-1.06,-0.798,-1.86,-0.0888,-0.887,0.976
AK1,P00568,0.0029163041136626485,0.3686990547434519,8.474995879965475e-4,0.988,0.989,1,TRUE,FALSE,TRUE,TRUE,-0.899,-0.203,-1.1,-0.232,-0.435,0.667
AK2,P54819,0.021041550223976,0.8700879612298091,0.027317165517463122,0.988,0.992,1,TRUE,FALSE,TRUE,TRUE,-1.08,0.0637,-1.02,-0.381,-0.318,0.699
AK3,Q9UIJ7,0.12134117532840719,0.01079089624324274,0.1552082380536575,0.988,0.986,1,FALSE,TRUE,FALSE,TRUE,-0.356,0.679,0.323,-0.345,0.334,0.0112
AK6,Q9Y3D8,0.0027112978275433903,0.08538387743513323,0.049846895878923464,0.988,0.989,1,TRUE,FALSE,FALSE,TRUE,-0.885,0.407,-0.478,-0.43,-0.0239,0.454
AKAP11,Q9UKA4,0.01197536299908243,0.2391192113500712,0.08554896444116011,0.988,0.989,1,TRUE,TRUE,TRUE,TRUE,1.75,-0.69,1.06,0.814,0.124,-0.939
AKAP12,Q02952,0.009680343821613214,0.125792691237419,0.13426178708246886,0.988,0.989,1,TRUE,FALSE,FALSE,TRUE,-1.11,0.562,-0.547,-0.557,0.00472,0.552
AKAP17A,Q02040,0.02705259838222093,0.021339861648936576,0.8818391069741498,0.988,0.988,1,TRUE,TRUE,FALSE,TRUE,-0.651,0.688,0.037,-0.446,0.242,0.205
AKAP5,P24588,0.013307370182333977,0.6416956557719586,0.027926899918785445,0.988,0.991,1,TRUE,FALSE,TRUE,TRUE,-0.986,0.151,-0.836,-0.379,-0.228,0.607
AKAP7,Q9P0M2,0.027266011302700833,0.8446840266977557,0.03736112058346564,0.988,0.992,1,TRUE,FALSE,TRUE,TRUE,-0.91,0.0683,-0.841,-0.326,-0.258,0.584
AKAP8,O43823,0.015931075070537072,0.19228788634021832,0.143904571019311,0.988,0.989,1,TRUE,TRUE,TRUE,TRUE,-1.31,0.614,-0.698,-0.642,-0.0282,0.67
AKAP8L,Q9ULX6,0.030638532611046727,0.15659840495847474,0.32188134350399694,0.988,0.989,1,TRUE,FALSE,FALSE,TRUE,-0.882,0.526,-0.356,-0.469,0.0569,0.412
AKIRIN2,Q53H80,0.0014590409769267346,0.8552540095343139,0.0018654908064315153,0.988,0.992,1,TRUE,FALSE,TRUE,TRUE,-1.81,0.0721,-1.74,-0.628,-0.556,1.18
AKR1A1,P14550,0.0032321218208955877,0.44699047429804173,0.001125297181789238,0.988,0.989,1,TRUE,FALSE,TRUE,TRUE,-1.03,-0.198,-1.23,-0.276,-0.475,0.751
AKR1B1,P15121,0.012424221372381167,0.9662167173321248,0.013270055655181507,0.988,0.993,1,TRUE,FALSE,TRUE,TRUE,-2.24,0.0306,-2.21,-0.758,-0.727,1.49
