name,ID,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.val,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.val,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.val,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.adj,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_significant,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_significant,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_significant,significant,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_ratio,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio,RDH12_100_atRAL5hr_centered,RDH12_200_atRAL5hr_centered,RDH12_control_atRAL5hr_centered
RETREG2,Q8NC44,0.20466521645272112,0.6765390738198848,0.3709654921900261,0.988,0.991,1,TRUE,TRUE,TRUE,TRUE,2.57,-0.806,1.76,1.13,0.319,-1.44
RETSAT,Q6NUM9,0.09360180751390887,0.9473331984603373,0.10394771618672612,0.988,0.993,1,TRUE,FALSE,TRUE,TRUE,4.12,-0.148,3.98,1.42,1.28,-2.7
REXO1,Q8N1G1,0.014683597858172396,0.06613236133893412,0.35994985972044236,0.988,0.989,1,TRUE,TRUE,FALSE,TRUE,-1.1,0.753,-0.344,-0.616,0.136,0.48
REXO2,Q9Y3B8,0.004824090387917942,0.2775355999968026,0.027481516276718694,0.988,0.989,1,TRUE,TRUE,TRUE,TRUE,-2.32,0.7,-1.62,-1.01,-0.305,1.31
REXO4,Q9GZR2,0.03319293089557441,0.08351430711611256,0.570445016918333,0.988,0.989,1,TRUE,TRUE,FALSE,TRUE,-0.942,0.725,-0.217,-0.556,0.169,0.387
RFC1,P35251,0.1469670045053068,0.03741185960782566,0.4019120240808388,0.988,0.988,1,FALSE,TRUE,FALSE,TRUE,-0.573,0.888,0.316,-0.487,0.401,0.0857
RFC2,P35250,0.04998829527641021,0.6136478097262155,0.022075438889329783,0.988,0.99,1,TRUE,FALSE,TRUE,TRUE,0.665,0.152,0.816,0.171,0.323,-0.494
RFC3,P40938,0.08583036196990057,0.3647796157453786,0.019268014616176592,0.988,0.989,1,TRUE,FALSE,TRUE,TRUE,0.72,0.353,1.07,0.122,0.476,-0.598
RFC5,P40937,0.1334614798105789,0.4418521363142547,0.03811301865432453,0.988,0.989,1,TRUE,FALSE,TRUE,TRUE,0.754,0.365,1.12,0.129,0.495,-0.624
RFESD,Q8TAC1,0.011195382705296842,0.3455776179935871,0.052421245037659214,0.988,0.989,1,TRUE,TRUE,TRUE,TRUE,-2.95,0.902,-2.05,-1.28,-0.382,1.67
RFK,Q969G6,0.00297066368717414,0.9902369353980687,0.0030224970747035652,0.988,0.993,1,TRUE,FALSE,TRUE,TRUE,-1.86,0.0056,-1.86,-0.623,-0.617,1.24
RFLNB,Q8N5W9,0.0023648589556284137,0.9889873182847864,0.0023200476548568935,0.988,0.993,1,TRUE,FALSE,TRUE,TRUE,-1.28,-0.00417,-1.28,-0.425,-0.43,0.855
RFT1,Q96AA3,0.007812488750056942,0.6225926138950082,0.016813219540818068,0.988,0.991,1,TRUE,FALSE,TRUE,TRUE,1.63,-0.237,1.39,0.623,0.386,-1.01
RFX1,P22670,0.9650094479366988,0.029645696861203864,0.027633240609685833,0.99,0.988,1,FALSE,TRUE,TRUE,TRUE,0.0114,0.663,0.674,-0.217,0.446,-0.228
RFX5,P48382,0.03722275874145982,0.2008215190067301,0.3032485033512728,0.988,0.989,1,TRUE,FALSE,FALSE,TRUE,-0.892,0.499,-0.394,-0.464,0.035,0.429
RFX7,Q2KHR2,0.04753564241247498,0.2233953373265861,0.3386066744940737,0.988,0.989,1,TRUE,FALSE,FALSE,TRUE,-0.88,0.497,-0.383,-0.459,0.0379,0.421
RFXAP,O00287,0.006152722040810347,0.393500488229922,0.023783218430942683,0.988,0.989,1,TRUE,FALSE,TRUE,TRUE,-1.83,0.449,-1.38,-0.761,-0.312,1.07
RGS10,O43665,0.00814333091367019,0.82443706947985,0.01144390542111361,0.988,0.992,1,TRUE,FALSE,TRUE,TRUE,-1.44,0.0947,-1.35,-0.512,-0.418,0.93
RHOA,P61586,0.002324703143551379,0.2791374399063691,0.012166514367309825,0.988,0.989,1,TRUE,TRUE,TRUE,TRUE,-2.3,0.608,-1.69,-0.968,-0.36,1.33
RHOB,P62745,0.008191550040246734,0.25000481049389,0.05471629409617072,0.988,0.989,1,TRUE,FALSE,TRUE,TRUE,-1.6,0.569,-1.03,-0.723,-0.154,0.877
RHOC,P08134,0.0012999997855307618,0.4484148709341058,0.0037703860253143033,0.988,0.989,1,TRUE,FALSE,TRUE,TRUE,-2.14,0.353,-1.79,-0.831,-0.478,1.31
