"","lipid_class","distinct_precursor"
"1","PC",79
"2","SM",21
"3","PE",16
"4","DG",13
"5","TG",13
"6","PI",9
"7","Cer",8
"8","CE",7
"9","PS",7
"10","LPC",6
"11","CAR",2
"12","LPE",1
