"","lipid_class","distinct_precursor"
"1","CE",14
"2","Cer",9
"3","DG",26
"4","LPC",10
"5","LPE",4
"6","PC",118
"7","PE",48
"8","PG",4
"9","PI",24
"10","PS",22
"11","SM",25
"12","TG",22
