"Lipid annotation","MRM transition","Precursor m/z","Product m/z","Lipid class","WT_Veh_rep1","WT_Veh_rep2","WT_Veh_rep3","WT_100_rep1","WT_100_rep2","WT_100_rep3","WT_200_rep1","WT_200_rep2","WT_200_rep3","RDH12_Veh_rep1","RDH12_Veh_rep2","RDH12_Veh_rep3","RDH12_100_rep1","RDH12_100_rep2","RDH12_100_rep3","RDH12_200_rep1","RDH12_200_rep2","RDH12_200_rep3"
"PC 34:6","750.507425 -> 184.07","750","184","PC","4510.560394","4693.460293","7635.580616","4899.280262","7139.780468","9056.280476","4817.800415","3769.860294","4689.740345","10892.54083","13639.28093","12244.88076","8796.300518","12698.10091","16657.06118","9564.36058","11497.00074","13198.58093"
"PC 34:5","752.523025 -> 184.07","752","184","PC","4346.740349","5342.04031","8552.300617","7112.240528","7232.800537","8724.620728","8505.080544","7895.740501","9413.240688","7856.320778","8772.32074","9240.92075","6489.580551","8685.860619","8939.680565","7859.760586","11728.64088","10345.80064"
"PC(34:4)","754.575025 -> 184.1","754","184","PC","20143.32146","18812.12163","22694.24162","4944.560379","5366.740429","35214.92157","20462.70194","25754.96177","21042.48159","6309.220509","11527.28086","11778.48075","5634.620354","11562.66072","37285.94281","21327.50206","28499.72113","24633.48228"
"PC 34:3","756.590725 -> 184.07","756","184","PC","9485.440742","8173.880707","12141.42088","8216.700615","12292.26079","13186.44083","11866.96101","8255.940483","12605.82095","13305.46077","20971.04187","19362.54128","11447.02081","15117.94125","19260.36113","13001.94082","16408.94149","15090.52103"
"PC 34:2","758.606325 -> 184.07","758","184","PC","101583.8655","97873.64702","167245.8902","113350.7079","132938.6886","191215.3106","83174.80472","86208.22593","117875.1655","220985.7363","260508.2774","269364.1653","118860.1662","225332.6726","245580.4543","157456.4886","202982.6331","224734.3575"
"PC 34:1","760.622025 -> 184.07","760","184","PC","415521.8737","319891.4185","793355.2179","570779.2516","705506.7733","1052293.4","389577.0352","290524.2771","372872.8417","1129196.425","1702041.806","1266752.038","861294.4219","1393476.219","1886565.964","1082337.841","1398477.776","1697896.446"
"PC 34:0","762.637625 -> 184.07","762","184","PC","55582.82542","45558.5621","78128.62292","60305.84397","86456.52573","103245.287","49783.80361","38515.82304","58057.86514","103366.3258","176702.9938","160072.8732","102925.7274","147501.854","184319.8298","122044.4309","172868.6496","186763.3348"
"PC O-36:6","764.559425 -> 184.07","764","184","PC","5161.960373","4105.260315","6133.940536","4361.180351","6409.040462","7620.600605","4674.020309","3550.720253","5575.120399","9095.280601","11478.72061","11426.60094","7789.720589","11714.32082","15235.62102","10845.62061","11650.04075","12409.76069"
"PC O-36:5","766.575025 -> 184.07","766","184","PC","5807.200443","4441.220249","7622.940498","6600.240437","7655.440407","8602.32077","4706.16032","5533.28035","7106.980366","7086.800503","10053.98069","7816.38068","6664.620396","10529.96085","12659.68073","9800.900593","13393.98098","16958.62135"
"PC O-36:4","768.627125 -> 184.07","768","184","PC","7938.020561","9137.560509","16017.98099","16517.80111","21999.40157","26612.94217","13187.60063","9820.180752","10405.12067","19327.16137","27986.98191","23723.10207","16770.96099","25632.32162","35609.16342","22423.3216","34990.92285","45059.74371"
"PC O-36:3","770.606325 -> 184.07","770","184","PC","13474.80091","9917.120701","18251.02099","13558.12121","20132.08153","27464.86225","13100.70102","10079.90091","13075.66074","23469.28174","37387.06289","39588.48269","20219.56183","34743.68232","37586.54247","25601.26192","32380.40283","38731.52256"
"PC O-36:2","772.622025 -> 184.07","772","184","PC","39397.34303","34109.40246","67323.08481","31541.56241","45774.42439","70067.16506","35316.72249","31835.36283","34642.28188","90418.30342","130988.6289","130063.0709","63041.94381","111387.2908","134235.4904","68577.66416","98505.04704","90665.92476"
"PC O-36:1","774.637625 -> 184.07","774","184","PC","45465.82249","40880.16167","89074.52837","48733.84432","81979.76481","115760.07","40602.00335","45212.42316","54151.04361","125746.9304","156361.8556","177520.3508","85389.9873","156326.6098","215220.479","95537.50711","144363.0536","173114.1871"
"PC 36:7","776.653325 -> 184.07","776","184","PC","8836.540707","7889.980701","10676.44086","9798.440781","13923.90124","17077.66089","11298.62107","7057.960472","7727.760487","21559.10205","29616.68198","28423.06219","15529.92134","30344.96172","35765.8434","15385.12128","22346.98117","30872.28157"
"PC 36:6","778.538725 -> 184.07","778","184","PC","3125.140209","2850.380199","5179.060329","3638.320271","4838.840328","5930.620392","4192.560265","3046.000237","3821.700287","6644.780498","7147.020443","6541.280373","5113.120361","7527.640392","9792.340702","6694.800457","8744.480499","8235.340675"
"PC 36:5","780.554325 -> 184.07","780","184","PC","6490.940449","5004.240383","9204.360725","5039.240372","6252.740379","9240.980488","5963.260475","4609.460369","5711.920425","6798.680531","7062.400608","8738.680569","5227.08036","6896.660461","9233.420658","6720.180424","10650.64067","10249.92092"
"PC 36:4","782.606325 -> 184.07","782","184","PC","13312.74114","11529.32084","18881.28152","15642.08122","23286.82211","26501.44176","15384.02127","12303.90088","15194.76141","17799.44135","21773.62209","24182.50209","13249.94092","18791.22145","25725.72259","17685.90155","24991.6412","28654.70218"
"PC 36:3","784.622025 -> 184.07","784","184","PC","23887.86178","17445.84144","34867.20296","23835.10178","31694.9218","40678.40228","18571.18155","13755.42111","14861.54126","39278.96306","50879.50391","51164.78475","25522.50135","37199.80333","56430.3244","26307.64183","41250.7016","50953.12256"
"PC 36:2","786.637625 -> 184.07","786","184","PC","108820.0899","123540.329","260702.4366","154580.3078","189824.4355","306555.6406","136404.3691","118618.1084","132978.6896","303559.9857","423878.0289","362697.4069","221546.0365","280658.959","432954.8666","217062.0618","329521.1478","392034.3494"
"PC 36:1","788.653325 -> 184.07","788","184","PC","68029.66458","52567.30333","119447.8862","66735.34501","105807.8677","153136.4286","73079.28404","61825.60273","83250.60426","139127.6889","198859.0107","236587.8165","148320.8903","188005.6352","300683.8221","168449.5717","249754.54","282786.2235"
"PC O-38:7","790.668925 -> 184.07","790","184","PC","10106.32067","9648.52063","16876.4009","11003.46053","16736.74143","15807.84122","11826.30069","9034.200642","11722.56102","23190.66175","30189.02244","28973.76257","19038.22142","27643.50214","40310.68343","24819.86164","32251.28274","37761.98331"
"PC O-38:6","792.590725 -> 184.07","792","184","PC","7075.040401","5695.080402","10705.1008","10791.48094","15088.42085","21750.58165","9469.520752","7922.900661","9567.32077","15124.44073","17443.62118","18408.38081","11649.74055","16497.4012","29057.58145","20456.20158","29031.98153","35308.04287"
"PC O-38:5","794.606325 -> 184.07","794","184","PC","9046.440647","7636.880646","15678.42123","12321.34095","14016.54083","25296.40187","11318.40097","9698.680496","10168.06087","17850.58149","26372.34223","19132.36094","15884.86114","21318.82142","26649.30184","19257.30093","26781.74226","38336.56329"
"PC O-38:4","796.622025 -> 184.07","796","184","PC","6877.600479","5933.240543","10273.88059","9354.360764","11541.9409","13814.76093","6663.160492","6993.880447","8636.300575","11232.08081","13902.04117","18063.72166","10209.54063","10934.42065","20415.36145","13903.70086","18987.76154","18511.46136"
"PC O-38:3","798.637625 -> 184.07","798","184","PC","4044.580246","4136.620251","5882.980412","5040.600395","7930.740463","7060.20034","5249.420475","4835.100357","5449.680332","8699.640511","11555.84082","10298.04072","5306.680351","8805.900475","13567.8807","6583.140457","10076.92073","13578.62125"
"PC O-38:2","800.653325 -> 184.07","800","184","PC","7228.860329","6418.220463","10050.54073","7600.480457","11989.04091","15366.62136","8046.340351","6226.52042","8724.720749","16393.70123","20715.82134","19888.54116","10699.20097","14287.9211","21373.5013","10630.12072","16464.14116","18820.90132"
"PC O-38:1","802.668925 -> 184.07","802","184","PC","5736.000431","4117.860249","9812.880501","6798.660454","8032.940689","12574.90084","5903.560471","6471.500439","6186.760319","12698.94074","15393.34111","16587.56137","10691.78075","11921.12067","20772.30119","11566.36069","16093.04103","17385.06097"
"PC 38:7","804.684625 -> 184.07","804","184","PC","4552.340363","4199.680264","7134.620415","4119.200348","6143.300396","6985.200584","4215.32024","4427.80032","5609.900402","6761.320366","10121.68066","12164.70102","6636.860443","9873.920685","12357.06101","9697.780735","9795.080738","11047.34076"
"PC 38:6","806.642725 -> 184.07","806","184","PC","9026.040714","7732.580555","12336.62107","11388.2211","13477.26065","18589.10163","10978.28097","8179.520496","9687.340809","9874.460789","13982.30094","13406.361","8998.880535","11446.96091","18045.24118","14870.44141","14702.90134","22380.32122"
"PC 38:5","808.585625 -> 184.07","808","184","PC","13218.66087","9301.300472","17106.56136","12734.74103","15577.72084","20122.54129","11886.5007","9365.440727","13210.50116","12923.56065","17008.04125","16371.36115","8841.520767","12684.8409","19098.16108","13847.961","19148.44153","26669.38231"
"PC 38:4","810.674025 -> 184.07","810","184","PC","9920.840504","9167.280563","14940.32125","13171.40115","12119.90089","18281.50113","9816.180779","9720.400555","11488.96072","12410.44099","15916.96104","13604.26092","7946.680557","11802.28083","19831.02119","15429.14114","18434.30116","21582.30153"
"PC 38:3","812.616925 -> 184.07","812","184","PC","5616.540459","5712.120495","11302.08083","7528.060562","10247.44096","13311.70087","6771.640404","7600.360619","8066.52058","11193.20075","14604.06062","14010.34065","9103.480686","10709.68044","19870.3417","10476.00082","11903.54065","14980.3012"
"PC 38:2","814.705325 -> 184.07","814","184","PC","15478.38115","13708.76073","23936.30181","18655.20174","22645.96196","34465.28271","12447.50098","14746.14116","13981.84124","19922.26167","37166.50255","36256.20212","22326.08185","30256.8427","51151.06364","23146.12148","33316.04229","47080.06297"
"PC 38:1","816.684625 -> 184.07","816","184","PC","8110.780376","6119.480373","10445.98092","9542.700523","9986.260941","17374.7814","7575.840446","6378.200474","8101.000515","13929.14111","16603.62112","16414.24114","10677.40105","14661.36112","26397.52208","15622.32156","23892.88172","26244.18192"
"PC O-40:7","818.736625 -> 184.07","818","184","PC","6750.600616","6387.660576","9930.88063","8052.540588","7820.440426","12121.74092","7696.660664","6928.06049","6728.60051","15054.44072","15256.2012","18809.14176","10213.08076","14668.38145","22290.60174","17464.94156","20707.2016","26004.32212"
"PC O-40:6","820.622025 -> 184.07","820","184","PC","4815.000271","2435.420166","6291.8204","5559.340302","8334.960571","9965.160744","4324.080238","4840.640369","5141.200272","8306.560562","9748.700436","9836.38076","7374.040478","8412.28064","14451.20071","9257.600708","12124.16079","14933.221"
"PC O-40:5","822.637625 -> 184.07","822","184","PC","3370.24025","3844.780327","4385.920242","4531.960407","5325.020412","7276.280628","2776.440193","3592.940235","3346.480202","6106.120487","6172.12038","6377.300518","5270.140411","5902.660446","10631.40067","5942.940544","8342.580559","8417.940701"
"PC O-40:4","824.653325 -> 184.07","824","184","PC","2427.160168","2115.820141","3168.280178","2976.00021","3374.500248","4205.420307","2429.940193","2430.840183","3139.500259","2008.440125","4045.440327","3442.42025","2958.320217","3726.740311","4546.400311","3446.380268","5564.900398","6122.240448"
"PC O-40:3","826.668925 -> 184.07","826","184","PC","2268.200134","2298.860161","2416.360165","2968.460201","2681.800156","3240.260208","2407.900162","2307.300156","2433.56015","3176.040215","3044.94022","3390.620209","2492.900154","2992.480228","4489.580391","2813.540222","3546.960266","3973.780319"
"PC O-40:2","828.684625 -> 184.07","828","184","PC","2242.720173","1993.340134","3386.080238","3081.400238","3357.000244","3751.740303","2640.48019","2764.120201","3054.120216","3981.180241","2797.880192","3889.260326","3342.720181","3959.380241","4868.220371","2648.080151","4397.580341","4613.220257"
"PC(O-40:1)","830.700225 -> 184.1","830","184","PC","2074.280136","2031.520138","1952.160137","1770.340118","1732.14011","2685.78019","1835.760128","2337.780178","1698.180134","3055.060226","1712.760109","1930.720131","1890.70015","1804.840122","6030.380337","1967.040134","1994.800144","2839.160213"
"PC 40:7","832.715925 -> 184.07","832","184","PC","6135.500435","5542.92041","8131.300549","6529.460396","6717.940407","9480.640701","6767.440624","5930.780399","6941.28038","6059.48053","9084.320625","7242.200565","5027.180347","6823.080486","10135.44065","6351.660339","8660.240452","12171.10082"
"PC 40:6","834.601325 -> 184.07","834","184","PC","6121.900375","6017.820469","6660.520348","7008.400539","7181.400452","10659.98088","6109.540474","5743.180374","6529.240513","6735.960541","7829.420601","8324.660622","5117.620293","6611.200375","9469.260799","6982.880581","10055.24088","11459.20094"
"PC 40:5","836.616925 -> 184.07","836","184","PC","4143.380268","3231.040257","4880.020351","5347.620308","5500.400444","6090.700474","3905.68029","4172.700233","3829.340302","5061.800346","6009.180504","5042.100307","4053.720211","5733.400364","6005.000481","4892.940277","8118.920696","8739.120873"
"PC 40:4","838.632625 -> 184.07","838","184","PC","2413.500168","2301.780174","3678.000278","2572.560181","2706.700203","3926.400284","2530.36018","2590.060215","2570.680195","3301.660263","3326.840237","3829.300259","3064.900188","3016.420235","4360.52026","3289.120205","3381.260262","5632.460354"
"PC 40:3","840.648225 -> 184.07","840","184","PC","2454.820179","2457.540169","2226.400143","2609.460178","2767.00021","3002.100189","2620.680191","2323.340157","2412.000156","2833.28022","3097.020252","3063.720192","2202.400166","2770.560196","3236.380234","2774.78019","2727.180218","4024.34029"
"PC 40:2","842.663925 -> 184.07","842","184","PC","2834.78019","2657.800163","3507.880272","3405.000301","3728.360237","4020.500267","2541.30019","3735.10033","2729.620228","4177.540344","4571.580284","4851.12027","2489.82016","3725.200226","5459.720364","3194.880226","5060.140297","6149.540512"
"PC 40:1","844.715925 -> 184.07","844","184","PC","3371.720253","3034.500221","3659.440228","3641.540325","4171.340317","4973.540329","3170.060226","2830.720211","3285.040256","4884.260307","5365.780407","6671.240532","3855.660191","6100.740372","6604.720482","5252.920326","6394.540516","7082.220497"
"PC O-42:7","846.731525 -> 184.07","846","184","PC","2709.54018","2988.020206","3792.360325","2899.620201","2804.020172","4039.420242","2601.82019","2714.140217","2748.380192","3673.860226","3834.580269","3584.520279","3732.680279","4439.740387","6490.700413","4771.380379","5490.680439","5926.740444"
