"Lipid annotation","MRM transition","Precursor m/z","Product m/z","Lipid class","WT_Veh_rep1","WT_Veh_rep2","WT_Veh_rep3","WT_100_rep1","WT_100_rep2","WT_100_rep3","WT_200_rep1","WT_200_rep2","WT_200_rep3","RDH12_Veh_rep1","RDH12_Veh_rep2","RDH12_Veh_rep3","RDH12_100_rep1","RDH12_100_rep2","RDH12_100_rep3","RDH12_200_rep1","RDH12_200_rep2","RDH12_200_rep3"
"PE 32:0","692.559425 -> 551.539425","692","551","PE","2155.640152","2141.820137","2318.300167","2235.340164","2285.940155","2369.320175","2016.080143","1838.540127","1962.360142","2496.040184","2439.500179","1920.540142","2344.640163","2629.080193","2825.920185","2581.840183","2483.260193","2476.660145"
"PE O-34:2","702.543725 -> 561.523725","702","561","PE","2366.060165","2728.440159","2556.740181","2638.46019","2592.300175","2469.28017","2457.720165","2262.920158","2408.860165","3240.500244","2962.500206","3227.000244","3000.060234","3563.460217","3475.580257","3343.240192","3865.500271","3254.540195"
"PE O-34:1","704.559425 -> 563.539425","704","563","PE","2586.120174","2292.500156","3145.80019","3038.740208","3186.240204","3197.180191","2127.840137","2289.000153","2856.040215","4699.10033","4265.160252","3906.740322","3754.180222","3991.000282","3913.480247","2976.68018","3213.220203","3540.940273"
"PE O-34:0","706.575025 -> 565.555025","706","565","PE","2112.300148","2137.980156","2214.56015","2400.440174","2122.320145","1968.740131","2368.300156","2073.940132","2235.640171","2669.020172","2441.020153","2392.100166","2266.460175","2502.760151","2534.120193","2559.980194","2599.840183","2207.520157"
"PE 34:4","712.491725 -> 571.471725","712","571","PE","8643.440731","7588.600563","8162.000504","10037.8607","8954.900639","12388.8411","10926.04105","10242.38066","11824.06079","9346.620594","9258.260674","11207.18079","7677.680614","9035.180569","11709.60076","10229.62084","12472.70119","8396.400604"
"PE 34:3","714.543725 -> 573.523725","714","573","PE","2084.320141","2322.480152","2369.060184","2020.880146","2521.920162","2214.080154","2098.840145","2209.60017","2804.840191","2813.680206","2339.100159","2320.280144","2055.260136","2424.78017","2315.320152","2662.800182","2612.080166","2391.940166"
"PE 34:2","716.559425 -> 575.539425","716","575","PE","5432.820274","3724.920258","4702.460373","5861.920444","6425.040531","6164.220394","3221.080227","3134.620235","3687.880287","9391.380699","8068.440414","6749.780457","5758.160316","4544.700317","8459.980602","5232.260422","6358.840538","6472.160561"
"PE 34:1","718.575025 -> 577.555025","718","577","PE","12036.30075","8104.640667","15007.58081","12004.84082","14932.08089","18116.08144","6689.120506","5450.920364","8162.960484","23690.16143","25269.742","23476.10156","11879.76077","18407.88109","22588.082","14358.74103","23816.00116","17078.64139"
"PE 34:0","720.590725 -> 579.570725","720","579","PE","2794.420227","2517.100174","3141.50021","3045.340202","3025.720219","3398.98024","2805.040188","2270.620159","2280.600159","3062.900234","3810.360233","3554.260262","2702.760181","3669.900234","4670.320301","3777.260189","4212.860325","3369.360241"
"PE O-36:5","724.528125 -> 583.508125","724","583","PE","2350.620129","2257.100155","2660.480171","2409.100163","2539.120193","2336.680153","2260.160149","2063.880154","2019.740154","2365.200172","3085.680199","2697.520203","2655.000198","3163.200256","3068.780205","2667.800194","2679.100163","2733.020164"
"PE O-36:4","726.543725 -> 585.523725","726","585","PE","2559.120178","2014.400139","2603.980156","2333.880161","2348.280178","2367.680172","1918.960121","1966.840145","2147.220146","3158.500256","2401.840168","2480.760178","2587.860168","2664.140171","2678.420185","2453.720181","3043.620216","2594.600182"
"PE O-36:3","728.559425 -> 587.539425","728","587","PE","2005.100155","2153.720154","2300.140152","2131.400146","2480.200188","2613.220177","2121.060135","2206.940166","2218.260162","2534.28019","2669.620167","2502.540165","2252.280163","2702.780193","2450.000168","2282.020157","2418.580185","2264.82016"
"PE O-36:2","730.575025 -> 589.555025","730","589","PE","3079.78022","1955.500156","3218.160275","2711.380215","3822.600254","3349.560272","2470.180164","2918.940197","2506.180161","5138.080383","4365.020367","4880.160282","3527.900223","4185.840302","5121.680347","3835.280312","4214.320332","4520.020317"
"PE O-36:1","732.590725 -> 591.570725","732","591","PE","4040.720348","3684.120285","5239.440334","4376.440273","4229.460308","5366.180328","2396.640152","3170.900238","4102.920288","6976.660332","7231.200359","7235.540611","4682.000359","6826.580467","6560.820518","4726.920349","6572.780403","5650.000362"
"PE 36:7","734.606325 -> 593.586325","734","593","PE","2238.080151","1983.800137","2271.300171","2413.780174","2409.620163","2440.940144","2084.580139","1907.360126","2364.240158","2541.500198","2545.440174","2347.000175","2091.960144","2493.360161","2475.040173","2467.22015","2755.70018","2433.840191"
"PE 36:5","738.564855 -> 597.49","738","597","PE","2202.720158","2066.500153","2885.060223","2291.260159","2100.000137","2295.420162","2116.520164","2238.520153","2083.940147","2017.84013","2691.7402","2630.360191","2190.220161","2135.320156","2644.260189","2143.220158","2375.460159","2525.600189"
"PE 36:4","740.523025 -> 599.503025","740","599","PE","3266.680237","2952.100224","2829.800205","3148.440262","3565.860237","3762.760254","2608.020176","2298.680176","2166.260139","4130.98032","4448.700386","4592.520294","3033.920212","4934.380371","4616.560371","3009.480179","3902.4203","3841.220226"
"PE 36:3","742.575025 -> 601.555025","742","601","PE","3687.460262","3016.440224","4190.620308","2931.00021","3482.000217","3831.940281","2260.900158","2380.360153","2839.740208","4701.76033","4578.080345","4796.420383","2867.380203","4469.42038","4224.220318","3319.420204","4182.500313","2653.500202"
"PE 36:2","744.590725 -> 603.570725","744","603","PE","12777.46091","10583.18066","14934.28077","13288.42107","17849.32128","18787.08121","7830.040466","8064.360645","9335.460499","23749.64169","27025.46179","28506.68248","15807.74125","23106.1416","29301.76215","19211.56155","26800.00195","22382.10159"
"PE 36:1","746.606325 -> 605.586325","746","605","PE","10654.02087","10081.42062","14016.04091","12301.5609","17065.5009","19519.30115","9127.200623","7147.000484","9147.960686","21720.80117","22193.24162","22075.80149","13970.56131","23473.42178","33056.66232","24128.62177","27827.8219","26153.76194"
"PE 36:0","748.622025 -> 607.602025","748","607","PE","2949.600182","2704.600201","3266.820206","2262.860157","3190.240204","3455.620209","2520.580181","2003.380146","2869.300224","4229.720341","3749.960258","4489.060368","3152.700272","4327.980362","4819.960377","4725.320297","5276.500351","4016.300323"
"PE O-38:6","750.543725 -> 609.523725","750","609","PE","3103.30022","2657.140186","3296.080273","2638.000187","2833.100193","2779.760162","2149.400158","2502.640167","2378.60017","3261.180275","3868.240288","3437.420197","3084.400192","3282.340221","4083.960293","2996.680252","3433.120255","3057.420235"
"PE O-38:5","752.559425 -> 611.539425","752","611","PE","2788.160191","2206.640156","2912.400208","2908.120197","2800.840179","3328.00024","2011.720161","2757.560196","2464.980164","3776.680241","4094.860298","3621.920235","2626.360191","3528.500256","3876.700287","3443.020267","3356.780251","3050.44025"
"PE O-38:4","754.575025 -> 613.555025","754","613","PE","2178.680157","2088.160149","2529.020176","2703.780197","3001.320183","3593.740253","2213.360138","2269.220146","2336.860168","3429.140224","3264.220188","2974.400204","2630.980179","2882.440205","3424.680256","3404.30022","2870.560196","2619.680187"
"PE O-38:3","756.590725 -> 615.570725","756","615","PE","2110.440128","2121.440147","2234.860157","2188.700157","2464.760178","2027.860134","2119.920147","2102.100147","2011.200142","2670.280197","2371.480156","2467.540165","2144.000149","2837.16024","2926.160225","2279.460163","2704.460201","1982.480148"
"PE(O-38:2)","758.606325 -> 617.54","758","617","PE","2315.100155","2074.000145","2269.620155","2277.900146","2030.160137","2220.64016","2009.180141","2340.960163","2039.660156","2166.340157","2413.160172","2297.200176","2722.040173","2290.220161","3247.240211","2665.320179","2504.840172","3320.500263"
"PE O-38:1","760.622025 -> 619.602025","760","619","PE","2285.32016","2361.94017","2553.800194","2305.960167","2654.480156","2702.400192","1902.180119","2116.640148","2156.440147","2621.840199","2840.26022","2488.140163","2397.580196","2821.240177","2747.340191","2257.960167","2765.240181","2692.64019"
"PE 38:6","764.523025 -> 623.503025","764","623","PE","3081.760197","2745.580208","2966.820179","2948.440228","3053.540218","3562.800285","2069.260143","2405.260166","2250.700153","3268.700207","4323.900253","4200.740276","2861.160213","3322.00021","4243.660301","3173.300243","3721.760288","2843.340195"
"PE 38:5","766.538725 -> 625.518725","766","625","PE","4131.500301","3542.260284","5954.620495","5609.940433","5320.300396","6722.480553","3715.700268","3805.080238","3827.240261","8180.380512","9793.400753","9423.900837","4448.060333","7375.460476","8577.200676","5410.020317","6571.420399","6227.000351"
"PE 38:4","768.554325 -> 627.534325","768","627","PE","6532.560478","5308.84029","7385.560444","6972.660648","8673.140686","9365.54047","4760.620335","4466.480328","4900.4804","13842.70102","12736.86074","15094.60094","7511.06065","11295.10059","14381.66095","9694.540791","14798.50117","10308.2806"
"PE 38:3","770.570025 -> 629.550025","770","629","PE","2864.020195","2866.680195","3362.240208","3508.700249","3551.860268","4576.120266","3156.760231","3078.16021","2909.620209","5977.220444","4596.900303","4316.860279","4065.620266","4817.220348","5378.1404","4600.320374","5519.660439","4935.980396"
"PE 38:2","772.622025 -> 631.602025","772","631","PE","2186.200165","2606.0802","2896.760189","3192.100258","2970.340199","3559.900272","2448.32016","2396.300163","2547.160187","3400.160244","3902.040253","3958.600266","2196.840153","3440.26022","4359.68037","3346.080235","3757.300255","3526.780231"
"PE 38:1","774.637625 -> 633.617625","774","633","PE","2296.060146","2225.900162","2323.400185","2261.720169","2760.440205","3024.580227","2228.980156","2304.180153","2246.460155","2916.18021","3108.120232","2826.920216","2795.40023","3260.980202","3404.560226","3086.380207","3442.680241","2871.540199"
"PE 38:0","776.653325 -> 635.633325","776","635","PE","2014.940144","2272.280159","2411.600159","1996.740135","1945.780136","2084.240147","1916.740143","1970.660149","2074.660137","2237.180183","2350.180164","2245.040154","2009.400139","2167.700142","2029.70015","2454.880154","2632.300194","2199.380138"
"PE O-40:6","778.575025 -> 637.555025","778","637","PE","2139.380169","2141.100143","2496.720192","2421.280174","2177.880142","2768.320164","2377.960152","2186.620144","1895.220135","3007.140217","3221.360241","2828.880184","2568.640209","3017.0602","3443.500252","2417.920174","2881.720215","3127.520222"
"PE O-40:5","780.590725 -> 639.570725","780","639","PE","1891.940128","2187.980164","2409.800167","2111.940147","2120.100163","2240.100174","2298.400177","1956.820126","2112.580124","3227.140202","2805.200161","2431.420197","2240.400158","2773.220219","2782.620193","2512.880192","2047.020145","2318.180157"
"PE O-40:4","782.606325 -> 641.586325","782","641","PE","1850.160137","1927.300152","2100.28014","2027.740147","2156.780151","2108.800152","1977.840149","2111.100163","1953.200138","2097.260147","2340.260185","2155.280155","2194.300159","2585.900173","2609.400188","2046.340141","2012.660152","2128.960155"
"PE(O-40:2)","786.637625 -> 645.57","786","645","PE","2086.500145","2010.300144","2056.500153","2153.820152","1963.660152","2164.780144","2026.760143","2101.180149","2043.660141","2093.540142","2191.22015","2161.260155","1966.480133","1965.440132","2653.540215","1964.960133","2315.800163","2283.520172"
"PE 40:7","790.668925 -> 649.648925","790","649","PE","2873.200195","2423.280167","3060.160198","2924.440208","2513.400169","3060.920231","2239.320164","2335.980167","2404.160168","3178.920231","3708.480228","3077.540241","2907.260235","3190.420219","3565.28022","2746.76022","3339.440239","3014.640228"
"PE 40:6","792.684625 -> 651.664625","792","651","PE","3896.760269","3536.920258","3515.420223","4199.220226","4689.060341","5842.940334","3001.620209","2679.20018","3495.840237","5862.040394","5539.04044","6117.080338","3578.600258","4169.900238","6693.800484","4950.200352","8254.140511","5017.360367"
"PE 40:5","794.570025 -> 653.550025","794","653","PE","2841.000237","3669.50024","3508.860214","3492.280258","3652.920307","4374.340305","2951.620239","2722.380203","2839.100216","4943.720409","5495.920399","5103.100365","3923.640232","4263.740303","6261.840492","4271.900345","5309.760479","4763.480316"
"PE 40:4","796.585625 -> 655.565625","796","655","PE","2273.74015","2385.940178","3185.320248","2575.400166","2940.640217","3595.660305","2129.980148","2208.840157","2628.340179","3402.880241","3232.100224","3714.320229","2784.800179","2882.200188","3944.48024","2700.800179","3209.600208","3268.420208"
"PE 40:3","798.601325 -> 657.581325","798","657","PE","2084.620152","2123.200153","2015.980145","1959.120136","2137.040146","2346.040165","1935.000122","2017.160137","2051.720142","2200.420151","2159.560165","1965.580143","1944.200119","1833.980125","2452.240181","2090.960152","2490.180164","2137.120144"
"PE 40:2","800.616925 -> 659.596925","800","659","PE","2183.620155","2155.180145","2053.60014","2215.660164","2255.920151","2297.100159","2353.50016","1929.96014","2054.000145","2544.220207","2466.920166","2255.600147","1834.220131","2397.260162","2515.960194","2225.720142","2581.200161","2441.500183"
"PE 40:1","802.668925 -> 661.648925","802","661","PE","1964.540134","2069.240139","2110.72015","2327.840164","2085.900131","2019.620144","2046.960152","2065.640152","2097.480148","2188.360165","2534.020172","2349.920166","2076.120144","2215.700157","2878.740211","2460.28017","3080.800209","2359.000175"
"PE 42:1","830.663925 -> 689.643925","830","689","PE","2073.360146","2020.860153","2268.220169","1842.300129","2373.500179","2190.080166","1893.080128","2095.600143","2096.860146","2058.340141","2081.480145","2252.98016","2282.180191","2255.24017","2447.260181","2288.28017","2923.920189","2247.54018"
"PG 20:0","572.39277 -> 383.352543","572","383","PG","2983.240208","3187.240211","2893.32021","2828.420197","2906.300213","2923.0602","3067.18026","3618.480236","2914.720203","3371.220238","2673.100197","3614.30027","2660.440186","2591.140179","3254.900219","3253.100224","3199.000221","3147.740211"
"PG 34:4","760.51287 -> 571.472643","760","571","PG","7492.220375","9662.54068","10995.50065","7057.000389","7648.08062","10921.48059","9340.480686","7705.860573","10830.2007","8630.360634","10233.76062","11306.18085","7660.840435","7961.940426","11219.54082","8189.440559","8102.28054","9417.860592"
"PG 34:1","766.59617 -> 577.555943","766","577","PG","2967.480202","2935.260197","3656.200279","2636.520161","2635.180206","2663.080193","2330.720161","2133.98016","2262.940166","3860.760323","5084.94035","5103.360401","3254.700249","3906.440269","5520.380394","4174.780273","4091.900303","4390.060337"
"PG 36:1","794.62747 -> 605.587243","794","605","PG","2318.540173","2221.460167","2318.22015","2437.560188","2589.32019","2729.040192","2386.920189","2355.280178","2394.400143","2412.400162","2788.78019","2442.76017","2721.620174","3039.520206","3339.900242","2960.580231","3652.080246","4044.840271"
"LPI O-20:0","632.41387 -> 355.357598","632","355","PI","2382.240162","2865.900196","2364.380169","2562.100178","2756.280209","2601.360199","2439.860172","2313.300152","2625.140194","2336.020149","3083.840225","2412.280159","3840.200325","2247.560154","2746.720207","2829.020191","2347.540165","2275.300159"
"PI 32:1","826.58097 -> 549.524698","826","549","PI","2460.640167","2807.520184","2862.880161","2418.080177","2382.520157","2976.240189","2318.060165","2216.500145","2201.240143","2435.660172","3215.560234","2964.640209","3148.880192","2599.240185","3026.320229","2413.440163","2472.100182","3032.100174"
"PI O-34:1","840.59657 -> 563.540298","840","563","PI","2268.26017","2454.500168","2322.420151","2404.820168","2074.040138","2762.360172","2095.240143","2106.540157","2102.720154","2202.400154","2548.340191","2148.500141","2197.880161","2330.620171","2421.060158","2255.660152","2253.760162","2404.400173"
"PI 34:2","852.59657 -> 575.540298","852","575","PI","2448.200195","2724.180199","3227.780247","2592.560181","2821.560204","2687.82021","2381.260178","2456.360176","2278.520164","3151.440197","4063.340294","3485.160267","2453.40015","2769.720188","3336.300251","2637.800171","2822.800194","3116.980194"
"PI 34:1","854.61227 -> 577.555998","854","577","PI","5656.020504","5215.480312","8120.060608","5223.280422","5771.540352","7165.680527","3996.860321","3290.80024","3957.000294","8576.660774","9155.360607","7750.020645","6366.320492","9491.300827","10546.22071","5552.920387","6831.460476","9203.240623"
"PI 34:0","856.62787 -> 579.571598","856","579","PI","2687.080181","2473.100182","3021.480206","2196.440159","2360.320168","2800.86018","2148.900146","2106.340134","2175.320152","2697.260193","3598.200298","2601.600197","2853.340206","2933.240223","3281.80024","2628.060162","3060.180222","3735.860249"
"PI O-36:1","868.62787 -> 591.571598","868","591","PI","2288.600174","2688.220196","2868.040203","2765.860203","3078.260216","3136.580193","2278.82016","2336.860165","2315.400154","3400.620213","4443.48035","3583.180252","2974.000206","2805.880207","3618.380215","2729.420189","2972.640213","3729.960247"
"PI 36:4","876.56017 -> 599.503898","876","599","PI","3188.780231","3898.120308","4026.440258","2949.040176","3342.700272","3359.64024","2114.020157","2579.480167","2510.040173","3961.460236","3789.400227","3154.800232","3462.920238","3756.840252","3930.120277","3540.840279","4877.760311","5391.300331"
"PI 36:3","878.61227 -> 601.555998","878","601","PI","2974.060192","3328.580257","3514.820259","3115.420212","3399.840221","3289.600216","2413.320179","2557.560177","2785.240196","3758.800278","4741.120304","3996.620255","3229.520233","3443.920231","3971.940258","3117.340202","3569.780239","4008.160294"
"PI 36:2","880.62787 -> 603.571598","880","603","PI","7201.940479","5894.140388","9161.180592","5965.460461","6171.080387","9172.660599","4475.520344","3869.600266","4440.400307","8982.220772","13635.4409","11019.6408","7302.400463","10200.06087","10786.16072","4620.940296","7257.940491","10569.82085"
"PI 36:1","882.64357 -> 605.587298","882","605","PI","4344.580303","5993.60041","8511.600563","5211.700375","7793.080612","9461.900593","5200.360359","4514.680359","5633.6604","13580.62077","15586.70104","8758.560741","10560.56058","13015.80099","14114.40105","6636.480556","11062.82077","15866.86113"
"PI 36:0","884.65917 -> 607.602898","884","607","PI","2502.980145","2470.580181","2787.100193","2052.02013","2889.640213","2699.620186","2342.760162","2102.640144","2291.70015","3066.880203","3823.260227","2789.820187","2830.820206","3055.500225","2967.320225","2463.080166","2809.440189","3418.380257"
"PI O-38:4","890.61227 -> 613.555998","890","613","PI","2525.340172","2293.280155","2874.82021","2363.140148","2304.980167","2772.320206","2412.220161","2249.320156","2104.480145","2756.640198","2777.88018","2696.360199","2350.360153","2624.620201","2568.360172","2399.220154","2722.200169","2754.700191"
"PI O-38:3","892.62787 -> 615.571598","892","615","PI","2752.240189","2805.720207","2859.860191","2521.200165","2576.280167","3381.980221","2485.980202","2248.000145","2185.120152","3099.980209","3507.140266","3534.840271","2476.100159","3089.440231","3121.680233","2378.360172","2974.360195","3060.360207"
"PI O-38:2","894.64357 -> 617.587298","894","617","PI","2683.720181","2253.500149","2623.700176","2686.140186","2583.560184","3292.080227","2143.020149","2285.320152","2499.400169","2782.100193","3483.400261","3311.540264","2574.020168","2593.800182","3671.140251","2418.260162","2588.48016","3042.240189"
"PI O-38:1","896.65917 -> 619.602898","896","619","PI","2236.360153","2390.54018","2309.840157","2176.360149","2180.800156","2533.920166","2152.340153","2239.520164","2337.560169","2303.540176","2585.840172","2489.320168","2394.720158","2868.300194","2641.060177","2407.300163","2640.580193","2590.160164"
"PI 38:5","902.57587 -> 625.519598","902","625","PI","4776.80027","4303.200287","6192.160454","2804.560211","4088.740318","4809.680336","3293.280209","3085.620216","4198.840279","5612.020424","6617.300594","5241.560448","4212.560318","5507.380447","6142.840385","3764.46022","5109.580338","7361.680485"
"PI 38:4","904.59147 -> 627.535198","904","627","PI","9927.680714","8212.280449","13350.78086","8944.160648","12635.00086","14969.90089","7104.700451","5195.060287","7463.860657","12715.02085","17768.42111","10915.04074","10797.24057","16212.92106","17767.76099","10966.38075","19101.74154","22176.62138"
"PI 38:3","906.60717 -> 629.550898","906","629","PI","7354.460407","7976.660606","9506.500729","8275.180588","6970.520382","11146.54076","4770.020359","4976.200356","4879.90028","11717.68091","14993.42119","12777.74097","10156.80082","9979.500687","10943.90071","7016.860538","13004.26112","16059.36124"
"PI 38:2","908.65917 -> 631.602898","908","631","PI","4385.060314","4426.040321","5065.44038","3730.920261","4507.680328","5534.200447","2993.420235","2784.840187","3262.100246","7395.960453","7982.400528","6894.880379","4861.12035","6000.500462","6438.740475","3108.860214","5332.120323","6794.840511"
"PI 38:1","910.67487 -> 633.618598","910","633","PI","2481.660168","2263.660164","2421.000164","2218.060162","2907.680214","2918.440228","2304.32016","2288.980145","2334.060158","3462.800194","3367.260254","3175.040203","2887.280205","3510.980278","3603.940258","2396.440163","3120.080246","3349.180206"
"PI 40:6","928.59147 -> 651.535198","928","651","PI","2751.700188","2561.140175","2845.240181","2709.760166","2527.20018","3129.78022","2059.340137","2215.900162","2591.460178","2991.300205","3346.160248","3132.760189","2937.4002","3040.640202","2574.480183","2601.280178","2776.300205","2748.280186"
"PI 40:5","930.60717 -> 653.550898","930","653","PI","2715.440189","2916.620224","3236.340244","2619.160183","3152.900185","3176.400234","2530.340187","2134.120152","2494.680187","3540.940208","3170.660244","3170.32021","2646.32016","2984.420223","3431.720245","2602.800175","2822.82019","3219.380199"
"PI 40:4","932.62277 -> 655.566498","932","655","PI","2211.380154","2566.960155","2703.060196","2639.54018","2721.960197","2526.020184","2133.120144","2158.020145","2165.440159","2720.280193","2937.880211","3091.72023","2298.660168","3142.280258","2814.82019","2094.180164","2801.300201","3522.500252"
"PS 32:1","734.533625 -> 549.524698","734","549","PS","2231.660164","1994.520119","2380.880169","1995.480129","2285.220154","2481.080173","2091.300144","2024.780136","2092.820148","1973.180141","2123.240143","2057.98016","2042.680153","2065.860142","2437.440186","1920.120132","2030.860138","2224.340157"
"PS O-34:1","748.549225 -> 563.540298","748","563","PS","1983.140141","1941.120148","2153.860153","2125.920158","2223.14016","2343.120174","1951.86013","1989.760143","2079.080128","2172.880154","2479.78017","2260.940174","2149.960144","2085.280148","2657.040188","2041.440144","2194.200146","2135.740143"
"PS 34:5","754.465925 -> 569.456998","754","569","PS","2101.520153","2447.28017","2448.940186","2092.440147","2641.68021","2933.080204","2349.380165","2400.940163","2452.880196","2305.220158","2402.88015","2166.600151","2005.960144","2177.600143","2330.04015","2114.260159","2327.980164","2907.600201"
"PS 34:4","756.481525 -> 571.472598","756","571","PS","5326.400436","4340.560379","7822.980545","5070.320385","6026.400417","7358.700439","4408.280315","5252.920464","5488.180328","5351.120323","6341.960464","4814.220375","4220.740295","5421.260284","4681.920387","4464.100258","5340.720406","5527.520359"
"PS 34:1","762.564925 -> 577.555998","762","577","PS","3569.34026","4316.600368","8137.10059","4436.480278","5028.460361","7255.500515","2935.960182","3426.560226","4557.440342","2827.940197","6862.860435","5335.360348","3847.480247","5143.020451","6873.200443","4642.060402","5992.440464","5955.500389"
"PS 34:0","764.580525 -> 579.571598","764","579","PS","2251.300152","2141.240147","2229.320148","2177.140148","2655.780163","2280.340168","1972.800129","1946.760132","2467.700188","2120.480148","2939.540199","2030.560139","2183.740147","2479.440178","2268.940147","2318.660175","2297.320175","2651.640186"
"PS 36:8","776.580525 -> 591.571598","776","591","PS","2448.140198","3024.660225","3885.220219","3098.440231","3243.960205","4292.800259","2599.56015","3024.940208","2725.100204","3363.700199","3514.48024","3558.040199","3727.000286","3334.640205","3636.440258","3481.540199","3957.140259","4223.920322"
"PS 36:2","788.580525 -> 603.571598","788","603","PS","3332.420212","3686.24025","5610.200314","3714.240318","3689.280281","5302.540443","3024.000217","2701.420174","3562.640228","4501.500259","5145.040394","5011.200348","3900.500286","5066.200375","4449.120354","3745.820248","4365.460361","5611.960468"
"PS 36:1","790.596225 -> 605.587298","790","605","PS","6384.90044","9330.760818","19538.8616","8325.140553","12787.00102","17436.38105","8647.000656","7255.660587","8929.00066","7806.460693","13075.36092","9906.940632","10590.08082","13950.60098","14971.68098","7851.52063","16553.94144","22509.92173"
"PS 36:0","792.611825 -> 607.602898","792","607","PS","2396.260162","2506.700188","3257.560272","2333.720161","2480.740185","3796.580307","2149.020149","2526.500168","2949.180172","2343.540146","3248.280201","2925.400242","2877.400227","3406.680248","3175.240189","2511.720184","3184.360237","3605.040222"
"PS 38:8","804.611825 -> 619.602898","804","619","PS","2026.760132","2526.560158","2719.180176","2174.800156","2638.400177","2818.900196","2106.300129","2157.980148","2393.740166","2334.480164","2699.260197","2397.140186","2210.020142","2439.460178","2870.340214","2145.380146","2816.960186","2513.600204"
"PS 38:4","812.544125 -> 627.535198","812","627","PS","2090.580151","2636.880184","2701.34021","2073.820156","2381.540154","2542.680157","2369.320179","2078.920155","2277.860153","2605.540176","3035.440208","2585.380177","2489.520203","2486.020199","2393.140182","2449.500175","2553.380192","2506.240166"
"PS 38:3","814.559825 -> 629.550898","814","629","PS","2164.340149","2262.700161","3032.400211","2505.160183","2575.96019","3356.640244","2649.460194","2213.060146","2528.040169","2159.520149","2845.040195","2418.720173","2289.020153","3047.400196","2714.300163","2474.240189","2874.300194","3107.760246"
"PS 38:2","816.611825 -> 631.602898","816","631","PS","2495.140171","2567.880192","2772.340195","2430.200188","2656.160194","2863.66021","2447.10017","2278.860165","2325.920158","2588.460178","2873.800217","3004.10017","2533.98019","2592.740177","2795.940186","2348.980152","2063.04015","2898.200218"
"PS 38:1","818.627525 -> 633.618598","818","633","PS","2297.000172","3228.100197","3289.980183","2725.020206","3107.200233","3635.380245","2422.82016","2718.700172","2949.020172","3425.760258","3384.66024","3861.520348","3069.340225","3762.18029","3521.940292","3040.800198","3793.1203","4126.920273"
"PS 40:6","836.544125 -> 651.535198","836","651","PS","2470.320168","3323.360199","3215.420219","2452.260155","3650.480289","3882.600243","2504.400158","2578.100201","3206.400227","3182.020245","3598.140251","3075.500256","3175.920246","3424.82024","3147.340221","3173.480251","3432.020287","3464.720238"
"PS 40:5","838.559825 -> 653.550898","838","653","PS","2500.940178","2250.940159","2900.160179","2738.560204","2687.780163","3295.140217","2036.280151","2214.200161","2374.200172","2301.080158","3251.36021","2771.760178","2690.7402","3347.400246","3294.140228","3030.620239","3318.840244","3389.540203"
"PS 40:4","840.575425 -> 655.566498","840","655","PS","2341.980171","2608.140198","2896.600185","2585.040169","2418.360165","2937.940193","2405.480179","2369.960163","2426.84016","2197.520153","2675.300205","2484.160168","2281.220154","2704.260185","2591.720177","2141.620163","2753.040188","2756.880192"
"PS 40:2","844.606725 -> 659.597798","844","659","PS","2200.460155","2546.740173","2485.520164","2357.220173","2709.260193","3096.120197","2192.340153","2053.900154","2194.480152","2682.380207","2634.760201","2678.600212","2847.920181","2908.260197","2660.000175","2441.00016","2573.560181","2754.200218"
"PS 40:1","846.658825 -> 661.649898","846","661","PS","2246.600155","3057.060211","2684.380207","2782.060207","3410.440239","3543.160248","2423.52018","2590.500214","3501.020229","2704.220203","3238.04023","3022.580238","2837.040211","3871.560303","3839.960258","2730.120186","3589.000217","3394.080246"
"PS 42:1","874.653725 -> 689.644798","874","689","PS","2012.54015","2432.78019","2420.260189","2249.20015","2624.680195","2792.100201","2320.060173","2267.680161","2262.760166","2305.600163","2246.200161","2137.360149","2337.640163","2593.900173","2692.060188","2706.880188","2794.920185","2435.200153"
"SM(32:2;O2)","673.528425 -> 184.1","673","184","SM","1096.200077","1282.140091","1069.220081","1092.180073","1078.300068","1049.340069","1057.98008","1178.920086","1097.220074","1110.08009","1207.780098","1059.640076","1385.260086","1039.260075","1286.520092","1087.500088","1184.140079","1043.320065"
"SM(32:1;O2)","675.544125 -> 184.1","675","184","SM","1327.780094","2312.020149","3045.380245","1469.44009","3356.940289","1583.820099","1988.340157","1372.400078","1369.320095","2719.920181","3421.180305","3246.82019","2649.320148","3221.920227","2258.480175","2802.840195","3342.920231","2502.520153"
"SM(32:0;O2)","677.559725 -> 184.1","677","184","SM","1119.260082","1357.580105","1450.16011","1083.100075","1127.580078","1430.100101","1100.860081","1238.080078","1470.540092","1264.160069","1655.600109","1178.920078","1334.380085","1425.860107","1844.780136","1353.060101","1692.920135","1478.920105"
"SM(34:2;O2)","701.559725 -> 184.1","701","184","SM","2281.480167","1822.980133","1498.100113","2011.960125","1348.900101","1873.740154","1780.580116","2406.020187","1891.480145","1522.460129","4428.800171","4178.640266","2415.440205","4933.160385","4760.460358","3673.020279","2669.600201","2258.780121"
"SM(34:1;O2)","703.575425 -> 184.1","703","184","SM","17936.90078","16888.16064","39344.3233","21101.20167","44074.66343","43770.60366","14281.10072","13610.66109","21667.46171","4522.080315","62507.88292","43510.92184","18694.32082","34041.3621","69035.96558","38787.44288","31805.44209","33215.00123"
