"","lipid_class_ether","distinct_precursor"
"1","PC",46
"2","PC O-",28
"3","SM",19
"4","DG",16
"5","PE",14
"6","Cer",11
"7","PI",9
"8","CE",6
"9","PS",5
"10","TG",5
"11","PE O-",4
"12","DG O-",1
