X,name,ID,Control_100_vs_Control_Veh_p.val,Control_200_vs_Control_100_p.val,Control_200_vs_Control_Veh_p.val,RDH12_100_vs_Control_100_p.val,RDH12_100_vs_RDH12_Veh_p.val,RDH12_200_vs_Control_200_p.val,RDH12_200_vs_RDH12_100_p.val,RDH12_200_vs_RDH12_Veh_p.val,RDH12_Veh_vs_Control_Veh_p.val,Control_100_vs_Control_Veh_p.adj,Control_200_vs_Control_100_p.adj,Control_200_vs_Control_Veh_p.adj,RDH12_100_vs_Control_100_p.adj,RDH12_100_vs_RDH12_Veh_p.adj,RDH12_200_vs_Control_200_p.adj,RDH12_200_vs_RDH12_100_p.adj,RDH12_200_vs_RDH12_Veh_p.adj,RDH12_Veh_vs_Control_Veh_p.adj,Control_100_vs_Control_Veh_significant,Control_200_vs_Control_100_significant,Control_200_vs_Control_Veh_significant,RDH12_100_vs_Control_100_significant,RDH12_100_vs_RDH12_Veh_significant,RDH12_200_vs_Control_200_significant,RDH12_200_vs_RDH12_100_significant,RDH12_200_vs_RDH12_Veh_significant,RDH12_Veh_vs_Control_Veh_significant,significant,Control_100_vs_Control_Veh_ratio,Control_200_vs_Control_100_ratio,Control_200_vs_Control_Veh_ratio,RDH12_100_vs_Control_100_ratio,RDH12_100_vs_RDH12_Veh_ratio,RDH12_200_vs_Control_200_ratio,RDH12_200_vs_RDH12_100_ratio,RDH12_200_vs_RDH12_Veh_ratio,RDH12_Veh_vs_Control_Veh_ratio,Control_100_centered,Control_200_centered,Control_Veh_centered,RDH12_100_centered,RDH12_200_centered,RDH12_Veh_centered
1,[CE 18:1 +NH4],668.63457 -> 369.2,0.009868737,0.34254236,0.001372278,0.053143423,7.74E-06,0.548853111,0.617090475,1.83E-05,0.111730586,0.186986588,0.645629579,0.043530516,0.277270032,0.002785742,0.728327791,0.978014237,0.004955814,0.304719781,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,-0.361,-0.119,-0.481,-0.256,-0.823,-0.0747,0.0621,-0.761,0.206,-0.0598,-0.179,0.301,-0.316,-0.254,0.507
2,[DG 38:1,668.56177 -> 369.26177,0.004028075,0.948147352,0.004602954,0.120299876,0.000414874,0.015567765,0.322573685,6.05E-05,0.619179605,0.161122984,0.997868493,0.097474325,0.441354972,0.074677311,0.057149329,0.835442638,0.005444935,0.780764364,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,-0.379,0.00734,-0.372,-0.183,-0.506,-0.304,-0.114,-0.619,-0.0564,-0.0381,-0.0308,0.341,-0.221,-0.335,0.284
3,DG 32:0 NL 16:0,586.54107 -> 313.274291,0.145845523,0.000536253,0.011594387,0.044867354,0.268685025,4.25E-06,0.61379455,0.535618821,0.000221838,0.516053985,0.038610211,0.149051501,0.244361466,0.953944604,0.000509949,0.978014237,0.785467471,0.009672047,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,-0.184,0.531,0.346,-0.263,0.138,-0.856,-0.0618,0.076,-0.585,0.0458,0.576,0.23,-0.217,-0.279,-0.355
4,DG 34:0 NL 16:0,614.57237 -> 341.305591,0.655917302,0.003010291,0.007527927,0.003303914,0.094782256,6.44E-06,0.850893668,0.067177386,4.42E-05,0.864948034,0.070912168,0.115594618,0.060425571,0.931806613,0.000579502,0.998456697,0.306124799,0.009672047,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,-0.0504,0.395,0.344,-0.39,0.198,-0.763,0.0212,0.219,-0.638,0.15,0.545,0.201,-0.239,-0.218,-0.438
5,DG 40:6 NL 16:1,686.57237 -> 415.321241,0.007403724,3.23E-05,0.013297058,0.020555518,0.050593848,7.56E-07,0.794270825,0.082365893,0.002882162,0.186986588,0.011616176,0.153543646,0.161016442,0.819262707,0.00027202,0.998456697,0.336156998,0.030940044,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,-0.26,0.496,0.236,-0.217,-0.178,-0.691,0.0222,-0.156,-0.299,-0.0507,0.445,0.209,-0.268,-0.246,-0.0899
6,PC 34:5,752.523025 -> 184.07,0.24155568,0.003588258,0.000319291,0.206713862,0.771915294,0.008960459,0.096724448,0.160057885,0.848443659,0.612394682,0.07598663,0.028812645,0.557694827,0.981017338,0.037077763,0.703432526,0.459842841,0.923354277,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.19,0.539,0.729,-0.205,-0.0459,-0.469,0.276,0.23,0.0302,-0.00924,0.53,-0.199,-0.215,0.0613,-0.169
7,PC O-30:0,692.559425 -> 184.07,0.00742504,0.041758036,0.394596486,0.001135869,0.002246772,1.68E-06,0.168080628,0.00013264,0.003734526,0.186986588,0.244250672,0.825899622,0.045434765,0.202209497,0.000302933,0.783852927,0.00955006,0.035568757,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,0.415,-0.298,0.117,0.54,0.494,1.03,0.194,0.688,0.46,-0.101,-0.399,-0.516,0.439,0.632,-0.0554
8,PC O-34:4,740.559425 -> 184.07,0.613504833,0.002248031,0.000803207,0.148954579,0.189411287,7.88E-05,0.838112228,0.261245133,0.031256508,0.849817274,0.070912168,0.036144318,0.478024217,0.953944604,0.001029821,0.998456697,0.566576636,0.152058688,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.0819,0.588,0.67,-0.242,0.219,-0.863,-0.033,0.186,-0.379,0.0786,0.666,-0.00336,-0.163,-0.196,-0.382
9,PC O-36:4,768.627125 -> 184.07,0.000463745,0.005288698,0.241649419,0.651379755,0.389933034,0.000198845,0.05152697,0.00912563,0.006827195,0.060780291,0.095196562,0.737363977,0.881566585,0.953944604,0.002237012,0.626505494,0.134961527,0.050316473,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.782,-0.57,0.212,-0.0802,0.154,0.859,0.369,0.523,0.548,0.23,-0.34,-0.553,0.149,0.518,-0.00455
10,PC O-36:5,766.575025 -> 184.07,0.289829758,0.650051444,0.535018312,0.660190785,0.099328275,0.003297167,0.020484143,0.0006065,0.833711091,0.681952373,0.866777309,0.895345573,0.883961311,0.931806613,0.017716122,0.497266208,0.024260003,0.915048758,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0.173,-0.0732,0.1,0.0709,0.278,0.555,0.411,0.689,-0.0338,-0.0165,-0.0896,-0.19,0.0544,0.465,-0.224
