X,name,ID,Control_100_vs_Control_Veh_p.val,Control_200_vs_Control_100_p.val,Control_200_vs_Control_Veh_p.val,RDH12_100_vs_Control_100_p.val,RDH12_100_vs_RDH12_Veh_p.val,RDH12_200_vs_Control_200_p.val,RDH12_200_vs_RDH12_100_p.val,RDH12_200_vs_RDH12_Veh_p.val,RDH12_Veh_vs_Control_Veh_p.val,Control_100_vs_Control_Veh_p.adj,Control_200_vs_Control_100_p.adj,Control_200_vs_Control_Veh_p.adj,RDH12_100_vs_Control_100_p.adj,RDH12_100_vs_RDH12_Veh_p.adj,RDH12_200_vs_Control_200_p.adj,RDH12_200_vs_RDH12_100_p.adj,RDH12_200_vs_RDH12_Veh_p.adj,RDH12_Veh_vs_Control_Veh_p.adj,Control_100_vs_Control_Veh_significant,Control_200_vs_Control_100_significant,Control_200_vs_Control_Veh_significant,RDH12_100_vs_Control_100_significant,RDH12_100_vs_RDH12_Veh_significant,RDH12_200_vs_Control_200_significant,RDH12_200_vs_RDH12_100_significant,RDH12_200_vs_RDH12_Veh_significant,RDH12_Veh_vs_Control_Veh_significant,significant,Control_100_vs_Control_Veh_ratio,Control_200_vs_Control_100_ratio,Control_200_vs_Control_Veh_ratio,RDH12_100_vs_Control_100_ratio,RDH12_100_vs_RDH12_Veh_ratio,RDH12_200_vs_Control_200_ratio,RDH12_200_vs_RDH12_100_ratio,RDH12_200_vs_RDH12_Veh_ratio,RDH12_Veh_vs_Control_Veh_ratio,Control_100_centered,Control_200_centered,Control_Veh_centered,RDH12_100_centered,RDH12_200_centered,RDH12_Veh_centered
11,PC O-38:6,792.590725 -> 184.07,0.000231404,0.028193818,0.0290853,0.654028029,0.436012287,4.83E-05,0.002156849,0.000441271,0.002759166,0.060780291,0.211453636,0.232682397,0.881835544,0.953944604,0.00101546,0.258821883,0.022693952,0.030940044,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0.789,-0.396,0.393,-0.0743,0.13,0.927,0.605,0.735,0.585,0.156,-0.24,-0.634,0.0813,0.686,-0.0488
12,PC(20:0/8:0(COOH)),694.53864 -> 184.1,0.022085101,0.02254113,0.991819982,0.000577548,0.016604745,0.001251341,0.047817452,0.000227186,0.391038522,0.25647214,0.193242188,0.999509016,0.03730155,0.597770823,0.009793104,0.626505494,0.013631159,0.601058131,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,-0.507,0.505,-0.00206,0.868,0.536,0.791,0.428,0.964,-0.175,-0.585,-0.0797,-0.0776,0.283,0.711,-0.253
13,PE 32:1,690.543725 -> 549.523725,0.115458403,0.002882505,0.000110128,0.815717863,0.731704506,0.008561968,0.449194349,0.277944371,0.294379718,0.515877782,0.070912168,0.019822965,0.929952993,0.976005797,0.035840798,0.897447278,0.57711958,0.512143005,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-0.211,-0.45,-0.661,0.0298,-0.0439,0.382,-0.0978,-0.142,-0.137,0.034,-0.416,0.245,0.0638,-0.0339,0.108
14,PE 34:1,718.575025 -> 577.555025,0.463454636,0.000501189,0.002233267,0.623248034,0.032061878,0.000732532,0.76213587,0.057479362,0.019650143,0.762004934,0.038610211,0.06130266,0.855189703,0.807615346,0.007090962,0.995250349,0.279629329,0.115968058,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.136,-0.806,-0.67,-0.0907,-0.429,0.771,0.0557,-0.373,0.474,0.122,-0.684,-0.0144,0.0309,0.0867,0.46
15,PE 34:4,712.491725 -> 571.471725,0.531943783,0.023897298,0.00668069,0.036618502,0.90714922,0.000885933,0.522414396,0.599535324,0.144175677,0.811435004,0.193242188,0.114526113,0.21971101,0.986640738,0.007628505,0.924067762,0.808362235,0.346021624,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.119,0.468,0.586,-0.427,-0.022,-0.773,0.121,0.0994,-0.286,0.131,0.599,0.0127,-0.295,-0.174,-0.273
16,PI 34:1,854.61227 -> 577.555998,0.038147556,0.004909597,5.87E-05,0.045478384,0.5043101,0.009708268,0.023699807,0.085906788,0.449449583,0.331160394,0.095196562,0.019822965,0.244361466,0.953944604,0.0392694,0.501802605,0.336156998,0.647207399,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-0.273,-0.397,-0.67,0.262,0.0819,0.356,-0.302,-0.22,-0.093,-0.0462,-0.443,0.227,0.216,-0.0868,0.134
17,PI 36:2,880.62787 -> 603.571598,0.072624279,0.022130401,0.000465094,0.332580272,0.277730789,0.38176983,0.018164307,0.001889835,0.848972961,0.421689362,0.193242188,0.031487729,0.672634258,0.953944604,0.564759288,0.497266208,0.056695051,0.923354277,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-0.305,-0.403,-0.708,0.158,-0.177,0.142,-0.419,-0.596,0.0305,-0.0222,-0.425,0.283,0.136,-0.283,0.313
18,PI 36:4,876.56017 -> 599.503898,0.00966408,0.108283698,0.00032014,0.861151977,0.499600521,0.001659825,0.068816505,0.018339397,0.003430732,0.186986588,0.389821314,0.028812645,0.933013703,0.953944604,0.011535764,0.649923037,0.188078626,0.034307321,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-0.378,-0.217,-0.595,0.0226,0.0879,0.489,0.249,0.337,-0.443,-0.065,-0.282,0.313,-0.0425,0.207,-0.13
19,PI 38:3,906.60717 -> 629.550898,0.313782766,0.007654134,0.000942547,0.990472762,0.133351035,0.002586743,0.590259178,0.315458267,0.600919743,0.698956427,0.110219532,0.0377019,0.99600613,0.931806613,0.015266027,0.964071505,0.604069022,0.764420875,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,-0.17,-0.504,-0.674,-0.00198,-0.259,0.592,0.0896,-0.169,0.087,-0.00141,-0.505,0.168,-0.00338,0.0862,0.255
20,PI 38:5,902.57587 -> 625.519598,0.000506502,0.221903628,0.006479589,0.100020747,0.541453749,0.780708156,0.846361389,0.424062919,0.056513807,0.060780291,0.509152119,0.114526113,0.404701275,0.953944604,0.87015312,0.998456697,0.729643082,0.214157586,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-0.636,0.182,-0.454,0.251,-0.0893,0.0405,-0.0282,-0.117,-0.296,-0.272,-0.0898,0.364,-0.0211,-0.0493,0.0681
21,[CE 14:0 +NH4],614.58757 -> 369.2,0.215257198,0.216598917,0.996869299,0.958522645,0.245904716,0.726453399,0.339241073,0.828085163,0.890912716,0.583675403,0.509152119,0.999509016,0.974768791,0.953944604,0.863618761,0.851781189,0.917263566,0.951716848,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.128,0.128,-0.000395,-0.00523,-0.12,-0.0353,0.0977,-0.0219,-0.0138,-0.0763,0.0515,0.0519,-0.0815,0.0162,0.0381
22,[CE 16:0 +H],625.592325 -> 369.2,0.156378819,0.50835113,0.42715067,0.133609096,0.313485279,0.025043778,0.819623249,0.221904384,0.06004817,0.516053985,0.793364286,0.840296399,0.462493026,0.953944604,0.082713394,0.998456697,0.53701383,0.218356983,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.258,0.117,-0.141,-0.275,-0.181,-0.432,-0.0401,-0.221,-0.353,0.0514,0.169,0.31,-0.223,-0.264,-0.0429
23,[CE 16:0 +NH4],642.61887 -> 369.2,0.470918847,0.870128447,0.379380709,0.843739899,0.976942285,0.495724195,0.30392993,0.291279923,0.617538314,0.770594477,0.963622707,0.803612898,0.932814887,0.990702036,0.686387347,0.819582967,0.584496396,0.780764364,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0915,-0.0206,-0.112,0.0248,-0.00363,-0.0864,-0.132,-0.135,-0.0631,-0.00287,-0.0234,0.0886,0.0219,-0.11,0.0256
24,[CE 16:1 +NH4],640.60327 -> 369.2,0.22714764,0.92447255,0.262911436,0.091775587,0.161035671,0.537694695,0.223685927,0.839613584,0.133443592,0.59688431,0.994448903,0.763291266,0.392731454,0.931806613,0.727707106,0.783852927,0.921527105,0.338625631,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.129,0.00988,-0.119,-0.185,-0.151,-0.0646,0.13,-0.0211,-0.163,0.0224,0.0323,0.152,-0.163,-0.0324,-0.0113
25,[CE 16:3 +K],657.501308 -> 369.2,0.015604046,0.036435048,0.670386433,0.392378856,0.95730341,0.859292728,0.233401319,0.253514366,0.092110744,0.224698261,0.242900321,0.958245892,0.696086676,0.98899557,0.909839359,0.7859368,0.560921135,0.269592421,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.307,0.258,-0.0486,0.0987,-0.0061,-0.0202,0.139,0.133,-0.202,-0.168,0.0904,0.139,-0.069,0.0702,-0.0629
26,[CE 18:0 +Na],675.608025 -> 369.2,0.49435586,0.0873352,0.275672387,0.023934132,0.026476636,0.260004857,0.083177915,0.551378478,0.526298344,0.782300784,0.374293716,0.763400455,0.175842599,0.807615346,0.445722612,0.681012777,0.797077177,0.706967925,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.209,0.548,0.338,0.753,0.738,-0.35,-0.556,0.182,-0.194,-0.287,0.26,-0.0779,0.466,-0.0897,-0.272
27,[CE 18:0 +NH4],670.65017 -> 369.2,0.036935143,0.130934832,0.496649352,0.953619907,0.209077261,0.389758613,0.522410153,0.520096233,0.370261222,0.331160394,0.405601323,0.876607225,0.972648825,0.953944604,0.5712751,0.924067762,0.781586877,0.58785652,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.26,0.181,-0.079,0.0067,-0.149,-0.1,0.0742,-0.0746,-0.105,-0.114,0.0672,0.146,-0.107,-0.0332,0.0414
28,[CE 18:3 +Na],669.55867 -> 369.2,0.300475016,0.955404161,0.325877935,0.262247216,0.430002759,0.159209679,0.797902331,0.300976974,0.174381584,0.692680682,0.997868493,0.776927526,0.594361347,0.953944604,0.314920244,0.998456697,0.584496396,0.382788842,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.114,0.00607,-0.108,-0.124,-0.0866,-0.158,-0.0278,-0.114,-0.152,0.0323,0.0384,0.147,-0.0921,-0.12,-0.00551
29,[CE 20:3 +Na],697.592325 -> 369.2,0.356058562,0.005198328,0.034431634,0.688785964,0.187114378,0.000896228,0.646524723,0.084407048,0.982099206,0.712117124,0.095196562,0.252967109,0.893239092,0.953944604,0.007628505,0.983273573,0.336156998,0.984834858,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0978,0.337,0.24,-0.0419,-0.142,-0.427,-0.048,-0.19,0.00234,-0.0672,0.27,0.0306,-0.109,-0.157,0.0329
30,[CE 20:4 +NH4],690.61887 -> 369.2,0.813839394,0.875768819,0.936796579,0.710270205,0.12278591,0.597424004,0.998456697,0.122373215,0.324297281,0.943396591,0.964149159,0.989198075,0.900342513,0.931806613,0.773642596,0.998456697,0.406413464,0.550693497,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0233,0.0155,-0.00784,-0.0368,-0.159,-0.0525,-0.000191,-0.159,0.0992,-0.0146,0.000896,0.00874,-0.0514,-0.0516,0.108
31,[CE 22:2 +K],743.610808 -> 369.2,0.57542463,0.828074786,0.439941341,0.999468295,0.545928003,0.390371318,0.51647752,0.963419767,0.964963481,0.838675574,0.963622707,0.846945897,0.999468295,0.953944604,0.5712751,0.924067762,0.990946046,0.978554516,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0519,0.02,0.0719,6.14E-05,0.056,-0.0801,-0.0602,-0.00422,-0.00404,0.0246,0.0446,-0.0272,0.0247,-0.0355,-0.0313
32,[CE 22:6 +NH4],714.61887 -> 369.2,0.277538621,0.154566435,0.713886801,0.832957977,0.959050329,0.128251091,0.749062353,0.710714715,0.40307109,0.667360147,0.428030129,0.970284575,0.932814887,0.98899557,0.276469417,0.995250349,0.882266542,0.609687362,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.107,0.142,0.0353,0.0203,-0.00493,-0.152,-0.0308,-0.0357,-0.0814,-0.0472,0.0947,0.0593,-0.027,-0.0578,-0.022
33,[CE 24:1 +Na],757.68387 -> 369.2,0.488081252,0.865581124,0.59793966,0.056665075,0.584561946,0.076480807,0.993224073,0.578833756,0.436118268,0.777474561,0.963622707,0.91393034,0.291420386,0.953944604,0.199234192,0.998456697,0.801754668,0.643453183,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.186,-0.045,0.141,-0.541,-0.146,-0.499,-0.00226,-0.148,-0.209,0.285,0.24,0.0993,-0.256,-0.258,-0.11
34,[TG34:2] NL 20:0,624.52027 -> 295.190891,0.515306286,0.002567815,0.009832502,0.362550405,0.488374496,0.000911183,0.679480657,0.776386134,0.384858685,0.796181387,0.070912168,0.135647796,0.6905722,0.953944604,0.007628505,0.983273573,0.897621457,0.595123942,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0673,0.367,0.3,-0.0949,-0.0718,-0.42,0.0426,-0.0292,-0.0905,-0.044,0.323,0.0233,-0.139,-0.0964,-0.0672
35,[TG36:0] NL 18:0,656.58287 -> 355.284791,0.294668304,0.518998621,0.676095713,0.465899079,0.802901081,0.650955244,0.713786247,0.906260363,0.93402317,0.6843909,0.798459418,0.958245892,0.752065105,0.981017338,0.816529226,0.984532755,0.953958277,0.96707082,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.165,-0.101,0.0648,-0.114,0.0387,-0.0703,-0.0569,-0.0182,0.0128,0.117,0.0167,-0.0482,0.00329,-0.0536,-0.0354
36,[TG38:0] NL 20:0,684.61417 -> 355.284791,0.830703689,0.394785515,0.520009231,0.275117053,0.871833318,0.04670821,0.872297264,0.999529346,0.151037784,0.943396591,0.693786148,0.885934186,0.603915483,0.981017338,0.14012463,0.998456697,0.999529346,0.349727954,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.083,0.335,0.251,-0.433,0.0626,-0.83,-0.0624,0.000229,-0.578,0.168,0.502,0.251,-0.265,-0.327,-0.328
37,[TG44:4] NL 20:0,760.64547 -> 431.316091,0.939586337,0.591664945,0.541267174,0.379509118,0.530933568,0.055589094,0.54048913,0.988184787,0.162637892,0.979634527,0.843762872,0.897954759,0.696086676,0.953944604,0.161387692,0.939981096,0.996488861,0.363662368,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0268,0.191,0.218,-0.315,0.223,-0.724,-0.218,0.00524,-0.512,0.204,0.395,0.177,-0.111,-0.329,-0.335
38,[TG44:5] NL 20:0,758.62987 -> 429.300491,0.770146027,0.592977796,0.806942497,0.306879443,0.908393239,0.066042918,0.70741071,0.794191553,0.161934693,0.921104882,0.843762872,0.97288518,0.638593061,0.986640738,0.182888082,0.983273573,0.907644912,0.363662368,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.122,0.225,0.102,-0.435,0.0481,-0.817,-0.157,-0.109,-0.606,0.194,0.419,0.316,-0.241,-0.399,-0.289
39,[TG46:0] NL 16:0,796.73937 -> 523.472591,0.441952286,0.918453872,0.503305932,0.980316726,0.948271376,0.374800806,0.444267945,0.482701342,0.392357391,0.757632491,0.994448903,0.876607225,0.988554682,0.986640738,0.56278337,0.893499778,0.765155117,0.601058131,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0868,0.0114,-0.0754,-0.00276,0.00725,-0.101,-0.0864,-0.0791,-0.0968,0.000605,0.012,0.0874,-0.00215,-0.0885,-0.0094
40,[TG48:7,810.75507 -> 537.488291,0.039972916,0.872388368,0.054383529,0.660637553,0.774676469,0.83216498,0.945987279,0.826850057,0.053683559,0.334656972,0.963622707,0.331831701,0.883961311,0.981017338,0.891605336,0.998456697,0.917263566,0.207807324,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.364,0.0263,-0.337,0.0722,0.047,0.0348,-0.0111,0.0359,-0.338,-0.0914,-0.0651,0.272,-0.0192,-0.0303,-0.0662
41,[TG48:8,808.73937 -> 535.472591,0.473596523,0.116948512,0.366798913,0.543742649,0.490077732,0.273191769,0.926868713,0.435762497,0.561572712,0.77146945,0.395400945,0.803608775,0.805544666,0.953944604,0.455319615,0.998456697,0.729648832,0.736658696,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.063,0.143,0.0798,0.0533,-0.0607,-0.0976,-0.008,-0.0687,0.0509,-0.0697,0.0731,-0.00669,-0.0165,-0.0245,0.0442
42,[TG50:7,838.78637 -> 565.519591,0.037547255,0.061102382,0.799141981,0.051627161,0.478790754,0.071538498,0.060580378,0.211129668,0.38517744,0.331160394,0.297254833,0.9725683,0.273320266,0.953944604,0.192192981,0.627978789,0.531515248,0.595123942,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.276,0.245,-0.0312,0.255,0.0875,-0.234,-0.245,-0.158,-0.108,-0.159,0.0855,0.117,0.0965,-0.149,0.00891
43,[TG50:8,836.77067 -> 537.488241,0.147368189,0.222046896,0.802368847,0.100051149,0.328420837,0.693447041,0.391531159,0.899759452,0.444974558,0.516053985,0.509152119,0.9725683,0.404701275,0.953944604,0.854806085,0.8710366,0.951834631,0.646855651,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.146,0.122,-0.0243,0.167,0.0964,-0.0383,-0.0842,0.0122,-0.0748,-0.0982,0.0234,0.0477,0.0692,-0.0149,-0.0272
44,[TG50:8.1,836.77067 -> 563.503891,0.003929792,0.083594051,0.138313437,0.002287115,0.370816754,0.237715405,0.008082452,0.049341407,0.522852986,0.161122984,0.366998272,0.593996817,0.046722294,0.953944604,0.419104671,0.484947113,0.255468548,0.706672861,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.388,0.21,-0.177,0.418,0.104,-0.139,-0.347,-0.243,-0.0741,-0.233,-0.0232,0.154,0.185,-0.163,0.0802
45,[TG52:8,864.80197 -> 565.519541,0.668603315,0.316615723,0.557514696,0.375738502,0.477311745,0.542559268,0.62442168,0.821834887,0.804165252,0.864948034,0.612804626,0.908168736,0.695878093,0.953944604,0.728327791,0.978014237,0.917263566,0.9000636,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0404,0.0959,0.0555,0.0845,0.0675,-0.0577,-0.0463,0.0212,-0.0234,-0.046,0.0499,-0.00562,0.0385,-0.00777,-0.029
46,[TG52:8.1,864.80197 -> 591.535191,0.07045953,0.098212598,0.855483881,0.077593323,0.892702357,0.986016711,0.882800113,0.777938596,0.934140383,0.421689362,0.381720678,0.980809545,0.362773979,0.986640738,0.988763276,0.998456697,0.897621457,0.96707082,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.18,0.163,-0.0171,0.175,-0.0126,-0.00164,-0.0138,-0.0264,0.00774,-0.144,0.0184,0.0355,0.0306,0.0167,0.0432
47,Cer(d14:1/20:0),538.519925 -> 208.3,0.682704879,0.913785782,0.605976418,0.614805404,0.362465744,0.517699779,0.969720455,0.381955505,0.316521369,0.871538144,0.993845564,0.916602985,0.854555773,0.953944604,0.705954244,0.998456697,0.691803058,0.54003646,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.115,0.0303,0.145,-0.141,0.258,-0.182,-0.0106,0.248,-0.285,0.13,0.16,0.0149,-0.0118,-0.0224,-0.27
48,Cer(d14:1/24:0(2OH)),610.577425 -> 208.3,0.580593516,0.324872825,0.656571865,0.597460953,0.648339454,0.820380818,0.80757937,0.486723672,0.630780885,0.84279704,0.622096899,0.958245892,0.854555773,0.960502894,0.884242798,0.998456697,0.765155117,0.79122341,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.104,0.188,0.0838,0.0997,0.086,-0.0427,0.0458,0.132,-0.0906,-0.0919,0.0963,0.0125,0.00779,0.0536,-0.0782
