"","name","ID","RDH12_100_vs_RDH12_Veh_p.val","RDH12_200_vs_RDH12_100_p.val","RDH12_200_vs_RDH12_Veh_p.val","RDH12_100_vs_RDH12_Veh_p.adj","RDH12_200_vs_RDH12_100_p.adj","RDH12_200_vs_RDH12_Veh_p.adj","RDH12_100_vs_RDH12_Veh_significant","RDH12_200_vs_RDH12_100_significant","RDH12_200_vs_RDH12_Veh_significant","significant","RDH12_100_vs_RDH12_Veh_ratio","RDH12_200_vs_RDH12_100_ratio","RDH12_200_vs_RDH12_Veh_ratio","RDH12_100_centered","RDH12_200_centered","RDH12_Veh_centered"
"1","LPC 18:1","522.355925 -> 184.07",0.060254717231238,0.000164220215709938,1.80944686299184e-05,0.703,0.00848,2.64e-08,FALSE,TRUE,TRUE,TRUE,0.278,0.816,1.09,-0.179,0.637,-0.458
"2","PC 32:0","734.606325 -> 184.07",0.0100766008910817,0.0116063393462622,0.000140338421297444,0.348,0.465,9.88e-05,FALSE,FALSE,TRUE,TRUE,0.434,0.422,0.856,0.00399,0.426,-0.43
"3","PC O-32:0","720.590725 -> 184.07",0.437381915173036,0.0192238004468396,0.00542052602034584,0.911,0.512,0.0861,FALSE,FALSE,TRUE,TRUE,0.149,0.525,0.674,-0.125,0.4,-0.274
"4","[CE 16:0 +H]","625.592325 -> 369.2",0.0216182793602841,0.0784238859693879,0.443334896918051,0.507,0.728,0.722,FALSE,FALSE,FALSE,FALSE,0.478,-0.341,0.137,0.273,-0.0679,-0.205
"5","[CE 16:0 +NH4]","642.61887 -> 369.2",0.524570745920172,0.236945118331485,0.0865696979571321,0.921,0.85,0.472,FALSE,FALSE,FALSE,FALSE,-0.0602,-0.115,-0.176,0.0184,-0.097,0.0786
"6","[CE 16:1 +NH4]","640.60327 -> 369.2",0.249647317934619,0.145961088791704,0.724704295206998,0.87,0.805,0.789,FALSE,FALSE,FALSE,FALSE,0.146,-0.189,-0.0431,0.112,-0.0775,-0.0344
"7","[CE 18:1 +NH4]","668.63457 -> 369.2",0.535533452616593,0.218791835392766,0.513645266908517,0.922,0.843,0.744,FALSE,FALSE,FALSE,FALSE,0.121,-0.248,-0.127,0.123,-0.125,0.00224
"8","[CE 18:2 +NH4]","666.61887 -> 369.2",0.628733573477844,0.317883570106811,0.590431634476146,0.93,0.872,0.763,FALSE,FALSE,FALSE,FALSE,0.0396,-0.0838,-0.0442,0.0411,-0.0426,0.00152
"9","[CE 18:3 +Na]","669.55867 -> 369.2",0.74949002652501,0.697874550250742,0.484106872377139,0.938,0.917,0.735,FALSE,FALSE,FALSE,FALSE,-0.0458,-0.0558,-0.102,0.00332,-0.0525,0.0492
"10","[CE 20:1 +Na]","701.623625 -> 369.2",0.0422593066303759,0.271906883356781,0.258848796708077,0.647,0.86,0.633,FALSE,FALSE,FALSE,FALSE,0.43,-0.212,0.218,0.214,0.00211,-0.216
"11","[CE 22:6 +NH4]","714.61887 -> 369.2",0.401904900042951,0.268598843460649,0.770579744416854,0.906,0.859,0.797,FALSE,FALSE,FALSE,FALSE,0.0996,-0.134,-0.034,0.0777,-0.0559,-0.0219
"12","[CE 24:1 +Na]","757.68387 -> 369.2",0.153266780077548,0.505408024426918,0.407202041733917,0.819,0.9,0.709,FALSE,FALSE,FALSE,FALSE,0.429,-0.19,0.239,0.207,0.0161,-0.223
"13","[DG 38:1","668.56177 -> 369.26177",0.478566942968522,0.465201840487706,0.168145152221605,0.916,0.895,0.55,FALSE,FALSE,FALSE,FALSE,-0.079,-0.0815,-0.161,0.000833,-0.0807,0.0798
"14","[TG24:2]","484.36377 -> 323.222191",0.913444580007039,0.3162231341222,0.366977365496335,0.946,0.871,0.693,FALSE,FALSE,FALSE,FALSE,0.0263,-0.25,-0.224,0.0923,-0.158,0.0659
"15","[TG34:2] NL 20:0","624.52027 -> 295.190891",0.214986545791997,0.39661275670687,0.66621364978521,0.856,0.886,0.779,FALSE,FALSE,FALSE,FALSE,0.225,-0.15,0.075,0.125,-0.0249,-0.0999
"16","[TG38:0] NL 20:0","684.61417 -> 355.284791",0.386524873787067,0.718333773868935,0.232331484560077,0.903,0.918,0.613,FALSE,FALSE,FALSE,FALSE,0.457,0.187,0.643,0.09,0.277,-0.367
"17","[TG44:1]","766.69247 -> 577.519591",0.136229264425226,0.94953399436372,0.123224322480462,0.803,0.93,0.508,FALSE,FALSE,FALSE,FALSE,-0.115,-0.00455,-0.119,-0.0368,-0.0413,0.0781
"18","[TG44:4] NL 20:0","760.64547 -> 431.316091",0.208313141808918,0.78813425223118,0.137507938727922,0.853,0.922,0.518,FALSE,FALSE,FALSE,FALSE,0.461,0.094,0.555,0.122,0.216,-0.339
"19","[TG44:5] NL 20:0","758.62987 -> 429.300491",0.293430387169157,0.366778198610213,0.0696246979287473,0.883,0.881,0.445,FALSE,FALSE,FALSE,FALSE,0.373,0.317,0.69,0.0185,0.336,-0.354
"20","[TG46:0] NL 16:0","796.73937 -> 523.472591",0.58146379356521,0.206212297987941,0.0858111420812524,0.927,0.838,0.471,FALSE,FALSE,FALSE,FALSE,-0.0559,-0.133,-0.189,0.0258,-0.108,0.0817
"21","[TG48:7","810.75507 -> 537.488291",0.169545518205166,0.702969807998283,0.0923198414255814,0.831,0.917,0.479,FALSE,FALSE,FALSE,FALSE,-0.212,-0.0558,-0.268,-0.0522,-0.108,0.16
"22","[TG50:8","836.77067 -> 563.503891",0.48429921218737,0.398531103035338,0.141432492793394,0.917,0.886,0.52,FALSE,FALSE,FALSE,FALSE,-0.0919,-0.112,-0.204,0.0066,-0.105,0.0985
"23","[TG50:9","834.75507 -> 563.503941",0.0996328408380846,0.281340006715248,0.504917777461864,0.76,0.863,0.741,FALSE,FALSE,FALSE,FALSE,0.228,-0.142,0.0861,0.124,-0.0187,-0.105
"24","CAR 20:1","454.389625 -> 85.1",0.890799774577194,0.302761426488639,0.248603964135251,0.945,0.868,0.626,FALSE,FALSE,FALSE,FALSE,0.0489,0.379,0.428,-0.11,0.269,-0.159
"25","CAR 22:0","484.436625 -> 85.1",0.404491745556997,0.725752116008013,0.248050223330579,0.906,0.918,0.625,FALSE,FALSE,FALSE,FALSE,0.177,0.0732,0.25,0.0346,0.108,-0.142
"26","Cer(d14:1/16:0)","482.457325 -> 208.3",0.00576696602578277,0.0117978320357172,0.653792864256697,0.248,0.467,0.776,FALSE,FALSE,FALSE,FALSE,0.438,-0.382,0.0557,0.273,-0.109,-0.164
"27","Cer(d14:1/20:0)","538.519925 -> 208.3",0.143254935258325,0.718423274978089,0.24839681730682,0.81,0.918,0.626,FALSE,FALSE,FALSE,FALSE,0.584,-0.135,0.449,0.24,0.105,-0.344
"28","Cer(d14:1/24:0(2OH))","610.577425 -> 208.3",0.0941810133593168,0.3201923658514,0.431059263844322,0.755,0.872,0.718,FALSE,FALSE,FALSE,FALSE,0.405,-0.227,0.178,0.211,-0.0164,-0.194
"29","Cer(d14:2/16:0)","480.441625 -> 206.3",0.00900425300471989,0.0188369620410938,0.650361771861508,0.328,0.511,0.776,FALSE,FALSE,FALSE,FALSE,0.659,-0.567,0.0922,0.408,-0.158,-0.25
"30","Cer(d14:2/20:0)","536.504225 -> 206.3",0.158971094703039,0.386876750191847,0.544599143880852,0.823,0.884,0.752,FALSE,FALSE,FALSE,FALSE,0.59,-0.349,0.241,0.313,-0.0358,-0.277
"31","Cer(d18:0/20:0(2OH))","612.593125 -> 266.3",0.0945730562438258,0.180974594912629,0.682923669393635,0.755,0.826,0.782,FALSE,FALSE,FALSE,FALSE,0.804,-0.623,0.181,0.475,-0.147,-0.328
"32","Cer(d18:0/20:0)","596.598125 -> 266.3",0.199110617858737,0.149957699785137,0.854024795027924,0.848,0.808,0.809,FALSE,FALSE,FALSE,FALSE,0.268,-0.305,-0.0365,0.191,-0.114,-0.0772
