"","lipid_class_ether","distinct_precursor"
"1","PC",52
"2","PC O-",32
"3","SM",20
"4","PE",17
"5","PI",13
"6","DG",9
"7","PE O-",8
"8","TG",8
"9","CE",6
"10","Cer",6
"11","PS",6
"12","DG O-",1
"13","PG",1
"14","PI O-",1
