"","lipid_class","unsat_class","distinct_precursor","group","proportion"
"109","LPC","PUFA",1,"Ctrl_Veh",0.166666666666667
"110","LPC","SFA",2,"Ctrl_Veh",0.333333333333333
"111","LPE","MUFA",1,"Ctrl_Veh",1
"112","PC","MUFA",15,"Ctrl_Veh",0.164835164835165
"113","PC","PUFA",62,"Ctrl_Veh",0.681318681318681
"114","PC","SFA",14,"Ctrl_Veh",0.153846153846154
"115","PE","MUFA",6,"Ctrl_Veh",0.2
"116","PE","PUFA",22,"Ctrl_Veh",0.733333333333333
"117","PE","SFA",2,"Ctrl_Veh",0.0666666666666667
"118","PG","MUFA",1,"Ctrl_Veh",0.5
"119","PG","PUFA",1,"Ctrl_Veh",0.5
"120","PI","MUFA",4,"Ctrl_Veh",0.210526315789474
"121","PI","PUFA",13,"Ctrl_Veh",0.684210526315789
"122","PI","SFA",2,"Ctrl_Veh",0.105263157894737
"123","PS","MUFA",4,"Ctrl_Veh",0.266666666666667
"124","PS","PUFA",10,"Ctrl_Veh",0.666666666666667
"125","PS","SFA",1,"Ctrl_Veh",0.0666666666666667
"126","SM","MUFA",7,"Ctrl_Veh",0.368421052631579
"127","SM","PUFA",8,"Ctrl_Veh",0.421052631578947
"128","SM","SFA",4,"Ctrl_Veh",0.210526315789474
"129","TG","MUFA",2,"Ctrl_Veh",0.222222222222222
"130","TG","PUFA",5,"Ctrl_Veh",0.555555555555556
"131","TG","SFA",2,"Ctrl_Veh",0.222222222222222
"132","CE","MUFA",2,"Ctrl_100",0.4
"133","CE","PUFA",1,"Ctrl_100",0.2
"134","CE","SFA",2,"Ctrl_100",0.4
"135","Cer","MUFA",3,"Ctrl_100",0.5
"136","Cer","PUFA",2,"Ctrl_100",0.333333333333333
"137","Cer","SFA",1,"Ctrl_100",0.166666666666667
"138","DG","MUFA",3,"Ctrl_100",0.176470588235294
"139","DG","PUFA",11,"Ctrl_100",0.647058823529412
"140","DG","SFA",3,"Ctrl_100",0.176470588235294
"141","LPC","MUFA",3,"Ctrl_100",0.333333333333333
"142","LPC","PUFA",3,"Ctrl_100",0.333333333333333
"143","LPC","SFA",3,"Ctrl_100",0.333333333333333
"144","LPE","MUFA",1,"Ctrl_100",0.5
"145","LPE","SFA",1,"Ctrl_100",0.5
"146","PC","MUFA",16,"Ctrl_100",0.163265306122449
"147","PC","PUFA",67,"Ctrl_100",0.683673469387755
"148","PC","SFA",15,"Ctrl_100",0.153061224489796
"149","PE","MUFA",7,"Ctrl_100",0.212121212121212
"150","PE","PUFA",23,"Ctrl_100",0.696969696969697
"151","PE","SFA",3,"Ctrl_100",0.0909090909090909
"152","PG","MUFA",2,"Ctrl_100",0.666666666666667
"153","PG","PUFA",1,"Ctrl_100",0.333333333333333
"154","PI","MUFA",6,"Ctrl_100",0.272727272727273
"155","PI","PUFA",14,"Ctrl_100",0.636363636363636
"156","PI","SFA",2,"Ctrl_100",0.0909090909090909
"157","PS","MUFA",6,"Ctrl_100",0.315789473684211
"158","PS","PUFA",11,"Ctrl_100",0.578947368421053
"159","PS","SFA",2,"Ctrl_100",0.105263157894737
"160","SM","MUFA",8,"Ctrl_100",0.347826086956522
"161","SM","PUFA",9,"Ctrl_100",0.391304347826087
"162","SM","SFA",6,"Ctrl_100",0.260869565217391
"163","TG","MUFA",2,"Ctrl_100",0.25
"164","TG","PUFA",3,"Ctrl_100",0.375
"165","TG","SFA",3,"Ctrl_100",0.375
"166","CE","MUFA",1,"Ctrl_200",0.333333333333333
"167","CE","PUFA",1,"Ctrl_200",0.333333333333333
"168","CE","SFA",1,"Ctrl_200",0.333333333333333
"169","Cer","MUFA",3,"Ctrl_200",0.5
"170","Cer","PUFA",2,"Ctrl_200",0.333333333333333
"171","Cer","SFA",1,"Ctrl_200",0.166666666666667
"172","DG","MUFA",2,"Ctrl_200",0.153846153846154
"173","DG","PUFA",8,"Ctrl_200",0.615384615384615
"174","DG","SFA",3,"Ctrl_200",0.230769230769231
"175","LPC","MUFA",3,"Ctrl_200",0.428571428571429
"176","LPC","PUFA",1,"Ctrl_200",0.142857142857143
"177","LPC","SFA",3,"Ctrl_200",0.428571428571429
"178","LPE","PUFA",1,"Ctrl_200",1
"179","PC","MUFA",14,"Ctrl_200",0.157303370786517
"180","PC","PUFA",62,"Ctrl_200",0.696629213483146
"181","PC","SFA",13,"Ctrl_200",0.146067415730337
"182","PE","MUFA",5,"Ctrl_200",0.208333333333333
"183","PE","PUFA",17,"Ctrl_200",0.708333333333333
"184","PE","SFA",2,"Ctrl_200",0.0833333333333333
"185","PG","PUFA",1,"Ctrl_200",0.5
"186","PG","SFA",1,"Ctrl_200",0.5
"187","PI","MUFA",2,"Ctrl_200",0.25
"188","PI","PUFA",6,"Ctrl_200",0.75
"189","PS","MUFA",4,"Ctrl_200",0.4
"190","PS","PUFA",5,"Ctrl_200",0.5
"191","PS","SFA",1,"Ctrl_200",0.1
"192","SM","MUFA",5,"Ctrl_200",0.416666666666667
"193","SM","PUFA",4,"Ctrl_200",0.333333333333333
"194","SM","SFA",3,"Ctrl_200",0.25
"195","TG","MUFA",1,"Ctrl_200",0.166666666666667
"196","TG","PUFA",4,"Ctrl_200",0.666666666666667
"197","TG","SFA",1,"Ctrl_200",0.166666666666667
