"","lipid_name","mrm","blank","s10","s11","s12","s13","s14","s15","s16","s17","s18","s1","s2","s3","s4","s5","s6","s7","s8","s9","lipid_class1","lipid_class","DG_TG_acyl_chains","NL_chain","maxvalue","max_divid_blank","mrm1","precursor","product","picked_candidate","C_total","DB_total","NL_C","NL_DB","cand_score"
"11","[CE 20:3 +Na]_[CE 22:6 +H]","697.592325 -> 369.2",1627.0401,1951.700138,2200.840157,2067.000134,1836.940128,1808.840126,1756.68013,1696.36013,1672.840126,1758.880131,1892.980133,1852.560139,1749.900131,1670.340111,1947.00013,1727.020126,1991.120148,1772.64011,2187.160164,"CE","CE",NA,NA,2200.840157,1.35266497549753,"697 -> 369",697,369,"[CE 20:3 +Na]",20,3,NA,NA,4
"12","[CE 22:6 +NH4]","714.61887 -> 369.2",1463.000099,1711.380119,1914.880146,1697.120117,1817.520119,1758.080128,1536.340111,1547.940109,1724.800117,1746.460129,1620.400116,1690.860104,1885.100132,1676.100117,1568.780102,1686.620113,1695.500126,1531.780102,1774.02013,"CE","CE",NA,NA,1914.880146,1.30887219167577,"714 -> 369",714,369,"[CE 22:6 +NH4]",22,6,NA,NA,4
"13","[CE 22:2 +K]","743.610808 -> 369.2",1541.200123,1822.060131,1608.060123,1763.260139,1672.180126,1710.220112,2072.720161,1691.120121,1599.000114,1673.540104,1534.840118,1589.380104,1803.840141,1747.320114,1741.24012,1590.180107,1510.680099,1641.06012,1674.220131,"CE","CE",NA,NA,2072.720161,1.34487412119159,"743 -> 369",743,369,"[CE 22:2 +K]",22,2,NA,NA,4
"14","[CE 24:1 +Na]","757.68387 -> 369.2",1719.600132,2949.720177,3434.060234,2470.000172,2516.820187,2136.440151,3101.5602,2424.640167,2345.70015,2766.540188,1735.740112,3257.060242,3586.540257,3186.340179,2651.500168,4394.120285,2329.180164,3455.020233,2483.180157,"CE","CE",NA,NA,4394.120285,2.55531515916399,"757 -> 369",757,369,"[CE 24:1 +Na]",24,1,NA,NA,4
"15","Cer(d14:2/20:0)","536.504225 -> 206.3",1419.200111,1766.880138,2540.960144,1693.820126,1714.660133,2172.080158,2451.900162,2663.400211,1800.320133,1622.74012,1675.680107,2556.400169,3084.740208,3372.060265,1815.280125,2099.580158,1573.400097,3554.300259,2710.620228,"Cer","Cer",NA,NA,3554.300259,2.50443910724863,"536 -> 206",536,206,"Cer(d14:2/20:0)",34,2,NA,NA,4
"16","Cer(d14:1/20:0)","538.519925 -> 208.3",1160.500088,1379.980095,1852.180153,1145.240086,1504.800087,1524.280098,2501.980209,1719.560143,1620.220112,1618.340126,1453.360123,1904.180145,1679.800106,2137.640129,1627.80011,1628.280125,1307.900089,2434.360218,1567.200108,"Cer","Cer",NA,NA,2501.980209,2.15595003815286,"538 -> 208",538,208,"Cer(d14:1/20:0)",34,1,NA,NA,4
"17","Cer(d18:1/16:0)","538.519925 -> 264.3",1081.560089,2288.160175,1442.240105,2666.480156,1860.10014,2064.020187,2081.080151,2312.68018,2071.660164,1525.700108,1998.000134,1924.66013,2115.36018,2153.640156,1890.96014,2412.300175,1516.760105,1770.96014,1202.800079,"Cer","Cer",NA,NA,2666.480156,2.46540176835242,"538 -> 264",538,264,"Cer(d18:1/16:0)",34,1,NA,NA,4
"18","Cer(d18:1/18:0)","566.551225 -> 264.3",1134.300072,1370.100098,1507.320095,1295.180088,1352.100094,1234.100079,1337.220097,1360.380093,1269.940098,1250.240089,1345.3801,1356.660099,1295.440083,1181.100079,1195.66008,1411.500099,1238.460087,1298.900105,1203.960079,"Cer","Cer",NA,NA,1507.320095,1.32885479972005,"566 -> 264",566,264,"Cer(d18:1/18:0)",36,1,NA,NA,4
"19","Cer(d14:1/24:0(2OH))","610.577425 -> 208.3",1105.420063,1094.700073,1034.520069,1086.260071,1208.44009,1111.580074,1203.420067,1145.920074,1163.580086,1226.240089,1067.540081,1452.340099,1372.740101,1085.860081,1119.680069,1304.260101,1205.260094,1413.060101,1191.840084,"Cer","Cer",NA,NA,1452.340099,1.31383547993375,"610 -> 208",610,208,"Cer(d14:1/24:0(2OH))",38,1,NA,NA,4
"20","Cer(d18:0/20:0(2OH))","612.593125 -> 266.3",1556.880123,2056.440125,1842.660133,1324.040089,1805.700138,2039.740158,3608.560242,2032.140137,1682.040134,2120.060146,2013.540127,2873.42017,2727.520206,2709.540203,1315.100094,2353.680119,1903.920132,3193.000263,2168.140148,"Cer","Cer",NA,NA,3608.560242,2.31781508973636,"612 -> 266",612,266,"Cer(d18:0/20:0(2OH))",38,0,NA,NA,4
"21","Cer(d18:1/22:0)","622.613825 -> 264.3",1054.54007,1281.760094,1144.220066,1298.820095,1172.960091,1080.260082,1212.060093,1392.620102,1273.440086,1564.260109,1356.980087,1208.800079,1158.00008,1325.980083,1186.220085,1558.320114,1082.84008,1090.26009,1680.220119,"Cer","Cer",NA,NA,1680.220119,1.59332031735883,"622 -> 264",622,264,"Cer(d18:1/22:0)",40,1,NA,NA,4
"22","Cer(d18:2/24:0)","648.629425 -> 262.3",1008.08007,1094.220081,1653.520115,1227.760086,1133.200081,1238.480091,1489.640118,1176.200085,1122.26009,1469.340107,1137.120083,1038.04007,1152.700085,1226.840088,1091.88007,1223.500088,1203.100082,1045.040073,1117.960079,"Cer","Cer",NA,NA,1653.520115,1.64026664568421,"648 -> 262",648,262,"Cer(d18:2/24:0)",42,2,NA,NA,4
"23","Cer(d18:1/24:1)","648.629425 -> 264.3",1004.920063,1538.040096,1713.84013,1805.220135,1319.960106,1488.220093,1848.080147,1241.620087,1602.480118,1790.640129,1442.780102,1369.680092,1490.140114,1437.120102,1830.960125,1784.540154,1278.700089,1523.340103,1597.500107,"Cer","Cer",NA,NA,1848.080147,1.83903199373182,"648 -> 264",648,264,"Cer(d18:1/24:1)",42,2,NA,NA,4
"24","Cer(d18:1/24:0)","650.645125 -> 264.3",1124.860073,2085.140144,2336.920166,2246.50016,1934.320141,2266.66016,3491.620232,2481.060192,2752.740166,2731.580177,1781.540123,1882.26012,1783.300125,2207.98016,2341.100178,2354.900196,2131.260159,1849.940128,2159.320175,"Cer","Cer",NA,NA,3491.620232,3.10404850861837,"650 -> 264",650,264,"Cer(d18:1/24:0)",42,1,NA,NA,4
"25","CerP(d18:1/24:1)","728.595825 -> 264.3",1021.800076,1114.920074,1232.060093,1141.720089,1198.020084,1342.48008,1146.720085,1039.140072,1074.000072,1110.360073,1209.640091,1068.620068,1105.120071,1179.78009,1072.120071,1141.860088,1060.760071,1021.960064,1092.50008,"Cer","Cer",NA,NA,1342.48008,1.31383830509717,"728 -> 264",728,264,"CerP(d18:1/24:1)",18,1,NA,NA,4
"26","DG 30:3 NL 20:0","552.46277 -> 223.13337",43852.52253,74179.94506,64793.88503,67800.82402,57526.5444,43205.34312,71054.56526,15284.92085,49918.48337,77219.6849,47413.06347,55952.68431,50494.88478,38054.12298,44134.86245,64160.40451,41886.30298,45464.48335,60216.26376,"DG","DG",NA,"NL 20:0",77219.6849,1.76089493705118,"552 -> 223",552,223,"DG 30:3 NL 20:0",30,3,20,0,4
"27","DG 30:3 NL 16:1","552.46277 -> 281.211641",13024.98093,24921.20154,29161.38197,18366.18118,18035.68135,14218.22112,24704.70152,6828.840504,20147.04148,18984.84124,18504.98112,25720.58211,16336.24117,20549.46137,20113.86135,17536.86129,16641.66126,21585.58145,17170.80119,"DG","DG",NA,"NL 16:1",29161.38197,2.23888097239617,"552 -> 281",552,281,"DG 30:3 NL 16:1",30,3,16,1,4
"28","DG 30:2 NL 20:0","554.47847 -> 225.14907",7594.620579,9145.620659,9828.380775,9234.040592,8126.580532,6466.440491,8566.760586,4017.420288,8244.200539,10210.32068,7370.020466,9405.860558,7281.340504,5545.840401,7050.560497,10190.80074,6798.000462,7478.040504,8690.080669,"DG","DG",NA,"NL 20:0",10210.32068,1.34441484914108,"554 -> 225",554,225,"DG 30:2 NL 20:0",30,2,20,0,4
"29","DG 30:2 NL 16:0","554.47847 -> 281.211691",8151.560657,9415.160583,13914.70099,7155.080502,15156.18123,9237.480679,15412.04127,9671.360699,9186.380688,7655.800613,8066.240479,18156.76148,6740.360584,8929.840694,10147.94066,10084.52071,7817.280571,13142.58097,8308.900578,"DG","DG",NA,"NL 16:0",18156.76148,2.22739696654385,"554 -> 281",554,281,"DG 30:2 NL 16:0",30,2,16,0,4
"30","DG 30:2 NL 16:1","554.47847 -> 283.227341",4544.880318,7051.800499,6432.740505,5382.120365,4120.880264,4391.520302,6442.560459,3581.460236,5373.40041,6315.760422,5632.740376,5924.440426,4889.100357,5588.320427,4584.720322,5093.900341,4581.980324,5719.820412,4946.140316,"DG","DG",NA,"NL 16:1",7051.800499,1.5515921224749,"554 -> 283",554,283,"DG 30:2 NL 16:1",30,2,16,1,4
"31","DG 30:1 NL 16:0","556.49407 -> 283.227291",3401.02026,3959.840294,4708.020348,3691.220245,5009.600346,3115.520214,4349.940357,4016.9203,3959.060261,3456.620255,3679.020241,5068.800312,3379.380257,3385.860249,4096.720268,3833.280262,3577.940262,4378.660278,3001.540203,"DG","DG",NA,"NL 16:0",5068.800312,1.49037639428822,"556 -> 283",556,283,"DG 30:1 NL 16:0",30,1,16,0,4
"32","DG 30:1 NL 14:1","556.49407 -> 313.27427",2684.620182,2863.560184,2996.580204,3112.560219,2843.500191,2592.240173,3569.120243,2787.600182,2823.0602,3149.720234,2848.580196,2937.64019,2905.380196,2772.100189,2642.560188,2712.020184,2538.200172,2499.220184,2706.520187,"DG","DG",NA,"NL 14:1",3569.120243,1.32946934800328,"556 -> 313",556,313,"DG 30:1 NL 14:1",30,1,14,1,4
"33","DG 30:0 NL 14:0","558.50977 -> 313.27427",2515.460148,3237.300205,2945.180214,3400.200249,3180.160236,2413.120148,3479.480244,2832.960209,2978.500202,3115.440254,2889.600201,3028.120228,2902.52021,2552.680191,2532.560177,2535.400177,2546.500191,2340.920166,2747.680187,"DG","DG",NA,"NL 14:0",3479.480244,1.38323807147828,"558 -> 313",558,313,"DG 30:0 NL 14:0",30,0,14,0,4
"34","DG 32:5 NL 18:1","576.46277 -> 277.16277",4661.840313,5280.040367,3139.500214,3985.700306,3873.760265,3564.900234,4323.42028,3840.800285,3285.180241,3486.020245,3653.380241,3844.460297,5147.440331,3870.460289,3296.50021,7344.480553,3872.580284,5469.060379,4660.960346,"DG","DG",NA,"NL 18:1",7344.480553,1.57544661761991,"576 -> 277",576,277,"DG 32:5 NL 18:1",32,5,18,1,4
"35","DG 32:1 NL 16:0","584.52537 -> 311.258591",2555.600182,3413.920242,3312.780224,3662.700283,2957.060192,3490.980244,3603.860256,2671.760178,3029.840202,3607.540237,3266.04023,3059.200241,3091.100227,2903.060215,2836.320206,3075.340195,2564.660175,2519.740181,2895.940193,"DG","DG",NA,"NL 16:0",3662.700283,1.43320551813922,"584 -> 311",584,311,"DG 32:1 NL 16:0",32,1,16,0,4
"36","DG 32:1 NL 16:1","584.52537 -> 313.274241",2750.940178,4011.440289,4707.400311,3656.680252,3836.840302,3547.560249,4662.580315,3687.180279,3779.700291,3511.400238,3444.880249,3582.220226,3633.300278,3389.36026,3261.78022,3403.880253,2969.840237,3097.460201,2782.620197,"DG","DG",NA,"NL 16:1",4707.400311,1.71119690229774,"584 -> 313",584,313,"DG 32:1 NL 16:1",32,1,16,1,4
"37","DG 32:0 NL 16:0","586.54107 -> 313.274291",21713.36158,28866.34222,27224.98206,28155.22207,22780.72187,27483.82213,40599.34317,24799.68149,27747.42173,34483.06254,24397.50171,25985.22146,30789.26224,24093.06181,24813.24129,39104.64297,25797.9615,32350.28224,35963.74187,"DG","DG",NA,"NL 16:0",40599.34317,1.86978616924041,"586 -> 313",586,313,"DG 32:0 NL 16:0",32,0,16,0,4
"38","TG 32:0 NL 16:0","600.55667 -> 327.289891",2401.720188,2876.400227,2623.760178,2886.300201,2882.200211,2894.980194,3162.660213,2678.620201,2638.560192,2730.220192,2784.240204,2965.320229,3232.900249,2532.26017,2654.860188,2982.080196,2482.800186,2503.440189,2919.800205,"DG","DG",NA,"NL 16:0",3232.900249,1.34607697647416,"600 -> 327",600,327,"TG 32:0 NL 16:0",32,0,16,0,4
"39","DG 34:3 NL 18:1","608.52537 -> 309.22537",3384.220238,4179.66029,3199.540218,3479.940224,3231.260246,3265.60022,3376.640247,3271.700226,3046.860226,3499.780258,3175.920227,3586.020248,3418.480232,3285.720226,3465.300243,12440.3209,3066.120216,3751.880253,3272.880226,"DG","DG",NA,"NL 18:1",12440.3209,3.6759785194571,"608 -> 309",608,309,"DG 34:3 NL 18:1",34,3,18,1,4
"40","DG 34:2 NL 20:0","610.54107 -> 281.21167",343838.762,408212.9526,308745.6402,421425.3612,247792.5985,332663.1078,491544.5295,120391.0083,371589.7434,464156.528,296397.1022,353428.3915,415581.4739,247376.0721,288346.6178,685476.6232,287334.7002,253411.4181,363689.1662,"DG","DG",NA,"NL 20:0",685476.6232,1.99359903232783,"610 -> 281",610,281,"DG 34:2 NL 20:0",34,2,20,0,4
"41","DG 34:2 NL 18:1","610.54107 -> 311.24107",2811.680191,3619.44025,3573.920242,3747.360302,3758.420277,3577.920265,3255.20026,3123.080215,3192.680225,3583.720257,3162.880226,3079.560215,3122.580212,3078.780197,3082.860226,3757.360256,3137.260216,2924.140217,3305.780254,"DG","DG",NA,"NL 18:1",3758.420277,1.33671684604474,"610 -> 311",610,311,"DG 34:2 NL 18:1",34,2,18,1,4
"42","DG 34:2 NL 16:1","610.54107 -> 339.289941",5948.940369,11715.4008,10256.36075,10165.88085,6284.340477,9636.780613,12560.88094,5251.40036,8270.520626,10064.56068,8438.400654,10955.60085,9355.20076,8619.240635,8230.920616,12909.50085,8935.44059,9141.540657,9047.300697,"DG","DG",NA,"NL 16:1",12909.50085,2.17005047105054,"610 -> 339",610,339,"DG 34:2 NL 16:1",34,2,16,1,4
"43","DG 34:1 NL 20:0","612.55667 -> 283.22727",54431.96355,70189.4661,57010.124,75079.84521,39269.58329,55286.06295,89562.52518,23139.68173,62166.90434,92313.28646,50532.00375,58217.42536,71547.00489,48366.08352,47860.82338,96254.48749,49366.2438,40186.52336,55491.12459,"DG","DG",NA,"NL 20:0",96254.48749,1.76834494316162,"612 -> 283",612,283,"DG 34:1 NL 20:0",34,1,20,0,4
"44","DG 34:1 NL 18:1","612.55667 -> 313.25667",2629.040173,6421.280464,6891.520451,7078.960457,4405.300301,4956.240391,8543.820591,3984.480278,4724.340347,5266.200321,5081.260376,3982.580273,5297.340324,3617.220268,3683.440292,4071.600311,3104.320213,3473.760231,2937.280216,"DG","DG",NA,"NL 18:1",8543.820591,3.24978700544185,"612 -> 313",612,313,"DG 34:1 NL 18:1",34,1,18,1,4
"45","DG 34:1 NL 16:0","612.55667 -> 339.289891",3431.500256,6521.300556,6118.080387,7401.900547,4469.480309,5590.920357,8171.74065,3824.260269,5604.76041,5162.900414,4692.920341,4617.7803,4920.160309,3762.580246,4123.620285,5422.000336,3471.460251,3669.140289,3050.960194,"DG","DG",NA,"NL 16:0",8171.74065,2.38139007441764,"612 -> 339",612,339,"DG 34:1 NL 16:0",34,1,16,0,4
"46","DG 34:1 NL 16:1","612.55667 -> 341.305541",4630.740326,6838.260513,6589.020542,6800.200523,4796.840313,5665.520367,8518.20055,4190.280277,5851.080406,6885.180508,5686.36039,5341.78038,6828.540455,5683.820431,6061.320423,6871.600563,5423.300385,5492.400368,6325.860416,"DG","DG",NA,"NL 16:1",8518.20055,1.83949000598744,"612 -> 341",612,341,"DG 34:1 NL 16:1",34,1,16,1,4
"47","DG 34:0 NL 20:0","614.57237 -> 285.24297",6422.120502,7135.660538,6006.300426,6239.700382,5455.440369,5097.760368,7153.540489,3642.420238,5193.660324,7165.260551,5346.600479,5396.780334,6150.600475,4924.180332,5224.900333,8703.860611,5081.700329,4552.980305,5319.580357,"DG","DG",NA,"NL 20:0",8703.860611,1.3552938796912,"614 -> 285",614,285,"DG 34:0 NL 20:0",34,0,20,0,4
"48","DG 34:0 NL 18:0","614.57237 -> 313.27237",21570.54144,21399.32182,19695.32167,25321.50167,19806.74136,20729.82135,27433.12194,20936.48137,26951.8816,22705.38183,18792.02156,19570.38128,21566.20169,22303.16139,20556.46158,30447.44217,23606.94187,22307.76141,27157.48208,"DG","DG",NA,"NL 18:0",30447.44217,1.41152887861864,"614 -> 313",614,313,"DG 34:0 NL 18:0",34,0,18,0,4
"49","DG 34:0 NL 16:0","614.57237 -> 341.305591",23490.18171,23373.42144,24651.14198,24839.56176,19855.92139,24029.22171,39241.90315,23511.08169,29249.34226,30142.80217,22602.22157,23459.22162,26810.72203,22745.78173,26545.48166,37081.66273,24663.44169,24924.32191,35425.74253,"DG","DG",NA,"NL 16:0",39241.90315,1.67056618098847,"614 -> 341",614,341,"DG 34:0 NL 16:0",34,0,16,0,4
"50","DG 36:8 NL 22:6","626.47847 -> 281.21197",93728.68689,150649.6904,129256.4286,88390.50661,104425.9471,78518.30565,124932.0884,26037.40195,106290.3871,114961.4078,88499.16595,127636.2886,92411.54683,63916.56443,93055.70661,117689.5884,75427.00496,74825.18559,102006.8676,"DG","DG",NA,"NL 22:6",150649.6904,1.60729543321995,"626 -> 281",626,281,"DG 36:8 NL 22:6",36,8,22,6,4
"51","TG 34:1 NL 16:1","626.57237 -> 355.321241",15816.56124,30599.88213,34418.02239,26426.32198,25168.68179,22900.74155,42290.4034,8822.720631,29173.72222,28291.74207,21737.62165,39023.44256,16847.22128,23936.00162,33159.08228,22515.24172,14442.98082,33385.22239,19213.00146,"DG","DG",NA,"NL 16:1",42290.4034,2.67380518168815,"626 -> 355",626,355,"TG 34:1 NL 16:1",34,1,16,1,4
"52","DG 36:7 NL 22:5","628.49407 -> 281.21167",29871.18221,37567.56261,48318.86348,27362.5619,69796.84591,22729.72141,47479.20321,28108.88207,36724.88246,34180.62252,25003.64177,52150.22361,25093.88179,25486.58197,36554.10253,39882.50273,24360.04172,35034.86265,31798.62234,"DG","DG",NA,"NL 22:5",69796.84591,2.33659469582808,"628 -> 281",628,281,"DG 36:7 NL 22:5",36,7,22,5,4
"53","DG 36:7 NL 20:0","628.49407 -> 299.16467",3337.480247,5084.46032,4162.860306,3755.940304,3380.940224,4082.10033,4598.520309,2624.060177,4459.260342,3899.660271,3595.160263,4089.2803,3820.120274,2853.040176,3222.160221,4098.980301,3746.180267,3442.180244,3775.920258,"DG","DG",NA,"NL 20:0",5084.46032,1.5234428202445,"628 -> 299",628,299,"DG 36:7 NL 20:0",36,7,20,0,4
"54","DG 36:7 NL 16:0","628.49407 -> 355.227291",32474.26244,43476.22278,104912.0267,37893.14279,99346.64552,31764.54193,49114.90292,45018.88302,42846.18304,36132.9428,36475.62221,77185.70485,25784.42163,39978.18244,70663.28495,35394.86235,26482.52201,64449.9846,25728.86168,"DG","DG",NA,"NL 16:0",104912.0267,3.23062076910406,"628 -> 355",628,355,"DG 36:7 NL 16:0",36,7,16,0,4
"55","DG 36:7 NL 16:1","628.49407 -> 357.242941",6571.060535,8992.560627,12764.44088,7499.700436,8112.500515,7741.060482,14141.94116,4166.900314,8536.880653,9769.240631,8734.560657,11919.28094,6949.760433,8809.24065,10027.86071,8103.140583,6407.140434,11052.00074,6781.700493,"DG","DG",NA,"NL 16:1",14141.94116,2.15215505696144,"628 -> 357",628,357,"DG 36:7 NL 16:1",36,7,16,1,4
"56","DG 36:6 NL 22:5","630.50977 -> 283.22737",9639.500656,10979.84082,14651.28101,9764.900726,17213.90123,9167.940681,13128.44093,8891.140602,11266.50085,9855.940678,9493.500694,15138.041,9297.280666,10000.62072,12419.1809,12944.70094,8662.440594,11624.58082,9661.960701,"DG","DG",NA,"NL 22:5",17213.90123,1.78576690269588,"630 -> 283",630,283,"DG 36:6 NL 22:5",36,6,22,5,4
"57","DG 36:6 NL 16:0","630.50977 -> 357.242991",8879.420601,12220.52089,25232.38189,9025.760632,23361.04171,8506.280796,12871.84111,13577.22103,12355.44099,10295.36063,10544.46074,20557.38151,7627.360554,9421.620651,16112.82117,9477.480671,7609.100487,15613.98116,7936.38052,"DG","DG",NA,"NL 16:0",25232.38189,2.84166985931023,"630 -> 357",630,357,"DG 36:6 NL 16:0",36,6,16,0,4
"58","DG 36:5 NL 16:0","632.52537 -> 359.258591",2645.620209,2616.140186,3813.46027,3030.600185,3974.500294,2759.220188,3024.360214,2893.440189,2433.820179,2878.460213,2670.180199,3186.900215,2863.480206,2444.260181,3196.760239,2883.860229,2624.70018,3483.640247,2624.120178,"DG","DG",NA,"NL 16:0",3974.500294,1.50229435067035,"632 -> 359",632,359,"DG 36:5 NL 16:0",36,5,16,0,4
"59","DG 36:2 NL 18:1","638.57237 -> 339.27237",3514.76025,4291.180317,5582.880356,6346.440487,4122.740288,4586.120316,5758.780457,4107.700279,4278.960281,3963.620274,3806.500275,4195.700283,4919.980354,3510.180244,3712.020245,3902.560272,3275.220242,3431.480228,3642.140263,"DG","DG",NA,"NL 18:1",6346.440487,1.80565388122846,"638 -> 339",638,339,"DG 36:2 NL 18:1",36,2,18,1,4
"60","DG 36:1 NL 18:0","640.58797 -> 339.28797",2433.460175,2926.660187,3431.120224,3588.140232,3019.400196,3212.980244,4006.04026,2846.620205,2715.260189,3348.260223,2823.480221,2569.500164,2938.940189,2710.900185,2988.260174,3048.620224,2456.080189,2481.260159,2662.680191,"DG","DG",NA,"NL 18:0",4006.04026,1.64623210240126,"640 -> 339",640,339,"DG 36:1 NL 18:0",36,1,18,0,4
"61","DG 36:1 NL 18:1","640.58797 -> 341.28797",2700.180191,4436.920311,3899.940273,3855.200256,3163.740231,3415.140228,4837.780315,3610.280262,3414.780231,3903.600304,3328.940228,3649.180275,3267.540249,3331.820232,3231.220234,3278.280247,2877.540192,2944.68021,3360.640217,"DG","DG",NA,"NL 18:1",4837.780315,1.79165091689986,"640 -> 341",640,341,"DG 36:1 NL 18:1",36,1,18,1,4
"62","DG 36:1 NL 16:1","640.58797 -> 369.336841",2599.580181,3643.720242,3531.580238,3115.560219,2631.120178,2896.780205,2768.820194,2645.800179,2717.460197,2664.000183,2813.240192,3145.040226,3204.220219,3026.040215,2716.220188,3229.740215,2697.120193,2725.840183,2815.620193,"DG","DG",NA,"NL 16:1",3643.720242,1.40165718627626,"640 -> 369",640,369,"DG 36:1 NL 16:1",36,1,16,1,4
"63","DG 36:0 NL 18:0","642.50977 -> 341.20977",13375.26082,13366.60092,15375.26114,16480.48122,13318.24088,14068.8009,15851.14122,14745.02104,16470.32113,17605.36119,12054.76093,13607.041,14666.78093,13456.3409,14964.96109,20350.50157,15257.40112,14161.98087,18139.02146,"DG","DG",NA,"NL 18:0",20350.50157,1.5215031574988,"642 -> 341",642,341,"DG 36:0 NL 18:0",36,0,18,0,4
"64","DG 36:0 NL 16:0","642.50977 -> 369.242991",2448.360191,3191.880199,3172.920235,3596.340248,2789.760197,2852.2202,3646.440262,2829.16021,2884.860203,2709.4002,2641.960182,3022.180206,2862.760216,2829.240196,2712.040184,3218.160248,2936.240192,3067.700222,2679.520187,"DG","DG",NA,"NL 16:0",3646.440262,1.48933979379507,"642 -> 369",642,369,"DG 36:0 NL 16:0",36,0,16,0,4
