"","lipid_name","mrm","blank","s10","s11","s12","s13","s14","s15","s16","s17","s18","s1","s2","s3","s4","s5","s6","s7","s8","s9","lipid_class1","lipid_class","DG_TG_acyl_chains","NL_chain","maxvalue","max_divid_blank","mrm1","precursor","product","picked_candidate","C_total","DB_total","NL_C","NL_DB","cand_score"
"1","[CE 14:0 +NH4]","614.58757 -> 369.2",1443.360107,1946.020145,1782.020107,1603.800114,1460.680103,1646.960094,1735.800129,1663.200115,1723.060112,1622.620113,1579.720097,1671.740128,1756.600113,1549.660107,1546.700115,1573.140121,1693.140129,1445.560104,1609.360107,"CE","CE",NA,NA,1946.020145,1.3482568456494,"614 -> 369",614,369,"[CE 14:0 +NH4]",14,0,NA,NA,4
"2","[CE 16:0 +H]","625.592325 -> 369.2",1916.360138,2315.460155,2583.640198,2259.020168,1806.820114,2202.580158,2093.480156,1847.820137,1726.060131,2279.960167,2250.900158,3054.340214,2248.940155,2097.000141,2502.120155,2215.40015,1984.18013,2494.820179,1995.660152,"CE","CE",NA,NA,3054.340214,1.59382370434174,"625 -> 369",625,369,"[CE 16:0 +H]",16,0,NA,NA,4
"3","[CE 16:1 +NH4]","640.60327 -> 369.2",1627.560112,1778.880123,2094.540138,1966.460144,1659.780113,1544.760101,1968.620148,1787.100132,1645.060116,2127.460144,1922.840137,1775.980125,2086.360153,1750.880154,1990.760143,1773.820129,1612.880108,1769.900131,1715.820122,"CE","CE",NA,NA,2127.460144,1.30714689326326,"640 -> 369",640,369,"[CE 16:1 +NH4]",16,1,NA,NA,4
"4","[CE 16:0 +NH4]","642.61887 -> 369.2",1689.940109,2241.660145,2401.760155,2136.500137,2189.800148,1931.260155,2543.180183,1799.540142,2195.380173,1907.76012,1998.800144,2007.30014,2065.320141,1883.060131,1720.540115,2611.060169,1779.560135,1626.360123,2002.400139,"CE","CE",NA,NA,2611.060169,1.5450607717365,"642 -> 369",642,369,"[CE 16:0 +NH4]",16,0,NA,NA,4
"5","[CE 16:3 +K]","657.501308 -> 369.2",1694.140125,1706.740112,1816.760128,2322.160172,1999.740139,1840.480133,1764.920116,1931.12014,2099.160145,2241.440163,1955.820145,2018.080143,1916.200146,1642.500118,1630.980125,1810.060127,1684.240131,1733.620121,2016.10014,"CE","CE",NA,NA,2322.160172,1.37070135919247,"657 -> 369",657,369,"[CE 16:3 +K]",16,3,NA,NA,4
"6","[CE 18:1 +NH4]","668.63457 -> 369.2",1597.380123,3433.52026,4760.380379,4389.260319,2331.860165,1769.820133,2499.440166,2223.220161,2305.620163,2167.38015,2662.540218,2575.520164,3109.400192,2171.740154,2489.120171,2538.500183,2050.040134,1973.460136,1866.460129,"CE","CE",NA,NA,4760.380379,2.98011745010301,"668 -> 369",668,369,"[CE 18:1 +NH4]",18,1,NA,NA,4
"7","[CE 18:3 +Na]","669.55867 -> 369.2",1613.400112,2020.840153,2382.140171,2548.620167,2143.600151,2005.620152,2143.760139,2091.92017,1964.300129,1969.240135,2327.540176,2060.100132,2107.900162,2029.74012,2175.200172,2199.920158,1968.000134,1930.68013,1843.560123,"CE","CE",NA,NA,2548.620167,1.57965785922792,"669 -> 369",669,369,"[CE 18:3 +Na]",18,3,NA,NA,4
"8","[CE 18:0 +NH4]","670.65017 -> 369.2",1635.940117,2140.900158,1957.720135,1655.780109,1661.260113,1755.06012,1538.500111,1732.080128,1771.860115,1649.760098,1832.360126,1799.200127,1885.980133,1678.900112,1638.720116,1452.940109,1596.000118,1523.580116,1917.140141,"CE","CE",NA,NA,2140.900158,1.3086665800005,"670 -> 369",670,369,"[CE 18:0 +NH4]",18,0,NA,NA,4
"9","[CE 17:1 +K]_[CE 18:0 +Na]_[CE 20:3 +H]","675.608025 -> 369.2",3148.640247,3111.420219,3189.800198,3698.620274,3196.480228,3781.780258,15148.02118,3725.840248,3524.02026,3710.480274,3251.420231,2540.500172,3103.020237,2545.320164,2709.620197,3352.600269,3253.740208,3321.940254,3518.840214,"CE","CE",NA,NA,15148.02118,4.81097235367963,"675 -> 369",675,369,"[CE 18:0 +Na]",18,0,NA,NA,4
"10","[CE 20:4 +NH4]","690.61887 -> 369.2",1495.340107,1659.260117,2171.120155,1755.660126,1641.660118,1560.840122,1569.300114,1557.560108,1494.060101,1624.380104,1612.660103,1539.680099,1674.360123,1545.2001,1571.160122,1705.520126,1501.860115,1634.300117,1421.080105,"CE","CE",NA,NA,2171.120155,1.45192397691771,"690 -> 369",690,369,"[CE 20:4 +NH4]",20,4,NA,NA,4
