Lipid annotation,MRM transition,Contrast,log2 fold change,p value,BH adjusted p value
DG 30:2 NL 20:0,554.47847 -> 225.14907,WT_100_vs_WT_Veh,-0.362,0.108009389,0.514141054
DG 30:2 NL 20:0,554.47847 -> 225.14907,WT_200_vs_WT_100,0.426,0.062862468,0.301739847
DG 30:2 NL 20:0,554.47847 -> 225.14907,WT_200_vs_WT_Veh,0.0638,0.766893963,0.970438284
DG 30:2 NL 20:0,554.47847 -> 225.14907,RDH12_100_vs_WT_100,-0.186,0.393929507,0.696086676
DG 30:2 NL 20:0,554.47847 -> 225.14907,RDH12_100_vs_RDH12_Veh,-0.217,0.320707528,0.953944604
DG 30:2 NL 20:0,554.47847 -> 225.14907,RDH12_200_vs_WT_200,-0.793,0.002021979,0.012770394
DG 30:2 NL 20:0,554.47847 -> 225.14907,RDH12_200_vs_RDH12_100,-0.182,0.401962221,0.878285363
DG 30:2 NL 20:0,554.47847 -> 225.14907,RDH12_200_vs_RDH12_Veh,-0.399,0.078753087,0.334918449
DG 30:2 NL 20:0,554.47847 -> 225.14907,RDH12_Veh_vs_WT_Veh,-0.33,0.13949655,0.343751173
DG 30:3 NL 16:1,552.46277 -> 281.211641,WT_100_vs_WT_Veh,-0.295,0.363103151,0.718226012
DG 30:3 NL 16:1,552.46277 -> 281.211641,WT_200_vs_WT_100,0.317,0.329521011,0.627659068
DG 30:3 NL 16:1,552.46277 -> 281.211641,WT_200_vs_WT_Veh,0.022,0.945153531,0.989198075
DG 30:3 NL 16:1,552.46277 -> 281.211641,RDH12_100_vs_WT_100,-0.364,0.265811602,0.594361347
DG 30:3 NL 16:1,552.46277 -> 281.211641,RDH12_100_vs_RDH12_Veh,-0.282,0.38417494,0.953944604
DG 30:3 NL 16:1,552.46277 -> 281.211641,RDH12_200_vs_WT_200,-1.14,0.002568714,0.015266027
DG 30:3 NL 16:1,552.46277 -> 281.211641,RDH12_200_vs_RDH12_100,-0.463,0.162495609,0.783852927
DG 30:3 NL 16:1,552.46277 -> 281.211641,RDH12_200_vs_RDH12_Veh,-0.745,0.032251115,0.219424644
DG 30:3 NL 16:1,552.46277 -> 281.211641,RDH12_Veh_vs_WT_Veh,-0.377,0.24973703,0.475689582
DG 30:3 NL 20:0,552.46277 -> 223.13337,WT_100_vs_WT_Veh,-0.383,0.232635141,0.60687428
DG 30:3 NL 20:0,552.46277 -> 223.13337,WT_200_vs_WT_100,0.444,0.169437211,0.448214095
DG 30:3 NL 20:0,552.46277 -> 223.13337,WT_200_vs_WT_Veh,0.0616,0.843913293,0.980809545
DG 30:3 NL 20:0,552.46277 -> 223.13337,RDH12_100_vs_WT_100,-0.0713,0.819630287,0.929952993
DG 30:3 NL 20:0,552.46277 -> 223.13337,RDH12_100_vs_RDH12_Veh,-0.217,0.490371851,0.953944604
DG 30:3 NL 20:0,552.46277 -> 223.13337,RDH12_200_vs_WT_200,-1.08,0.003222255,0.017575936
DG 30:3 NL 20:0,552.46277 -> 223.13337,RDH12_200_vs_RDH12_100,-0.567,0.085272195,0.682177561
DG 30:3 NL 20:0,552.46277 -> 223.13337,RDH12_200_vs_RDH12_Veh,-0.785,0.022476435,0.197354065
DG 30:3 NL 20:0,552.46277 -> 223.13337,RDH12_Veh_vs_WT_Veh,-0.237,0.453479117,0.650408296
DG 32:1 NL 16:0,584.52537 -> 311.258591,WT_100_vs_WT_Veh,-0.254,0.031477823,0.314778233
DG 32:1 NL 16:0,584.52537 -> 311.258591,WT_200_vs_WT_100,0.0924,0.399817423,0.69871006
DG 32:1 NL 16:0,584.52537 -> 311.258591,WT_200_vs_WT_Veh,-0.161,0.151491845,0.593996817
DG 32:1 NL 16:0,584.52537 -> 311.258591,RDH12_100_vs_WT_100,0.00476,0.964917624,0.978508014
DG 32:1 NL 16:0,584.52537 -> 311.258591,RDH12_100_vs_RDH12_Veh,-0.00448,0.96701789,0.98899557
DG 32:1 NL 16:0,584.52537 -> 311.258591,RDH12_200_vs_WT_200,-0.203,0.076229215,0.199234192
DG 32:1 NL 16:0,584.52537 -> 311.258591,RDH12_200_vs_RDH12_100,-0.116,0.294808291,0.819582967
DG 32:1 NL 16:0,584.52537 -> 311.258591,RDH12_200_vs_RDH12_Veh,-0.12,0.277239155,0.57711958
DG 32:1 NL 16:0,584.52537 -> 311.258591,RDH12_Veh_vs_WT_Veh,-0.244,0.037188011,0.170303978
DG 32:1 NL 16:1,584.52537 -> 313.274241,WT_100_vs_WT_Veh,-0.253,0.088515375,0.469603161
DG 32:1 NL 16:1,584.52537 -> 313.274241,WT_200_vs_WT_100,0.0699,0.620790826,0.859556529
DG 32:1 NL 16:1,584.52537 -> 313.274241,WT_200_vs_WT_Veh,-0.183,0.207040211,0.700723836
DG 32:1 NL 16:1,584.52537 -> 313.274241,RDH12_100_vs_WT_100,0.0456,0.746343962,0.913253181
DG 32:1 NL 16:1,584.52537 -> 313.274241,RDH12_100_vs_RDH12_Veh,0.0136,0.923065726,0.986640738
DG 32:1 NL 16:1,584.52537 -> 313.274241,RDH12_200_vs_WT_200,-0.13,0.361927803,0.556812004
DG 32:1 NL 16:1,584.52537 -> 313.274241,RDH12_200_vs_RDH12_100,-0.106,0.456202366,0.897447278
DG 32:1 NL 16:1,584.52537 -> 313.274241,RDH12_200_vs_RDH12_Veh,-0.0923,0.515037348,0.781586877
DG 32:1 NL 16:1,584.52537 -> 313.274241,RDH12_Veh_vs_WT_Veh,-0.221,0.132333964,0.338625631
DG 32:5 NL 18:1,576.46277 -> 277.16277,WT_100_vs_WT_Veh,-0.0773,0.749574303,0.905526004
DG 32:5 NL 18:1,576.46277 -> 277.16277,WT_200_vs_WT_100,0.373,0.138092685,0.405601323
DG 32:5 NL 18:1,576.46277 -> 277.16277,WT_200_vs_WT_Veh,0.296,0.233114075,0.723457474
DG 32:5 NL 18:1,576.46277 -> 277.16277,RDH12_100_vs_WT_100,-0.402,0.111637807,0.427549047
DG 32:5 NL 18:1,576.46277 -> 277.16277,RDH12_100_vs_RDH12_Veh,-0.00173,0.994285874,0.998877189
DG 32:5 NL 18:1,576.46277 -> 277.16277,RDH12_200_vs_WT_200,-0.899,0.001910503,0.012505111
DG 32:5 NL 18:1,576.46277 -> 277.16277,RDH12_200_vs_RDH12_100,-0.124,0.609772768,0.978014237
DG 32:5 NL 18:1,576.46277 -> 277.16277,RDH12_200_vs_RDH12_Veh,-0.126,0.604835771,0.810030553
DG 32:5 NL 18:1,576.46277 -> 277.16277,RDH12_Veh_vs_WT_Veh,-0.478,0.063216065,0.223343256
DG 34:0 NL 18:0,614.57237 -> 313.27237,WT_100_vs_WT_Veh,0.00755,0.961673612,0.989506328
DG 34:0 NL 18:0,614.57237 -> 313.27237,WT_200_vs_WT_100,0.417,0.016921607,0.170156584
DG 34:0 NL 18:0,614.57237 -> 313.27237,WT_200_vs_WT_Veh,0.425,0.015359259,0.157980946
DG 34:0 NL 18:0,614.57237 -> 313.27237,RDH12_100_vs_WT_100,-0.402,0.020574323,0.161016442
DG 34:0 NL 18:0,614.57237 -> 313.27237,RDH12_100_vs_RDH12_Veh,0.0972,0.53899326,0.953944604
DG 34:0 NL 18:0,614.57237 -> 313.27237,RDH12_200_vs_WT_200,-0.785,0.000152508,0.00177106
DG 34:0 NL 18:0,614.57237 -> 313.27237,RDH12_200_vs_RDH12_100,0.0336,0.830797113,0.998456697
DG 34:0 NL 18:0,614.57237 -> 313.27237,RDH12_200_vs_RDH12_Veh,0.131,0.41089031,0.714689149
DG 34:0 NL 18:0,614.57237 -> 313.27237,RDH12_Veh_vs_WT_Veh,-0.491,0.006463918,0.050316473
DG 34:0 NL 20:0,614.57237 -> 285.24297,WT_100_vs_WT_Veh,-0.112,0.441455917,0.757632491
DG 34:0 NL 20:0,614.57237 -> 285.24297,WT_200_vs_WT_100,0.0512,0.722841892,0.908449181
DG 34:0 NL 20:0,614.57237 -> 285.24297,WT_200_vs_WT_Veh,-0.0609,0.67364611,0.958245892
DG 34:0 NL 20:0,614.57237 -> 285.24297,RDH12_100_vs_WT_100,-0.29,0.059204068,0.300189643
DG 34:0 NL 20:0,614.57237 -> 285.24297,RDH12_100_vs_RDH12_Veh,-0.0817,0.573014062,0.953944604
DG 34:0 NL 20:0,614.57237 -> 285.24297,RDH12_200_vs_WT_200,-0.548,0.001612024,0.011535764
DG 34:0 NL 20:0,614.57237 -> 285.24297,RDH12_200_vs_RDH12_100,-0.207,0.165391932,0.783852927
DG 34:0 NL 20:0,614.57237 -> 285.24297,RDH12_200_vs_RDH12_Veh,-0.289,0.06033165,0.285781498
DG 34:0 NL 20:0,614.57237 -> 285.24297,RDH12_Veh_vs_WT_Veh,-0.321,0.039554145,0.175796202
DG 34:1 NL 16:0,612.55667 -> 339.289891,WT_100_vs_WT_Veh,-0.327,0.020104578,0.254764581
DG 34:1 NL 16:0,612.55667 -> 339.289891,WT_200_vs_WT_100,-0.0835,0.515699451,0.796788852
DG 34:1 NL 16:0,612.55667 -> 339.289891,WT_200_vs_WT_Veh,-0.411,0.005309073,0.106181464
DG 34:1 NL 16:0,612.55667 -> 339.289891,RDH12_100_vs_WT_100,0.19,0.151374335,0.478024217
DG 34:1 NL 16:0,612.55667 -> 339.289891,RDH12_100_vs_RDH12_Veh,-0.126,0.329872011,0.953944604
DG 34:1 NL 16:0,612.55667 -> 339.289891,RDH12_200_vs_WT_200,-0.0148,0.907663994,0.952650257
DG 34:1 NL 16:0,612.55667 -> 339.289891,RDH12_200_vs_RDH12_100,-0.288,0.036898522,0.621777162
DG 34:1 NL 16:0,612.55667 -> 339.289891,RDH12_200_vs_RDH12_Veh,-0.415,0.005004748,0.094651286
DG 34:1 NL 16:0,612.55667 -> 339.289891,RDH12_Veh_vs_WT_Veh,-0.0111,0.930498456,0.96707082
DG 34:1 NL 16:1,612.55667 -> 341.305541,WT_100_vs_WT_Veh,-0.153,0.142462888,0.516053985
DG 34:1 NL 16:1,612.55667 -> 341.305541,WT_200_vs_WT_100,0.234,0.031776435,0.233459523
DG 34:1 NL 16:1,612.55667 -> 341.305541,WT_200_vs_WT_Veh,0.0813,0.422350831,0.840296399
DG 34:1 NL 16:1,612.55667 -> 341.305541,RDH12_100_vs_WT_100,-0.268,0.016195801,0.147788083
DG 34:1 NL 16:1,612.55667 -> 341.305541,RDH12_100_vs_RDH12_Veh,-0.0823,0.416753097,0.953944604
DG 34:1 NL 16:1,612.55667 -> 341.305541,RDH12_200_vs_WT_200,-0.662,8.29E-06,0.000596986
DG 34:1 NL 16:1,612.55667 -> 341.305541,RDH12_200_vs_RDH12_100,-0.16,0.124765614,0.773352052
DG 34:1 NL 16:1,612.55667 -> 341.305541,RDH12_200_vs_RDH12_Veh,-0.243,0.026762259,0.214098074
DG 34:1 NL 16:1,612.55667 -> 341.305541,RDH12_Veh_vs_WT_Veh,-0.338,0.003856896,0.035602116
DG 34:1 NL 18:1,612.55667 -> 313.25667,WT_100_vs_WT_Veh,-0.536,0.001220368,0.087866461
DG 34:1 NL 18:1,612.55667 -> 313.25667,WT_200_vs_WT_100,0.0116,0.932021298,0.994448903
DG 34:1 NL 18:1,612.55667 -> 313.25667,WT_200_vs_WT_Veh,-0.525,0.001451017,0.043530516
DG 34:1 NL 18:1,612.55667 -> 313.25667,RDH12_100_vs_WT_100,0.352,0.019341155,0.158245815
DG 34:1 NL 18:1,612.55667 -> 313.25667,RDH12_100_vs_RDH12_Veh,-0.197,0.162409333,0.931806613
DG 34:1 NL 18:1,612.55667 -> 313.25667,RDH12_200_vs_WT_200,0.0515,0.705851076,0.854806085
DG 34:1 NL 18:1,612.55667 -> 313.25667,RDH12_200_vs_RDH12_100,-0.289,0.048057439,0.626505494
DG 34:1 NL 18:1,612.55667 -> 313.25667,RDH12_200_vs_RDH12_Veh,-0.486,0.002602342,0.064173919
DG 34:1 NL 18:1,612.55667 -> 313.25667,RDH12_Veh_vs_WT_Veh,0.0125,0.926655058,0.96707082
DG 34:1 NL 20:0,612.55667 -> 283.22727,WT_100_vs_WT_Veh,-0.251,0.34558372,0.70145794
DG 34:1 NL 20:0,612.55667 -> 283.22727,WT_200_vs_WT_100,0.0745,0.776522593,0.94441937
DG 34:1 NL 20:0,612.55667 -> 283.22727,WT_200_vs_WT_Veh,-0.177,0.503669965,0.876607225
DG 34:1 NL 20:0,612.55667 -> 283.22727,RDH12_100_vs_WT_100,-0.377,0.164965588,0.500874561
DG 34:1 NL 20:0,612.55667 -> 283.22727,RDH12_100_vs_RDH12_Veh,-0.134,0.609693496,0.953944604
DG 34:1 NL 20:0,612.55667 -> 283.22727,RDH12_200_vs_WT_200,-0.671,0.020431561,0.069390207
DG 34:1 NL 20:0,612.55667 -> 283.22727,RDH12_200_vs_RDH12_100,-0.22,0.408171188,0.878285363
DG 34:1 NL 20:0,612.55667 -> 283.22727,RDH12_200_vs_RDH12_Veh,-0.354,0.190485273,0.499020176
DG 34:1 NL 20:0,612.55667 -> 283.22727,RDH12_Veh_vs_WT_Veh,-0.494,0.075395167,0.245998691
DG 34:2 NL 16:1,610.54107 -> 339.289941,WT_100_vs_WT_Veh,-0.22,0.178647893,0.531486964
DG 34:2 NL 16:1,610.54107 -> 339.289941,WT_200_vs_WT_100,0.275,0.098611175,0.381720678
DG 34:2 NL 16:1,610.54107 -> 339.289941,WT_200_vs_WT_Veh,0.0547,0.730027219,0.970284575
DG 34:2 NL 16:1,610.54107 -> 339.289941,RDH12_100_vs_WT_100,-0.365,0.033741893,0.209432439
DG 34:2 NL 16:1,610.54107 -> 339.289941,RDH12_100_vs_RDH12_Veh,-0.166,0.302806727,0.953944604
DG 34:2 NL 16:1,610.54107 -> 339.289941,RDH12_200_vs_WT_200,-0.923,3.23E-05,0.00084147
DG 34:2 NL 16:1,610.54107 -> 339.289941,RDH12_200_vs_RDH12_100,-0.283,0.089302233,0.688497329
DG 34:2 NL 16:1,610.54107 -> 339.289941,RDH12_200_vs_RDH12_Veh,-0.449,0.011579487,0.154393162
DG 34:2 NL 16:1,610.54107 -> 339.289941,RDH12_Veh_vs_WT_Veh,-0.419,0.017201821,0.103210928
DG 34:2 NL 18:1,610.54107 -> 311.24107,WT_100_vs_WT_Veh,-0.0812,0.535843334,0.811435004
DG 34:2 NL 18:1,610.54107 -> 311.24107,WT_200_vs_WT_100,0.2,0.140833793,0.405601323
DG 34:2 NL 18:1,610.54107 -> 311.24107,WT_200_vs_WT_Veh,0.118,0.370666669,0.803608775
DG 34:2 NL 18:1,610.54107 -> 311.24107,RDH12_100_vs_WT_100,-0.0636,0.627139116,0.855189703
DG 34:2 NL 18:1,610.54107 -> 311.24107,RDH12_100_vs_RDH12_Veh,0.0215,0.869201142,0.981017338
DG 34:2 NL 18:1,610.54107 -> 311.24107,RDH12_200_vs_WT_200,-0.372,0.011215193,0.043885539
DG 34:2 NL 18:1,610.54107 -> 311.24107,RDH12_200_vs_RDH12_100,-0.109,0.408299193,0.878285363
DG 34:2 NL 18:1,610.54107 -> 311.24107,RDH12_200_vs_RDH12_Veh,-0.0876,0.504773093,0.781586877
DG 34:2 NL 18:1,610.54107 -> 311.24107,RDH12_Veh_vs_WT_Veh,-0.166,0.214591399,0.438936952
DG 34:2 NL 20:0,610.54107 -> 281.21167,WT_100_vs_WT_Veh,-0.227,0.430239617,0.754357843
DG 34:2 NL 20:0,610.54107 -> 281.21167,WT_200_vs_WT_100,0.126,0.659961735,0.86850899
DG 34:2 NL 20:0,610.54107 -> 281.21167,WT_200_vs_WT_Veh,-0.101,0.722344271,0.970284575
DG 34:2 NL 20:0,610.54107 -> 281.21167,RDH12_100_vs_WT_100,-0.408,0.166958187,0.500874561
DG 34:2 NL 20:0,610.54107 -> 281.21167,RDH12_100_vs_RDH12_Veh,-0.0525,0.853813847,0.981017338
DG 34:2 NL 20:0,610.54107 -> 281.21167,RDH12_200_vs_WT_200,-0.891,0.006466918,0.029863293
DG 34:2 NL 20:0,610.54107 -> 281.21167,RDH12_200_vs_RDH12_100,-0.357,0.222143319,0.783852927
DG 34:2 NL 20:0,610.54107 -> 281.21167,RDH12_200_vs_RDH12_Veh,-0.41,0.164777018,0.459842841
DG 34:2 NL 20:0,610.54107 -> 281.21167,RDH12_Veh_vs_WT_Veh,-0.582,0.055871115,0.213974482
DG 34:3 NL 18:1,608.52537 -> 309.22537,WT_100_vs_WT_Veh,0.431,0.163351838,0.516053985
DG 34:3 NL 18:1,608.52537 -> 309.22537,WT_200_vs_WT_100,-0.325,0.286206912,0.57884544
DG 34:3 NL 18:1,608.52537 -> 309.22537,WT_200_vs_WT_Veh,0.106,0.7230866,0.970284575
DG 34:3 NL 18:1,608.52537 -> 309.22537,RDH12_100_vs_WT_100,-0.814,0.01453543,0.141425801
DG 34:3 NL 18:1,608.52537 -> 309.22537,RDH12_100_vs_RDH12_Veh,-0.0697,0.815634588,0.981017338
DG 34:3 NL 18:1,608.52537 -> 309.22537,RDH12_200_vs_WT_200,-0.497,0.111808682,0.250885797
DG 34:3 NL 18:1,608.52537 -> 309.22537,RDH12_200_vs_RDH12_100,-0.00732,0.980436243,0.998456697
DG 34:3 NL 18:1,608.52537 -> 309.22537,RDH12_200_vs_RDH12_Veh,-0.077,0.796710534,0.907644912
DG 34:3 NL 18:1,608.52537 -> 309.22537,RDH12_Veh_vs_WT_Veh,-0.314,0.302233845,0.518115163
DG 36:0 NL 16:0,642.50977 -> 369.242991,WT_100_vs_WT_Veh,-0.103,0.399528558,0.737591184
DG 36:0 NL 16:0,642.50977 -> 369.242991,WT_200_vs_WT_100,0.256,0.048767326,0.250803393
DG 36:0 NL 16:0,642.50977 -> 369.242991,WT_200_vs_WT_Veh,0.153,0.219351526,0.706475429
DG 36:0 NL 16:0,642.50977 -> 369.242991,RDH12_100_vs_WT_100,-0.0985,0.420877223,0.714697171
DG 36:0 NL 16:0,642.50977 -> 369.242991,RDH12_100_vs_RDH12_Veh,-0.0683,0.574648271,0.953944604
DG 36:0 NL 16:0,642.50977 -> 369.242991,RDH12_200_vs_WT_200,-0.448,0.001977705,0.01271382
DG 36:0 NL 16:0,642.50977 -> 369.242991,RDH12_200_vs_RDH12_100,-0.0937,0.443293677,0.893499778
DG 36:0 NL 16:0,642.50977 -> 369.242991,RDH12_200_vs_RDH12_Veh,-0.162,0.193931571,0.499020176
DG 36:0 NL 16:0,642.50977 -> 369.242991,RDH12_Veh_vs_WT_Veh,-0.133,0.280023731,0.506575594
DG 36:0 NL 18:0,642.50977 -> 341.20977,WT_100_vs_WT_Veh,0.000739,0.995448056,0.995448056
DG 36:0 NL 18:0,642.50977 -> 341.20977,WT_200_vs_WT_100,0.375,0.010292513,0.12351015
DG 36:0 NL 18:0,642.50977 -> 341.20977,WT_200_vs_WT_Veh,0.376,0.010173585,0.135647796
DG 36:0 NL 18:0,642.50977 -> 341.20977,RDH12_100_vs_WT_100,-0.439,0.003761528,0.060425571
DG 36:0 NL 18:0,642.50977 -> 341.20977,RDH12_100_vs_RDH12_Veh,0.0098,0.939675861,0.986640738
DG 36:0 NL 18:0,642.50977 -> 341.20977,RDH12_200_vs_WT_200,-0.669,0.000109672,0.001316065
DG 36:0 NL 18:0,642.50977 -> 341.20977,RDH12_200_vs_RDH12_100,0.145,0.272943509,0.818830527
DG 36:0 NL 18:0,642.50977 -> 341.20977,RDH12_200_vs_RDH12_Veh,0.155,0.24321381,0.550672777
DG 36:0 NL 18:0,642.50977 -> 341.20977,RDH12_Veh_vs_WT_Veh,-0.448,0.003258741,0.033518481
DG 36:1 NL 16:1,640.58797 -> 369.336841,WT_100_vs_WT_Veh,-0.181,0.123608242,0.515877782
DG 36:1 NL 16:1,640.58797 -> 369.336841,WT_200_vs_WT_100,0.129,0.264274299,0.568428233
DG 36:1 NL 16:1,640.58797 -> 369.336841,WT_200_vs_WT_Veh,-0.0525,0.642745863,0.948313569
DG 36:1 NL 16:1,640.58797 -> 369.336841,RDH12_100_vs_WT_100,-0.264,0.031190263,0.196991135
DG 36:1 NL 16:1,640.58797 -> 369.336841,RDH12_100_vs_RDH12_Veh,-0.234,0.052341784,0.819262707
DG 36:1 NL 16:1,640.58797 -> 369.336841,RDH12_200_vs_WT_200,-0.427,0.001666277,0.011535764
DG 36:1 NL 16:1,640.58797 -> 369.336841,RDH12_200_vs_RDH12_100,-0.0339,0.763916254,0.995250349
DG 36:1 NL 16:1,640.58797 -> 369.336841,RDH12_200_vs_RDH12_Veh,-0.268,0.029226819,0.219424644
DG 36:1 NL 16:1,640.58797 -> 369.336841,RDH12_Veh_vs_WT_Veh,-0.211,0.076532926,0.245998691
DG 36:1 NL 18:0,640.58797 -> 339.28797,WT_100_vs_WT_Veh,-0.0631,0.495457163,0.782300784
DG 36:1 NL 18:0,640.58797 -> 339.28797,WT_200_vs_WT_100,0.0277,0.763651594,0.93303036
DG 36:1 NL 18:0,640.58797 -> 339.28797,WT_200_vs_WT_Veh,-0.0355,0.700127037,0.970284575
DG 36:1 NL 18:0,640.58797 -> 339.28797,RDH12_100_vs_WT_100,0.0329,0.72044322,0.906851605
DG 36:1 NL 18:0,640.58797 -> 339.28797,RDH12_100_vs_RDH12_Veh,0.0723,0.436181107,0.953944604
DG 36:1 NL 18:0,640.58797 -> 339.28797,RDH12_200_vs_WT_200,-0.164,0.090717198,0.22105461
DG 36:1 NL 18:0,640.58797 -> 339.28797,RDH12_200_vs_RDH12_100,-0.169,0.081718935,0.681012777
DG 36:1 NL 18:0,640.58797 -> 339.28797,RDH12_200_vs_RDH12_Veh,-0.0966,0.301989805,0.584496396
DG 36:1 NL 18:0,640.58797 -> 339.28797,RDH12_Veh_vs_WT_Veh,-0.102,0.274763471,0.504513284
DG 36:1 NL 18:1,640.58797 -> 341.28797,WT_100_vs_WT_Veh,-0.219,0.141260293,0.516053985
DG 36:1 NL 18:1,640.58797 -> 341.28797,WT_200_vs_WT_100,0.157,0.281177905,0.577851318
DG 36:1 NL 18:1,640.58797 -> 341.28797,WT_200_vs_WT_Veh,-0.0614,0.668667769,0.958245892
DG 36:1 NL 18:1,640.58797 -> 341.28797,RDH12_100_vs_WT_100,-0.0249,0.861952283,0.933013703
DG 36:1 NL 18:1,640.58797 -> 341.28797,RDH12_100_vs_RDH12_Veh,-0.0763,0.595229177,0.953944604
DG 36:1 NL 18:1,640.58797 -> 341.28797,RDH12_200_vs_WT_200,-0.199,0.177211547,0.337895065
DG 36:1 NL 18:1,640.58797 -> 341.28797,RDH12_200_vs_RDH12_100,-0.0172,0.904466676,0.998456697
DG 36:1 NL 18:1,640.58797 -> 341.28797,RDH12_200_vs_RDH12_Veh,-0.0935,0.51627265,0.781586877
DG 36:1 NL 18:1,640.58797 -> 341.28797,RDH12_Veh_vs_WT_Veh,-0.167,0.25318026,0.479709967
DG 36:2 NL 18:1,638.57237 -> 339.27237,WT_100_vs_WT_Veh,-0.403,0.005778989,0.173369682
DG 36:2 NL 18:1,638.57237 -> 339.27237,WT_200_vs_WT_100,0.182,0.165479137,0.444570815
DG 36:2 NL 18:1,638.57237 -> 339.27237,WT_200_vs_WT_Veh,-0.221,0.096909305,0.471450673
DG 36:2 NL 18:1,638.57237 -> 339.27237,RDH12_100_vs_WT_100,0.145,0.263157318,0.594361347
DG 36:2 NL 18:1,638.57237 -> 339.27237,RDH12_100_vs_RDH12_Veh,-0.103,0.419497085,0.953944604
DG 36:2 NL 18:1,638.57237 -> 339.27237,RDH12_200_vs_WT_200,-0.231,0.084618091,0.211545228
DG 36:2 NL 18:1,638.57237 -> 339.27237,RDH12_200_vs_RDH12_100,-0.194,0.141515513,0.783778224
DG 36:2 NL 18:1,638.57237 -> 339.27237,RDH12_200_vs_RDH12_Veh,-0.297,0.031218097,0.219424644
DG 36:2 NL 18:1,638.57237 -> 339.27237,RDH12_Veh_vs_WT_Veh,-0.154,0.234407277,0.46112907
DG 36:5 NL 16:0,632.52537 -> 359.258591,WT_100_vs_WT_Veh,-0.185,0.396841993,0.736407822
DG 36:5 NL 16:0,632.52537 -> 359.258591,WT_200_vs_WT_100,0.298,0.180629715,0.45473215
DG 36:5 NL 16:0,632.52537 -> 359.258591,WT_200_vs_WT_Veh,0.113,0.601670807,0.91393034
DG 36:5 NL 16:0,632.52537 -> 359.258591,RDH12_100_vs_WT_100,0.0423,0.844715703,0.932814887
DG 36:5 NL 16:0,632.52537 -> 359.258591,RDH12_100_vs_RDH12_Veh,0.115,0.595770755,0.953944604
DG 36:5 NL 16:0,632.52537 -> 359.258591,RDH12_200_vs_WT_200,-0.479,0.039950432,0.123209999
DG 36:5 NL 16:0,632.52537 -> 359.258591,RDH12_200_vs_RDH12_100,-0.223,0.310889099,0.820808634
DG 36:5 NL 16:0,632.52537 -> 359.258591,RDH12_200_vs_RDH12_Veh,-0.108,0.619297054,0.815317262
DG 36:5 NL 16:0,632.52537 -> 359.258591,RDH12_Veh_vs_WT_Veh,-0.258,0.243407639,0.468718636
DG 36:6 NL 16:0,630.50977 -> 357.242991,WT_100_vs_WT_Veh,-0.313,0.57369851,0.838675574
DG 36:6 NL 16:0,630.50977 -> 357.242991,WT_200_vs_WT_100,0.167,0.763644031,0.93303036
DG 36:6 NL 16:0,630.50977 -> 357.242991,WT_200_vs_WT_Veh,-0.146,0.791555755,0.9725683
DG 36:6 NL 16:0,630.50977 -> 357.242991,RDH12_100_vs_WT_100,0.000485,0.999301131,0.999468295
DG 36:6 NL 16:0,630.50977 -> 357.242991,RDH12_100_vs_RDH12_Veh,0.0432,0.93781847,0.986640738
DG 36:6 NL 16:0,630.50977 -> 357.242991,RDH12_200_vs_WT_200,-0.377,0.49959277,0.689093476
DG 36:6 NL 16:0,630.50977 -> 357.242991,RDH12_200_vs_RDH12_100,-0.21,0.704410606,0.983273573
DG 36:6 NL 16:0,630.50977 -> 357.242991,RDH12_200_vs_RDH12_Veh,-0.167,0.762775654,0.897535955
DG 36:6 NL 16:0,630.50977 -> 357.242991,RDH12_Veh_vs_WT_Veh,-0.356,0.523290084,0.706672861
DG 36:6 NL 22:5,630.50977 -> 283.22737,WT_100_vs_WT_Veh,-0.159,0.596762448,0.844145548
DG 36:6 NL 22:5,630.50977 -> 283.22737,WT_200_vs_WT_100,0.135,0.652963351,0.867405189
DG 36:6 NL 22:5,630.50977 -> 283.22737,WT_200_vs_WT_Veh,-0.0241,0.935895473,0.989198075
DG 36:6 NL 22:5,630.50977 -> 283.22737,RDH12_100_vs_WT_100,-0.152,0.61357229,0.854555773
DG 36:6 NL 22:5,630.50977 -> 283.22737,RDH12_100_vs_RDH12_Veh,0.208,0.491021619,0.953944604
DG 36:6 NL 22:5,630.50977 -> 283.22737,RDH12_200_vs_WT_200,-0.665,0.04004325,0.123209999
DG 36:6 NL 22:5,630.50977 -> 283.22737,RDH12_200_vs_RDH12_100,-0.378,0.22033126,0.783852927
DG 36:6 NL 22:5,630.50977 -> 283.22737,RDH12_200_vs_RDH12_Veh,-0.169,0.57444861,0.801754668
DG 36:6 NL 22:5,630.50977 -> 283.22737,RDH12_Veh_vs_WT_Veh,-0.52,0.098926583,0.280480452
DG 36:7 NL 16:0,628.49407 -> 355.227291,WT_100_vs_WT_Veh,-0.118,0.84984497,0.952362392
DG 36:7 NL 16:0,628.49407 -> 355.227291,WT_200_vs_WT_100,0.0104,0.986631975,0.997868493
DG 36:7 NL 16:0,628.49407 -> 355.227291,WT_200_vs_WT_Veh,-0.108,0.862973401,0.986255315
DG 36:7 NL 16:0,628.49407 -> 355.227291,RDH12_100_vs_WT_100,-0.0973,0.87589648,0.941261889
DG 36:7 NL 16:0,628.49407 -> 355.227291,RDH12_100_vs_RDH12_Veh,0.0278,0.964375135,0.98899557
DG 36:7 NL 16:0,628.49407 -> 355.227291,RDH12_200_vs_WT_200,-0.523,0.406897772,0.589720501
