Lipid annotation,MRM transition,Contrast,log2 fold change,p value,BH adjusted p value
PC 34:5,752.523025 -> 184.07,WT_200_vs_WT_Veh,0.729,0.000319291,0.028812645
PC 34:5,752.523025 -> 184.07,RDH12_100_vs_WT_100,-0.205,0.206713862,0.557694827
PC 34:5,752.523025 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.0459,0.771915294,0.981017338
PC 34:5,752.523025 -> 184.07,RDH12_200_vs_WT_200,-0.469,0.008960459,0.037077763
PC 34:5,752.523025 -> 184.07,RDH12_200_vs_RDH12_100,0.276,0.096724448,0.703432526
PC 34:5,752.523025 -> 184.07,RDH12_200_vs_RDH12_Veh,0.23,0.160057885,0.459842841
PC 34:5,752.523025 -> 184.07,RDH12_Veh_vs_WT_Veh,0.0302,0.848443659,0.923354277
PC O-30:0,692.559425 -> 184.07,WT_100_vs_WT_Veh,0.415,0.00742504,0.186986588
PC O-30:0,692.559425 -> 184.07,WT_200_vs_WT_100,-0.298,0.041758036,0.244250672
PC O-30:0,692.559425 -> 184.07,WT_200_vs_WT_Veh,0.117,0.394596486,0.825899622
PC O-30:0,692.559425 -> 184.07,RDH12_100_vs_WT_100,0.54,0.001135869,0.045434765
PC O-30:0,692.559425 -> 184.07,RDH12_100_vs_RDH12_Veh,0.494,0.002246772,0.202209497
PC O-30:0,692.559425 -> 184.07,RDH12_200_vs_WT_200,1.03,1.68E-06,0.000302933
PC O-30:0,692.559425 -> 184.07,RDH12_200_vs_RDH12_100,0.194,0.168080628,0.783852927
PC O-30:0,692.559425 -> 184.07,RDH12_200_vs_RDH12_Veh,0.688,0.00013264,0.00955006
PC O-30:0,692.559425 -> 184.07,RDH12_Veh_vs_WT_Veh,0.46,0.003734526,0.035568757
PC O-34:4,740.559425 -> 184.07,WT_100_vs_WT_Veh,0.0819,0.613504833,0.849817274
PC O-34:4,740.559425 -> 184.07,WT_200_vs_WT_100,0.588,0.002248031,0.070912168
PC O-34:4,740.559425 -> 184.07,WT_200_vs_WT_Veh,0.67,0.000803207,0.036144318
PC O-34:4,740.559425 -> 184.07,RDH12_100_vs_WT_100,-0.242,0.148954579,0.478024217
PC O-34:4,740.559425 -> 184.07,RDH12_100_vs_RDH12_Veh,0.219,0.189411287,0.953944604
PC O-34:4,740.559425 -> 184.07,RDH12_200_vs_WT_200,-0.863,7.88E-05,0.001029821
PC O-34:4,740.559425 -> 184.07,RDH12_200_vs_RDH12_100,-0.033,0.838112228,0.998456697
PC O-34:4,740.559425 -> 184.07,RDH12_200_vs_RDH12_Veh,0.186,0.261245133,0.566576636
PC O-34:4,740.559425 -> 184.07,RDH12_Veh_vs_WT_Veh,-0.379,0.031256508,0.152058688
PC O-36:4,768.627125 -> 184.07,WT_100_vs_WT_Veh,0.782,0.000463745,0.060780291
PC O-36:4,768.627125 -> 184.07,WT_200_vs_WT_100,-0.57,0.005288698,0.095196562
PC O-36:4,768.627125 -> 184.07,WT_200_vs_WT_Veh,0.212,0.241649419,0.737363977
PC O-36:4,768.627125 -> 184.07,RDH12_100_vs_WT_100,-0.0802,0.651379755,0.881566585
PC O-36:4,768.627125 -> 184.07,RDH12_100_vs_RDH12_Veh,0.154,0.389933034,0.953944604
PC O-36:4,768.627125 -> 184.07,RDH12_200_vs_WT_200,0.859,0.000198845,0.002237012
PC O-36:4,768.627125 -> 184.07,RDH12_200_vs_RDH12_100,0.369,0.05152697,0.626505494
PC O-36:4,768.627125 -> 184.07,RDH12_200_vs_RDH12_Veh,0.523,0.00912563,0.134961527
PC O-36:4,768.627125 -> 184.07,RDH12_Veh_vs_WT_Veh,0.548,0.006827195,0.050316473
PC O-36:5,766.575025 -> 184.07,WT_100_vs_WT_Veh,0.173,0.289829758,0.681952373
PC O-36:5,766.575025 -> 184.07,WT_200_vs_WT_100,-0.0732,0.650051444,0.866777309
PC O-36:5,766.575025 -> 184.07,WT_200_vs_WT_Veh,0.1,0.535018312,0.895345573
PC O-36:5,766.575025 -> 184.07,RDH12_100_vs_WT_100,0.0709,0.660190785,0.883961311
PC O-36:5,766.575025 -> 184.07,RDH12_100_vs_RDH12_Veh,0.278,0.099328275,0.931806613
PC O-36:5,766.575025 -> 184.07,RDH12_200_vs_WT_200,0.555,0.003297167,0.017716122
PC O-36:5,766.575025 -> 184.07,RDH12_200_vs_RDH12_100,0.411,0.020484143,0.497266208
PC O-36:5,766.575025 -> 184.07,RDH12_200_vs_RDH12_Veh,0.689,0.0006065,0.024260003
PC O-36:5,766.575025 -> 184.07,RDH12_Veh_vs_WT_Veh,-0.0338,0.833711091,0.915048758
PC O-38:6,792.590725 -> 184.07,WT_100_vs_WT_Veh,0.789,0.000231404,0.060780291
PC O-38:6,792.590725 -> 184.07,WT_200_vs_WT_100,-0.396,0.028193818,0.211453636
PC O-38:6,792.590725 -> 184.07,WT_200_vs_WT_Veh,0.393,0.0290853,0.232682397
PC O-38:6,792.590725 -> 184.07,RDH12_100_vs_WT_100,-0.0743,0.654028029,0.881835544
PC O-38:6,792.590725 -> 184.07,RDH12_100_vs_RDH12_Veh,0.13,0.436012287,0.953944604
