"","name","ID","RDH12_100_vs_RDH12_Veh_p.val","RDH12_200_vs_RDH12_100_p.val","RDH12_200_vs_RDH12_Veh_p.val","RDH12_100_vs_RDH12_Veh_p.adj","RDH12_200_vs_RDH12_100_p.adj","RDH12_200_vs_RDH12_Veh_p.adj","RDH12_100_vs_RDH12_Veh_significant","RDH12_200_vs_RDH12_100_significant","RDH12_200_vs_RDH12_Veh_significant","significant","RDH12_100_vs_RDH12_Veh_ratio","RDH12_200_vs_RDH12_100_ratio","RDH12_200_vs_RDH12_Veh_ratio","RDH12_100_centered","RDH12_200_centered","RDH12_Veh_centered"
"12","[CE 24:1 +Na]","757.68387 -> 369.2",0.191032896148976,0.590660011609483,0.409957614868914,0.969,0.771,1,FALSE,FALSE,FALSE,FALSE,0.396,-0.155,0.241,0.184,0.0286,-0.212
"13","[DG 38:1","668.56177 -> 369.26177",0.693773319999702,0.263254300932241,0.146010176462079,0.987,0.631,1,FALSE,FALSE,FALSE,FALSE,-0.0442,-0.13,-0.174,0.0287,-0.102,0.0729
"14","[TG24:2]","484.36377 -> 323.222191",0.537024450460031,0.763303781521124,0.366978974953122,0.985,0.805,1,FALSE,FALSE,FALSE,FALSE,-0.156,-0.0754,-0.232,-0.0269,-0.102,0.129
"15","[TG34:2] NL 20:0","624.52027 -> 295.190891",0.251153857859171,0.579207689504251,0.527824568384507,0.975,0.768,1,FALSE,FALSE,FALSE,FALSE,0.165,-0.0769,0.0878,0.0805,0.00364,-0.0842
"16","[TG38:0] NL 20:0","684.61417 -> 355.284791",0.34841985148704,0.920920667651165,0.304049353712614,0.98,0.828,1,FALSE,FALSE,FALSE,FALSE,0.551,0.0566,0.608,0.165,0.221,-0.386
"17","[TG44:1]","766.69247 -> 577.519591",0.0791513104448799,0.240493163207361,0.476891255061817,0.94,0.612,1,FALSE,FALSE,FALSE,FALSE,-0.224,0.141,-0.0831,-0.122,0.0194,0.102
"18","[TG44:4] NL 20:0","760.64547 -> 431.316091",0.193794390792668,0.957945497333948,0.179037974539599,0.97,0.833,1,FALSE,FALSE,FALSE,FALSE,0.508,0.0195,0.528,0.163,0.182,-0.345
"19","[TG44:5] NL 20:0","758.62987 -> 429.300491",0.238186322956984,0.572164953336829,0.0997264787900248,0.974,0.766,1,FALSE,FALSE,FALSE,FALSE,0.449,0.207,0.657,0.0806,0.288,-0.369
"20","[TG46:0] NL 16:0","796.73937 -> 523.472591",0.172914578798167,0.266234541100143,0.770245348372074,0.967,0.633,1,FALSE,FALSE,FALSE,FALSE,-0.893,0.713,-0.18,-0.535,0.178,0.358
"21","[TG48:7","810.75507 -> 537.488291",0.100251843874152,0.186901404166355,0.688102387060463,0.95,0.557,1,FALSE,FALSE,FALSE,FALSE,-1.18,0.912,-0.263,-0.696,0.217,0.479
