Lipid annotation,MRM transition,Contrast,log2 fold change,p value,BH adjusted p value
[TG38:0] NL 20:0,684.61417 -> 355.284791,RDH12_200_vs_RDH12_Veh,0.643,0.232331485,0.527635881
[TG44:1],766.69247 -> 577.519591,RDH12_100_vs_RDH12_Veh,-0.115,0.136229264,0.534105211
[TG44:1],766.69247 -> 577.519591,RDH12_200_vs_RDH12_100,-0.00455,0.949533994,0.977228736
[TG44:1],766.69247 -> 577.519591,RDH12_200_vs_RDH12_Veh,-0.119,0.123224322,0.403684265
[TG44:4] NL 20:0,760.64547 -> 431.316091,RDH12_100_vs_RDH12_Veh,0.461,0.208313142,0.597480432
[TG44:4] NL 20:0,760.64547 -> 431.316091,RDH12_200_vs_RDH12_100,0.094,0.788134252,0.897092905
[TG44:4] NL 20:0,760.64547 -> 431.316091,RDH12_200_vs_RDH12_Veh,0.555,0.137507939,0.407763863
[TG44:5] NL 20:0,758.62987 -> 429.300491,RDH12_100_vs_RDH12_Veh,0.373,0.293430387,0.677357997
[TG44:5] NL 20:0,758.62987 -> 429.300491,RDH12_200_vs_RDH12_100,0.317,0.366778199,0.63100758
[TG44:5] NL 20:0,758.62987 -> 429.300491,RDH12_200_vs_RDH12_Veh,0.69,0.069624698,0.389044347
[TG46:0] NL 16:0,796.73937 -> 523.472591,RDH12_100_vs_RDH12_Veh,-0.0559,0.581463794,0.829953473
[TG46:0] NL 16:0,796.73937 -> 523.472591,RDH12_200_vs_RDH12_100,-0.133,0.206212298,0.509344376
[TG46:0] NL 16:0,796.73937 -> 523.472591,RDH12_200_vs_RDH12_Veh,-0.189,0.085811142,0.390902632
[TG48:7,810.75507 -> 537.488291,RDH12_100_vs_RDH12_Veh,-0.212,0.169545518,0.573667712
[TG48:7,810.75507 -> 537.488291,RDH12_200_vs_RDH12_100,-0.0558,0.702969808,0.850701003
[TG48:7,810.75507 -> 537.488291,RDH12_200_vs_RDH12_Veh,-0.268,0.092319841,0.390902632
[TG50:8,836.77067 -> 563.503891,RDH12_100_vs_RDH12_Veh,-0.0919,0.484299212,0.813754459
[TG50:8,836.77067 -> 563.503891,RDH12_200_vs_RDH12_100,-0.112,0.398531103,0.63100758
[TG50:8,836.77067 -> 563.503891,RDH12_200_vs_RDH12_Veh,-0.204,0.141432493,0.407763863
[TG50:9,834.75507 -> 563.503941,RDH12_100_vs_RDH12_Veh,0.228,0.099632841,0.482615795
[TG50:9,834.75507 -> 563.503941,RDH12_200_vs_RDH12_100,-0.142,0.281340007,0.595286766
[TG50:9,834.75507 -> 563.503941,RDH12_200_vs_RDH12_Veh,0.0861,0.504917777,0.755846612
CAR 20:1,454.389625 -> 85.1,RDH12_100_vs_RDH12_Veh,0.0489,0.890799775,0.92061734
CAR 20:1,454.389625 -> 85.1,RDH12_200_vs_RDH12_100,0.379,0.302761426,0.613150698
CAR 20:1,454.389625 -> 85.1,RDH12_200_vs_RDH12_Veh,0.428,0.248603964,0.543408665
CAR 22:0,484.436625 -> 85.1,RDH12_100_vs_RDH12_Veh,0.177,0.404491746,0.764451382
CAR 22:0,484.436625 -> 85.1,RDH12_200_vs_RDH12_100,0.0732,0.725752116,0.850701003
CAR 22:0,484.436625 -> 85.1,RDH12_200_vs_RDH12_Veh,0.25,0.248050223,0.543408665
Cer(d14:1/16:0),482.457325 -> 208.3,RDH12_100_vs_RDH12_Veh,0.438,0.005766966,0.247896047
Cer(d14:1/16:0),482.457325 -> 208.3,RDH12_200_vs_RDH12_100,-0.382,0.011797832,0.154719225
Cer(d14:1/16:0),482.457325 -> 208.3,RDH12_200_vs_RDH12_Veh,0.0557,0.653792864,0.802299594
Cer(d14:1/20:0),538.519925 -> 208.3,RDH12_100_vs_RDH12_Veh,0.584,0.143254935,0.54935086
Cer(d14:1/20:0),538.519925 -> 208.3,RDH12_200_vs_RDH12_100,-0.135,0.718423275,0.850701003
Cer(d14:1/20:0),538.519925 -> 208.3,RDH12_200_vs_RDH12_Veh,0.449,0.248396817,0.543408665
Cer(d14:1/24:0(2OH)),610.577425 -> 208.3,RDH12_100_vs_RDH12_Veh,0.405,0.094181013,0.482615795
Cer(d14:1/24:0(2OH)),610.577425 -> 208.3,RDH12_200_vs_RDH12_100,-0.227,0.320192366,0.62243324
Cer(d14:1/24:0(2OH)),610.577425 -> 208.3,RDH12_200_vs_RDH12_Veh,0.178,0.431059264,0.688179628
Cer(d14:2/16:0),480.441625 -> 206.3,RDH12_100_vs_RDH12_Veh,0.659,0.009004253,0.278089447
Cer(d14:2/16:0),480.441625 -> 206.3,RDH12_200_vs_RDH12_100,-0.567,0.018836962,0.179872799
Cer(d14:2/16:0),480.441625 -> 206.3,RDH12_200_vs_RDH12_Veh,0.0922,0.650361772,0.802299594
Cer(d14:2/20:0),536.504225 -> 206.3,RDH12_100_vs_RDH12_Veh,0.59,0.158971095,0.560940863
Cer(d14:2/20:0),536.504225 -> 206.3,RDH12_200_vs_RDH12_100,-0.349,0.38687675,0.63100758
Cer(d14:2/20:0),536.504225 -> 206.3,RDH12_200_vs_RDH12_Veh,0.241,0.544599144,0.777549067
Cer(d18:0/20:0(2OH)),612.593125 -> 266.3,RDH12_100_vs_RDH12_Veh,0.804,0.094573056,0.482615795
Cer(d18:0/20:0(2OH)),612.593125 -> 266.3,RDH12_200_vs_RDH12_100,-0.623,0.180974595,0.475003133
Cer(d18:0/20:0(2OH)),612.593125 -> 266.3,RDH12_200_vs_RDH12_Veh,0.181,0.682923669,0.818845371
Cer(d18:0/20:0),596.598125 -> 266.3,RDH12_100_vs_RDH12_Veh,0.268,0.199110618,0.592534007
Cer(d18:0/20:0),596.598125 -> 266.3,RDH12_200_vs_RDH12_100,-0.305,0.1499577,0.420903998
Cer(d18:0/20:0),596.598125 -> 266.3,RDH12_200_vs_RDH12_Veh,-0.0365,0.854024795,0.90533959
Cer(d18:1/16:0),538.519925 -> 264.3,RDH12_100_vs_RDH12_Veh,0.263,0.074454174,0.482615795
Cer(d18:1/16:0),538.519925 -> 264.3,RDH12_200_vs_RDH12_100,0.1,0.460321345,0.683180336
Cer(d18:1/16:0),538.519925 -> 264.3,RDH12_200_vs_RDH12_Veh,0.363,0.021547573,0.19712039
Cer(d18:1/18:0),566.551225 -> 264.3,RDH12_100_vs_RDH12_Veh,0.12,0.206639757,0.597480432
Cer(d18:1/18:0),566.551225 -> 264.3,RDH12_200_vs_RDH12_100,0.023,0.799925665,0.902199266
Cer(d18:1/18:0),566.551225 -> 264.3,RDH12_200_vs_RDH12_Veh,0.143,0.139697065,0.407763863
