Lipid annotation,MRM transition,Contrast,log2 fold change,p value,BH adjusted p value
DG 42:11 NL 16:0,704.52537 -> 431.258591,RDH12_200_vs_RDH12_Veh,-0.797,0.185546692,0.467653396
DG 42:11 NL 22:5,704.52537 -> 357.24297,RDH12_100_vs_RDH12_Veh,0.342,0.424098858,0.775943836
DG 42:11 NL 22:5,704.52537 -> 357.24297,RDH12_200_vs_RDH12_100,-0.824,0.075605367,0.303090773
DG 42:11 NL 22:5,704.52537 -> 357.24297,RDH12_200_vs_RDH12_Veh,-0.482,0.269337936,0.563783646
DG 42:6 NL 22:6,714.60367 -> 369.33717,RDH12_100_vs_RDH12_Veh,0.138,0.104271328,0.482615795
DG 42:6 NL 22:6,714.60367 -> 369.33717,RDH12_200_vs_RDH12_100,-0.167,0.057257192,0.271971664
DG 42:6 NL 22:6,714.60367 -> 369.33717,RDH12_200_vs_RDH12_Veh,-0.0287,0.714798194,0.836525667
DG O-36:4 NL 18:1,620.56177 -> 321.26177,RDH12_100_vs_RDH12_Veh,0.0899,0.478588285,0.809666482
DG O-36:4 NL 18:1,620.56177 -> 321.26177,RDH12_200_vs_RDH12_100,-0.205,0.126162658,0.392611556
DG O-36:4 NL 18:1,620.56177 -> 321.26177,RDH12_200_vs_RDH12_Veh,-0.116,0.366680948,0.645286837
LPC 14:0,468.345425 -> 184.07,RDH12_100_vs_RDH12_Veh,0.11,0.395237006,0.764451382
LPC 14:0,468.345425 -> 184.07,RDH12_200_vs_RDH12_100,0.099,0.440177457,0.675303303
LPC 14:0,468.345425 -> 184.07,RDH12_200_vs_RDH12_Veh,0.209,0.124132654,0.403684265
LPC 16:0,496.376725 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.0608,0.672730112,0.840204003
LPC 16:0,496.376725 -> 184.07,RDH12_200_vs_RDH12_100,0.56,0.003289079,0.131052066
LPC 16:0,496.376725 -> 184.07,RDH12_200_vs_RDH12_Veh,0.499,0.006312326,0.119934186
LPC 16:1,494.361025 -> 184.07,RDH12_100_vs_RDH12_Veh,0.0911,0.464640113,0.805775674
LPC 16:1,494.361025 -> 184.07,RDH12_200_vs_RDH12_100,0.19,0.147175884,0.417844176
LPC 16:1,494.361025 -> 184.07,RDH12_200_vs_RDH12_Veh,0.281,0.043970773,0.322227356
LPC 18:0,524.408025 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.274,0.004528526,0.247896047
LPC 18:0,524.408025 -> 184.07,RDH12_200_vs_RDH12_100,0.354,0.000959169,0.11845735
LPC 18:0,524.408025 -> 184.07,RDH12_200_vs_RDH12_Veh,0.0792,0.301680195,0.577635722
LPC 20:1,550.387225 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.0983,0.397022939,0.764451382
LPC 20:1,550.387225 -> 184.07,RDH12_200_vs_RDH12_100,-0.109,0.350478043,0.63100758
LPC 20:1,550.387225 -> 184.07,RDH12_200_vs_RDH12_Veh,-0.207,0.094551867,0.390902632
LPC 26:0,636.496825 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.0837,0.590311325,0.829953473
LPC 26:0,636.496825 -> 184.07,RDH12_200_vs_RDH12_100,-0.112,0.475265186,0.690532359
LPC 26:0,636.496825 -> 184.07,RDH12_200_vs_RDH12_Veh,-0.195,0.225507586,0.527635881
LPC O-18:1,508.376725 -> 184.07,RDH12_100_vs_RDH12_Veh,0.087,0.41247419,0.767066685
LPC O-18:1,508.376725 -> 184.07,RDH12_200_vs_RDH12_100,-0.0897,0.398451487,0.63100758
LPC O-18:1,508.376725 -> 184.07,RDH12_200_vs_RDH12_Veh,-0.00275,0.978889105,0.986880037
LPE 22:5,528.309025 -> 387.289025,RDH12_100_vs_RDH12_Veh,0.127,0.328973272,0.728808237
LPE 22:5,528.309025 -> 387.289025,RDH12_200_vs_RDH12_100,-0.0936,0.466733536,0.683180336
LPE 22:5,528.309025 -> 387.289025,RDH12_200_vs_RDH12_Veh,0.0336,0.791044269,0.869705649
PC 24:0,622.444825 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.0779,0.548961433,0.814588646
PC 24:0,622.444825 -> 184.07,RDH12_200_vs_RDH12_100,-0.179,0.186539692,0.475003133
PC 24:0,622.444825 -> 184.07,RDH12_200_vs_RDH12_Veh,-0.257,0.071023869,0.389044347
PC 26:0,650.476125 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.268,0.049287497,0.482615795
PC 26:0,650.476125 -> 184.07,RDH12_200_vs_RDH12_100,-0.138,0.270788023,0.584008697
PC 26:0,650.476125 -> 184.07,RDH12_200_vs_RDH12_Veh,-0.406,0.007623252,0.125529555
PC 28:0,678.543725 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.457,0.000689318,0.170261627
PC 28:0,678.543725 -> 184.07,RDH12_200_vs_RDH12_100,0.089,0.342322527,0.63100758
PC 28:0,678.543725 -> 184.07,RDH12_200_vs_RDH12_Veh,-0.368,0.002729787,0.06742574
PC 28:1,676.528125 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.3,0.079263181,0.482615795
PC 28:1,676.528125 -> 184.07,RDH12_200_vs_RDH12_100,0.0796,0.610994134,0.786018495
PC 28:1,676.528125 -> 184.07,RDH12_200_vs_RDH12_Veh,-0.22,0.179208627,0.46594243
PC 30:0,706.575025 -> 184.07,RDH12_100_vs_RDH12_Veh,0.0997,0.53728152,0.814162794
PC 30:0,706.575025 -> 184.07,RDH12_200_vs_RDH12_100,0.17,0.302851762,0.613150698
PC 30:0,706.575025 -> 184.07,RDH12_200_vs_RDH12_Veh,0.27,0.117699738,0.403684265
PC 30:1,704.559425 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.281,0.083284268,0.482615795
PC 30:1,704.559425 -> 184.07,RDH12_200_vs_RDH12_100,0.382,0.026960002,0.179872799
PC 30:1,704.559425 -> 184.07,RDH12_200_vs_RDH12_Veh,0.101,0.500323955,0.755846612
PC 30:2,702.543725 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.119,0.348544566,0.729580574
PC 30:2,702.543725 -> 184.07,RDH12_200_vs_RDH12_100,0.343,0.019469774,0.179872799
PC 30:2,702.543725 -> 184.07,RDH12_200_vs_RDH12_Veh,0.224,0.095161221,0.390902632
PC 32:1,732.590725 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.27,0.129899574,0.534105211
PC 32:1,732.590725 -> 184.07,RDH12_200_vs_RDH12_100,0.362,0.052369664,0.266549756
PC 32:1,732.590725 -> 184.07,RDH12_200_vs_RDH12_Veh,0.0925,0.580101065,0.793971778
PC 32:2,730.575025 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.0924,0.570749831,0.829953473
PC 32:2,730.575025 -> 184.07,RDH12_200_vs_RDH12_100,0.405,0.030711998,0.194509319
PC 32:2,730.575025 -> 184.07,RDH12_200_vs_RDH12_Veh,0.312,0.079036784,0.390441713
PC 32:3,728.559425 -> 184.07,RDH12_100_vs_RDH12_Veh,0.101,0.27865246,0.665891157
PC 32:3,728.559425 -> 184.07,RDH12_200_vs_RDH12_100,0.189,0.06083645,0.276940716
PC 32:3,728.559425 -> 184.07,RDH12_200_vs_RDH12_Veh,0.291,0.009636805,0.147578174
PC 32:4,726.580125 -> 184.07,RDH12_100_vs_RDH12_Veh,0.0265,0.819002995,0.898721274
PC 32:4,726.580125 -> 184.07,RDH12_200_vs_RDH12_100,0.0777,0.50726603,0.703902862
PC 32:4,726.580125 -> 184.07,RDH12_200_vs_RDH12_Veh,0.104,0.378812111,0.645286837
PC 34:0,762.637625 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.167,0.217705421,0.597480432
PC 34:0,762.637625 -> 184.07,RDH12_200_vs_RDH12_100,0.281,0.052878292,0.266549756
PC 34:0,762.637625 -> 184.07,RDH12_200_vs_RDH12_Veh,0.114,0.385886814,0.648394851
PC 34:1,760.622025 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.248,0.090150023,0.482615795
PC 34:1,760.622025 -> 184.07,RDH12_200_vs_RDH12_100,0.325,0.035002829,0.210870701
PC 34:1,760.622025 -> 184.07,RDH12_200_vs_RDH12_Veh,0.0768,0.569587576,0.793971778
PC 34:2,758.606325 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.253,0.102117083,0.482615795
PC 34:2,758.606325 -> 184.07,RDH12_200_vs_RDH12_100,0.252,0.102864343,0.351508745
PC 34:2,758.606325 -> 184.07,RDH12_200_vs_RDH12_Veh,-0.000643,0.996391985,0.996391985
PC 34:3,756.590725 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.0875,0.447388417,0.794999561
PC 34:3,756.590725 -> 184.07,RDH12_200_vs_RDH12_100,0.293,0.026980186,0.179872799
PC 34:3,756.590725 -> 184.07,RDH12_200_vs_RDH12_Veh,0.205,0.09645454,0.390902632
PC 34:4,754.611425 -> 184.07,RDH12_100_vs_RDH12_Veh,0.12,0.34323558,0.728808237
PC 34:4,754.611425 -> 184.07,RDH12_200_vs_RDH12_100,0.228,0.089564182,0.32532872
PC 34:4,754.611425 -> 184.07,RDH12_200_vs_RDH12_Veh,0.347,0.017978449,0.183485941
PC 34:6,750.507425 -> 184.07,RDH12_100_vs_RDH12_Veh,0.0996,0.405437778,0.764451382
PC 34:6,750.507425 -> 184.07,RDH12_200_vs_RDH12_100,0.0162,0.889943775,0.953774807
PC 34:6,750.507425 -> 184.07,RDH12_200_vs_RDH12_Veh,0.116,0.336750061,0.631395558
PC 36:0,790.668925 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.0604,0.60981587,0.834931143
PC 36:0,790.668925 -> 184.07,RDH12_200_vs_RDH12_100,0.243,0.063690967,0.280922659
PC 36:0,790.668925 -> 184.07,RDH12_200_vs_RDH12_Veh,0.182,0.146113064,0.407763863
PC 36:1,788.653325 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.296,0.036404516,0.467199974
PC 36:1,788.653325 -> 184.07,RDH12_200_vs_RDH12_100,0.45,0.004808181,0.131052066
PC 36:1,788.653325 -> 184.07,RDH12_200_vs_RDH12_Veh,0.154,0.229832745,0.527635881
PC 36:2,786.637625 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.407,0.010593736,0.278089447
PC 36:2,786.637625 -> 184.07,RDH12_200_vs_RDH12_100,0.114,0.386348447,0.63100758
PC 36:2,786.637625 -> 184.07,RDH12_200_vs_RDH12_Veh,-0.293,0.045352856,0.322227356
PC 36:3,784.622025 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.291,0.020156694,0.333732188
PC 36:3,784.622025 -> 184.07,RDH12_200_vs_RDH12_100,-0.00274,0.979250386,0.998054198
PC 36:3,784.622025 -> 184.07,RDH12_200_vs_RDH12_Veh,-0.294,0.01931431,0.183485941
PC 36:4,782.606325 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.043,0.643983169,0.839608583
PC 36:4,782.606325 -> 184.07,RDH12_200_vs_RDH12_100,-0.0108,0.907437569,0.953774807
PC 36:4,782.606325 -> 184.07,RDH12_200_vs_RDH12_Veh,-0.0538,0.564873917,0.79274919
PC 36:5,780.554325 -> 184.07,RDH12_100_vs_RDH12_Veh,0.0428,0.667645861,0.840204003
PC 36:5,780.554325 -> 184.07,RDH12_200_vs_RDH12_100,0.0068,0.945313001,0.976955278
PC 36:5,780.554325 -> 184.07,RDH12_200_vs_RDH12_Veh,0.0496,0.619435195,0.79409564
PC 36:6,778.538725 -> 184.07,RDH12_100_vs_RDH12_Veh,0.0225,0.844408281,0.898721274
PC 36:6,778.538725 -> 184.07,RDH12_200_vs_RDH12_100,0.104,0.376136526,0.63100758
PC 36:6,778.538725 -> 184.07,RDH12_200_vs_RDH12_Veh,0.126,0.286801493,0.571487797
PC 36:7,776.653325 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.0293,0.858618494,0.898721274
PC 36:7,776.653325 -> 184.07,RDH12_200_vs_RDH12_100,0.148,0.378455744,0.63100758
PC 36:7,776.653325 -> 184.07,RDH12_200_vs_RDH12_Veh,0.119,0.476147492,0.744357155
PC 38:0,818.736625 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.00934,0.943568125,0.959100111
PC 38:0,818.736625 -> 184.07,RDH12_200_vs_RDH12_100,0.0159,0.904090552,0.953774807
PC 38:0,818.736625 -> 184.07,RDH12_200_vs_RDH12_Veh,0.00656,0.960322822,0.976856733
PC 38:1,816.684625 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.0158,0.859234447,0.898721274
PC 38:1,816.684625 -> 184.07,RDH12_200_vs_RDH12_100,0.0612,0.496385966,0.702425713
PC 38:1,816.684625 -> 184.07,RDH12_200_vs_RDH12_Veh,0.0455,0.611211335,0.79409564
PC 38:2,814.705325 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.252,0.04600212,0.482615795
PC 38:2,814.705325 -> 184.07,RDH12_200_vs_RDH12_100,0.291,0.025749048,0.179872799
PC 38:2,814.705325 -> 184.07,RDH12_200_vs_RDH12_Veh,0.039,0.726871445,0.838959097
PC 38:3,812.616925 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.143,0.303326452,0.693718829
PC 38:3,812.616925 -> 184.07,RDH12_200_vs_RDH12_100,0.42,0.011001934,0.154719225
PC 38:3,812.616925 -> 184.07,RDH12_200_vs_RDH12_Veh,0.278,0.063165732,0.389044347
PC 38:4,810.674025 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.215,0.103917218,0.482615795
PC 38:4,810.674025 -> 184.07,RDH12_200_vs_RDH12_100,0.207,0.114364303,0.373832554
PC 38:4,810.674025 -> 184.07,RDH12_200_vs_RDH12_Veh,-0.00725,0.952437454,0.976856733
PC 38:5,808.585625 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.213,0.060578674,0.482615795
PC 38:5,808.585625 -> 184.07,RDH12_200_vs_RDH12_100,0.213,0.060045832,0.276940716
PC 38:5,808.585625 -> 184.07,RDH12_200_vs_RDH12_Veh,0.000543,0.995723548,0.996391985
PC 38:6,806.642725 -> 184.07,RDH12_100_vs_RDH12_Veh,0.0781,0.591383851,0.829953473
PC 38:6,806.642725 -> 184.07,RDH12_200_vs_RDH12_100,-0.135,0.361898738,0.63100758
PC 38:6,806.642725 -> 184.07,RDH12_200_vs_RDH12_Veh,-0.0568,0.695111003,0.821494822
PC 38:7,804.684625 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.204,0.050870576,0.482615795
PC 38:7,804.684625 -> 184.07,RDH12_200_vs_RDH12_100,0.288,0.011549011,0.154719225
PC 38:7,804.684625 -> 184.07,RDH12_200_vs_RDH12_Veh,0.0836,0.378363963,0.645286837
PC 40:0,846.731525 -> 184.07,RDH12_100_vs_RDH12_Veh,0.133,0.44610918,0.794999561
PC 40:0,846.731525 -> 184.07,RDH12_200_vs_RDH12_100,-0.123,0.481145703,0.694988238
PC 40:0,846.731525 -> 184.07,RDH12_200_vs_RDH12_Veh,0.0103,0.951883584,0.976856733
PC 40:1,844.715925 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.0197,0.82233798,0.898721274
PC 40:1,844.715925 -> 184.07,RDH12_200_vs_RDH12_100,0.0467,0.596352458,0.786018495
PC 40:1,844.715925 -> 184.07,RDH12_200_vs_RDH12_Veh,0.0271,0.757751411,0.858157461
PC 40:2,842.663925 -> 184.07,RDH12_100_vs_RDH12_Veh,0.214,0.037829957,0.467199974
PC 40:2,842.663925 -> 184.07,RDH12_200_vs_RDH12_100,-0.126,0.184683213,0.475003133
PC 40:2,842.663925 -> 184.07,RDH12_200_vs_RDH12_Veh,0.088,0.340229486,0.631395558
PC 40:3,840.648225 -> 184.07,RDH12_100_vs_RDH12_Veh,0.153,0.168886246,0.573667712
PC 40:3,840.648225 -> 184.07,RDH12_200_vs_RDH12_100,-0.102,0.344174853,0.63100758
PC 40:3,840.648225 -> 184.07,RDH12_200_vs_RDH12_Veh,0.0509,0.628893171,0.79409564
PC 40:4,838.632625 -> 184.07,RDH12_100_vs_RDH12_Veh,0.147,0.157210642,0.560940863
PC 40:4,838.632625 -> 184.07,RDH12_200_vs_RDH12_100,0.0514,0.601957421,0.786018495
PC 40:4,838.632625 -> 184.07,RDH12_200_vs_RDH12_Veh,0.198,0.067501662,0.389044347
PC 40:5,836.616925 -> 184.07,RDH12_100_vs_RDH12_Veh,0.0674,0.515209633,0.814162794
PC 40:5,836.616925 -> 184.07,RDH12_200_vs_RDH12_100,0.102,0.333312678,0.628773272
PC 40:5,836.616925 -> 184.07,RDH12_200_vs_RDH12_Veh,0.169,0.124210543,0.403684265
PC 40:6,834.601325 -> 184.07,RDH12_100_vs_RDH12_Veh,0.057,0.663792223,0.840204003
PC 40:6,834.601325 -> 184.07,RDH12_200_vs_RDH12_100,0.0985,0.457447693,0.683180336
PC 40:6,834.601325 -> 184.07,RDH12_200_vs_RDH12_Veh,0.155,0.251979102,0.545008149
PC 40:7,832.715925 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.276,0.016638031,0.333732188
PC 40:7,832.715925 -> 184.07,RDH12_200_vs_RDH12_100,0.336,0.006039002,0.135603051
PC 40:7,832.715925 -> 184.07,RDH12_200_vs_RDH12_Veh,0.0606,0.531385296,0.766055273
PC 42:1,872.710825 -> 184.07,RDH12_100_vs_RDH12_Veh,0.00276,0.975849242,0.979816109
PC 42:1,872.710825 -> 184.07,RDH12_200_vs_RDH12_100,0.0335,0.71458797,0.850701003
PC 42:1,872.710825 -> 184.07,RDH12_200_vs_RDH12_Veh,0.0363,0.692417383,0.821494822
PC 42:10,854.700225 -> 184.07,RDH12_100_vs_RDH12_Veh,0.0854,0.398394163,0.764451382
PC 42:10,854.700225 -> 184.07,RDH12_200_vs_RDH12_100,0.0306,0.758029337,0.870852308
PC 42:10,854.700225 -> 184.07,RDH12_200_vs_RDH12_Veh,0.116,0.259711616,0.548280079
PC 42:2,870.695225 -> 184.07,RDH12_100_vs_RDH12_Veh,0.0971,0.287611452,0.670188948
PC 42:2,870.695225 -> 184.07,RDH12_200_vs_RDH12_100,0.0525,0.555969188,0.742293996
PC 42:2,870.695225 -> 184.07,RDH12_200_vs_RDH12_Veh,0.15,0.116303356,0.403684265
PC 42:3,868.679525 -> 184.07,RDH12_100_vs_RDH12_Veh,0.0145,0.841870183,0.898721274
PC 42:3,868.679525 -> 184.07,RDH12_200_vs_RDH12_100,-0.117,0.13510924,0.392611556
PC 42:3,868.679525 -> 184.07,RDH12_200_vs_RDH12_Veh,-0.102,0.184320045,0.467653396
PC 42:5,864.648225 -> 184.07,RDH12_100_vs_RDH12_Veh,0.235,0.086123613,0.482615795
PC 42:5,864.648225 -> 184.07,RDH12_200_vs_RDH12_100,-0.18,0.17249058,0.468188717
PC 42:5,864.648225 -> 184.07,RDH12_200_vs_RDH12_Veh,0.0546,0.663981456,0.802706202
PC 42:6,862.632625 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.00255,0.980659255,0.980659255
PC 42:6,862.632625 -> 184.07,RDH12_200_vs_RDH12_100,-0.102,0.344382728,0.63100758
PC 42:6,862.632625 -> 184.07,RDH12_200_vs_RDH12_Veh,-0.105,0.333122629,0.631395558
PC 42:7,860.747225 -> 184.07,RDH12_100_vs_RDH12_Veh,0.0281,0.798985596,0.898721274
PC 42:7,860.747225 -> 184.07,RDH12_200_vs_RDH12_100,0.0298,0.787561297,0.897092905
PC 42:7,860.747225 -> 184.07,RDH12_200_vs_RDH12_Veh,0.0579,0.602435485,0.793971778
PC 42:8,858.731525 -> 184.07,RDH12_100_vs_RDH12_Veh,0.13,0.222383693,0.598569385
PC 42:8,858.731525 -> 184.07,RDH12_200_vs_RDH12_100,-0.0805,0.436869418,0.675303303
PC 42:8,858.731525 -> 184.07,RDH12_200_vs_RDH12_Veh,0.0493,0.629623291,0.79409564
PC 42:9,856.715925 -> 184.07,RDH12_100_vs_RDH12_Veh,0.0663,0.628032828,0.834931143
PC 42:9,856.715925 -> 184.07,RDH12_200_vs_RDH12_100,-0.113,0.416437994,0.655160412
PC 42:9,856.715925 -> 184.07,RDH12_200_vs_RDH12_Veh,-0.0464,0.733806981,0.843024764
PC O-28:0,664.528125 -> 184.07,RDH12_100_vs_RDH12_Veh,0.0278,0.831292535,0.898721274
PC O-28:0,664.528125 -> 184.07,RDH12_200_vs_RDH12_100,-0.0897,0.497670039,0.702425713
PC O-28:0,664.528125 -> 184.07,RDH12_200_vs_RDH12_Veh,-0.0619,0.637473724,0.797708213
PC O-28:1,662.512425 -> 184.07,RDH12_100_vs_RDH12_Veh,0.0769,0.462402221,0.805775674
PC O-28:1,662.512425 -> 184.07,RDH12_200_vs_RDH12_100,-0.0237,0.817971463,0.910085366
PC O-28:1,662.512425 -> 184.07,RDH12_200_vs_RDH12_Veh,0.0532,0.608296381,0.79409564
PC O-30:0,692.559425 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.028,0.862335797,0.898721274
PC O-30:0,692.559425 -> 184.07,RDH12_200_vs_RDH12_100,0.323,0.070222679,0.296445414
PC O-30:0,692.559425 -> 184.07,RDH12_200_vs_RDH12_Veh,0.295,0.093216274,0.390902632
PC O-30:1,690.543725 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.0171,0.871806385,0.904773853
PC O-30:1,690.543725 -> 184.07,RDH12_200_vs_RDH12_100,0.213,0.070411526,0.296445414
PC O-30:1,690.543725 -> 184.07,RDH12_200_vs_RDH12_Veh,0.195,0.091652343,0.390902632
PC O-32:1,718.575025 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.338,0.096953162,0.482615795
PC O-32:1,718.575025 -> 184.07,RDH12_200_vs_RDH12_100,0.495,0.02439919,0.179872799
PC O-32:1,718.575025 -> 184.07,RDH12_200_vs_RDH12_Veh,0.156,0.412029609,0.673982208
PC O-32:2,716.559425 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.295,0.09082605,0.482615795
PC O-32:2,716.559425 -> 184.07,RDH12_200_vs_RDH12_100,0.414,0.026698234,0.179872799
PC O-32:2,716.559425 -> 184.07,RDH12_200_vs_RDH12_Veh,0.119,0.465048025,0.731636065
PC O-32:3,714.543725 -> 184.07,RDH12_100_vs_RDH12_Veh,0.0724,0.577735812,0.829953473
PC O-32:3,714.543725 -> 184.07,RDH12_200_vs_RDH12_100,0.0451,0.727223335,0.850701003
PC O-32:3,714.543725 -> 184.07,RDH12_200_vs_RDH12_Veh,0.117,0.3733731,0.645286837
PC O-34:0,748.622025 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.128,0.345224954,0.728808237
PC O-34:0,748.622025 -> 184.07,RDH12_200_vs_RDH12_100,0.498,0.004112184,0.131052066
PC O-34:0,748.622025 -> 184.07,RDH12_200_vs_RDH12_Veh,0.369,0.019206989,0.183485941
PC O-34:1,746.606325 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.292,0.144566016,0.54935086
PC O-34:1,746.606325 -> 184.07,RDH12_200_vs_RDH12_100,0.499,0.023700617,0.179872799
PC O-34:1,746.606325 -> 184.07,RDH12_200_vs_RDH12_Veh,0.207,0.285829338,0.571487797
PC O-34:2,744.590725 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.261,0.071217014,0.482615795
PC O-34:2,744.590725 -> 184.07,RDH12_200_vs_RDH12_100,0.445,0.007078275,0.145694496
PC O-34:2,744.590725 -> 184.07,RDH12_200_vs_RDH12_Veh,0.185,0.181144858,0.466070625
PC O-34:3,742.575025 -> 184.07,RDH12_100_vs_RDH12_Veh,0.0359,0.715373083,0.866162507
PC O-34:3,742.575025 -> 184.07,RDH12_200_vs_RDH12_100,0.252,0.027672738,0.179872799
PC O-34:3,742.575025 -> 184.07,RDH12_200_vs_RDH12_Veh,0.288,0.015168556,0.183485941
PC O-36:1,774.637625 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.378,0.028811951,0.395363997
PC O-36:1,774.637625 -> 184.07,RDH12_200_vs_RDH12_100,0.474,0.01001305,0.154719225
PC O-36:1,774.637625 -> 184.07,RDH12_200_vs_RDH12_Veh,0.0961,0.522452798,0.763584859
PC O-36:2,772.622025 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.356,0.004919746,0.247896047
PC O-36:2,772.622025 -> 184.07,RDH12_200_vs_RDH12_100,0.351,0.005305752,0.131052066
PC O-36:2,772.622025 -> 184.07,RDH12_200_vs_RDH12_Veh,-0.00477,0.96103719,0.976856733
PC O-36:3,770.606325 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.297,0.112642974,0.488119553
PC O-36:3,770.606325 -> 184.07,RDH12_200_vs_RDH12_100,0.412,0.038161172,0.222170001
PC O-36:3,770.606325 -> 184.07,RDH12_200_vs_RDH12_Veh,0.114,0.514617061,0.761140205
PC O-36:4,768.627125 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.139,0.238821911,0.620936969
PC O-36:4,768.627125 -> 184.07,RDH12_200_vs_RDH12_100,0.0763,0.505248009,0.703902862
PC O-36:4,768.627125 -> 184.07,RDH12_200_vs_RDH12_Veh,-0.0626,0.582942025,0.793971778
PC O-36:5,766.575025 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.0887,0.440200003,0.79364526
PC O-36:5,766.575025 -> 184.07,RDH12_200_vs_RDH12_100,0.0991,0.390703025,0.63100758
PC O-36:5,766.575025 -> 184.07,RDH12_200_vs_RDH12_Veh,0.0104,0.926797353,0.969995535
PC O-36:6,764.559425 -> 184.07,RDH12_100_vs_RDH12_Veh,0.159,0.08281294,0.482615795
PC O-36:6,764.559425 -> 184.07,RDH12_200_vs_RDH12_100,0.188,0.047082262,0.252811277
PC O-36:6,764.559425 -> 184.07,RDH12_200_vs_RDH12_Veh,0.347,0.002281989,0.06742574
PC O-38:1,802.668925 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.0285,0.808447099,0.898721274
PC O-38:1,802.668925 -> 184.07,RDH12_200_vs_RDH12_100,0.221,0.086233817,0.321508727
PC O-38:1,802.668925 -> 184.07,RDH12_200_vs_RDH12_Veh,0.192,0.127467064,0.406132803
PC O-38:2,800.653325 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.0401,0.738377662,0.876823474
PC O-38:2,800.653325 -> 184.07,RDH12_200_vs_RDH12_100,0.15,0.230099867,0.536176105
PC O-38:2,800.653325 -> 184.07,RDH12_200_vs_RDH12_Veh,0.11,0.369639501,0.645286837
PC O-38:3,798.637625 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.201,0.100570608,0.482615795
PC O-38:3,798.637625 -> 184.07,RDH12_200_vs_RDH12_100,0.205,0.095990041,0.338707716
PC O-38:3,798.637625 -> 184.07,RDH12_200_vs_RDH12_Veh,0.00325,0.976993963,0.986880037
PC O-38:4,796.622025 -> 184.07,RDH12_100_vs_RDH12_Veh,0.075,0.529559392,0.814162794
PC O-38:4,796.622025 -> 184.07,RDH12_200_vs_RDH12_100,0.0719,0.546078504,0.737056779
PC O-38:4,796.622025 -> 184.07,RDH12_200_vs_RDH12_Veh,0.147,0.232843364,0.527635881
PC O-38:5,794.606325 -> 184.07,RDH12_100_vs_RDH12_Veh,0.0898,0.526908497,0.814162794
PC O-38:5,794.606325 -> 184.07,RDH12_200_vs_RDH12_100,0.128,0.372713095,0.63100758
PC O-38:5,794.606325 -> 184.07,RDH12_200_vs_RDH12_Veh,0.218,0.145698954,0.407763863
PC O-38:6,792.590725 -> 184.07,RDH12_100_vs_RDH12_Veh,0.119,0.225372279,0.598569385
PC O-38:6,792.590725 -> 184.07,RDH12_200_vs_RDH12_100,0.00176,0.985014388,0.998054198
PC O-38:6,792.590725 -> 184.07,RDH12_200_vs_RDH12_Veh,0.12,0.219158376,0.527635881
PC O-40:1,830.700225 -> 184.07,RDH12_100_vs_RDH12_Veh,-0.00523,0.963103232,0.974944665
