"","name","ID","RDH12_100_vs_RDH12_Veh_p.val","RDH12_200_vs_RDH12_100_p.val","RDH12_200_vs_RDH12_Veh_p.val","RDH12_100_vs_RDH12_Veh_p.adj","RDH12_200_vs_RDH12_100_p.adj","RDH12_200_vs_RDH12_Veh_p.adj","RDH12_100_vs_RDH12_Veh_significant","RDH12_200_vs_RDH12_100_significant","RDH12_200_vs_RDH12_Veh_significant","significant","RDH12_100_vs_RDH12_Veh_ratio","RDH12_200_vs_RDH12_100_ratio","RDH12_200_vs_RDH12_Veh_ratio","RDH12_100_centered","RDH12_200_centered","RDH12_Veh_centered"
"1","LPC 18:1","522.355925 -> 184.07",0.0644096132884406,0.000247679529246562,3.21115982747254e-05,0.798,0.0152,3.75e-10,FALSE,TRUE,TRUE,TRUE,0.278,0.816,1.09,-0.179,0.637,-0.458
"2","PC 32:0","734.606325 -> 184.07",0.0118126396553709,0.0135025272300331,0.00021691966066513,0.505,0.538,8.34e-06,FALSE,FALSE,TRUE,TRUE,0.434,0.422,0.856,0.00399,0.426,-0.43
"3","PC O-32:0","720.590725 -> 184.07",0.450365762606811,0.023446590423534,0.00718891222124373,0.935,0.615,0.0389,FALSE,FALSE,TRUE,TRUE,0.149,0.525,0.674,-0.125,0.4,-0.274
"4","[CE 16:0 +H]","625.592325 -> 369.2",0.0258757243063615,0.0871998086489602,0.455063391276528,0.678,0.802,0.642,FALSE,FALSE,FALSE,FALSE,0.478,-0.341,0.137,0.273,-0.0679,-0.205
"5","[CE 16:0 +NH4]","642.61887 -> 369.2",0.51224291481522,0.225346190803334,0.0808363973586554,0.941,0.883,0.328,FALSE,FALSE,FALSE,FALSE,-0.0602,-0.115,-0.176,0.0184,-0.097,0.0786
"6","[CE 16:1 +NH4]","640.60327 -> 369.2",0.252176712067176,0.148877376399209,0.725290778726918,0.906,0.853,0.727,FALSE,FALSE,FALSE,FALSE,0.146,-0.189,-0.0431,0.112,-0.0775,-0.0344
"7","[CE 18:1 +NH4]","668.63457 -> 369.2",0.54729474754137,0.23278680866017,0.525806999114236,0.943,0.885,0.67,FALSE,FALSE,FALSE,FALSE,0.121,-0.248,-0.127,0.123,-0.125,0.00224
"8","[CE 18:2 +NH4]","666.61887 -> 369.2",0.608588698926804,0.29256887810517,0.568811086236848,0.947,0.899,0.684,FALSE,FALSE,FALSE,FALSE,0.0396,-0.0838,-0.0442,0.0411,-0.0426,0.00152
"9","[CE 18:3 +Na]","669.55867 -> 369.2",0.752978492806477,0.702041589848444,0.490741738140047,0.954,0.938,0.656,FALSE,FALSE,FALSE,FALSE,-0.0458,-0.0558,-0.102,0.00332,-0.0525,0.0492
"10","[CE 20:1 +Na]","701.623625 -> 369.2",0.0490054378717502,0.285661456942413,0.272558861645021,0.771,0.898,0.532,FALSE,FALSE,FALSE,FALSE,0.43,-0.212,0.218,0.214,0.00211,-0.216
