"","name","ID","lipid_class1","lipid_class","contrast","p.val","p.adj","ratio"
"52","[TG44:4] NL 20:0","760.64547 -> 431.316091","TG","TG","RDH12_100_vs_RDH12_Veh",0.193794390792668,0.97,0.508
"53","[TG44:4] NL 20:0","760.64547 -> 431.316091","TG","TG","RDH12_200_vs_RDH12_100",0.957945497333948,0.833,0.0195
"54","[TG44:4] NL 20:0","760.64547 -> 431.316091","TG","TG","RDH12_200_vs_RDH12_Veh",0.179037974539599,1,0.528
"55","[TG44:5] NL 20:0","758.62987 -> 429.300491","TG","TG","RDH12_100_vs_RDH12_Veh",0.238186322956984,0.974,0.449
"56","[TG44:5] NL 20:0","758.62987 -> 429.300491","TG","TG","RDH12_200_vs_RDH12_100",0.572164953336829,0.766,0.207
"57","[TG44:5] NL 20:0","758.62987 -> 429.300491","TG","TG","RDH12_200_vs_RDH12_Veh",0.0997264787900248,1,0.657
"58","[TG46:0] NL 16:0","796.73937 -> 523.472591","TG","TG","RDH12_100_vs_RDH12_Veh",0.172914578798167,0.967,-0.893
"59","[TG46:0] NL 16:0","796.73937 -> 523.472591","TG","TG","RDH12_200_vs_RDH12_100",0.266234541100143,0.633,0.713
"60","[TG46:0] NL 16:0","796.73937 -> 523.472591","TG","TG","RDH12_200_vs_RDH12_Veh",0.770245348372074,1,-0.18
"61","[TG48:7","810.75507 -> 537.488291","TG","TG","RDH12_100_vs_RDH12_Veh",0.100251843874152,0.95,-1.18
"62","[TG48:7","810.75507 -> 537.488291","TG","TG","RDH12_200_vs_RDH12_100",0.186901404166355,0.557,0.912
"63","[TG48:7","810.75507 -> 537.488291","TG","TG","RDH12_200_vs_RDH12_Veh",0.688102387060463,1,-0.263
"64","[TG50:8","836.77067 -> 563.503891","TG","TG","RDH12_100_vs_RDH12_Veh",0.127122477243241,0.959,-0.775
"65","[TG50:8","836.77067 -> 563.503891","TG","TG","RDH12_200_vs_RDH12_100",0.208953813811783,0.582,0.622
"66","[TG50:8","836.77067 -> 563.503891","TG","TG","RDH12_200_vs_RDH12_Veh",0.744748114337384,1,-0.153
"67","[TG50:9","834.75507 -> 563.503941","TG","TG","RDH12_100_vs_RDH12_Veh",0.227415454071191,0.973,0.142
