"Lipid annotation","MRM transition","Precursor m/z","Product m/z","Lipid class","RDH12_Veh_rep1","RDH12_Veh_rep2","RDH12_Veh_rep3","RDH12_100_rep1","RDH12_100_rep2","RDH12_100_rep3","RDH12_200_rep1","RDH12_200_rep2","RDH12_200_rep3"
"PC 42:7","860.747225 -> 184.07","860","184","PC","2235.180172","2226.060154","2182.200172","2147.360176","1901.420151","2077.900135","2238.660172","2321.500168","2453.040188"
"PC 42:6","862.632625 -> 184.07","862","184","PC","2141.760147","1983.420143","2272.800163","2015.200142","1798.00013","1953.460144","1986.620132","1853.440117","2194.640179"
"PC 42:5","864.648225 -> 184.07","864","184","PC","1954.100124","1797.760124","1971.380138","2182.360146","2092.440155","1822.240124","1980.420132","1990.680141","2048.380131"
"PC 42:3","868.679525 -> 184.07","868","184","PC","2150.240162","1683.700108","2030.10014","1712.600124","1720.120129","1895.220142","1771.84013","1773.520126","1969.060131"
"PC 42:2","870.695225 -> 184.07","870","184","PC","2009.160137","1776.220131","2046.700134","1905.040127","1851.960125","1867.16013","2182.34016","2111.660156","2251.840164"
"PC 42:1","872.710825 -> 184.07","872","184","PC","1987.320145","1947.760132","2164.600147","1733.36013","1783.720131","2008.780144","2125.160141","2133.140129","2074.840134"
"PE 32:1","690.543725 -> 549.523725","690","549","PE","3069.100235","2537.960167","2498.82019","1974.140121","2450.18018","2195.160145","2361.880165","2336.280167","2240.460152"
"PE O-34:1","704.559425 -> 563.539425","704","563","PE","2517.720165","2123.56015","2414.100163","2013.140148","2107.62014","2508.240158","2232.280163","2027.980145","2054.560154"
"PE 34:2","716.559425 -> 575.539425","716","575","PE","3743.340282","2826.02021","3120.44022","2630.360188","2798.620171","2696.160183","2699.600193","2579.980183","2684.120201"
"PE 34:1","718.575025 -> 577.555025","718","577","PE","7253.780449","5629.40036","6971.600616","4723.300274","4970.760338","4793.22039","4983.920307","4391.480251","5601.18037"
"PE 34:0","720.590725 -> 579.570725","720","579","PE","2614.62019","2150.920155","2384.420143","2022.840137","2236.360149","2308.70015","2304.660156","2042.880142","2342.800171"
"PE O-36:5","724.528125 -> 583.508125","724","583","PE","2431.500172","2085.140152","2288.940166","2024.46014","2004.320141","2253.74015","1993.260143","2181.880169","2182.140152"
"PE O-36:2","730.575025 -> 589.555025","730","589","PE","2377.660172","2224.260159","2632.520172","2099.540157","2521.640182","2139.800152","2334.060165","2159.180145","2494.70018"
"PE O-36:1","732.590725 -> 591.570725","732","591","PE","2608.500191","2734.140156","3023.960232","2403.040176","2925.180214","2981.300201","2853.360184","2555.800182","2925.620197"
"PE 36:4","740.523025 -> 599.503025","740","599","PE","3153.360218","2544.580166","2932.480236","2289.560162","2418.10017","2417.400162","2408.520184","2187.100132","2138.300137"
"PE 36:3","742.575025 -> 601.555025","742","601","PE","3131.300255","2494.700157","2449.140179","2097.000134","2430.260143","2578.70018","2394.340179","2321.400158","2485.78019"
"PE 36:2","744.590725 -> 603.570725","744","603","PE","9614.440674","6814.040527","8720.380768","4300.340263","7733.740582","7115.000549","6646.620483","6423.460522","6887.020565"
"PE 36:1","746.606325 -> 605.586325","746","605","PE","8883.860485","6422.920513","7905.900505","4829.04034","6485.740479","6654.92041","6525.24049","6320.28046","6782.760529"
"PE 36:0","748.622025 -> 607.602025","748","607","PE","2863.420193","2510.520161","2844.080219","2198.120148","2089.080158","2172.860146","2664.860203","2053.220135","2487.44017"
"PE O-38:6","750.543725 -> 609.523725","750","609","PE","2844.620205","2344.120163","2288.200142","2238.160137","2131.660152","2450.240173","2264.080162","2195.480152","2576.14019"
"PE O-38:5","752.559425 -> 611.539425","752","611","PE","2673.440174","2481.040176","2361.600166","2066.380138","2082.900162","2219.620144","2368.540195","2588.580185","2425.600163"
"PE O-38:4","754.575025 -> 613.555025","754","613","PE","2255.400162","1839.320133","2704.340183","2160.900158","2197.400135","2292.280159","2132.30014","2301.280144","2218.200146"
"PE 38:6","764.523025 -> 623.503025","764","623","PE","2701.640205","2240.360161","2574.960167","2317.680153","2333.780148","2620.600197","2310.360157","2098.480148","2215.700127"
"PE 38:5","766.538725 -> 625.518725","766","625","PE","4497.380333","4095.680302","4612.760342","3170.16021","4226.780338","3949.680305","3408.900242","3353.440235","3751.88028"
"PE 38:4","768.554325 -> 627.534325","768","627","PE","7490.080536","4364.820282","5152.20042","3970.820263","5051.280426","5395.100365","4712.44035","4336.560268","5221.180378"
"PE 38:3","770.570025 -> 629.550025","770","629","PE","2924.780205","2843.280212","2766.180195","2868.400196","2302.280148","2870.560204","2667.060181","2856.220211","3391.260227"
"PE 38:2","772.622025 -> 631.602025","772","631","PE","2767.20018","2551.940178","2144.880154","2042.360146","2243.20015","2477.340176","2361.340179","2175.440159","2391.160179"
"PE O-40:6","778.575025 -> 637.555025","778","637","PE","2738.86018","2048.300144","2110.580151","2241.200157","1995.920139","2210.84016","2132.840153","2171.260162","2058.060135"
"PE 40:7","790.668925 -> 649.648925","790","649","PE","2200.580143","2360.320179","2505.840179","2295.220177","2400.280155","2358.220146","2302.580147","2553.900158","2225.860149"
"PE 40:6","792.684625 -> 651.664625","792","651","PE","4205.500298","3265.980236","2958.260235","3050.440231","3194.500259","3315.060238","2977.560238","2580.420189","3258.660217"
"PE 40:5","794.570025 -> 653.550025","794","653","PE","3698.960232","2821.580227","3400.120262","2769.240189","2468.720188","2991.040192","2602.360176","2474.660149","2580.360172"
"PG 34:1","766.59617 -> 577.555943","766","577","PG","2859.580185","2433.52018","2857.440197","2324.340157","2187.920155","2426.12019","2242.720161","2538.180172","2557.36018"
"PI 32:1","826.58097 -> 549.524698","826","549","PI","2803.32019","2539.500183","2325.700161","2298.080154","2211.940155","2301.720169","2204.200161","2274.580173","2465.080173"
"PI 34:2","852.59657 -> 575.540298","852","575","PI","2947.440228","2694.200195","2710.940197","2335.640167","2486.900173","2408.900166","2402.880154","2461.600166","2808.840195"
"PI 34:1","854.61227 -> 577.555998","854","577","PI","5082.620323","4147.720303","4167.240292","3289.700237","3666.840237","3811.540295","3815.240257","3605.840252","3929.360298"
"PI 34:0","856.62787 -> 579.571598","856","579","PI","2880.120197","2422.900166","2409.860157","2134.520161","2316.98016","2251.360153","2363.720161","2387.120152","2487.460175"
"PI O-36:1","868.62787 -> 591.571598","868","591","PI","2937.98019","2467.140163","2414.100166","2383.880188","2365.980171","2483.940178","2293.340145","2430.080185","2612.960178"
"PI 36:4","876.56017 -> 599.503898","876","599","PI","3133.420208","2451.280182","3028.680199","2496.680161","2772.480171","2874.20023","2410.900181","2522.980167","2599.600189"
"PI 36:3","878.61227 -> 601.555998","878","601","PI","3060.400227","2798.820171","2703.5602","2269.640163","2563.520172","2532.760174","2326.600182","2818.520203","2630.180168"
"PI 36:2","880.62787 -> 603.571598","880","603","PI","6042.400425","4848.560349","5517.180428","3378.080242","4028.100231","4348.920311","4271.300285","4845.060371","3678.820267"
"PI 36:1","882.64357 -> 605.587298","882","605","PI","5901.960388","4634.940315","4988.800354","4216.040279","4394.64032","4831.200371","5685.940327","4807.280304","5703.980457"
"PI 38:5","902.57587 -> 625.519598","902","625","PI","4905.02037","3926.380234","4051.460289","3306.640224","3457.160259","3374.040222","3368.300255","3704.760284","4249.400318"
"PI 38:4","904.59147 -> 627.535198","904","627","PI","7714.520515","7110.640491","7720.30048","7103.860489","7101.500484","7862.12056","8303.560566","7547.340508","8654.940563"
"PI 38:3","906.60717 -> 629.550898","906","629","PI","6051.520416","5460.880344","5997.540386","4233.600258","4267.420269","6123.500404","5184.8204","4872.20034","5489.460426"
"PI 38:2","908.65917 -> 631.602898","908","631","PI","3617.94025","3431.820267","3351.660233","2533.840187","2705.080193","3299.240219","2948.180218","3372.520248","2972.980202"
"PI 40:5","930.60717 -> 653.550898","930","653","PI","2717.400196","2535.440182","2648.660187","2617.600212","2533.240185","2870.780216","2206.620144","2390.800167","2521.880177"
"PS 28:0","680.486625 -> 495.477698","680","495","PS","5063.160351","4270.04031","5188.2603","5003.08036","4893.300343","6112.360447","6287.760506","5466.56039","5954.000427"
"PS 34:1","762.564925 -> 577.555998","762","577","PS","3705.700264","2937.900196","3464.740208","2852.760204","2914.600185","3455.580242","2911.600216","3244.000248","3654.42028"
"PS 36:8","776.580525 -> 591.571598","776","591","PS","3140.060246","2396.080177","2738.800201","2446.780155","2286.920162","2594.820194","2514.780178","2970.040195","2739.520191"
"PS 36:2","788.580525 -> 603.571598","788","603","PS","2689.680187","2676.260185","3168.140213","2751.340183","2728.68018","2861.440186","3149.360207","3065.780209","3123.820213"
"PS 36:1","790.596225 -> 605.587298","790","605","PS","6763.500408","5393.680431","6111.260406","5182.340294","4756.66032","5721.380413","5505.340382","6379.740494","7049.960457"
"PS 38:3","814.559825 -> 629.550898","814","629","PS","2254.34016","2387.780151","2454.960163","2213.00016","2236.280155","2118.220142","2065.980145","2628.120178","2066.940159"
"PS 40:6","836.544125 -> 651.535198","836","651","PS","2728.540195","2438.32016","2560.420208","2528.280155","2577.480194","2583.100166","2557.860168","2604.740181","2938.500229"
"PS 40:5","838.559825 -> 653.550898","838","653","PS","2793.900173","2433.220173","2625.700191","2469.640182","2426.360142","2328.10014","2698.360184","2596.000179","2406.740173"
"SM(32:1;O2)","675.544125 -> 184.1","675","184","SM","2307.940155","2124.240147","2504.080177","2081.840126","2305.880177","2126.380142","2311.120163","3949.260277","2464.940189"
"SM(32:0;O2)","677.559725 -> 184.1","677","184","SM","1494.620102","1453.640106","1860.00013","1516.56012","1605.540115","1581.660107","1895.340153","1661.340107","1576.380112"
"SM(34:2;O2)","701.559725 -> 184.1","701","184","SM","2951.860207","2422.820152","2827.560177","1743.640125","2373.100159","2538.120159","2371.100155","2305.980152","2711.600224"
"SM(34:1;O2)","703.575425 -> 184.1","703","184","SM","23673.68158","15236.20115","21123.62131","15916.22129","17176.4612","21588.08171","18565.38139","22569.72193","21745.20158"
"SM(34:0;O2)","705.591025 -> 184.1","705","184","SM","6772.340561","4429.100285","5519.260475","4198.08033","5192.780361","5725.540306","5971.94054","6723.560379","6503.98048"
"SM(34:1;O3)","719.606725 -> 184.1","719","184","SM","10700.9608","7666.840553","9872.520817","6422.02037","8604.500732","8483.840672","10391.36078","10128.50084","11729.66077"
