"Lipid annotation","MRM transition","Precursor m/z","Product m/z","Lipid class","RDH12_Veh_rep1","RDH12_Veh_rep2","RDH12_Veh_rep3","RDH12_100_rep1","RDH12_100_rep2","RDH12_100_rep3","RDH12_200_rep1","RDH12_200_rep2","RDH12_200_rep3"
"Cer(d18:1/22:0)","622.613825 -> 264.3","622","264","Cer","1725.020134","1655.080101","1638.240131","1400.920101","1859.020119","1530.880112","1675.720135","1624.680111","2305.500175"
"Cer(d18:1/24:1)","648.629425 -> 264.3","648","264","Cer","2156.180157","1765.760132","2114.360149","2004.30014","1890.840137","1852.220116","2111.780167","1802.440136","2540.440166"
"Cer(d18:1/24:0)","650.645125 -> 264.3","650","264","Cer","2385.020153","2251.100147","2533.720184","2210.440144","2381.540161","2066.760166","2849.320213","2904.840221","3330.600212"
"DG 30:3 NL 16:1","552.46277 -> 281.211641","552","281","DG","38204.36261","30330.68191","51477.96352","23022.46171","36838.94279","60928.62384","42796.98297","31466.56229","18561.22122"
"DG 30:2 NL 16:0","554.47847 -> 281.211691","554","281","DG","27647.92189","17990.54107","24848.76162","14704.78126","15233.20086","84284.22599","10091.86067","12061.40083","14195.16096"
"DG 30:2 NL 16:1","554.47847 -> 283.227341","554","283","DG","7639.040604","5658.380398","10310.66065","5811.100452","8230.500526","12094.70091","8027.200603","6496.860466","5157.660385"
"DG 30:1 NL 16:0","556.49407 -> 283.227291","556","283","DG","6778.940441","5290.420376","6298.280392","5525.080387","4843.120342","16228.20115","3782.420254","4294.780262","3702.76025"
"DG 32:5 NL 18:1","576.46277 -> 277.16277","576","277","DG","5041.100349","3734.120258","5201.480354","3222.700226","3892.700249","7684.600563","4665.120323","3283.660225","3281.900227"
"DG 32:0 NL 16:0","586.54107 -> 313.274291","586","313","DG","5373.000393","4621.100327","4665.360313","3195.140202","3070.980213","3618.340279","3832.6203","3452.980259","3315.54023"
"DG 34:5 NL 20:4","604.49407 -> 283.22727","604","283","DG","4839.540352","4536.620323","4795.460346","4807.200352","4494.900333","4650.000309","7669.300514","4448.880299","4616.560341"
"DG 34:2 NL 20:0","610.54107 -> 281.21167","610","281","DG","142190.41","233344.5383","0","375617.0716","246224.6204","273900.503","156300.0507","566794.1025","203600.6518"
"DG 34:2 NL 16:1","610.54107 -> 339.289941","610","339","DG","5551.360416","6682.22044","10228.22075","9046.060612","6595.500454","8069.640537","6121.660431","12563.38098","6014.020443"
"DG 34:1 NL 20:0","612.55667 -> 283.22727","612","283","DG","23148.18161","38914.12292","0","58245.00442","39910.06286","43074.60287","26553.40182","89680.3474","35262.7425"
"DG 34:1 NL 18:1","612.55667 -> 313.25667","612","313","DG","4438.280308","3947.320309","3732.860275","2691.240189","2991.820217","2710.160191","2921.920208","3093.52021","2880.800205"
"DG 34:1 NL 16:0","612.55667 -> 339.289891","612","339","DG","4557.120354","4015.620274","4901.080357","3026.76022","3145.400211","4024.640293","2890.200195","4018.220299","3624.140263"
"DG 34:1 NL 16:1","612.55667 -> 341.305541","612","341","DG","4665.060318","4992.780342","7698.260506","6194.56041","4993.180363","5822.880424","4314.680294","8203.380585","4381.440311"
"DG 34:0 NL 20:0","614.57237 -> 285.24297","614","285","DG","3716.700275","4262.760296","0","5657.140434","4863.940315","4280.280289","3544.480236","6655.840446","3994.780319"
"DG 34:0 NL 18:0","614.57237 -> 313.27237","614","313","DG","4521.980312","4787.700363","3280.88023","3024.220222","3083.460224","4342.000267","3185.860252","3197.140221","2901.840199"
"DG 34:0 NL 16:0","614.57237 -> 341.305591","614","341","DG","5408.280399","4140.300282","3786.960278","3383.200233","3551.680252","5615.640392","3274.500248","3587.040268","3063.60022"
"DG O-36:4 NL 18:1","620.56177 -> 321.26177","620","321","DG","3552.140244","2969.340206","3080.480209","2634.900173","2739.46022","3999.260284","3143.620228","2961.060196","2857.120205"
"TG 34:1 NL 16:1","626.57237 -> 355.321241","626","355","TG","34292.28247","24907.54164","48080.56341","19449.4414","25141.04181","82210.86604","39843.82286","27110.78192","24990.48177"
"DG 36:7 NL 22:5","628.49407 -> 281.21167","628","281","DG","46444.20334","44574.7231","61311.34393","43226.08326","32207.36226","110002.2068","28375.56215","46570.72311","33430.06241"
"DG 36:7 NL 16:0","628.49407 -> 355.227291","628","355","DG","135912.4498","76596.28564","108131.7082","53994.42374","62303.82418","483939.3954","41132.08296","45843.96342","56526.96391"
"DG 36:7 NL 16:1","628.49407 -> 357.242941","628","357","DG","11162.44077","8474.600636","13589.38093","6915.640469","8531.360569","21810.0816","11714.10084","9106.640617","8454.760571"
"DG 36:6 NL 22:5","630.50977 -> 283.22737","630","283","DG","12897.30083","12152.48088","15427.14107","12345.42091","11597.4408","24616.50169","9744.920673","12554.22092","10923.70074"
"DG 36:6 NL 16:0","630.50977 -> 357.242991","630","357","DG","30216.28252","18378.04101","24818.82211","13480.96084","14809.04098","103118.2865","10478.10073","11600.94092","13315.261"
"DG 36:6 NL 16:1","630.50977 -> 359.258641","630","359","DG","2822.260212","2796.920193","3446.20023","2776.340183","3040.640209","4460.320316","3690.260281","3212.340202","2975.060215"
"DG 36:5 NL 20:4","632.52537 -> 311.25857","632","311","DG","4749.860344","4676.460327","4572.120316","4451.220306","4456.840343","4464.360283","6596.400463","4639.960335","4734.000328"
"DG 36:5 NL 16:0","632.52537 -> 359.258591","632","359","DG","4326.060276","3254.260227","3626.36026","3221.420246","3382.520241","9424.280563","2866.240215","2873.420204","3097.280243"
"DG 36:2 NL 18:1","638.51487 -> 339.21487","638","339","DG","4292.600319","3161.10022","3582.020267","3070.240234","3371.000237","3131.960228","3166.400223","2967.580204","3529.42025"
"DG 36:1 NL 18:0","640.53047 -> 339.23047","640","339","DG","2452.920174","2636.980183","2887.9202","2344.480164","2235.280178","2375.660175","3095.480198","2449.060188","2310.480167"
"DG 36:1 NL 16:1","640.53047 -> 369.279341","640","369","DG","3217.100235","3007.420216","3164.240246","2954.240208","3371.480236","3171.60022","3160.780247","2962.500214","3255.620232"
"DG 36:0 NL 18:0","642.50977 -> 341.20977","642","341","DG","7814.020592","8663.880634","3088.440208","3058.380211","3382.400215","12014.76089","3388.240257","3061.020229","3120.400234"
"DG 36:0 NL 16:0","642.60367 -> 369.336891","642","369","DG","2860.060181","2768.560188","3096.540226","2787.940186","2699.200203","2690.860188","2725.980206","2924.080196","3286.780239"
"DG 38:2 NL 16:1","666.54617 -> 369.24617","666","369","DG","4230.220306","3566.480247","3979.160259","3420.260216","3495.800243","3683.04026","3621.880253","3488.920216","3718.860264"
"[DG 38:1","668.56177 -> 369.26177","668","369","DG","5900.960472","4895.940334","5635.160435","4430.220287","4811.100346","4776.580345","4229.140301","4852.140373","5915.260433"
"DG 40:7 NL 22:6","684.55667 -> 339.29017","684","339","DG","9416.220661","10620.70077","11028.88073","11043.46079","10003.98069","11751.42076","9647.800674","17041.78121","12291.14085"
"DG 40:6 NL 22:6","686.57237 -> 341.30587","686","341","DG","78715.26514","105276.0674","143713.19","135604.1502","97429.52697","156492.8319","77035.04583","318957.2634","135333.9897"
"DG 40:6 NL 20:0","686.57237 -> 357.24297","686","357","DG","31397.12268","44813.40287","0","57561.40404","41107.50333","59197.28392","30747.62209","114063.1876","47840.84365"
"DG 40:5 NL 22:5","688.58797 -> 341.30557","688","341","DG","8798.900681","9504.000633","11796.68085","11661.46091","9978.36071","12724.1609","10176.68074","18391.96133","11624.66085"
"DG 40:5 NL 20:0","688.58797 -> 359.25857","688","359","DG","3782.820236","4209.260326","0","5244.740334","4729.540321","5256.460354","4188.040287","7812.980534","4622.200336"
"DG 42:11 NL 22:5","704.52537 -> 357.24297","704","357","DG","30532.26225","25847.54187","38360.78255","26577.72196","20871.4614","81959.42577","18759.9613","26126.6218","23617.42176"
"DG 42:11 NL 16:0","704.52537 -> 431.258591","704","431","DG","10730.90077","6526.740471","8680.180634","5156.080379","5608.380432","31726.3422","4485.36031","4978.960304","5399.98037"
"DG 42:10 NL 16:0","706.54107 -> 433.274291","706","433","DG","2933.500233","2279.660156","2597.240173","2271.96014","2519.720181","5194.98035","2291.220161","2287.100159","2724.440197"
"DG 42:6 NL 22:6","714.60367 -> 369.33717","714","369","DG","10464.00075","9632.960709","9602.080654","9324.200661","9694.340694","10516.72076","9597.700672","9796.320694","10094.96074"
"LPC 14:0","468.345425 -> 184.07","468","184","LPC","1830.580132","1806.540138","1628.740112","1721.580105","1725.760136","1677.820114","2276.880169","1849.220139","2054.660145"
"LPC 16:1","494.361025 -> 184.07","494","184","LPC","1919.120132","1940.000141","1856.240143","1842.920132","1902.420151","1755.720119","2093.36013","2405.980175","2560.760185"
"LPC 16:0","496.376725 -> 184.07","496","184","LPC","4124.200294","3666.180244","3129.580212","2833.360222","2783.900185","3896.120285","5509.760391","4516.040272","5588.380436"
"LPC O-18:1","508.376725 -> 184.07","508","184","LPC","1963.160133","1578.420113","1626.140106","1740.100105","1601.020103","1597.36013","1694.920116","1716.440121","1792.760132"
"LPC 18:1","522.355925 -> 184.07","522","184","LPC","3103.120201","3304.960243","3176.240231","3066.460217","3629.200272","3848.540329","7801.140572","5844.940434","7239.820469"
"LPC 18:0","524.408025 -> 184.07","524","184","LPC","3693.440266","2939.060207","3598.940315","2376.940166","2542.7402","2692.740196","3766.540283","3412.580242","3730.140228"
"LPE 22:5","528.309025 -> 387.289025","528","387","LPE","2025.180149","2266.060169","2066.660141","2032.500145","2114.320156","2119.240166","2059.580151","2067.060158","2486.980167"
"LPC 20:1","550.387225 -> 184.07","550","184","LPC","2482.120182","2212.800156","2197.180145","2038.020149","1831.16013","1942.780125","1924.040131","2179.760174","1947.220139"
"PC 24:0","622.444825 -> 184.07","622","184","PC","2125.80014","1989.560131","2330.86018","1902.780151","1907.040134","1702.780125","1673.220119","1981.000145","1813.600121"
"LPC 26:0","636.496825 -> 184.07","636","184","LPC","2353.100174","2098.48016","2839.820194","2169.880123","2107.640163","1898.880138","1937.220146","2430.800201","2064.800152"
"PC 26:0","650.476125 -> 184.07","650","184","PC","3706.880272","3146.800232","4569.780342","2866.020195","2714.920185","2891.580223","2857.68021","2843.060211","2936.260193"
"PC(16:0/8:0(COOH))","652.455325 -> 184.07","652","184","PC","2243.880161","1757.000122","2260.58017","1978.800117","1752.060123","1736.540112","1838.860126","1810.900116","1699.000114"
"PC O-28:1","662.512425 -> 184.07","662","184","PC","2167.140152","1670.860111","1975.700142","1899.50013","1769.380127","1840.700127","1975.520134","2173.720161","1936.940151"
"PC O-28:0","664.528125 -> 184.07","664","184","PC","2864.260204","2056.700146","2367.860168","2293.40015","2303.820152","2061.620148","2313.140156","2032.84013","2715.2202"
"PC 28:1","676.528125 -> 184.07","676","184","PC","3747.440247","2844.420197","3717.960285","2218.240173","2541.720192","2776.220188","2638.140198","3761.880283","2628.520218"
"PC 28:0","678.543725 -> 184.07","678","184","PC","9556.060719","7378.460503","8375.080524","4882.900333","6118.220501","5632.880451","6878.500473","6277.040367","6624.700371"
"PC O-30:1","690.543725 -> 184.07","690","184","PC","5770.980404","3936.980289","4928.360413","4357.200272","3970.640316","4603.180325","5978.780418","5221.040359","5607.060398"
"PC O-30:0","692.559425 -> 184.07","692","184","PC","13284.62085","8679.440517","10874.72074","7302.060658","12043.94081","9914.200718","13537.44091","12213.60074","14594.10096"
"PC 30:2","702.543725 -> 184.07","702","184","PC","3281.020191","2533.460175","2662.720177","2106.260151","2608.600174","2319.960182","3793.02026","2931.500195","3303.300285"
"PC 30:1","704.559425 -> 184.07","704","184","PC","28681.80225","18414.64141","21184.68155","12821.94085","18683.22129","19176.06146","24001.66173","21831.34147","27426.90247"
"PC 30:0","706.575025 -> 184.07","706","184","PC","45360.16359","25311.54168","35454.02224","26706.16177","36626.74249","37735.42316","41885.10281","37182.00351","47676.30297"
"PC O-32:3","714.543725 -> 184.07","714","184","PC","2065.580135","1670.30011","1728.780128","1704.640133","1846.140129","1623.740105","1748.680115","1890.640129","2397.700169"
"PC O-32:2","716.559425 -> 184.07","716","184","PC","8551.280621","5054.600334","7149.48053","4247.980312","5730.620323","5063.420357","7220.140457","6399.42046","8908.540558"
"PC O-32:1","718.575025 -> 184.07","718","184","PC","52115.20366","31960.30281","38020.66308","20577.4413","33237.86224","33785.66235","45955.78236","37881.66307","52430.64319"
"PC O-32:0","720.590725 -> 184.07","720","184","PC","42631.90256","24420.74165","31847.74161","23812.30185","37966.64253","36837.24232","50143.24344","44969.883","62197.56459"
"PC 32:4","726.580125 -> 184.07","726","184","PC","1883.940136","1820.380142","1708.940136","1706.20013","1657.700108","1613.64011","1788.000122","2004.500141","2113.860172"
"PC 32:3","728.559425 -> 184.07","728","184","PC","2314.020145","1900.220127","2184.740162","1839.460121","2151.400158","2209.440147","2323.980164","2667.540176","2952.680241"
"PC 32:2","730.575025 -> 184.07","730","184","PC","14164.32112","9273.620682","9882.620789","6918.520588","9837.240696","11599.52084","13480.10107","12465.06089","15397.36105"
"PC 32:1","732.590725 -> 184.07","732","184","PC","147724.6521","86444.06632","116271.4273","64961.644","96940.36411","99196.54789","121640.7901","109258.5469","140979.3904"
"PC 32:0","734.606325 -> 184.07","734","184","PC","48246.38275","28856.46232","36626.00241","37764.18206","47528.68365","51639.94497","65612.9047","61551.70448","77985.44464"
"PC O-34:3","742.575025 -> 184.07","742","184","PC","3661.860249","3050.440201","2838.720219","2674.540184","2821.340199","3337.240238","3761.220226","3736.600235","4275.400337"
"PC O-34:2","744.590725 -> 184.07","744","184","PC","23496.66137","15117.80122","18360.72124","12141.3411","15540.84088","14808.28077","19851.70173","19643.00138","25554.3012"
"PC O-34:1","746.606325 -> 184.07","746","184","PC","95213.54672","56010.28409","70299.30606","38713.20248","61038.80423","63692.08388","84468.42739","71666.44585","99185.34548"
"PC O-34:0","748.622025 -> 184.07","748","184","PC","24550.30206","15505.92109","20209.80162","13115.68087","18161.5612","18229.52158","24021.5018","24702.48219","29088.76189"
"PC 34:6","750.507425 -> 184.07","750","184","PC","3278.240234","3334.240261","2918.400196","2977.000206","3158.280201","3076.200195","3700.280273","3257.700245","3505.400288"
"PC 34:4","754.611425 -> 184.07","754","184","PC","2375.520161","2270.340145","2790.640179","2413.860142","2174.900158","2708.960205","3137.500195","2828.16021","3636.500225"
"PC 34:3","756.590725 -> 184.07","756","184","PC","6414.080353","4576.420406","5246.120346","3765.520245","4845.56031","5185.560383","6908.060398","5717.980408","6216.100483"
"PC 34:2","758.606325 -> 184.07","758","184","PC","65309.78479","41112.58245","52422.18354","30767.92199","43788.76339","45533.90292","52297.22348","47255.08393","59211.94439"
"PC 34:1","760.622025 -> 184.07","760","184","PC","312843.6001","201522.6186","246806.7962","152136.7912","206397.0321","218095.7947","258452.4339","239664.8144","306774.2201"
"PC 34:0","762.637625 -> 184.07","762","184","PC","33412.84283","24067.58182","26645.20198","18210.82134","24613.94197","24909.88181","28749.7223","26974.64199","36494.42236"
"PC O-36:6","764.559425 -> 184.07","764","184","PC","3281.280224","2825.800217","3156.30024","2629.940186","3268.620235","3492.180267","3778.420269","3857.40028","4297.300289"
"PC O-36:5","766.575025 -> 184.07","766","184","PC","5081.620426","4236.300312","4431.840351","3635.480278","4429.660316","3630.920265","4479.040325","4393.580322","5156.820393"
"PC O-36:4","768.627125 -> 184.07","768","184","PC","10035.6808","7392.740566","8038.820595","5919.900429","7093.500523","7840.760532","7688.660561","7287.660484","9727.420628"
"PC O-36:3","770.606325 -> 184.07","770","184","PC","8836.860607","6511.780529","7680.880463","4063.220261","7128.080429","6058.580452","8207.440704","7291.780529","9753.660694"
"PC O-36:2","772.622025 -> 184.07","772","184","PC","23356.68151","17189.36108","20260.90189","11913.4409","15278.32097","15702.781","19565.80152","18805.50134","22786.86163"
"PC O-36:1","774.637625 -> 184.07","774","184","PC","32999.12186","20121.70126","27649.14174","14786.241","19564.04148","21312.38152","27982.56224","24766.48158","33680.30154"
"PC 36:7","776.653325 -> 184.07","776","184","PC","6447.160473","5622.020462","5592.400429","3793.6203","5985.080437","6191.260357","6545.920441","5432.380379","7596.400551"
"PC 36:6","778.538725 -> 184.07","778","184","PC","3318.760277","2345.64019","2717.540176","2080.740154","2673.780186","2936.500206","3354.280239","2872.500187","2971.020184"
"PC 36:5","780.554325 -> 184.07","780","184","PC","5524.980408","3771.660332","4545.66032","4170.080215","4108.34029","4454.480404","4699.940334","4364.440353","5329.78035"
"PC 36:4","782.606325 -> 184.07","782","184","PC","12970.90095","10196.8006","11259.52074","8913.020763","9324.820686","12075.78087","10529.50073","10719.16078","12282.20066"
