"Gene","Pathway","ratio","padj","ratio_display","padj_display","sig","pass_fc","pathway_highlight","sig_other","plot_group","label"
"ABCA3","Lipid synthesis",-0.14,0.868961934358825,"-0.14","0.869",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ABCB10",NA,0.52,0.162417669226701,"0.52","0.162",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ABCB6",NA,-6.55,2.60739481897216e-05,"-6.55","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"ABHD5",NA,-1.84,0.126731042763223,"-1.84","0.127",FALSE,TRUE,FALSE,FALSE,"NS",NA
"ACE2",NA,2.6,0.280757397751027,"2.60","0.281",FALSE,TRUE,FALSE,FALSE,"NS",NA
"ACOT13",NA,-0.277,0.317229251594635,"-0.28","0.317",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ACTMAP",NA,-0.336,0.296780113751598,"-0.34","0.297",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ADAM9",NA,-0.857,0.0110659989957689,"-0.86","0.011",TRUE,FALSE,FALSE,FALSE,"NS",NA
"ADAMTS1",NA,-1.78,2.13911915627425e-07,"-1.78","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"ADD1",NA,0.478,0.0113586515823637,"0.48","0.011",TRUE,FALSE,FALSE,FALSE,"NS",NA
"ADGRG6",NA,-2.86,0.0413976751951071,"-2.86","0.041",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"AGA",NA,-1.71,0.0144454651390063,"-1.71","0.014",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"AHDC1",NA,1.36,8.69361168681005e-05,"1.36","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"AIFM2",NA,-3.22,0.0215780745707114,"-3.22","0.022",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"AIRIM",NA,-0.0903,0.917274817091701,"-0.09","0.917",FALSE,FALSE,FALSE,FALSE,"NS",NA
"AKAP7",NA,-1.58,0.523678752874683,"-1.58","0.524",FALSE,TRUE,FALSE,FALSE,"NS",NA
"AKIRIN2",NA,1.16,0.0152760323942545,"1.16","0.015",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"ALDH18A1",NA,1.12,0.0255730538578602,"1.12","0.026",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"ALDH1L2",NA,0.859,0.000767091901348575,"0.86","<0.001",TRUE,FALSE,FALSE,FALSE,"NS",NA
"ALG1","N-glycans",0.844,0.045976531719952,"0.84","0.046",TRUE,FALSE,FALSE,FALSE,"NS",NA
"ALKBH8",NA,-2.74,0.241549050849738,"-2.74","0.242",FALSE,TRUE,FALSE,FALSE,"NS",NA
"AMFR",NA,1.45,3.00912726272955e-06,"1.45","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"AMMECR1",NA,0.0213,0.989338319927192,"0.02","0.989",FALSE,FALSE,FALSE,FALSE,"NS",NA
"AMOT",NA,1.69,8.14009640439082e-05,"1.69","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"AMOTL1",NA,1.45,8.76699932027283e-05,"1.45","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"ANAPC16",NA,0.623,0.0574229918573694,"0.62","0.057",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ANAPC4",NA,0.502,0.0636461785171669,"0.50","0.064",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ANGEL1",NA,-0.423,0.720306176729993,"-0.42","0.720",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ANKLE2",NA,1.31,6.99078085672707e-05,"1.31","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"ANXA4",NA,-0.264,0.208142763675929,"-0.26","0.208",FALSE,FALSE,FALSE,FALSE,"NS",NA
"APLP1",NA,-7.8,1.22468723629843e-05,"-7.80","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"APLP2",NA,-3.53,5.58334802018052e-08,"-3.53","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"APOA1",NA,-2.18,2.60739481897216e-05,"-2.18","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"APOC3",NA,-5.66,6.4854992196517e-07,"-5.66","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"APOE",NA,-2.37,1.25003112925323e-05,"-2.37","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"APOH",NA,-5.28,3.73931004732606e-05,"-5.28","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"APP",NA,-3.24,4.96632158514082e-08,"-3.24","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"ARB2A",NA,1.11,0.00861181420801956,"1.11","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"ARF3",NA,-12.8,3.76759735727754e-06,"-12.80","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
