"Gene","Pathway","ratio","padj","ratio_display","padj_display","sig","pass_fc","pathway_highlight","sig_other","plot_group","label"
"ABCA3","Lipid synthesis",1.14,0.111815276540646,"1.14","0.112",FALSE,TRUE,FALSE,FALSE,"NS",NA
"ABCB10",NA,0.905,0.0429190173611109,"0.90","0.043",TRUE,FALSE,FALSE,FALSE,"NS",NA
"ABCB6",NA,0.613,0.691028198577054,"0.61","0.691",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ABHD5",NA,0.156,0.926664521656087,"0.16","0.927",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ACE2",NA,1.8,0.505636834888671,"1.80","0.506",FALSE,TRUE,FALSE,FALSE,"NS",NA
"ACOT13",NA,1.09,0.00202252963146374,"1.09","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"ACTMAP",NA,-0.272,0.442316704362956,"-0.27","0.442",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ADAM9",NA,0.619,0.0966745603779023,"0.62","0.097",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ADAMTS1",NA,-0.0935,0.750139389418786,"-0.09","0.750",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ADD1",NA,-0.562,0.0177728241353834,"-0.56","0.018",TRUE,FALSE,FALSE,FALSE,"NS",NA
"ADGRG6",NA,0.85,0.613209246134591,"0.85","0.613",FALSE,FALSE,FALSE,FALSE,"NS",NA
"AGA",NA,0.569,0.465817007853148,"0.57","0.466",FALSE,FALSE,FALSE,FALSE,"NS",NA
"AHDC1",NA,0.505,0.119041359344874,"0.50","0.119",FALSE,FALSE,FALSE,FALSE,"NS",NA
"AIFM2",NA,0.146,0.940230012016086,"0.15","0.940",FALSE,FALSE,FALSE,FALSE,"NS",NA
"AIRIM",NA,0.265,0.720970715905642,"0.26","0.721",FALSE,FALSE,FALSE,FALSE,"NS",NA
"AKAP7",NA,0.0683,0.984396169245763,"0.07","0.984",FALSE,FALSE,FALSE,FALSE,"NS",NA
"AKIRIN2",NA,0.0721,0.91210674210168,"0.07","0.912",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ALDH18A1",NA,0.675,0.218418025344534,"0.68","0.218",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ALDH1L2",NA,0.0204,0.94930718992828,"0.02","0.949",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ALG1","N-glycans",0.181,0.732443408330963,"0.18","0.732",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ALKBH8",NA,-3.06,0.224070357174033,"-3.06","0.224",FALSE,TRUE,FALSE,FALSE,"NS",NA
"AMFR",NA,0.228,0.377886685862536,"0.23","0.378",FALSE,FALSE,FALSE,FALSE,"NS",NA
"AMMECR1",NA,0.429,0.73634904285957,"0.43","0.736",FALSE,FALSE,FALSE,FALSE,"NS",NA
"AMOT",NA,0.329,0.416962521900577,"0.33","0.417",FALSE,FALSE,FALSE,FALSE,"NS",NA
"AMOTL1",NA,0.0218,0.960645160546631,"0.02","0.961",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ANAPC16",NA,0.335,0.364303034697321,"0.34","0.364",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ANAPC4",NA,0.0911,0.796071561944013,"0.09","0.796",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ANGEL1",NA,-0.03,0.983979694312223,"-0.03","0.984",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ANKLE2",NA,0.0585,0.874180196309604,"0.06","0.874",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ANXA4",NA,0.602,0.0213658001670535,"0.60","0.021",TRUE,FALSE,FALSE,FALSE,"NS",NA
"APLP1",NA,0.451,0.802727560316382,"0.45","0.803",FALSE,FALSE,FALSE,FALSE,"NS",NA
"APLP2",NA,0.462,0.316222975295846,"0.46","0.316",FALSE,FALSE,FALSE,FALSE,"NS",NA
"APOA1",NA,0.371,0.431905366669568,"0.37","0.432",FALSE,FALSE,FALSE,FALSE,"NS",NA
"APOC3",NA,2.39,0.0196420466275952,"2.39","0.020",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"APOE",NA,0.922,0.0634611324726767,"0.92","0.063",FALSE,FALSE,FALSE,FALSE,"NS",NA
"APOH",NA,2.64,0.0363066613432751,"2.64","0.036",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"APP",NA,0.302,0.482452683006484,"0.30","0.482",FALSE,FALSE,FALSE,FALSE,"NS",NA
