"Gene","Pathway","ratio","padj","ratio_display","padj_display","sig","pass_fc","pathway_highlight","sig_other","plot_group","label"
"ABCA3","Lipid synthesis",-0.42,0.999855980822395,"-0.42","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ABCB10",NA,-0.327,0.999855980822395,"-0.33","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ABCB6",NA,0.623,0.999855980822395,"0.62","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ABHD5",NA,-1.51,0.999855980822395,"-1.51","1.000",FALSE,TRUE,FALSE,FALSE,"NS",NA
"ACE2",NA,5.12,0.442966329794646,"5.12","0.443",FALSE,TRUE,FALSE,FALSE,"NS",NA
"ACOT13",NA,-0.128,0.999855980822395,"-0.13","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ACTMAP",NA,-0.289,0.999855980822395,"-0.29","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ADAM9",NA,-0.00918,0.999855980822395,"-0.01","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ADAMTS1",NA,-0.169,0.999855980822395,"-0.17","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ADD1",NA,-0.119,0.999855980822395,"-0.12","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ADGRG6",NA,-4,0.0697348582464525,"-4.00","0.070",FALSE,TRUE,FALSE,FALSE,"NS",NA
"AGA",NA,-2,0.0594503109420945,"-2.00","0.059",FALSE,TRUE,FALSE,FALSE,"NS",NA
"AHDC1",NA,-0.0281,0.999855980822395,"-0.03","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"AIFM2",NA,-4.69,0.0163399437141429,"-4.69","0.016",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"AIRIM",NA,-0.473,0.999855980822395,"-0.47","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"AKAP7",NA,-5.01,0.381789101256772,"-5.01","0.382",FALSE,TRUE,FALSE,FALSE,"NS",NA
"AKIRIN2",NA,-0.19,0.999855980822395,"-0.19","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ALDH18A1",NA,-0.0208,0.999855980822395,"-0.02","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ALDH1L2",NA,-0.18,0.999855980822395,"-0.18","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ALG1","N-glycans",-0.0463,0.999855980822395,"-0.05","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ALKBH8",NA,-4.38,0.795820513247683,"-4.38","0.796",FALSE,TRUE,FALSE,FALSE,"NS",NA
"AMFR",NA,-0.175,0.999855980822395,"-0.17","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"AMMECR1",NA,-0.061,0.999855980822395,"-0.06","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"AMOT",NA,-0.252,0.999855980822395,"-0.25","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"AMOTL1",NA,-0.317,0.999855980822395,"-0.32","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ANAPC16",NA,-0.297,0.999855980822395,"-0.30","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ANAPC4",NA,0.108,0.999855980822395,"0.11","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
