"Gene","Pathway","ratio","padj","ratio_display","padj_display","sig","pass_fc","pathway_highlight","sig_other","plot_group","label"
"ARAF",NA,-0.188,0.546851672208063,"-0.19","0.547",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARAP1",NA,-0.201,0.773319602172195,"-0.20","0.773",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARCN1",NA,-0.157,0.514934395811029,"-0.16","0.515",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARF1",NA,-1.59,0.0356284027607413,"-1.59","0.036",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"ARF4",NA,-0.802,0.0753120066500278,"-0.80","0.075",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARF5",NA,-0.824,0.101612988111566,"-0.82","0.102",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARF6",NA,-0.682,0.239478732502837,"-0.68","0.239",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARFGAP1",NA,0.00733,0.980018448667069,"0.01","0.980",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARFGAP2",NA,-0.481,0.011060241763944,"-0.48","0.011",TRUE,FALSE,FALSE,FALSE,"NS",NA
"ARFGAP3",NA,-0.744,0.00169419597110806,"-0.74","<0.01",TRUE,FALSE,FALSE,FALSE,"NS",NA
"ARFGEF1",NA,-0.281,0.488614160338743,"-0.28","0.489",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARFGEF2",NA,-0.586,0.0169400632968304,"-0.59","0.017",TRUE,FALSE,FALSE,FALSE,"NS",NA
"ARFGEF3",NA,-0.0556,0.946719186653018,"-0.06","0.947",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARFIP1",NA,-0.625,0.030211215134303,"-0.62","0.030",TRUE,FALSE,FALSE,FALSE,"NS",NA
"ARFIP2",NA,-0.653,0.0424018952770612,"-0.65","0.042",TRUE,FALSE,FALSE,FALSE,"NS",NA
"ARFRP1",NA,-0.0902,0.915575199799718,"-0.09","0.916",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARG2",NA,0.229,0.401163008271418,"0.23","0.401",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARGLU1",NA,-0.483,0.471363721801336,"-0.48","0.471",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARHGAP1",NA,0.126,0.861757516698555,"0.13","0.862",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARHGAP10",NA,0.24,0.529062680340623,"0.24","0.529",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARHGAP11A",NA,0.04,0.975265558012112,"0.04","0.975",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARHGAP12",NA,-0.484,0.647640732990671,"-0.48","0.648",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARHGAP17",NA,-0.794,0.00907015320904139,"-0.79","<0.01",TRUE,FALSE,FALSE,FALSE,"NS",NA
"ARHGAP18",NA,-0.41,0.547961047902189,"-0.41","0.548",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARHGAP19",NA,-0.412,0.220456116841056,"-0.41","0.220",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARHGAP21",NA,-0.44,0.0474422430476758,"-0.44","0.047",TRUE,FALSE,FALSE,FALSE,"NS",NA
"ARHGAP29",NA,-0.468,0.410974520065572,"-0.47","0.411",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARHGAP32",NA,0.403,0.63943070705116,"0.40","0.639",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARHGAP35",NA,-0.222,0.307228474054706,"-0.22","0.307",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARHGAP5",NA,-0.0733,0.837076416924914,"-0.07","0.837",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARHGDIA",NA,-0.548,0.160244764110881,"-0.55","0.160",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARHGEF1",NA,-0.645,0.00202039290354401,"-0.64","<0.01",TRUE,FALSE,FALSE,FALSE,"NS",NA
"ARHGEF10",NA,-0.398,0.87212681689295,"-0.40","0.872",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARHGEF11",NA,-0.129,0.681349537299619,"-0.13","0.681",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARHGEF12",NA,-0.669,0.00172209481173416,"-0.67","<0.01",TRUE,FALSE,FALSE,FALSE,"NS",NA
"ARHGEF16",NA,-0.307,0.392823500118855,"-0.31","0.393",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARHGEF18",NA,-1.11,0.00592489352365545,"-1.11","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"ARHGEF2",NA,-0.182,0.655578769743996,"-0.18","0.656",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARHGEF26",NA,0.12,0.863351828118897,"0.12","0.863",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARHGEF40",NA,0.492,0.308942967349121,"0.49","0.309",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARHGEF6",NA,-0.219,0.518460739972172,"-0.22","0.518",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARHGEF7",NA,-0.451,0.719497885181331,"-0.45","0.719",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARID1A",NA,0.0798,0.799208232254173,"0.08","0.799",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARID1B",NA,0.0913,0.785142608578492,"0.09","0.785",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARID2",NA,0.665,0.00297137461997636,"0.66","<0.01",TRUE,FALSE,FALSE,FALSE,"NS",NA
"ARID3A",NA,0.513,0.0130653693516303,"0.51","0.013",TRUE,FALSE,FALSE,FALSE,"NS",NA
"ARID3B",NA,0.0329,0.91587747956693,"0.03","0.916",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARID4A",NA,0.65,0.0185136632760817,"0.65","0.019",TRUE,FALSE,FALSE,FALSE,"NS",NA
"ARID4B",NA,0.374,0.151996730478461,"0.37","0.152",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARID5B",NA,0.162,0.653618646228686,"0.16","0.654",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARIH1",NA,-0.317,0.124446004268875,"-0.32","0.124",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARIH2",NA,-0.311,0.2102838115666,"-0.31","0.210",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARK2N",NA,0.128,0.772790941093073,"0.13","0.773",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARL1",NA,-0.285,0.37592677359468,"-0.28","0.376",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARL10",NA,0.669,0.102619151911001,"0.67","0.103",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARL13B",NA,-0.104,0.589114325029139,"-0.10","0.589",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARL14EP",NA,0.0604,0.94919214896674,"0.06","0.949",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARL15",NA,-0.14,0.710284992009917,"-0.14","0.710",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARL2",NA,-0.485,0.324329387457733,"-0.48","0.324",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARL2BP",NA,-0.48,0.0395731995305777,"-0.48","0.040",TRUE,FALSE,FALSE,FALSE,"NS",NA
"ARL3",NA,-1.71,0.00661956117586393,"-1.71","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"ARL5A",NA,-0.574,0.335459357445251,"-0.57","0.335",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARL6",NA,-0.296,0.27860650454114,"-0.30","0.279",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARL6IP4",NA,-0.385,0.588347812478777,"-0.38","0.588",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARL6IP5",NA,0.371,0.37204534858602,"0.37","0.372",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARL6IP6",NA,0.72,0.35460592714299,"0.72","0.355",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARL8A",NA,-0.0326,0.973660404069703,"-0.03","0.974",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARL8B",NA,0.0762,0.937993978981516,"0.08","0.938",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARMC1",NA,-0.186,0.276787751336883,"-0.19","0.277",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARMC10",NA,0.383,0.664117731139764,"0.38","0.664",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARMC2",NA,0.743,0.621836140044234,"0.74","0.622",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARMC5",NA,0.706,0.291761462476519,"0.71","0.292",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARMC6",NA,-0.168,0.737460063992419,"-0.17","0.737",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARMC8",NA,-0.214,0.567743363187044,"-0.21","0.568",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARMC9",NA,-0.52,0.0477253554440322,"-0.52","0.048",TRUE,FALSE,FALSE,FALSE,"NS",NA
"ARMCX3",NA,0.223,0.40151057943086,"0.22","0.402",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARMH3",NA,-0.583,0.651849225162911,"-0.58","0.652",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARMT1",NA,-0.23,0.50287013058551,"-0.23","0.503",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARNT",NA,-0.142,0.553016539365282,"-0.14","0.553",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARPC1A",NA,0.145,0.591232707556717,"0.14","0.591",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARPC1B",NA,0.315,0.150186219584144,"0.32","0.150",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARPC2",NA,0.21,0.384011255229332,"0.21","0.384",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARPC3",NA,-1.04,0.00175610922881231,"-1.04","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"ARPC4",NA,0.0715,0.821766247549842,"0.07","0.822",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARPC5",NA,-0.639,0.1001154005344,"-0.64","0.100",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARPC5L",NA,-0.504,0.0800774822963309,"-0.50","0.080",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARPIN",NA,-0.67,0.00523054956936823,"-0.67","<0.01",TRUE,FALSE,FALSE,FALSE,"NS",NA
"ARPP19",NA,-2.09,0.00360421943611044,"-2.09","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"ARRB1",NA,-0.0528,0.861513771419766,"-0.05","0.862",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARRB2",NA,-0.0872,0.714252285508064,"-0.09","0.714",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARRDC1",NA,-0.247,0.490500526634852,"-0.25","0.491",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARRDC3",NA,0.174,0.937470563635474,"0.17","0.937",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARSA",NA,-0.349,0.699880317028205,"-0.35","0.700",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARSB",NA,-0.207,0.823407073411521,"-0.21","0.823",FALSE,FALSE,FALSE,FALSE,"NS",NA
