"Gene","Pathway","ratio","padj","ratio_display","padj_display","sig","pass_fc","pathway_highlight","sig_other","plot_group","label"
"ABCA3","Lipid synthesis",-1.19,0.0542080793568508,"-1.19","0.054",FALSE,TRUE,FALSE,FALSE,"NS",NA
"ABCB10",NA,-0.654,0.0694967408424685,"-0.65","0.069",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ABCB6",NA,-8.04,1.59133816100644e-06,"-8.04","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"ABHD5",NA,-0.755,0.545743009085745,"-0.76","0.546",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ACE2",NA,0.902,0.726520769388808,"0.90","0.727",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ACOT13",NA,-1.4,1.83467520380908e-05,"-1.40","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"ACTMAP",NA,0.197,0.5423488556275,"0.20","0.542",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ADAM9",NA,-2.43,2.16871665457991e-07,"-2.43","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"ADAMTS1",NA,-1.55,1.01041931556466e-06,"-1.55","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"ADD1",NA,1.11,3.55055211675881e-06,"1.11","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"ADGRG6",NA,-4.55,0.00181749682491742,"-4.55","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"AGA",NA,-0.444,0.529757501581552,"-0.44","0.530",FALSE,FALSE,FALSE,FALSE,"NS",NA
"AHDC1",NA,0.935,0.0019022086233817,"0.94","<0.01",TRUE,FALSE,FALSE,FALSE,"NS",NA
"AIFM2",NA,-2.96,0.0289987861782012,"-2.96","0.029",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"AIRIM",NA,-0.0522,0.940707807638141,"-0.05","0.941",FALSE,FALSE,FALSE,FALSE,"NS",NA
