"Gene","Pathway","ratio","padj","ratio_display","padj_display","sig","pass_fc","pathway_highlight","sig_other","plot_group","label"
"BCL10",NA,-1.71,0.00140661614949439,"-1.71","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"BCL11A",NA,-0.349,0.426883590138399,"-0.35","0.427",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BCL11B",NA,-1.39,0.00204335715691889,"-1.39","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"BCL2",NA,0.866,0.032587321761474,"0.87","0.033",TRUE,FALSE,FALSE,FALSE,"NS",NA
"BCL2L1",NA,2.87,0.000933072135201242,"2.87","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"BCL2L11",NA,-0.558,0.0527273412191362,"-0.56","0.053",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BCL2L13",NA,0.676,0.044834283516207,"0.68","0.045",TRUE,FALSE,FALSE,FALSE,"NS",NA
"BCL7A",NA,-1.26,0.00432938781090277,"-1.26","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"BCL7B",NA,-0.923,0.0313235773559785,"-0.92","0.031",TRUE,FALSE,FALSE,FALSE,"NS",NA
"BCL7C",NA,-1.04,0.0184678981387988,"-1.04","0.018",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"BCL9",NA,-1.92,0.00378993405270957,"-1.92","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"BCL9L",NA,-1.44,0.00225956569228519,"-1.44","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"BCLAF1",NA,-0.629,0.11089906386792,"-0.63","0.111",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BCLAF3",NA,-0.254,0.472539208073463,"-0.25","0.473",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BCORL1",NA,-0.105,0.806642405025271,"-0.10","0.807",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BCR",NA,0.0573,0.818171235670163,"0.06","0.818",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BCS1L",NA,0.809,0.0233330676415216,"0.81","0.023",TRUE,FALSE,FALSE,FALSE,"NS",NA
"BDH1",NA,0.768,0.108150519081014,"0.77","0.108",FALSE,FALSE,FALSE,FALSE,"NS",NA
