"Gene","Pathway","ratio","padj","ratio_display","padj_display","sig","pass_fc","pathway_highlight","sig_other","plot_group","label"
"B4GALT5",NA,0.285,0.61902806157997,"0.28","0.619",FALSE,FALSE,FALSE,FALSE,"NS",NA
"B4GALT6",NA,0.166,0.892027170308279,"0.17","0.892",FALSE,FALSE,FALSE,FALSE,"NS",NA
"B9D1",NA,-5.58,4.27226391080023e-07,"-5.58","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"BACE1",NA,-0.193,0.885597360623378,"-0.19","0.886",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BCL2L12",NA,-6.75,6.77547790769888e-08,"-6.75","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"BCOR",NA,-0.186,0.542611532116491,"-0.19","0.543",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BIRC2",NA,-0.502,0.334846950011584,"-0.50","0.335",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BLM",NA,0.499,0.024713096433447,"0.50","0.025",TRUE,FALSE,FALSE,FALSE,"NS",NA
"BLOC1S4",NA,-1.69,7.37979510307064e-05,"-1.69","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"BMP2",NA,1.57,0.459747836729915,"1.57","0.460",FALSE,TRUE,FALSE,FALSE,"NS",NA
"BMP4",NA,-5.8,6.2328910335824e-05,"-5.80","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"BMPR2",NA,-0.466,0.847625760037806,"-0.47","0.848",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BNIP3",NA,1.63,0.269039959212155,"1.63","0.269",FALSE,TRUE,FALSE,FALSE,"NS",NA
"BOD1",NA,-3.78,8.37921073749832e-06,"-3.78","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"BORCS6",NA,-0.438,0.227706576999566,"-0.44","0.228",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BPGM",NA,-0.406,0.217183698331711,"-0.41","0.217",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BPNT2",NA,0.943,0.00682315425633503,"0.94","<0.01",TRUE,FALSE,FALSE,FALSE,"NS",NA
"BRI3",NA,-5.51,1.95277614740891e-06,"-5.51","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"BRI3BP",NA,0.647,0.00739938268898112,"0.65","<0.01",TRUE,FALSE,FALSE,FALSE,"NS",NA
"BRWD3",NA,0.652,0.0389659882187424,"0.65","0.039",TRUE,FALSE,FALSE,FALSE,"NS",NA
"BTBD9",NA,-2.82,0.328692590882461,"-2.82","0.329",FALSE,TRUE,FALSE,FALSE,"NS",NA
"BTN2A3P",NA,4.13,0.122621789262607,"4.13","0.123",FALSE,TRUE,FALSE,FALSE,"NS",NA
"C1orf159",NA,3.59,0.0179308076865576,"3.59","0.018",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"C1orf198",NA,-1.48,0.00051541299437775,"-1.48","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"C2CD2L",NA,0.491,0.337628862173698,"0.49","0.338",FALSE,FALSE,FALSE,FALSE,"NS",NA
"C4A",NA,0.365,0.854945066710673,"0.36","0.855",FALSE,FALSE,FALSE,FALSE,"NS",NA
"C4BPA",NA,4,0.00206132315086879,"4.00","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"C6orf89",NA,-0.0358,0.956684126627524,"-0.04","0.957",FALSE,FALSE,FALSE,FALSE,"NS",NA
"C8orf88",NA,-5.36,0.00321100686194955,"-5.36","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"C9orf72",NA,1.77,0.565827199009731,"1.77","0.566",FALSE,TRUE,FALSE,FALSE,"NS",NA
"CABIN1",NA,0.503,0.192356635674889,"0.50","0.192",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CALCOCO2",NA,-0.398,0.37945934617529,"-0.40","0.379",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CAMKK1",NA,-1.33,0.000552957326188855,"-1.33","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"CARMIL2",NA,-1.5,0.00491049773942391,"-1.50","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"CASTOR2",NA,0.815,0.214221289061193,"0.81","0.214",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CBY1",NA,-1.71,0.00167036042886981,"-1.71","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"CCDC106",NA,0.02,0.966907855084698,"0.02","0.967",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CCDC120",NA,-5.41,0.000390623499292668,"-5.41","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"CCDC138",NA,-1.4,0.528882951733001,"-1.40","0.529",FALSE,TRUE,FALSE,FALSE,"NS",NA
"CCDC158",NA,0.132,0.88096058744953,"0.13","0.881",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CCDC18",NA,-4.05,3.53293617000797e-07,"-4.05","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"CCDC186",NA,-1.18,0.000258939449795215,"-1.18","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"CCDC28B",NA,-3.36,3.34003412622038e-07,"-3.36","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"CCDC66",NA,-2.45,0.00516353404846712,"-2.45","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"CCDC82",NA,0.471,0.886479581472699,"0.47","0.886",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CCK",NA,0.0521,0.961563169751434,"0.05","0.962",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CCN1",NA,1.25,0.226419066705353,"1.25","0.226",FALSE,TRUE,FALSE,FALSE,"NS",NA
"CCN2",NA,3.78,0.0278156667463546,"3.78","0.028",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"CCNQ",NA,1.69,0.391214235400672,"1.69","0.391",FALSE,TRUE,FALSE,FALSE,"NS",NA
"CCPG1",NA,-0.18,0.714629415624349,"-0.18","0.715",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CD151",NA,-0.471,0.303982663351552,"-0.47","0.304",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CD40",NA,4.91,0.0174340529561776,"4.91","0.017",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"CD81",NA,-0.977,0.0349931323252526,"-0.98","0.035",TRUE,FALSE,FALSE,FALSE,"NS",NA
"CD84",NA,2.19,0.25747515165815,"2.19","0.257",FALSE,TRUE,FALSE,FALSE,"NS",NA
"CD99",NA,-0.722,0.813449181586431,"-0.72","0.813",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDC42EP1",NA,-0.954,0.0151895388839293,"-0.95","0.015",TRUE,FALSE,FALSE,FALSE,"NS",NA
"CDCA7L",NA,-0.803,0.00742725647810527,"-0.80","<0.01",TRUE,FALSE,FALSE,FALSE,"NS",NA
"CDK11A",NA,-0.257,0.85882212765415,"-0.26","0.859",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDKN2A",NA,-1.25,0.000227446744261918,"-1.25","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"CEBPZOS",NA,-4.78,1.15587226750072e-08,"-4.78","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"CENPW",NA,0.734,0.161324711928981,"0.73","0.161",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CENPX",NA,-2.17,0.000167742883067367,"-2.17","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"CEP170B",NA,-1.06,0.0013310488862637,"-1.06","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"CEP41",NA,-1,0.000799304977302539,"-1.00","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"CFAP97",NA,-1.16,0.0152757155161314,"-1.16","0.015",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"CHCHD4",NA,1.63,0.268399933545891,"1.63","0.268",FALSE,TRUE,FALSE,FALSE,"NS",NA
"CHKA","Lipid synthesis",-2.74,0.155789599089545,"-2.74","0.156",FALSE,TRUE,FALSE,FALSE,"NS",NA
"CHPF",NA,2.39,0.248459214245712,"2.39","0.248",FALSE,TRUE,FALSE,FALSE,"NS",NA
"CHPF2",NA,0.283,0.8749573304911,"0.28","0.875",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CHSY1",NA,0.429,0.205804880685254,"0.43","0.206",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CISD1",NA,1.34,3.7166597544307e-05,"1.34","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"CKS1B",NA,-1.27,0.00257480083169831,"-1.27","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"CKS2",NA,-1.51,0.000169989496736285,"-1.51","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"CLK3",NA,0.242,0.46655037393815,"0.24","0.467",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CLOCK",NA,0.137,0.962810333073502,"0.14","0.963",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CLTCL1",NA,1.01,0.380607197736008,"1.01","0.381",FALSE,TRUE,FALSE,FALSE,"NS",NA
"CLU",NA,0.51,0.109801323818772,"0.51","0.110",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CMTM6",NA,0.788,0.635890606651772,"0.79","0.636",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CNBP",NA,-1.32,0.193262847163178,"-1.32","0.193",FALSE,TRUE,FALSE,FALSE,"NS",NA
"CNEP1R1",NA,-5.77,0.000176524269459296,"-5.77","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"CNOT8",NA,0.121,0.896817636917088,"0.12","0.897",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CNOT9",NA,-2.48,1.46617401325416e-05,"-2.48","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"COL1A1",NA,0.648,0.394039176663393,"0.65","0.394",FALSE,FALSE,FALSE,FALSE,"NS",NA
"COL1A2",NA,2.17,0.00646658497934863,"2.17","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"COL4A6",NA,-0.0188,0.961710284179998,"-0.02","0.962",FALSE,FALSE,FALSE,FALSE,"NS",NA
