"Gene","Pathway","ratio","padj","ratio_display","padj_display","sig","pass_fc","pathway_highlight","sig_other","plot_group","label"
"B4GALT5",NA,0.474,0.656490797984143,"0.47","0.656",FALSE,FALSE,FALSE,FALSE,"NS",NA
"B4GALT6",NA,-2.1,0.0825400413768591,"-2.10","0.083",FALSE,TRUE,FALSE,FALSE,"NS",NA
"B9D1",NA,-5.59,8.28532875455784e-07,"-5.59","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"BACE1",NA,0.46,0.864247312347115,"0.46","0.864",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BCL2L12",NA,0.447,0.846100607788134,"0.45","0.846",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BCOR",NA,0.58,0.150644293772303,"0.58","0.151",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BIRC2",NA,0.0242,0.993273610943739,"0.02","0.993",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BLM",NA,0.307,0.458198993120899,"0.31","0.458",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BLOC1S4",NA,0.0524,0.975770278350167,"0.05","0.976",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BMP2",NA,1.23,0.807196785439507,"1.23","0.807",FALSE,TRUE,FALSE,FALSE,"NS",NA
"BMP4",NA,-5.04,0.000690949064837009,"-5.04","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"BMPR2",NA,1.72,0.649567289382736,"1.72","0.650",FALSE,TRUE,FALSE,FALSE,"NS",NA
"BNIP3",NA,1.87,0.505689142509978,"1.87","0.506",FALSE,TRUE,FALSE,FALSE,"NS",NA
"BOD1",NA,0.448,0.79642888600697,"0.45","0.796",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BORCS6",NA,0.796,0.123710639211918,"0.80","0.124",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BPGM",NA,-0.0983,0.933319189264596,"-0.10","0.933",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BPNT2",NA,1.06,0.0109892522033491,"1.06","0.011",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"BRI3",NA,-5.57,3.71566556351067e-06,"-5.57","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"BRI3BP",NA,0.128,0.832258645358197,"0.13","0.832",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BRWD3",NA,0.228,0.765858358600333,"0.23","0.766",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BTBD9",NA,1.72,0.811486163536144,"1.72","0.811",FALSE,TRUE,FALSE,FALSE,"NS",NA
"BTN2A3P",NA,1.97,0.757444281283986,"1.97","0.757",FALSE,TRUE,FALSE,FALSE,"NS",NA
"C1orf159",NA,3.38,0.108374325602106,"3.38","0.108",FALSE,TRUE,FALSE,FALSE,"NS",NA
"C1orf198",NA,0.537,0.438297807001746,"0.54","0.438",FALSE,FALSE,FALSE,FALSE,"NS",NA
"C2CD2L",NA,0.973,0.197755705985785,"0.97","0.198",FALSE,FALSE,FALSE,FALSE,"NS",NA
"C4A",NA,-1.13,0.730885493068488,"-1.13","0.731",FALSE,TRUE,FALSE,FALSE,"NS",NA
"C4BPA",NA,-0.577,0.861012588658325,"-0.58","0.861",FALSE,FALSE,FALSE,FALSE,"NS",NA
"C6orf89",NA,0.187,0.885507048631423,"0.19","0.886",FALSE,FALSE,FALSE,FALSE,"NS",NA
"C8orf88",NA,0.0764,0.994468912352257,"0.08","0.994",FALSE,FALSE,FALSE,FALSE,"NS",NA
"C9orf72",NA,-2.45,0.67326274376556,"-2.45","0.673",FALSE,TRUE,FALSE,FALSE,"NS",NA
"CABIN1",NA,0.541,0.45117105097457,"0.54","0.451",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CALCOCO2",NA,0.389,0.67326274376556,"0.39","0.673",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CAMKK1",NA,-0.492,0.431264276867196,"-0.49","0.431",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CARMIL2",NA,0.637,0.509883104569328,"0.64","0.510",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CASTOR2",NA,0.128,0.963165818972659,"0.13","0.963",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CBY1",NA,0.503,0.62578198891247,"0.50","0.626",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CCDC106",NA,0.723,0.134955632094589,"0.72","0.135",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CCDC120",NA,0.106,0.988447817688458,"0.11","0.988",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CCDC138",NA,-0.194,0.984569478679405,"-0.19","0.985",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CCDC158",NA,-0.177,0.939556993737073,"-0.18","0.940",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CCDC18",NA,0.301,0.845446431728577,"0.30","0.845",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CCDC186",NA,-0.064,0.955374981688756,"-0.06","0.955",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CCDC28B",NA,0.386,0.714306443421759,"0.39","0.714",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CCDC66",NA,0.587,0.765858358600333,"0.59","0.766",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CCDC82",NA,1.48,0.809431912656126,"1.48","0.809",FALSE,TRUE,FALSE,FALSE,"NS",NA
"CCK",NA,0.405,0.844554650473941,"0.40","0.845",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CCN1",NA,-6.3,5.02103860461626e-06,"-6.30","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"CCN2",NA,-1.54,0.677305640068474,"-1.54","0.677",FALSE,TRUE,FALSE,FALSE,"NS",NA
"CCNQ",NA,4.03,0.138348063116986,"4.03","0.138",FALSE,TRUE,FALSE,FALSE,"NS",NA
"CCPG1",NA,-0.0928,0.955374981688756,"-0.09","0.955",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CD151",NA,0.137,0.929212359899211,"0.14","0.929",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CD40",NA,4.76,0.0865405579693318,"4.76","0.087",FALSE,TRUE,FALSE,FALSE,"NS",NA
"CD81",NA,0.634,0.470337577627291,"0.63","0.470",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CD84",NA,0.823,0.879477427983762,"0.82","0.879",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CD99",NA,-5.83,0.065285905374472,"-5.83","0.065",FALSE,TRUE,FALSE,FALSE,"NS",NA
"CDC42EP1",NA,0.818,0.14507937235119,"0.82","0.145",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDCA7L",NA,0.471,0.332538798189504,"0.47","0.333",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDK11A",NA,0.522,0.85624738023848,"0.52","0.856",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDKN2A",NA,0.357,0.54227119479674,"0.36","0.542",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CEBPZOS",NA,0.0457,0.988447817688458,"0.05","0.988",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CENPW",NA,-0.389,0.750247715097105,"-0.39","0.750",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CENPX",NA,0.649,0.49763840538998,"0.65","0.498",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CEP170B",NA,0.334,0.583472049537499,"0.33","0.583",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CEP41",NA,0.111,0.882865676314932,"0.11","0.883",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CFAP97",NA,0.875,0.232792136116192,"0.88","0.233",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CHCHD4",NA,0.904,0.809431912656126,"0.90","0.809",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CHKA","Lipid synthesis",2.13,0.591814602373733,"2.13","0.592",FALSE,TRUE,FALSE,FALSE,"NS",NA
"CHPF",NA,4.85,0.0858385815822363,"4.85","0.086",FALSE,TRUE,FALSE,FALSE,"NS",NA
"CHPF2",NA,-0.261,0.961612377067772,"-0.26","0.962",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CHSY1",NA,-0.0118,0.995516042414451,"-0.01","0.996",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CISD1",NA,0.324,0.542345809900522,"0.32","0.542",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CKS1B",NA,0.307,0.728183200300694,"0.31","0.728",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CKS2",NA,0.504,0.425229040560811,"0.50","0.425",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CLK3",NA,0.787,0.0560875114214343,"0.79","0.056",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CLOCK",NA,-5.62,0.0399750982308375,"-5.62","0.040",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"CLTCL1",NA,5.74,4.05642628872749e-05,"5.74","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"CLU",NA,-0.206,0.80381140161004,"-0.21","0.804",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CMTM6",NA,-4.53,0.0111266875126065,"-4.53","0.011",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"CNBP",NA,-1.1,0.597339793767155,"-1.10","0.597",FALSE,TRUE,FALSE,FALSE,"NS",NA
"CNEP1R1",NA,0.132,0.984569478679405,"0.13","0.985",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CNOT8",NA,-0.0676,0.984569478679405,"-0.07","0.985",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CNOT9",NA,0.201,0.879477427983762,"0.20","0.879",FALSE,FALSE,FALSE,FALSE,"NS",NA
"COL1A1",NA,0.781,0.594993581117422,"0.78","0.595",FALSE,FALSE,FALSE,FALSE,"NS",NA
"COL1A2",NA,2.28,0.0169791435680515,"2.28","0.017",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"COL4A6",NA,0.636,0.106039636290079,"0.64","0.106",FALSE,FALSE,FALSE,FALSE,"NS",NA
"COLEC12",NA,0.342,0.62113539970608,"0.34","0.621",FALSE,FALSE,FALSE,FALSE,"NS",NA
"COMMD3",NA,0.148,0.872603237406532,"0.15","0.873",FALSE,FALSE,FALSE,FALSE,"NS",NA
"COMMD5",NA,0.286,0.955374981688756,"0.29","0.955",FALSE,FALSE,FALSE,FALSE,"NS",NA
"COMMD8",NA,0.593,0.629289476636612,"0.59","0.629",FALSE,FALSE,FALSE,FALSE,"NS",NA
"COMMD9",NA,0.41,0.283459819754807,"0.41","0.283",FALSE,FALSE,FALSE,FALSE,"NS",NA
"COQ9",NA,1.01,0.00668190165599573,"1.01","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"COX6A1",NA,1.39,0.111460426773502,"1.39","0.111",FALSE,TRUE,FALSE,FALSE,"NS",NA
"CPNE8",NA,0.165,0.762805435237386,"0.16","0.763",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CRABP2",NA,-0.663,0.539196531298419,"-0.66","0.539",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CRBN",NA,-0.273,0.80402468617665,"-0.27","0.804",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CREM","Lipid synthesis",1.3,0.765858358600333,"1.30","0.766",FALSE,TRUE,FALSE,FALSE,"NS",NA
"CRIM1",NA,-0.338,0.826099762460519,"-0.34","0.826",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CRYGD",NA,4.08,0.0177872566337208,"4.08","0.018",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"CSPG4",NA,0.245,0.910961081663142,"0.24","0.911",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CSPG5",NA,1.2,0.82856463622495,"1.20","0.829",FALSE,TRUE,FALSE,FALSE,"NS",NA
"CUL7",NA,0.531,0.774902119391003,"0.53","0.775",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CWC22",NA,0.211,0.668732844884172,"0.21","0.669",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CYBA",NA,0.665,0.591587073973859,"0.66","0.592",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CYBC1",NA,0.263,0.726578383685177,"0.26","0.727",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CYLD",NA,0.225,0.920274104522903,"0.22","0.920",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CYREN",NA,0.601,0.78030513049381,"0.60","0.780",FALSE,FALSE,FALSE,FALSE,"NS",NA
