"name","Class","Contrast","UpGroup","DownGroup","Direction","EnrichedIn","p_value","ratio"
"Cer(d18:2/24:0)","Cer","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.180115027,0.237
"CerP(d18:1/24:1)","Other","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.32953402,0.13
"DG 30:0 NL 14:0","DG","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.021027427,-0.36
"DG 30:1 NL 14:1","DG","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.047152176,-0.238
"DG 30:1 NL 16:0","DG","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.322771781,-0.267
"DG 30:2 NL 16:0","DG","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.501014387,-0.278
"DG 30:2 NL 16:1","DG","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.1263694,-0.317
"DG 30:2 NL 20:0","DG","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.108009389,-0.362
"DG 30:3 NL 16:1","DG","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.363103151,-0.295
"DG 30:3 NL 20:0","DG","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.232635141,-0.383
"DG 32:1 NL 16:0","DG","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.031477823,-0.254
"DG 32:1 NL 16:1","DG","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.088515375,-0.253
"DG 32:5 NL 18:1","DG","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.749574303,-0.0773
"DG 34:0 NL 18:0","DG","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.961673612,0.00755
"DG 34:0 NL 20:0","DG","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.441455917,-0.112
"DG 34:1 NL 16:0","DG","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.020104578,-0.327
"DG 34:1 NL 16:1","DG","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.142462888,-0.153
"DG 34:1 NL 18:1","DG","WT 100 vs WT Veh","WT 100","WT Veh","Down","WT Veh",0.001220368,-0.536
"DG 34:1 NL 20:0","DG","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.34558372,-0.251
"DG 34:2 NL 16:1","DG","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.178647893,-0.22
"DG 34:2 NL 18:1","DG","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.535843334,-0.0812
"DG 34:2 NL 20:0","DG","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.430239617,-0.227
"DG 34:3 NL 18:1","DG","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.163351838,0.431
"DG 36:0 NL 16:0","DG","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.399528558,-0.103
"DG 36:0 NL 18:0","DG","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.995448056,0.000739
"DG 36:1 NL 16:1","DG","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.123608242,-0.181
"DG 36:1 NL 18:0","DG","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.495457163,-0.0631
"DG 36:1 NL 18:1","DG","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.141260293,-0.219
"DG 36:2 NL 18:1","DG","WT 100 vs WT Veh","WT 100","WT Veh","Down","WT Veh",0.005778989,-0.403
"DG 36:5 NL 16:0","DG","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.396841993,-0.185
"DG 36:6 NL 16:0","DG","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.57369851,-0.313
"DG 36:6 NL 22:5","DG","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.596762448,-0.159
"DG 36:7 NL 16:0","DG","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.84984497,-0.118
"DG 36:7 NL 16:1","DG","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.455191274,-0.241
"DG 36:7 NL 20:0","DG","WT 100 vs WT Veh","WT 100","WT Veh","Down","WT Veh",0.013848593,-0.392
"DG 36:7 NL 22:5","DG","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.610610385,-0.211
"DG 36:8 NL 22:6","DG","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.18503473,-0.473
"DG 38:0 NL 18:0","DG","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.642024393,-0.059
"DG 38:0 NL 20:0","DG","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.823042763,0.0551
"DG 40:5 NL 20:0","DG","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.410183285,-0.131
"DG 40:5 NL 22:5","DG","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.142564347,-0.187
"DG 40:6 NL 20:0","DG","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.302085742,-0.323
