"name","Class","Contrast","UpGroup","DownGroup","Direction","EnrichedIn","p_value","ratio"
"PI O-34:1","PI ether","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.454734382,-0.0791
"PI O-36:1","PI ether","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.434381215,-0.0824
"PI O-38:1","PI ether","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.477604773,0.0611
"PI O-38:2","PI ether","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.742241155,-0.0343
"PI O-38:3","PI ether","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.036851127,-0.219
"PI O-38:4","PI ether","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.303737185,-0.0963
"PS 32:1","PS","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.896667749,0.00948
"PS 34:0","PS","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.801944577,0.0333
"PS 34:1","PS","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.138644463,-0.397
"PS 34:4","PS","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.749253682,-0.049
"PS 34:5","PS","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.093244515,0.174
"PS 36:0","PS","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.952351513,0.00831
"PS 36:1","PS","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.435683986,-0.225
"PS 36:2","PS","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.032327919,-0.336
"PS 36:8","PS","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.821369044,-0.031
"PS 38:1","PS","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.997329194,0.000434
"PS 38:2","PS","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.534036173,-0.0607
"PS 38:3","PS","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.282862711,0.123
"PS 38:4","PS","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.702609737,-0.0418
"PS 38:8","PS","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.837616605,-0.0205
"PS 40:1","PS","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.153449178,0.217
"PS 40:2","PS","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.425733873,-0.0826
"PS 40:4","PS","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.843503948,-0.0181
"PS 40:5","PS","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.223994393,-0.125
"PS 40:6","PS","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.933169305,-0.0124
"PS 42:1","PS","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.243757045,0.123
"PS O-34:1","PS ether","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.184659791,0.0968
"SM(32:0","SM","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.872432026,0.0327
"SM(32:1","SM","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.262016117,-0.414
"SM(32:2","SM","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.934597679,0.0135
"SM(34:0","SM","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.601667445,-0.302
"SM(34:1","SM","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.582779894,-0.373
"SM(34:1.1","SM","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.933374767,0.0915
"SM(34:2","SM","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.48846753,0.259
"SM(36:0","SM","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.919653547,-0.144
"SM(36:1","SM","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.955151947,0.0592
"SM(36:2","SM","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.767481804,0.132
"SM(38:0","SM","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.399213013,-1.18
"SM(38:1","SM","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.77036403,-0.36
"SM(38:2","SM","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.829871248,-0.116
"SM(38:3","SM","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.896119022,-0.0847
"SM(40:0","SM","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.312983397,-0.611
"SM(40:1","SM","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.271323456,-0.893
"SM(40:2","SM","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.283502651,-0.719
"SM(40:3","SM","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.274686625,-0.59
"SM(42:0","SM","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.850705462,0.0543
"SM(42:1","SM","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.723278907,-0.197
"SM(42:2","SM","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.77125251,-0.169
"SM(42:3","SM","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.725780847,-0.156
"SM(44:0","SM","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.434965777,-0.178
"SM(44:1","SM","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.251914476,0.238
"SM(44:2","SM","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.743391301,-0.0501
"TG 32:0 NL 16:0","TG","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.310571509,-0.0955
"TG 34:1 NL 16:1","TG","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.855179694,-0.0768
"TG48:0] NL 16:0","TG","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.088378437,-0.228
"TG48:1] NL 14:0","TG","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.152998679,0.13
"TG48:1] NL 16:0","TG","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.924388648,0.0128
"TG50:1] NL 16:0","TG","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.028259765,-0.294
"TG50:1] NL 18:1","TG","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.18830351,-0.154
"TG50:2]","TG","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.537207344,0.0708
"TG50:2] NL 16:0","TG","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.711163899,-0.0381
"TG50:2] NL 18:1","TG","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.173445539,0.163
"TG52:1] NL 16:0","TG","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.674936005,0.0439
"TG52:1] NL 18:0","TG","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.597460906,-0.052
"TG52:1] NL 18:1","TG","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.954843899,0.0061
"TG52:2] NL 16:0","TG","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.469914325,-0.0693
"TG52:2] NL 18:1","TG","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.482188328,0.0947
"TG52:3] NL 18:1","TG","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.412294649,0.104
"TG54:1] NL 20:0","TG","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.331377947,0.129
"TG54:2] NL 18:1","TG","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.085073991,0.23
"TG54:3] NL 18:1","TG","WT 200 vs WT Veh","WT 200","WT Veh","NS","NS",0.981300684,-0.00394
"[CE 18:1 +NH4]","CE","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","Down","RDH12 Veh",7.74e-06,-0.823
"[DG 38:1","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","Down","RDH12 Veh",0.000414874,-0.506
"DG 32:0 NL 16:0","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.268685025,0.138
"DG 34:0 NL 16:0","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.094782256,0.198
"DG 40:6 NL 16:1","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.050593848,-0.178
"PC 34:5","PC","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.771915294,-0.0459
"PC O-30:0","PC ether","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","Up","RDH12 100",0.002246772,0.494
"PC O-34:4","PC ether","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.189411287,0.219
"PC O-36:4","PC ether","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.389933034,0.154
"PC O-36:5","PC ether","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.099328275,0.278
"PC O-38:6","PC ether","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.436012287,0.13
"PC(20:0/8:0(COOH))","Oxidized PC","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","Up","RDH12 100",0.016604745,0.536
"PE 32:1","PE","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.731704506,-0.0439
"PE 34:1","PE","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","Down","RDH12 Veh",0.032061878,-0.429
"PE 34:4","PE","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.90714922,-0.022
"PI 34:1","PI","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.5043101,0.0819
"PI 36:2","PI","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.277730789,-0.177
"PI 36:4","PI","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.499600521,0.0879
"PI 38:3","PI","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.133351035,-0.259
"PI 38:5","PI","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.541453749,-0.0893
"[CE 14:0 +NH4]","CE","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.245904716,-0.12
"[CE 16:0 +H]","CE","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.313485279,-0.181
"[CE 16:0 +NH4]","CE","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.976942285,-0.00363
"[CE 16:1 +NH4]","CE","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.161035671,-0.151
"[CE 16:3 +K]","CE","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.95730341,-0.0061
"[CE 18:0 +Na]","CE","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","Up","RDH12 100",0.026476636,0.738
"[CE 18:0 +NH4]","CE","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.209077261,-0.149
"[CE 18:3 +Na]","CE","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.430002759,-0.0866
"[CE 20:3 +Na]","CE","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.187114378,-0.142
"[CE 20:4 +NH4]","CE","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.12278591,-0.159
"[CE 22:2 +K]","CE","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.545928003,0.056
"[CE 22:6 +NH4]","CE","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.959050329,-0.00493
"[CE 24:1 +Na]","CE","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.584561946,-0.146
"[TG34:2] NL 20:0","TG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.488374496,-0.0718
"[TG36:0] NL 18:0","TG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.802901081,0.0387
"[TG38:0] NL 20:0","TG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.871833318,0.0626
"[TG44:4] NL 20:0","TG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.530933568,0.223
"[TG44:5] NL 20:0","TG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.908393239,0.0481
"[TG46:0] NL 16:0","TG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.948271376,0.00725
"[TG48:7","TG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.774676469,0.047
"[TG48:8","TG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.490077732,-0.0607
"[TG50:7","TG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.478790754,0.0875
"[TG50:8","TG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.328420837,0.0964
"[TG50:8.1","TG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.370816754,0.104
"[TG52:8","TG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.477311745,0.0675
"[TG52:8.1","TG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.892702357,-0.0126
"Cer(d14:1/20:0)","Cer","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.362465744,0.258
"Cer(d14:1/24:0(2OH))","Cer","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.648339454,0.086
"Cer(d14:2/20:0)","Cer","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.807903657,0.0906
"Cer(d18:0/20:0(2OH))","Cer","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.227124699,0.399
"Cer(d18:1/16:0)","Cer","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.850541024,-0.0405
"Cer(d18:1/18:0)","Cer","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.54477109,-0.0708
"Cer(d18:1/22:0)","Cer","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.571439905,-0.115
"Cer(d18:1/24:0)","Cer","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.250533609,0.143
"Cer(d18:1/24:1)","Cer","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.416817478,-0.138
"Cer(d18:2/24:0)","Cer","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.739154754,-0.0572
"CerP(d18:1/24:1)","Other","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.612298475,0.0666
"DG 30:0 NL 14:0","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.739229695,-0.0472
"DG 30:1 NL 14:1","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.808750582,0.027
"DG 30:1 NL 16:0","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.821079402,0.0601
"DG 30:2 NL 16:0","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.267303474,0.465
"DG 30:2 NL 16:1","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.153777899,-0.294
"DG 30:2 NL 20:0","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.320707528,-0.217
"DG 30:3 NL 16:1","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.38417494,-0.282
"DG 30:3 NL 20:0","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.490371851,-0.217
"DG 32:1 NL 16:0","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.96701789,-0.00448
"DG 32:1 NL 16:1","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.923065726,0.0136
"DG 32:5 NL 18:1","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.994285874,-0.00173
"DG 34:0 NL 18:0","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.53899326,0.0972
"DG 34:0 NL 20:0","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.573014062,-0.0817
"DG 34:1 NL 16:0","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.329872011,-0.126
"DG 34:1 NL 16:1","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.416753097,-0.0823
"DG 34:1 NL 18:1","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.162409333,-0.197
"DG 34:1 NL 20:0","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.609693496,-0.134
"DG 34:2 NL 16:1","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.302806727,-0.166
"DG 34:2 NL 18:1","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.869201142,0.0215
"DG 34:2 NL 20:0","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.853813847,-0.0525
"DG 34:3 NL 18:1","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.815634588,-0.0697
"DG 36:0 NL 16:0","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.574648271,-0.0683
"DG 36:0 NL 18:0","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.939675861,0.0098
"DG 36:1 NL 16:1","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.052341784,-0.234
"DG 36:1 NL 18:0","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.436181107,0.0723
"DG 36:1 NL 18:1","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.595229177,-0.0763
"DG 36:2 NL 18:1","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.419497085,-0.103
"DG 36:5 NL 16:0","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.595770755,0.115
"DG 36:6 NL 16:0","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.93781847,0.0432
"DG 36:6 NL 22:5","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.491021619,0.208
"DG 36:7 NL 16:0","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.964375135,0.0278
"DG 36:7 NL 16:1","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.81276786,0.0757
"DG 36:7 NL 20:0","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.686846261,-0.0575
"DG 36:7 NL 22:5","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.505435274,0.277
"DG 36:8 NL 22:6","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.621060151,-0.172
"DG 38:0 NL 18:0","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.554149036,-0.0752
"DG 38:0 NL 20:0","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.567033968,0.142
"DG 40:5 NL 20:0","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.295678851,-0.167
"DG 40:5 NL 22:5","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.454256485,-0.0929
"DG 40:6 NL 20:0","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.295047361,-0.328
"DG 40:6 NL 22:6","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.600732928,-0.159
"DG 40:7 NL 22:6","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.914587499,-0.014
"DG 42:10 NL 22:5","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.395277108,0.22
"DG 42:11 NL 16:0","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.442877187,0.296
"DG 42:11 NL 22:5","DG","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.541717122,0.337
"LPC 16:0","LPC","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.620148099,0.165
"LPC 16:1","LPC","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.450974776,0.218
"LPC 18:0","LPC","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.714653582,0.0819
"LPC 18:1","LPC","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.613957026,0.239
"LPC 18:2","LPC","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.602847264,-0.0647
"LPC 20:0","LPC","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.077753167,0.18
"LPC 24:0","LPC","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.150925883,0.21
"LPC 26:0","LPC","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.109742369,0.425
"LPC O-18:1","LPC","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.403372768,0.101
"LPC O-20:4","LPC","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.328394596,0.185
"LPC O-20:5","LPC","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.637172206,-0.0671
"LPC(14:0)","Other","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.13196165,0.269
"LPC(20:1)","Other","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.394347392,0.127
"LPE 18:0","LPE","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.580729309,0.0942
"LPE 18:1","LPE","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.786806351,0.0524
"LPE 20:1","LPE","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.265618295,0.144
"LPE(O-20:4)","Other","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.889431531,0.0308
"LPI O-20:0","Other","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.349711314,0.209
"PC 14:0","PC","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.802878632,0.045
"PC 18:0","PC","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.245691866,0.193
"PC 22:0","PC","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.643401579,0.0578
"PC 24:0","PC","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.134593552,0.254
"PC 26:0","PC","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.113622009,0.608
"PC 26:1","PC","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.45868116,0.0679
"PC 28:0","PC","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.032414297,0.338
"PC 28:1","PC","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.55871134,-0.106
"PC 28:2","PC","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.274073275,-0.101
"PC 28:6","PC","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.292405175,-0.132
"PC 30:0","PC","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.336392855,0.158
"PC 30:1","PC","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.754780369,0.0479
"PC 30:2","PC","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.6311058,-0.0645
"PC 30:3","PC","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.668308095,-0.053
"PC 32:0","PC","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.606035177,0.0853
"PC 32:1","PC","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.616390227,-0.0997
"PC 32:2","PC","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.096969225,-0.302
"PC 32:3","PC","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.666960267,-0.0483
"PC 32:4","PC","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.520311746,0.0745
"PC 32:5","PC","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.113967304,0.197
"PC 32:6","PC","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.618185649,0.283
"PC 34:0","PC","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.728907963,0.056
"PC 34:1","PC","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.827620561,0.0432
"PC 34:2","PC","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.047727846,-0.335
"PC 34:3","PC","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.339253636,-0.161
"PC 34:6","PC","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.60277929,0.0739
"PC 36:1","PC","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.346966196,0.196
"PC 36:2","PC","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.299774387,-0.187
"PC 36:3","PC","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.180864375,-0.236
"PC 36:4","PC","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.394660258,-0.113
"PC 36:5","PC","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.721544316,-0.0569
"PC 36:6","PC","RDH12 100 vs RDH12 Veh","RDH12 100","RDH12 Veh","NS","NS",0.398795331,0.141
