"ContrastID","Contrast","ComparisonType","Class","Direction","EnrichedIn","Count","SignedCount"
"RDH12_200_vs_RDH12_100","RDH12 200 vs RDH12 100","Dose-to-dose context","PE ether","Up","RDH12 200",0,0
"RDH12_200_vs_RDH12_100","RDH12 200 vs RDH12 100","Dose-to-dose context","PG","Down","RDH12 100",0,0
"RDH12_200_vs_RDH12_100","RDH12 200 vs RDH12 100","Dose-to-dose context","PG","Up","RDH12 200",0,0
"RDH12_200_vs_RDH12_100","RDH12 200 vs RDH12 100","Dose-to-dose context","PI","Down","RDH12 100",1,-1
"RDH12_200_vs_RDH12_100","RDH12 200 vs RDH12 100","Dose-to-dose context","PI","Up","RDH12 200",0,0
"RDH12_200_vs_RDH12_100","RDH12 200 vs RDH12 100","Dose-to-dose context","PI ether","Down","RDH12 100",0,0
"RDH12_200_vs_RDH12_100","RDH12 200 vs RDH12 100","Dose-to-dose context","PI ether","Up","RDH12 200",0,0
"RDH12_200_vs_RDH12_100","RDH12 200 vs RDH12 100","Dose-to-dose context","PS","Down","RDH12 100",0,0
"RDH12_200_vs_RDH12_100","RDH12 200 vs RDH12 100","Dose-to-dose context","PS","Up","RDH12 200",0,0
"RDH12_200_vs_RDH12_100","RDH12 200 vs RDH12 100","Dose-to-dose context","PS ether","Down","RDH12 100",0,0
"RDH12_200_vs_RDH12_100","RDH12 200 vs RDH12 100","Dose-to-dose context","PS ether","Up","RDH12 200",0,0
"RDH12_200_vs_RDH12_100","RDH12 200 vs RDH12 100","Dose-to-dose context","SM","Down","RDH12 100",2,-2
"RDH12_200_vs_RDH12_100","RDH12 200 vs RDH12 100","Dose-to-dose context","SM","Up","RDH12 200",0,0
"RDH12_200_vs_RDH12_100","RDH12 200 vs RDH12 100","Dose-to-dose context","TG","Down","RDH12 100",0,0
"RDH12_200_vs_RDH12_100","RDH12 200 vs RDH12 100","Dose-to-dose context","TG","Up","RDH12 200",0,0
"RDH12_200_vs_RDH12_Veh","RDH12 200 vs RDH12 EtOH","Within genotype","CE","Down","RDH12 EtOH",1,-1
"RDH12_200_vs_RDH12_Veh","RDH12 200 vs RDH12 EtOH","Within genotype","CE","Up","RDH12 200",0,0
"RDH12_200_vs_RDH12_Veh","RDH12 200 vs RDH12 EtOH","Within genotype","Cer","Down","RDH12 EtOH",0,0
"RDH12_200_vs_RDH12_Veh","RDH12 200 vs RDH12 EtOH","Within genotype","Cer","Up","RDH12 200",0,0
"RDH12_200_vs_RDH12_Veh","RDH12 200 vs RDH12 EtOH","Within genotype","DG","Down","RDH12 EtOH",10,-10
"RDH12_200_vs_RDH12_Veh","RDH12 200 vs RDH12 EtOH","Within genotype","DG","Up","RDH12 200",0,0
"RDH12_200_vs_RDH12_Veh","RDH12 200 vs RDH12 EtOH","Within genotype","LPC","Down","RDH12 EtOH",0,0
"RDH12_200_vs_RDH12_Veh","RDH12 200 vs RDH12 EtOH","Within genotype","LPC","Up","RDH12 200",2,2
"RDH12_200_vs_RDH12_Veh","RDH12 200 vs RDH12 EtOH","Within genotype","LPE","Down","RDH12 EtOH",0,0
"RDH12_200_vs_RDH12_Veh","RDH12 200 vs RDH12 EtOH","Within genotype","LPE","Up","RDH12 200",0,0
"RDH12_200_vs_RDH12_Veh","RDH12 200 vs RDH12 EtOH","Within genotype","Other","Down","RDH12 EtOH",0,0
"RDH12_200_vs_RDH12_Veh","RDH12 200 vs RDH12 EtOH","Within genotype","Other","Up","RDH12 200",0,0
"RDH12_200_vs_RDH12_Veh","RDH12 200 vs RDH12 EtOH","Within genotype","Oxidized PC","Down","RDH12 EtOH",0,0
"RDH12_200_vs_RDH12_Veh","RDH12 200 vs RDH12 EtOH","Within genotype","Oxidized PC","Up","RDH12 200",2,2
"RDH12_200_vs_RDH12_Veh","RDH12 200 vs RDH12 EtOH","Within genotype","PC","Down","RDH12 EtOH",1,-1
"RDH12_200_vs_RDH12_Veh","RDH12 200 vs RDH12 EtOH","Within genotype","PC","Up","RDH12 200",11,11
"RDH12_200_vs_RDH12_Veh","RDH12 200 vs RDH12 EtOH","Within genotype","PC ether","Down","RDH12 EtOH",1,-1
"RDH12_200_vs_RDH12_Veh","RDH12 200 vs RDH12 EtOH","Within genotype","PC ether","Up","RDH12 200",10,10
"RDH12_200_vs_RDH12_Veh","RDH12 200 vs RDH12 EtOH","Within genotype","PE","Down","RDH12 EtOH",2,-2
"RDH12_200_vs_RDH12_Veh","RDH12 200 vs RDH12 EtOH","Within genotype","PE","Up","RDH12 200",0,0
"RDH12_200_vs_RDH12_Veh","RDH12 200 vs RDH12 EtOH","Within genotype","PE ether","Down","RDH12 EtOH",0,0
"RDH12_200_vs_RDH12_Veh","RDH12 200 vs RDH12 EtOH","Within genotype","PE ether","Up","RDH12 200",0,0
"RDH12_200_vs_RDH12_Veh","RDH12 200 vs RDH12 EtOH","Within genotype","PG","Down","RDH12 EtOH",0,0
"RDH12_200_vs_RDH12_Veh","RDH12 200 vs RDH12 EtOH","Within genotype","PG","Up","RDH12 200",1,1
"RDH12_200_vs_RDH12_Veh","RDH12 200 vs RDH12 EtOH","Within genotype","PI","Down","RDH12 EtOH",2,-2
"RDH12_200_vs_RDH12_Veh","RDH12 200 vs RDH12 EtOH","Within genotype","PI","Up","RDH12 200",0,0
"RDH12_200_vs_RDH12_Veh","RDH12 200 vs RDH12 EtOH","Within genotype","PI ether","Down","RDH12 EtOH",0,0
"RDH12_200_vs_RDH12_Veh","RDH12 200 vs RDH12 EtOH","Within genotype","PI ether","Up","RDH12 200",0,0
"RDH12_200_vs_RDH12_Veh","RDH12 200 vs RDH12 EtOH","Within genotype","PS","Down","RDH12 EtOH",0,0
"RDH12_200_vs_RDH12_Veh","RDH12 200 vs RDH12 EtOH","Within genotype","PS","Up","RDH12 200",1,1
"RDH12_200_vs_RDH12_Veh","RDH12 200 vs RDH12 EtOH","Within genotype","PS ether","Down","RDH12 EtOH",0,0
"RDH12_200_vs_RDH12_Veh","RDH12 200 vs RDH12 EtOH","Within genotype","PS ether","Up","RDH12 200",0,0
"RDH12_200_vs_RDH12_Veh","RDH12 200 vs RDH12 EtOH","Within genotype","SM","Down","RDH12 EtOH",0,0
"RDH12_200_vs_RDH12_Veh","RDH12 200 vs RDH12 EtOH","Within genotype","SM","Up","RDH12 200",0,0
"RDH12_200_vs_RDH12_Veh","RDH12 200 vs RDH12 EtOH","Within genotype","TG","Down","RDH12 EtOH",0,0
"RDH12_200_vs_RDH12_Veh","RDH12 200 vs RDH12 EtOH","Within genotype","TG","Up","RDH12 200",0,0
"RDH12_Veh_vs_Control_Veh","RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","CE","Down","WT EtOH",0,0
"RDH12_Veh_vs_Control_Veh","RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","CE","Up","RDH12 EtOH",0,0
"RDH12_Veh_vs_Control_Veh","RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","Cer","Down","WT EtOH",1,-1
"RDH12_Veh_vs_Control_Veh","RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","Cer","Up","RDH12 EtOH",1,1
"RDH12_Veh_vs_Control_Veh","RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","DG","Down","WT EtOH",13,-13
"RDH12_Veh_vs_Control_Veh","RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","DG","Up","RDH12 EtOH",0,0
"RDH12_Veh_vs_Control_Veh","RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","LPC","Down","WT EtOH",2,-2
"RDH12_Veh_vs_Control_Veh","RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","LPC","Up","RDH12 EtOH",0,0
"RDH12_Veh_vs_Control_Veh","RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","LPE","Down","WT EtOH",0,0
"RDH12_Veh_vs_Control_Veh","RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","LPE","Up","RDH12 EtOH",0,0
"RDH12_Veh_vs_Control_Veh","RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","Other","Down","WT EtOH",0,0
"RDH12_Veh_vs_Control_Veh","RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","Other","Up","RDH12 EtOH",0,0
"RDH12_Veh_vs_Control_Veh","RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","Oxidized PC","Down","WT EtOH",1,-1
"RDH12_Veh_vs_Control_Veh","RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","Oxidized PC","Up","RDH12 EtOH",0,0
"RDH12_Veh_vs_Control_Veh","RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","PC","Down","WT EtOH",0,0
"RDH12_Veh_vs_Control_Veh","RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","PC","Up","RDH12 EtOH",13,13
"RDH12_Veh_vs_Control_Veh","RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","PC ether","Down","WT EtOH",1,-1
"RDH12_Veh_vs_Control_Veh","RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","PC ether","Up","RDH12 EtOH",22,22
"RDH12_Veh_vs_Control_Veh","RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","PE","Down","WT EtOH",0,0
"RDH12_Veh_vs_Control_Veh","RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","PE","Up","RDH12 EtOH",4,4
"RDH12_Veh_vs_Control_Veh","RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","PE ether","Down","WT EtOH",0,0
"RDH12_Veh_vs_Control_Veh","RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","PE ether","Up","RDH12 EtOH",1,1
"RDH12_Veh_vs_Control_Veh","RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","PG","Down","WT EtOH",1,-1
"RDH12_Veh_vs_Control_Veh","RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","PG","Up","RDH12 EtOH",0,0
"RDH12_Veh_vs_Control_Veh","RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","PI","Down","WT EtOH",1,-1
"RDH12_Veh_vs_Control_Veh","RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","PI","Up","RDH12 EtOH",1,1
"RDH12_Veh_vs_Control_Veh","RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","PI ether","Down","WT EtOH",0,0
"RDH12_Veh_vs_Control_Veh","RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","PI ether","Up","RDH12 EtOH",0,0
"RDH12_Veh_vs_Control_Veh","RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","PS","Down","WT EtOH",4,-4
"RDH12_Veh_vs_Control_Veh","RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","PS","Up","RDH12 EtOH",0,0
"RDH12_Veh_vs_Control_Veh","RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","PS ether","Down","WT EtOH",0,0
"RDH12_Veh_vs_Control_Veh","RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","PS ether","Up","RDH12 EtOH",0,0
"RDH12_Veh_vs_Control_Veh","RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","SM","Down","WT EtOH",0,0
"RDH12_Veh_vs_Control_Veh","RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","SM","Up","RDH12 EtOH",1,1
"RDH12_Veh_vs_Control_Veh","RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","TG","Down","WT EtOH",1,-1
"RDH12_Veh_vs_Control_Veh","RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","TG","Up","RDH12 EtOH",0,0
